station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
124345092530501,Basantipur,12.72916667,92.88472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,0.45,,2.44,,0.61,,,,,,4.29,,0.47,,1.97,,0.46,,0.65,,0.46,,0.28,,3.11,,,,,,,,0.83,,,,0.41,,3.06,,
123720092522201,Betapur,12.62222222,92.87277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,1.7,,,,,,3.54,,1.77,,2.11,,0.38,,0.3,,0.75,,0.18,,1.27,,,,,,,,0.8,,,,0.8,,0.95,,
131351092571902,Durgapur,13.23083333,92.95527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,1.72,,0.58,,0.22,,,,,,0.81,,1.75,,0.73,,0.63,,0.47,,0.68,,0.49,,1.31,,,,,,,,0.86,,,,0.53,,1.93,,
125856092504401,Haribeck,12.98222222,92.84555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,0.21,,1.65,,,,,,,,0.88,,0.25,,3.14,,0.78,,0.09,,0.66,,0.49,,0.58,,,,,,,,0.91,,,,0.62,,,,
124157092525401,Joypur,12.69916667,92.88166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,1.15,,0.6,,,,,,,,0.71,,0.5,,0.39,,0.66,,0.95,,0.88,,0.97,,,,,,,,0.75,,,,0.75,,3.25,,
131537093004901,Keralapuram,13.26027778,93.01361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,3.75,,1.65,,,,,,3.11,,1.69,,2.95,,2.43,,1.76,,2.4,,1.39,,4.21,,,,,,,,2.15,,,,0.45,,5.65,,
130955092525301,Kishorinagar (Parangara),13.16527778,92.88138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,3.45,,1.55,,,,,,,,1.59,,2.9,,1.74,,0.68,,1.3,,1.31,,1.96,,,,,,,,2.85,,,,1.6,,2.75,,
131708093001101,Laxmipur,13.28555556,93.00305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,0.1,,2.6,,0.35,,,,,,4.24,,0.15,,3.08,,0.43,,0.15,,0.45,,0.12,,1.47,,,,,,,,0.07,,,,0.2,,2.42,,
131850092563301,Milangram,13.31388889,92.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,2.58,,0.7,,,,,,2.27,,0.79,,5.4,,,,0.3,,0.7,,0.49,,0.94,,,,,,,,0.5,,,,0.6,,1.35,,
130636092510001,Mohanpur ATR,13.11,92.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,1.42,,2.64,,1.59,,,,,,2.96,,1.5,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,
131024092555501,Nabagram,13.17333333,92.93194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,0.32,,2.82,,2,,,,,,2.27,,1.41,,0.98,,0.31,,0.26,,0.52,,,,1,,,,,,,,0.42,,,,0.52,,2.14,,
125022092511201,Pahalgaon,12.83944444,92.85333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,2.8,,1.8,,,,,,,,1.89,,2.6,,1.67,,1.39,,2.1,,1.43,,2.41,,,,,,,,2.6,,,,1.95,,2.32,,
122440092454401,Phooltala Basti,12.41111111,92.76222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,2.99,,1.5,,,,,,3.48,,1.55,,3.6,,0.69,,1.01,,0.75,,1.75,,1.5,,,,,,,,0.93,,,,0.65,,1.5,,
124940092512801,Rest Camp,12.82777778,92.85777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.38,,2.78,,0.63,,,,,,,,0.42,,2.35,,0.19,,0.27,,0.43,,0.28,,2.14,,,,,,,,0.53,,,,0.23,,2.53,,
131434093023901,Shibpur,13.24277778,93.04416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,2.2,,1.38,,,,,,2.2,,1.41,,1.63,,0.36,,0.25,,0.65,,0.24,,1.38,,,,,,,,0.62,,,,,,1.85,,
