station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
142950078070001,Diguva lingala,14.49722222,78.11666667,,,,,,,,,5.2,5.22,17.1,2.11,3.64,4.72,7.25,5.1,7.21,,11.93,7.21,9.75,9.68,14.55,7.98,8,7.5,8.93,9.75,11,8.22,7.9,4.72,4.74,8.49,13.25,14.1,15.55,16.84,16.96,10.78,6.9,15.7,14.65,13.65,20.7,20.7,17.44,6.49,6.27,8.16,17.36,18.33,18.24,17.82,8.11,5.28,5.11,8.88,8.24,5.76,5.27,9.65,7.74,4.76,5.13,13,14.88,15.1,13.55,17,13.9,12.27,13.1,17.35,,10.13,11.56,20.7,,16.7,16.24,20.7,20.7,20.7,,,,,,17.73,20.7,,20.7,20.7,20.7,7.8,6.62,9.07,7.97,6.72,6.52,9.4,12.65,11.03,8.5,,,3.06,5.14,,7.87,3.16,2.67,4.75,10.29,7.2,6.9,0,10.05,
144500078130001,Kondapuram(rs),14.75,78.21666667,,,,,,,,,11.64,12.47,11.42,5.76,5.73,8.67,9.24,8.32,6.67,10.75,7.48,4.05,6.56,7.35,11.05,7.91,8.76,10.76,7.43,5.92,8.37,9.13,10.2,5.8,6.34,9.05,9.65,8.64,9.4,11.87,12.54,8.47,8.92,12.1,11.16,10.12,11.42,13.66,12.1,6.77,7.42,11.14,12.76,11.16,11.27,13.5,9.81,4.24,4.83,7.17,6.86,6.07,7.07,10.3,10.57,8.95,8.65,11.22,8.54,8.24,7.8,10.02,8.12,6.12,,9.07,,14.57,14.57,14.57,,8.59,14.57,14.57,14.57,8.48,,,,,,14.57,,,9.07,9.64,9.57,3.35,3.68,5.02,6.27,5.22,14.57,14.57,8.65,,14.57,,,,14.57,,4.32,14.57,,,,,,,,
145345078531501,Mallepalle,14.89583333,78.8875,,,,,,,,,9.4,,9.6,3.32,4.29,6.11,7.2,6.8,6.62,,8.37,4.56,6.47,9.52,10.05,11.08,12.03,,,10.75,,11.7,11.7,3.18,4.13,7.83,10.13,8.9,11.67,11.7,11.7,7.65,7.05,11.7,11.7,11.7,11.7,11.7,12.6,5.32,4.44,7.02,9.91,8.62,6.86,10.21,5.86,3.1,4.71,5.93,5.88,4.62,4.3,4.85,7.3,3.6,4.14,7.45,5.55,3.59,3.7,6.6,6.6,6.81,4,6.64,,4.31,5.68,8.32,,6.8,,8.42,11.7,11.7,,,,,,,8.92,,10.1,9.1,9.37,8.08,8.3,8.2,8.7,8.9,9.2,9.6,10.3,9.7,9.12,,,4.62,6.05,,4.45,4.85,4.3,4.34,,3.9,4.4,5.35,6.4,
140600078333001,Nulivedu,14.1,78.55833333,,,,,,,,,4.7,7.78,8,2.02,3.05,5.72,7.72,3.6,3.91,10.44,10.8,3.05,5.37,9.9,11.96,11.88,,,4.82,5.6,10.1,12.43,10.64,1.26,4,8.85,12.43,11.12,12.43,12.43,12.43,8.02,8.9,12.43,7.3,6.65,8.2,12.43,12.43,3.34,2.63,7.42,9.93,9.02,10.12,12.43,7.42,1.97,1.99,6.78,7.78,7.15,5.63,8.61,7.97,7.4,8.12,,9.92,2.8,3.05,9.5,6.8,7.06,7.6,12.43,,7.2,7.49,12.43,,5.7,4.49,12.43,12.43,12.43,,,,,,12.43,6.96,,12.43,12.43,12.43,1.4,3.94,12.43,12.43,12.43,12.43,12.43,12.43,4.35,5.55,,,1.4,1.64,,2.59,1.92,2,,,,,,,
135400078580001,Pincha,13.9,78.96666667,,,,,,,,,6.92,8.88,8.53,,4.27,,8.8,,,15.03,12.93,6.11,10.85,,14.72,,15.04,8.84,,6.73,11.61,11.23,11.78,9.05,7.15,10.44,12.04,9.28,11.31,13.7,9.56,5.58,10.78,11.38,11.9,10.03,10.67,13.42,11.56,2.76,3.91,9.97,9.35,11.27,12.45,9.43,8.13,1.36,1.62,10.35,8.05,9.41,7.48,11.79,11.65,7.83,11.28,,11.13,1.73,5.07,11.33,10.73,3.67,4.53,11.51,,8.31,10.59,11.8,,6.83,10.77,9.23,8.83,10.42,,,,,,8.46,8.94,9.63,10.68,11.54,9.45,5.18,8.24,7.73,9.52,10.53,11.46,10.13,8.93,3.33,5.13,,,3.45,13.31,,5.33,5.81,4.65,8.87,8.03,7.38,6.34,10.5,11.21,
140700078570001,Sanipai,14.11666667,78.95,,,,,,,,,7.5,9.5,9.25,,3.29,7.84,7.75,6.36,6.08,16.1,4.81,4.05,5.89,9.12,10.4,9.88,9.37,13.97,12.1,6.3,7.68,12.3,6.27,2.53,5.35,11.45,11.53,8.97,11.53,11.53,7.15,3.61,7.13,8.43,8.86,6.75,8.95,11.53,9.3,0.97,4.36,8.07,8.34,8.42,8.65,11.53,6.37,1.04,1.36,7.41,7.46,6.98,4.53,8.11,7.48,6.19,3.71,,2.83,1.7,4.3,6.35,6.85,6.1,6.55,11.53,,3.36,3.09,3.05,,2.79,5.67,4.94,4.59,11.53,,,,,,2.75,2.55,3.95,3.05,3.78,2.25,1.7,2.85,2.78,3.15,3.55,3.37,2.55,1.55,2.85,3.45,,,1.85,2.15,,2.71,2.66,2.8,3.3,2.33,1.21,3,3.95,2.75,
145635078184501,Talamanchipatnm,14.94305556,78.3125,,,,,,,,,1.53,,0.6,0.84,1.16,,4.81,2.16,2.11,5.03,3.81,1.5,2.4,2.96,2.9,1.85,2.8,5.31,1,3.3,1.1,3.84,5.39,1.46,1.41,4.34,4.01,2.25,3.22,6.16,6.16,3.92,2.25,6.16,2.71,1.61,4.02,6.16,3.73,0.72,0.95,4.31,5.71,3.29,3.14,6.16,1.74,0.51,1.03,3.21,3.38,2.37,1.84,5.75,3.1,1.4,1.37,4.28,1.59,0.74,0.99,3.95,1.9,0.89,1.1,5.1,,6.16,5.12,6.16,,0.3,1.44,5.45,6.16,2.69,,,,,,6.05,6.16,2.49,2.3,5.95,6.16,0.96,1.35,4.15,5.7,3.28,4.73,6.16,6.16,1.2,1.11,,,1.14,1,,1,0.88,0.66,2.2,3.95,1.28,1.87,2.82,2.72,
135644078420301,Chinnamandyam,13.94555556,78.70083333,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,1.65,4.95,5.15,6.7,6.95,3.06,3.23,,5.62,11.8,6.11,11.63,6.31,4.08,5.03,6.25,5.85,5.5,6.39,8.61,7.23,2.76,2.24,3.57,4.92,4.27,4.63,6.15,6.77,3.03,3.14,4.9,4.19,4.68,3.83,6.1,4.17,3.55,3.92,6.2,3.42,3.45,2.5,12.95,,3.24,3.65,7.82,,11.45,9.67,6.9,,3.26,3.98,,23.95,9.53,,,,,,,7.26,9.35,9.32,15.58,10.53,2.9,4.7,5.21,8.31,7.06,8.8,14.81,18.1,10.2,11.55,,,3.99,2.36,,4.48,2.06,2.92,4.13,2.65,4.88,2.78,,,
145124078231501,Jammalamadugu2,14.85666667,78.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56,13.06,12.89,11.94,12.24,11.52,10.76,10.53,11.1,11.49,9.6,8.74,8.58,8.82,8.9,9.39,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,
141318079161501,Thimmaiahgaripalli,14.22166667,79.27083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.25,88.25,80.25,36.15,19.26,21.96,21.38,17.07,24.2,36.91,33.51,12.84,16.86,21.97,21.37,13.95,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,18.71,20.79,
135815079170501,Yerraguntlakota,13.97083333,79.28472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.62,42.2,36.22,29.6,23.84,20.52,20.54,14.18,14.92,21.26,20.43,11.32,11.38,13.71,14.76,10.27,11.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,8.63,15.26,
