station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
153500079520001,Chimakurti,15.58333333,79.86666667,,,,,,,,,0.74,2.92,2.88,0.7,0.84,4.59,3.67,1.16,1.16,5.22,4.07,1.02,1.3,,4.25,2.25,8.58,7.34,2.67,1.39,1.39,8.78,9.16,3.27,3.59,7.47,3.68,9.6,9.6,9.6,9.6,4.48,9.6,6.45,,,9.6,10.7,10.7,7.42,9.3,9.84,10.7,9.89,9.67,10.7,7,7.6,9.14,11.3,6.17,0.85,2.66,5.22,8.71,6.98,5.85,2.47,5.58,6.14,6.94,8.02,9.68,5.95,4.9,5.54,,,3.2,4.53,,2.43,2.74,,2.52,4.91,,3.3,,6.2,,3.23,1.17,4.98,10.7,5.81,5.1,4.38,7.69,3.55,5.76,6.02,6.28,7.52,4.42,5.58,2.45,,,1.76,1.74,,3.29,2.4,3.32,3.2,3.23,2.7,,,,
155010080214001,Chirala,15.83611111,80.36111111,,,,,,,,,2.1,2.97,2.64,1.36,2.07,2.66,3.08,1.84,2.14,2.79,2.41,0.98,2.57,3.6,4.35,3,3.22,2.77,1.45,1.55,2.81,2.78,2.85,2.56,2.53,3.22,3.5,2.72,2.71,3.55,3.4,2.85,2.74,3.15,3.28,3.31,3.22,3.91,4,2.62,2.82,3.16,3.4,1.53,1.78,2.39,2,1.77,1.96,2.32,2.21,2.04,1.84,2.48,2.77,2.7,2.72,3.05,2.02,0.62,1.14,2,2.25,1.83,2.16,2.67,,1.8,2.02,2.6,,1.35,1.65,2.45,2.65,2.25,2.4,2.97,3.1,2.72,,3.84,3.4,1.54,3.01,3.6,3.55,4.17,3.42,3.88,4.12,4.1,4.95,4.95,4.95,4.12,3.98,,,3.66,3.53,,4.06,3.78,3.24,3.45,0.41,0.54,,4.53,4.66,
151200079173001,C.s.puram,15.2,79.29166667,,,,,,,,,7.63,,6.36,2.84,3.8,6.84,10.23,2.55,3.53,6.48,6.74,,4.82,,14.25,7.21,7.68,,4.82,7.29,8.17,12.7,9.82,3.26,4.12,7.55,8.74,4.02,4.43,9.32,9.52,5.29,3.65,7.83,9.32,4.59,5.82,10.98,11.5,0.91,2.25,3.67,6.34,4.27,4.5,11.14,4.49,3.35,5.39,6.03,4.72,3.78,2.31,11.5,5.11,5.27,11.5,,,,1.86,5.71,,,,10.72,,10.72,10.72,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.81,,
154806079404202,Darsi-new,15.80166667,79.67833333,,,,,,,,,2.35,2.82,3.45,2.78,2.88,3.52,4.27,2.8,3.42,3.57,3.95,1.13,3.81,4.5,5.4,3.25,4.39,3.94,2.2,2.86,3.2,3.76,4.45,3.28,3.18,3.8,4.8,4.5,4.63,5.6,5.02,4.52,3.62,5.31,4.97,4,3.9,3.95,3.77,2.46,2.8,3.03,4.1,3.1,3.02,3.28,2.33,2.61,2.82,3.86,4.28,4.55,2.96,3.84,4.67,4.47,3.9,3.1,3.08,2.4,2.93,3.78,3.9,4.17,4.02,4.16,,2.65,3.33,4.65,,2.82,3.19,3.97,4.54,2.67,3.63,4.04,4.9,4.82,,5.94,6.1,5.3,5.3,5.75,5.5,5.64,5.33,5.53,5.83,5.42,5.34,5.27,5.4,5.19,3.87,,,3.9,3.39,,3.1,4.3,3.37,3.77,4.3,3.37,3.9,6.32,4.03,
155000079280001,Donakonda,15.83333333,79.46666667,,,,,,,,,6.57,10.56,9.71,3.61,5.77,8.66,6.94,5.56,6.61,10.22,9.6,1.17,6.05,5,9.41,5.6,8.42,8.77,1.6,1.78,2.68,4.85,7.97,2.53,3.38,5.95,9.61,7.21,7.75,9.97,10.4,8.91,3.28,9.12,9.25,6.25,7.35,7.97,8.75,1.13,1.8,3.96,5.35,3.45,3.82,6.21,3.92,3.04,3.83,4.56,6.01,6.21,3.08,6.72,7.86,5.2,4.85,6.2,6.8,1.82,1.56,4.45,6.05,6.35,6.3,8.53,,4.4,3.96,9.02,,0.47,1.29,3.95,6,9.55,4.4,6.25,7.75,8.57,,,12.15,10.17,12.15,12.15,12.15,8.27,8.05,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,,,4.97,2.31,,4.34,4.1,3.66,6.69,7.11,3.37,3.15,5.67,7.02,
160045079334501,Guttalaumadivrm,16.0125,79.5625,,,,,,,,,5.43,6.31,6,3.36,4.44,,6.71,4.71,4.02,6.48,6.53,,5.62,,7.2,5.9,6.93,6.96,3.15,4.81,5.45,6.6,7.02,4.7,5.42,6.85,7.47,5.2,5.6,7.66,6.94,5.84,4.97,6.91,7.4,5.3,5.55,8.3,7.41,4.41,6.27,6.72,7,5.65,5.68,6.73,5.85,4.79,5.16,6.06,6,5.24,4.34,5.89,5.48,4.52,4.87,5.02,3.08,2.65,3.09,5.25,5.84,5.43,5.56,6.65,,3.9,4.82,7.27,,3.43,4.4,5.97,7.2,4.22,4.39,5.37,5,4.43,,8.3,8.3,4.37,5.53,7.15,6.95,4.69,5.32,8.3,6.36,6.53,5.88,8.3,8.3,5.34,5.9,,,3.95,3.75,,4.26,1.26,2.81,5.66,5.25,,3.35,6.16,6.36,
154400080150001,Kadavakuduru,15.73333333,80.25,,,,,,,,,3.15,3.91,4.05,2.73,3.03,3.69,4.17,2.67,3.63,3.49,3.47,1.59,3.66,,4,3.58,3.95,3.59,2.37,2.74,3.04,3.92,4.22,3.48,3.61,4.19,4.41,3.49,3.77,4.62,4.42,3.98,3.96,4.21,4.64,4.49,4.92,4.98,4.73,2.72,3.09,3.47,3.79,1.57,2.25,3.44,3.14,2.87,3.19,3.1,3.38,3.51,3.07,4.44,4.79,4.51,4.07,4.29,2.28,2.52,2.81,3.46,4.52,4.18,4.13,4.75,,2.69,3.29,3.96,,3.14,3.43,4.45,4.77,4.02,4.21,4.92,4.47,4.47,,5.02,5.15,4.8,5.2,7.27,7.27,4.9,7.27,7.27,7.27,7.27,7.27,7.27,7.27,4.68,4.62,,,4.72,4.25,,4.43,4.42,4.1,4.5,4.1,3.52,,5.25,5.28,
151900079411501,K.agraharam1,15.31666667,79.6875,,,,,,,,,2.32,4.82,4.92,1.36,1.84,4.22,5.35,2.67,3.31,4.44,5.23,,2.77,5.3,7.25,6.4,6.73,7.81,5.25,3.1,2.18,5.55,7.65,3.18,3.86,6.2,8,3.7,2.47,7.62,7.86,7.47,6.13,7.92,7.99,7.06,7.54,8.9,8,3.8,5.3,7.7,8.7,8.2,9,9,8.04,4.2,5.71,7.01,7.3,8.76,7.5,8.71,8.66,8.03,6.2,7.9,6.41,4.5,0.86,4.98,6.17,5.79,5.5,8.85,,7.6,7.77,9,,8.4,9,9,9,9,9,9,8.7,8.16,,,9,,,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,
151330079551201,Kandukur,15.225,79.92,,,,,,,,,3.83,5.9,5.94,1.09,1.61,3.74,5.49,0.66,1.12,4.26,5.43,0.05,3.27,5.8,8.2,5.25,5.49,5.91,1.98,2.02,2.64,4.9,6.41,1.79,1.33,4.53,5.91,1.01,2.08,5.73,5.91,9.4,4.61,6.85,8.49,4.88,5.87,9.32,11.33,3.23,3.03,4.88,6.4,2.76,2.86,5.34,3.93,1.04,1.98,3.54,3.98,2.89,1.69,4,5.5,3.58,3.03,3.79,3.08,0.01,1.31,3.61,4.91,3.49,2.11,4.42,,1.33,2.13,3.77,,0.65,1.55,3.06,3.73,3.13,2.43,3.87,4.13,2.03,,,3.03,2.68,1.6,2.93,2.78,1.83,1.93,3.4,3.94,3.59,3.43,5.02,5.83,1.3,1.53,,,2.54,1.3,,2.48,2.63,0.95,0.91,2.53,1.94,2.06,,,
152400079303001,Kanigiri,15.4,79.50833333,,,,,,,,,6.14,6.62,6.16,3.26,3.84,5.12,7.47,2.5,2.5,5.71,5.9,2.51,5.38,6.5,9.08,7.7,7.79,6.76,3.2,3.39,3.5,4.9,6.24,4.18,4.06,5.25,6.5,4.02,4.26,6.75,6.35,7.79,6.75,8.4,8.4,8.7,8.4,9.65,8.3,2.31,3.59,4.22,5.05,4.32,4.9,5.22,3.7,3.15,3.64,4.71,4.49,4.31,3.42,5.08,5.51,3.62,3.5,4.6,3.8,3.07,2.54,4.77,5.9,4.82,5.36,7.8,,6.35,7.16,7.98,,5.15,5.08,7.73,8.15,7.4,11.3,8.9,7.1,7.97,,9.44,10.05,,7.25,11.3,11.3,10.12,11.3,11.3,11.3,11.3,11.3,11.3,11.3,9.75,11.3,,,8.8,9.32,,,,,,,,,12.15,,
