station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
182430083543003,Amudalavalasa1,18.40833333,83.90833333,,,,,,,,,3.92,5.35,1.98,2.36,3.71,9.2,,7.55,8.53,5.24,8.2,1.43,,10.5,7.94,5.35,5.82,,6.23,2.83,7.47,8.75,8.35,6.53,7.38,8.7,5.7,7.6,8.8,9,6.85,4.31,4.3,7.6,7.18,4.75,3,9.84,8.45,1.25,3.2,6.56,2,2.78,4.21,6.05,4.2,2.44,4.48,6.04,1.81,3.38,4.51,7.1,6.63,6.02,6.46,7.35,4.34,1.69,2.87,4.97,3.23,3.12,4.69,6.9,,1.53,3.47,5.9,,1.88,3.76,5.34,3.8,2.6,3.7,,,,,,,,,,,,,,,,3.05,,3.96,,,,,,4.59,,2.65,2.47,2.4,4.16,,,3.5,5.83,,
185000084310001,Haripuram,18.83333333,84.51666667,,,,,,,,,2.5,14.18,1.66,1.74,4.13,11.44,6.03,2.69,4.44,14.66,1.13,1.95,3.89,9.35,2.75,2.47,3.32,6.06,0.55,0.69,2.42,5.24,1.43,1.23,2.17,5.79,1.75,1.6,3.2,10,1.05,1.32,2.2,5.45,1.72,1.75,3.34,9.66,3.7,1.43,4.24,6.09,0.84,1.39,5.84,9.12,0.99,1.29,2.79,3.49,1.05,2.4,3.54,12.54,1.36,1.39,1.89,3.14,0.76,0.94,1.68,3.25,2.08,1.69,3.44,12.74,,0.56,1.99,7.5,,0.89,2.1,2.18,0.9,1.26,2.09,7.39,0.94,1.52,,4.12,1.59,1.58,2.68,5.99,0.44,1.23,2.19,3.02,0.44,1.34,2.44,1.89,1.09,0.66,2.99,,,1,2.79,,2.29,0.48,1.54,4.67,1.31,1.59,4.65,6.71,2.52,
184000083580001,Heeramandalam,18.66666667,83.96666667,,,,,,,,,3.2,9.35,2.75,2.42,5.38,7.1,4.18,2.18,4.17,,1.69,2.25,5.23,6.52,3.29,3.08,3.82,4.38,2.14,2.84,3.76,7.05,2.51,2.27,2.72,5.3,4.3,3.35,6.3,9.65,2.15,1.74,3.3,6,1.57,1.9,4.09,7.13,2.55,1.9,4.65,5.78,1.5,2.85,5.27,7.99,1.4,1.91,4.29,2.68,1.23,2.47,4.63,7.12,2.84,2.55,4.35,5.35,0.86,1.22,1.77,3.93,0.83,1.89,3.63,4.3,,0.46,2.73,5.2,,0.85,2.54,2.23,0.67,1.5,2.25,5.85,1.42,2,,4.2,0.55,2.19,3.09,5.92,0.91,1.59,3.3,3.45,0.7,1.22,1.87,4,1.61,0.71,2.53,,,1.22,2.7,,1.57,0.9,1.55,4.11,0.94,1.25,3.5,4.32,0.5,
190645084402801,Ichapuram,19.1125,84.67444444,,,,,,,,,1.73,5.35,3.7,4.73,5.24,8.72,5.37,5.15,5.79,7.34,7.07,3.08,4.49,8.1,6.98,2.29,3.48,3.9,2.14,1.16,2.86,4.32,2,1.63,1.95,3.87,3.75,2.55,3.8,6.7,4,0.99,1.9,4.55,4.6,2.4,4.02,6.95,5.3,0.8,2.25,4.74,1.17,1.53,2.98,5.44,1.57,0.91,2.41,4.46,1.58,2.58,3.72,7.68,4.14,3.79,3.5,5.19,1.62,0.62,1.5,3.36,2.91,2.89,4.45,7.32,,1.45,2.66,5.99,,0.59,1.64,3.55,1.19,1.3,2.02,5.16,2.8,2.34,,4.35,3.52,2.16,2.98,5.96,1.25,1.4,1.77,4.79,0.92,1.12,1.85,2.83,1.9,0.61,1.57,,,1.34,2.76,,2.77,0.62,1.15,4.37,3.9,1.32,3.05,3.98,5.39,
182930084080001,Jarjangi,18.49166667,84.13333333,,,,,,,,,2.03,3.22,1.16,1.29,1.87,3.44,1.32,1.42,1.84,3.96,1.24,2.15,3.3,5.45,2.18,2.48,2.85,4.33,1.14,1.15,2.28,3.84,1.21,1.23,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.89,,
184500083540001,Kotturu,18.75,83.9,,,,,,,,,4.01,5.3,3.54,3.54,4.04,5.22,2.79,3.57,4.41,5.84,2.56,1.88,5.04,5.96,3.3,3.71,5.81,4.76,1.41,1.03,3.01,4.97,0.77,1.12,3.08,4.47,1.05,1.35,4.15,5.1,0.6,1.22,2.15,4.55,3.06,3.45,5.82,11.34,11.45,2.4,6.8,11.25,1.52,3.62,6.86,10.03,2.42,1.22,6.07,6.88,1.05,3.9,5.78,,5.8,5.59,6.86,3.06,2.18,2.72,4.52,7.68,3.3,4.79,7.28,11.12,,2.24,2.22,8.09,,1.05,4.79,5.64,1.44,2.25,4.42,8.95,3.79,4.3,,10.82,4.12,4.3,12.02,5.68,2.34,,,,,,,,4.05,,,,,,5.1,,,,,,,,5.4,6.12,0.72,
184615084110001,Meliaputti,18.77083333,84.18333333,,,,,,,,,1.27,3.52,2.69,1.86,2.97,8.25,1.68,1.91,2.75,8.47,1.5,2.08,3,7.05,3.82,2.45,2.89,6.53,1.97,1.81,4.27,4.15,1.14,0.93,1.6,3.25,1.75,1.15,2.05,3.95,1.15,0.79,1.5,3.6,1.54,1.1,2.15,4.21,0.9,0.96,3.25,4.19,0.08,1,3.33,4.19,0.9,1.03,3.23,4.45,0.66,1.3,2.75,6.83,1.67,1.52,2.55,4.25,1.43,0.73,1.2,3.3,0.85,1.4,2.84,4.45,,0.9,1.83,4.11,,0.75,,2.53,0.91,1.05,2.05,5.32,1.75,1.83,,4.81,1.45,1.77,2.05,4.65,0.94,1.35,2.35,4.08,1.07,0.95,2.17,3.61,2.2,0.83,2.29,,,1.35,2.7,,1.94,1.08,1.6,2.87,1.85,1.1,3.35,3.74,1.42,
183540083454001,Palakonda,18.59444444,83.76111111,,,,,,,,,3.87,8.68,2.99,2.91,4.89,7.15,3.31,3.73,5.17,8.87,2.5,2.99,5.71,9.25,4.25,3.86,6.28,7.72,2.18,3.46,7.13,8.15,5.58,2.21,4.57,8.5,2.3,2.6,5.05,9.25,3.05,1.22,3.5,5.9,2.03,1.85,5.15,8.98,7.1,1,5.2,8.03,0.95,2.01,6.31,9.8,2.15,1.6,,4.97,0.64,3.03,5.99,8.5,2.15,1.84,5.17,8.15,1.42,0.85,3.31,7.98,1.72,3.38,7.6,9.8,,0.75,5.83,9.8,,1.15,5.6,,1.48,3.4,4.7,9.8,2,2.3,,9.8,3.45,2.37,4.1,9.8,5.65,2.55,2.8,9.8,2.45,2.4,7.3,9.8,4.95,0.67,5.69,,,1.95,6.39,,3.5,1.36,5.03,8.05,1.31,1.75,7,,2.6,
181750083540401,Patasrikakulam,18.29722222,83.90111111,,,,,,,,,4.6,4.8,2.3,3.89,5.69,2.82,2.41,3.89,5.5,5.87,4.67,3.55,5.28,4.86,4.4,5.03,5.75,5.5,,4.4,3.28,5.62,3.81,4.04,5.21,5.72,4.8,4.5,5.9,6.7,3.9,1.56,5.5,5.85,4.1,4.55,5.08,6.07,5.2,2.8,5.25,6.16,3.12,1.64,5.23,6.03,4.6,4.38,5.88,6.64,3.58,4.78,6.07,,3.95,4.63,5.92,5.95,2.66,3.56,5.53,4.73,4.02,5.04,5.27,5.45,,1.6,,5.95,,3.93,6.45,7.08,4.42,5.38,6.1,6.89,5.28,4.91,,6.5,5.5,5.3,6.38,6.95,5.89,5.52,7,7.05,4.45,2.05,6.57,7.1,6,3.92,4.57,,,5.45,6.84,,5.64,4.99,5.48,7.19,5.63,5.4,6.92,8.37,5.05,
183540084205501,Tekkalipatnam,18.59444444,84.34861111,,,,,,,,,2,3.79,1.39,1.08,2.86,7.25,3.04,3,4.28,,3.6,2.01,4.2,7.22,3.6,3.56,4.79,6.4,3.66,1.62,4.3,6.9,2.17,1.24,2.63,5.65,5.15,1.9,4.1,6.1,3.4,1.36,2.5,5.55,3.88,2.2,3.3,6.01,4.7,1.35,4.53,5.57,0.69,1.3,4.39,5.36,0.57,1.08,3.83,5.47,0.88,1.85,4,6.57,3.03,1.57,3.13,4.18,0.74,0.93,1.9,4.52,1.93,2.63,4.11,6.25,,0.24,2.68,4.05,,0.9,2.39,3.89,2.53,1.53,2.35,5.67,1.7,1.89,,4.82,2.7,2.17,3.38,5.7,0.87,1.54,2.62,4.83,1.11,1.3,1.85,4.12,2.46,0.9,2.5,,,2,3.47,,1.81,1.69,1.85,5.25,1.65,1.75,4,6.03,3.02,
