station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
175300083260001,Bhimunipatnam-1,17.88333333,83.43333333,,,,,,,,,1.5,2.33,1.29,1.13,1.74,2.55,2.76,1.55,1.91,2.49,1.6,2.07,2.8,7.6,8.7,3.54,4,5.35,1.85,1.9,2.45,9.55,2.5,4.85,1.85,2.55,8.05,2.55,3.9,11.43,2.95,1.16,1.77,2.35,,5.27,2.39,10.7,10.6,1.2,1.5,2.3,0.87,1.2,1.85,2.9,1.85,6.28,8.27,2.57,2.16,7.75,9.2,11.05,8.75,8.9,2.33,7.61,1.27,0.45,0.74,1.65,4.75,6.59,2.23,2.67,,0.58,2.78,2.27,,0.58,4.65,2.55,1.5,3.29,6.15,2.65,5.38,1.1,,2.21,1.85,1.53,2.13,3.05,2.4,7.95,9.25,9.55,5.05,7.75,8.4,9.47,2.71,2.57,2,,8.15,2.14,5.85,,8.44,5.85,5.65,2.55,2.56,0.65,2.9,9.5,3.5,
175430082071501,Dharakonda,17.90833333,82.12083333,,,,,,,,,5.92,7.62,1.9,2.67,4.27,5.66,5.37,5.7,0.93,8.84,,4.97,,6.85,6.7,5.1,7.15,8.02,1.79,4.96,6.41,7.8,13.26,5.29,5.86,7.76,3.67,,7.6,8.72,1.32,2.8,,8.71,,2.54,6.15,8.66,,3.3,,,,4.6,,7.71,1.91,,4.64,7.79,2.58,3.87,,7.84,,,,9.18,2.2,3.34,5.14,3.78,,4.93,6.06,7.84,,2.46,5.36,7.41,,3.96,6.06,,2.44,,6.69,8.06,5.32,5.75,,,1.41,5.23,7.47,8.31,1.16,4.56,7.51,8.36,0.91,4.09,7.38,8.51,2.18,,5.81,,,2.29,4.66,,,,,,2.71,,,,,
172255082461501,Gurrajupeta,17.38194444,82.77083333,,,,,,,,,1.62,4.88,2.75,2.36,2.56,5.7,6.66,4.74,5.02,2.92,5.53,2.29,3.15,8.02,6.16,4.37,5.8,,4.16,1.89,3.5,5.78,7.4,4.38,4.33,7.7,10.32,8.15,11,11.06,6.32,4.12,4.33,6.4,,5.86,7.01,10.5,11.1,1.9,4.23,5.5,3.38,1.38,3.65,5.8,3.2,0.91,2.67,4.13,3.72,3.53,5.1,8.21,10.6,6.86,8.25,9.48,5.56,0.24,0.87,3.4,,3.37,4.67,7.92,,0.95,2.8,5.27,,0.94,2.35,,1.68,1.79,3.25,2.55,1.66,0.82,,2.23,1.15,1.56,2.25,4.58,2.3,2.5,3.7,5.15,3.4,3.8,4.17,6.31,5.24,1.13,2.93,,3.37,1.15,1.42,,1.59,0.71,1.65,3.64,0.82,1.2,3.65,4.4,,
175200082253001,Lotugadda junction,17.86666667,82.425,,,,,,,,,0.64,1.26,0.53,0.47,1.02,4.01,2.47,1.13,1.32,,0.41,1.29,1.36,2.25,1.68,1.2,1.7,1.9,0.49,0.65,0.86,2.79,0.86,1.41,0.86,1.95,1.83,4.87,2.8,2.76,0.36,0.33,0.61,1.11,0.89,0.95,1.2,3.2,1.45,0.5,0.82,1.11,0.51,0.53,0.91,1.36,0.36,0.75,0.79,1.24,0.92,0.87,1.08,1.95,1.37,0.87,1.18,1.23,0.42,0.43,0.45,1.06,1.03,0.98,0.88,1.23,,0.41,0.61,1.11,,0.51,0.71,,0.58,0.59,0.66,0.96,0.57,0.61,,0.91,0.51,0.56,0.55,0.91,0.81,0.55,0.46,0.96,0.54,0.68,0.53,1.21,0.54,0.31,0.75,,0.79,0.37,1.14,,0.58,0.57,0.76,2.22,0.6,0.57,1.5,1.89,0.85,
173030082400002,Purshotta puram,17.50833333,82.66666667,,,,,,,,,3.16,7.29,2.32,2.42,3.16,9.9,10.37,5.92,6.7,5.38,4.29,2.65,4.85,7.12,5.12,4.27,6.97,8.68,3.63,4.01,6.5,8.55,8.8,5.9,6.7,9.04,8.88,8.2,8.5,10.65,7.1,3.82,5.46,8.2,,6.35,7.55,8.54,7.9,2.9,6.06,7.2,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,4.1,,
172730082510001,Rayavaram,17.45833333,82.85,,,,,,,,,2.32,3.24,0.18,0.86,2.93,3.96,4.52,2.58,2.64,3.98,1.28,1.81,2.15,3.72,2.77,2.16,3.15,3.48,3.36,1.36,2.02,3.4,3.46,2.96,2.16,3.41,4.01,3.41,4.1,4.98,3.51,1.54,1.9,2.96,1.52,1.9,2.54,3.36,3.45,1.2,2.02,2.51,1.37,1.16,1.81,2.61,0.86,1.09,1.7,2.18,1.49,1.43,1.95,2.78,2.49,1.53,2.12,2.5,1.14,0.52,1.1,2.01,1,1.43,2.01,2.16,,0.56,1.16,2.42,,1.16,2.33,,1.69,1.15,1.69,1.82,1.08,1.08,,2.08,1.26,1.48,1.84,2.66,0.71,1.16,1.66,2.26,1.51,1.66,1.84,2.83,2.48,0.96,1.56,,0.82,0.88,1.22,,1.66,0.98,1.66,1.91,1.14,1.01,2.4,3.05,2.15,
174511083203301,Visalakshinagar 2011U,17.75305556,83.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,0.93,1.62,4.36,,0.8,1.65,3.3,1.7,1.09,1.49,3.2,0.97,1.28,,1.75,1.85,1.53,2.42,5.25,,2.65,4.85,5.2,2.8,3.45,4.63,5.2,5.54,1.25,2.41,,3.2,1.34,2.07,,4.9,1.5,1.7,3.33,3.74,1.43,2.65,0,4.6,
175300083260002,Bhimunipatnam-2,17.88333333,83.43333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,5.34,8.31,,2.02,1.95,8.54,4.75,1.45,2.35,9,1.69,1.55,2.56,8.07,8.1,6.2,8,10.15,8.2,2.55,3.15,3.55,2.3,2.67,2.95,4.08,8.35,1.6,7.01,,3.06,1.29,2.1,,3.09,1.99,2.01,9.15,9.11,2.9,6,4.1,7.9,
181620082582001,Sunkarametta-DW13,18.27222222,82.97222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,7.5,2.1,2.16,9.74,6.68,8.06,11.55,10.57,9.92,11.13,12.23,11.1,8.03,9.6,12,10.9,9.75,10.85,12.3,10.75,10.8,10.77,12.05,10.3,,9.31,,8.45,7.03,9.25,,11.24,8.42,9.22,10.3,8.75,6.29,9.8,4.1,2.56,
180613082403001,Bhimsingi-DW14,18.10361111,82.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.6,1.12,1.37,1.47,1.79,1.24,1.36,1.42,1.57,1.22,1.37,1.42,2.07,0.9,1.22,1.52,,,,,,,,,,,,,,,,,,,,,,,
181015082381301,Gamparai-DW14,18.17083333,82.63694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,0.08,1.03,2.75,3.15,1.69,2.43,2.84,3.23,,2.39,2.7,3.58,0.12,1.45,2.65,2.85,0.15,1.99,,2.92,0.15,0.17,2.47,,0.24,2.4,4.38,,2.25,2.6,2.97,4.13,0.17,2.35,3.71,4.46,0.68,
175106083152501,Gandigudem DW14,17.85166667,83.25694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.05,2.72,1.32,2.1,4.48,0.98,1.02,2.23,3.03,3.23,2.23,3.08,4.78,2.57,2.93,3.73,4.83,3.61,3.03,3.58,5.48,4.57,1.5,,,2,,4.05,,,,,,,,,,,
CGWHYD0511,Akkireddipalem 2010Pz_1,17.8208,83.3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49,11.36,10.74,
