station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
264325091590001,Bengbari,26.72361111,91.98333333,,,,,,,,,3.08,,3.84,,3.9,,3.72,,,,,,,,,,3.46,,,,,,3.1,3.23,3.4,,,3.61,3.64,,,,,,,,3.61,,,,3.27,,2.98,4.2,4.8,,,4.31,3.45,,,,3.53,,,4.98,5.23,,3.35,1.9,5.78,,1.7,2.75,3.73,,,2.85,3.62,,,3,3.77,,,,3.74,,2.85,,4.1,,3.06,4.3,4.65,,4.1,3.63,4.5,,3.21,3.5,3.81,,3.08,,5.15,,3.1,3.55,,,,4.09,3.21,,3.65,3.93,4.26,,,
263303092123001,Dalgaon,26.55083333,92.20833333,,,,,,,,,4.39,,2.97,3.38,4.6,,3.08,3.83,3.9,,1.37,2.97,4.37,,2.4,2.91,4.55,,2.92,3.25,4.42,,3.04,3.46,4.16,,1.97,4.11,4.45,,1.71,2.5,3.48,,3.04,2.97,3.62,,1.38,3.54,4.17,,3.21,3.17,4.59,,2.82,3.5,4.35,,2.21,3.69,4.92,,2.07,3.57,5.14,,1.72,3.2,5.4,,2.35,3.81,4.9,,,3.64,4.42,,,3.13,4.07,,,,5.01,,,3.27,4.83,,2.44,4.6,5.14,,,3.07,4.03,,3.07,3.77,4.02,,2,3.65,,,2.97,3.29,4.72,,3.58,3.69,3.82,,2.55,3.53,4.12,,,
265041092191601,Hatitopagaon,26.84472222,92.32111111,,,,,,,,,2.68,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,2.65,3.35,,,,3.16,,,2.34,,,,,,,,,,,,,,,,,4.39,,,,4.8,,,3.24,4,,2.99,3.44,3.9,,3.14,,4.8,,2.84,3.19,4.09,,,2.99,3.86,,1.56,2.2,2.67,,,
263430091540001,Kalaigaon,26.575,91.9,,,,,,,,,3.45,,0.81,0.82,2.02,,0.8,3.63,2.43,,,1.13,2.52,,0.3,3.29,2.61,,1.92,1.88,2.41,,0.51,2.05,2.38,,1.76,2.6,2.21,,,,2.48,,1.46,1.82,1.54,,0.35,0.97,2.4,,0.24,1.93,2.08,,1.38,2.04,1.99,,,,2.23,,,2.44,3.03,,0.48,1.35,2.96,,1.09,2.23,2.79,,,2.27,1.83,,,1.39,1.93,,,,2.62,,0.22,0.22,3.48,,0.36,2.25,3.87,,1.43,1.53,1.98,,0.79,1.45,1.68,,1.19,,2.36,,0.58,1.53,2.5,,,1.73,1.7,,,1.33,0,,,
263610092142001,Madhupur,26.60277778,92.23888889,,,,,,,,,3.08,,2.41,2.61,2.95,,2.5,2.84,2.98,,1.69,3.1,3.06,,2.13,2.92,3.42,,1.2,2.62,3.29,,2.97,3.15,2.99,,2.5,3.35,3.27,,2.95,2.86,2.52,,3.26,3.07,2.81,,2.04,2.33,3.29,,3.23,2.35,2.38,,2.7,2.3,3.45,,1.35,1.87,3.48,,2,2.85,3.3,,2.25,3.25,3.64,,2.11,3.14,3.65,,,3.26,3.5,,,3.3,3.64,,,,3.7,,2.43,0.7,3.65,,,,3.9,,,2.78,3.3,,2.4,3.15,2.5,,1.67,,,,0.9,0.51,1.07,,,0.91,1.43,,0.27,0.74,0,,,
262600092020001,Mangaldoi,26.43333333,92.03333333,,,,,,,,,2.36,,0.85,0.92,1.45,,0.9,2.23,2.63,,1.84,,2.68,,0.3,,4,,0.92,1.8,2.36,,0.8,1.8,2.13,,1.87,3.75,3.19,,2.52,2.47,3,,3.2,3.35,3.71,,1.52,3.45,4.18,,3.39,3.65,4.03,,2.53,3.68,4.45,,1.78,3.7,4.97,,2.15,3.61,4.72,,2.05,3.43,4.6,,2.49,3.3,4.85,,,3.38,4.32,,,3.57,4.22,,,,4.49,,0.31,3.2,4.23,,0.46,4.03,5.55,,3.32,2.79,4.14,,3.35,4.3,4.88,,3.9,5.34,4.5,,3.05,4.1,5.36,,3.64,4.43,4.51,,,3.87,4.94,,,
262548092011501,Mangaldoi (ii),26.43,92.02083333,,,,,,,,,4.26,,2,2.91,4.14,,,3.66,4.36,,1.7,3.14,4.52,,1.19,2.79,5.17,,1.27,3.17,3.81,,2.27,3.2,3.96,,2.18,3.84,4.1,,1.6,2.8,3.15,,3.24,2.9,3.52,,1.17,3,4.01,,3,3.22,3.89,,1.74,3.23,4.07,,1.52,3.37,4.09,,1.92,3.27,4.57,,2.02,2.8,4.27,,1.58,3.17,4.87,,,2.75,3.78,,,2.93,4.21,,,,3.86,,1.38,3.02,4.95,,2.09,3.6,4.48,,2.2,2.68,3.95,,1.82,2.87,3.25,,2.01,3.85,,,1.6,2.7,4.4,,2.65,2.98,4.09,,,2.55,3.51,,,
264250092193001,Orang,26.71388889,92.325,,,,,,,,,2.99,,1.07,1.63,2.47,,1.12,2.23,3.3,,1.22,2.2,2.79,,0.89,1.47,2.87,,1.4,1.87,2.49,,1.5,2.01,2.22,,1.58,2.31,2.25,,0.79,1.41,1.47,,2.4,1.77,1.99,,0.86,1.58,2.42,,2.33,2.75,2.22,,0.95,3.01,2.6,,0.85,0.85,2.72,,0.95,3.47,3.5,,0.45,1.95,3.27,,0.84,2.07,2.99,,,1.69,2.65,,,1.75,2.66,,,,3.3,,0.35,2.19,3.07,,1.05,2.5,3.65,,1.5,,3.6,,1.55,,0.56,,0.81,,,,1.22,2.54,3.1,,,1.9,,,,,2.06,,,
264202092130001,Rowta chariali,26.70055556,92.21666667,,,,,,,,,2.54,,1.41,1.5,2.27,,1.5,2.13,2.38,,1.03,2.08,3.19,,0.67,1.72,2.62,,1.2,2.05,2.8,,1.32,2.28,2.5,,1.19,2.58,2.87,,0.8,2.09,1.77,,2.17,2.13,1.98,,1,2.01,2.12,,2.01,1.88,1.81,,1,1.8,2.88,,0.18,1.88,2.68,,0.73,2.46,3.15,,0.88,2.34,2.98,,1.25,2.8,2.98,,,2.47,2.71,,,2.18,2.98,,,,2.97,,0.83,2.8,3.05,,1.23,2.85,3.25,,1.95,1.7,2.43,,1.02,2.15,2.77,,2.6,,3.42,,1.02,2.02,4.25,,,2.25,2.13,,1.35,1.8,2.82,,,
263930091530001,Tangla,26.65833333,91.88333333,,,,,,,,,5.73,,4.19,3.73,5.38,,4.26,5.15,5.52,,,5.16,5.68,,4.5,,5.99,,1.68,5.05,4.6,,4.65,5.96,5.53,,2.09,4.76,5.59,,,,5.14,,,,5.25,,1.2,1.65,3.88,,5.11,5.15,4.73,,4.15,5.19,5.7,,,,5.76,,1.38,5.7,5.12,,4.2,5.03,5.87,,3.27,5.02,5.99,,,4.51,5.75,,,4.98,5.89,,,,,,,,3.47,,3.01,4,4.19,,1.22,2.5,3.2,,1.86,1.52,2.75,,1.8,,,,,1.65,2.8,,,2.45,2.03,,1.72,2.46,2.61,,,
264500092063001,Udalguri,26.75,92.10833333,,,,,,,,,2.67,,,,,,,,,,,,,,,,3.18,,,,,,1.48,1.71,,,,,2.52,,1.49,2.01,,,,,2.02,,1.95,2.34,3.14,,2.09,1.91,2.7,,0.92,2.03,3.26,,,,2.71,,1.06,2.42,2.39,,1.16,1.92,3.25,,1.32,2.16,3.32,,,1.69,2.53,,,,2.96,,,,3.25,,1.17,1.91,2.89,,0.64,3.6,3.34,,2.11,1.63,2.79,,2.44,2.26,2.68,,1.6,,3.44,,1.32,1.78,2.95,,,2.23,2.33,,1.5,,1.6,,,
264250092174501,Gelabil (thelamara),26.71388889,92.29583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,1.91,1.93,1.88,,1.36,2.37,2.56,,1.15,1.73,1.78,,2.13,1.91,2.35,,0.86,1.91,2.56,,2.54,2.23,2.45,,,2.28,2.92,,0.95,1.68,2.97,,1.02,2.52,3.27,,,,3.11,,1.09,2.36,3.02,,,2.14,3.09,,,,,,,,4.31,,1.36,,3.89,,1.43,,3.8,,3,1.9,2.9,,1.66,2.07,2.57,,1.6,2.51,2.58,,1.05,1.84,3.4,,0.22,2.3,3.22,,,,0,,,
264315091550001,Paneri,26.72083333,91.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,1.03,1.5,2.35,,2.15,2.2,2.6,,,,,,,,,,,3.77,3.44,,,,3.43,,,2.58,1.34,,,2.37,1.84,,,,1.3,,,,1.96,,1.14,2.05,2.67,,2.03,3.52,3.08,,3.6,2.45,2.69,,2.45,2.5,2.55,,3.25,,4.11,,2.52,2.54,2.22,,,2.52,1.76,,2.54,2.61,2.94,,,
264155092135001,Bhalukmari-i,26.69861111,92.23055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2.91,,,3.38,4.1,,,4.01,2.28,,,,4.29,,0.03,3.7,2.91,,2.2,1.48,1.99,,0.64,0.73,2.72,,2.48,,5.68,,,1.02,1.3,,,0.09,3.85,,1.9,1.96,0.92,,,
