station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
260925093480001,Balipathar,26.15694444,93.8,,,,,,,,,2.24,,2.53,3.02,3.07,,1.8,2.67,2.49,,1.65,2.13,3.8,,1.73,1.8,3.44,,1.7,2.72,3.27,,2.02,1.85,3.06,,1.75,2.5,2.33,,1.71,1.87,1.92,,1.7,1.85,1.91,,1.72,1.9,2.6,,2.96,,2.46,,1.69,3.04,3.06,,1.85,3.24,3.75,,,2.23,5,,1.24,1.54,2.3,,2.12,2.24,3.52,,,2.76,3.2,,1.28,2.22,3.16,,1.53,,2.9,,1.18,2.05,2.41,,1.8,1.97,2.98,,2.1,2.93,2.45,,0.15,3,3.43,,1.02,1.85,2.37,,,1.69,3.29,,2.94,3.39,3.9,,3.04,1.12,5,,,
255600092423102,Boithalangsu,25.93333333,92.70861111,,,,,,,,,2.84,,1.96,2.15,2.77,,2.03,2.33,2.5,,2.28,2.3,2.85,,2.21,3.29,2.88,,2.23,2.33,2.4,,2.13,2.34,2.16,,2.12,2.37,3.2,,1.89,2.95,2.74,,1.99,2.93,2.91,,2.47,,,,2.96,,2.82,,2.34,1,3.74,,0.65,3.23,3.79,,,2.96,3.59,,2.06,3.33,3.98,,1.89,2.2,3.28,,,,,,,2.77,4.76,,3.15,,2.97,,,,,,,,,,,,4.37,,,3.3,4.22,,3.23,2.76,4.13,,,2.4,2.98,,,3.99,3.55,,,3.45,3.81,,,
260130093464801,Bokajan,26.025,93.78,,,,,,,,,7.55,,7.13,7.8,8.66,,7.19,9.58,8.59,,3.56,8.3,8.88,,6.03,7.74,8.89,,5.63,8.2,8.98,,8.43,7.7,8.71,,6.7,7.93,8.58,,5.53,7.05,8.06,,6.6,7,7.97,,5.7,6.9,6.13,,,,,,5.22,8.95,4.03,,,6.67,10.33,,,7.23,11.6,,,,10.01,,4.31,9.47,6.1,,,,0.7,,4.25,,4.2,,,,8.33,,,8.5,13.04,,7.05,8.4,6.83,,6.36,7.57,3.78,,11.16,5.52,8.43,,11.13,6.69,8.97,,,6.84,10.75,,,10.99,12.48,,12.15,8.75,0,,,
261136092575701,Dengaon,26.19333333,92.96583333,,,,,,,,,1.47,,0.57,0.89,1.86,,0.81,1.52,1.25,,0.98,1.26,3.11,,0.52,1.07,2.26,,0.57,1.35,1.8,,0.93,1.43,1.56,,0.63,1.26,1.5,,0.64,1.1,2.45,,0.47,0.98,1.74,,0.46,,2.4,,0.97,3.27,1.14,,0.42,3.02,3.94,,0.36,2.73,2.56,,0.96,1.57,3.22,,0.5,1.47,2.04,,0.64,0.9,5.63,,,1.17,2.05,,,1.05,4.04,,1.52,,3.05,,0.4,1.45,3.4,,,2.55,3.4,,3.58,2.4,2.63,,1.46,2.03,2.5,,0.67,2.2,1.17,,,0.85,1.46,,,,1.81,,1.57,1.02,1.97,,,
261315093503201,Deopani,26.22083333,93.84222222,,,,,,,,,4.21,,2.97,5.12,5.29,,3.86,6.13,4.92,,1.65,3.77,5.42,,3.03,3.35,2.53,,0.75,4.53,5.14,,3.9,4.25,,,3.68,3.85,,,3.23,3.87,3.98,,,3.8,4.12,,,3.77,,,,,,,1.4,4.02,7.5,,,,,,,6.02,,,,,,,,,,,,9.92,10.57,,8.22,8.27,10.58,,6.57,,9.21,,3.95,2.31,,,2.33,2.29,8.95,,3.23,3.68,9.15,,1.96,7.16,9.43,,3.19,3.93,8.88,,,2.99,7.95,,5.28,4.04,9.67,,5.66,10.8,11.22,,,
255745093350601,Dillai,25.9625,93.585,,,,,,,,,2.68,,1.67,3.12,3.29,,1.22,3.28,4.14,,2.63,3.03,3.85,,0.77,3.13,3.17,,1.24,2.47,3.61,,0.51,1.99,2.11,,1.51,1.21,3.34,,0.46,2.14,2.39,,1.87,2.1,2.72,,1.52,2.01,4.4,,2.01,2.76,5.23,,,2.7,3.61,,1.23,3.28,4.53,,,3.98,6.36,,2,3.51,4.39,,3.86,3.91,6.55,,,2.42,3.28,,,,3.91,,,,5.04,,3.51,4.26,4.21,,1.91,4.27,3.61,,4.1,3.8,6.28,,1.73,2.53,3.76,,1.41,2.12,1.71,,,1.76,2.4,,2.6,7.08,2.74,,7.41,1.65,5.34,,,
255030093270001,Diphu,25.84166667,93.45,,,,,,,,,6.83,,8.79,6.12,8.25,,8.67,14.16,11.84,,4.68,7.8,11.91,,3,5.73,12.92,,7.81,7.17,7.21,,1.56,7.21,6.36,,2.97,2.3,5.81,,2.18,5.23,8.45,,8.26,5.2,6.13,,2.91,3.01,14.31,,2.51,6.37,9.8,,,6.1,16.01,,3.87,6.27,11.33,,,,13.95,,4.67,18.91,19.58,,18.59,7.28,16.11,,,18.96,19.05,,,,1.31,,,,10.56,,11.18,13.26,19,,2.86,16.21,12.04,,18.9,18.48,11.37,,2.21,17.22,12.8,,3,2.16,19.17,,,1.72,19.58,,19.5,1.07,19,,19,18.32,23.04,,,
260107093380101,Hidipi,26.01861111,93.63361111,,,,,,,,,3.76,,,7.01,4.45,,,,4.37,,1.38,,,,4.5,4.93,,,,,,,4.73,3.5,5.55,,6.24,4.8,6.17,,1.58,4.55,5.15,,3.28,4.5,5.44,,3.34,,6.26,,5.63,3.87,6.31,,,4.25,8.01,,2.46,4.17,6.28,,,4.87,,,2.77,3.22,6.9,,4.25,6.25,8.21,,,4.53,4.66,,,,,,,,5.91,,1.7,2.15,6.65,,2.3,2.16,3.88,,2.43,3.11,6.9,,1.4,2.36,3.95,,1.78,2.06,3.51,,,1.72,4.38,,2.3,8.44,5.59,,2.52,2.23,7.3,,,
255143092460601,Kalonga,25.86194444,92.76833333,,,,,,,,,5.06,,5.87,3.4,5.35,,5.63,4.25,4.71,,5.41,4.77,5.46,,3.76,4.26,4.96,,,4.08,4.28,,3.43,4.09,4.76,,2.59,3.95,4.72,,2.89,3.07,4.86,,3.82,3.11,3.97,,3.37,,5,,4.66,,5.48,,3.25,7.02,6.03,,6.52,4.18,6.29,,3.42,4.26,6.48,,3.24,,6.5,,2.89,3.05,5.12,,,2.33,1.77,,,3.57,,,0.46,,5.5,,,,5.25,,,3.54,5.26,,5.8,3.23,3.59,,1.93,4.56,5.46,,4.13,4.78,4.33,,,3.6,4.62,,,3.82,5.3,,2.57,5.45,4.65,,,
255838093454501,Khatkhati,25.97722222,93.7625,,,,,,,,,2.28,,3.73,3.01,2.47,,1.62,2.39,2.86,,1.6,4.3,5.01,,1.63,2.02,2.64,,1.01,2.9,4.2,,3.52,3.21,4.41,,1.47,3.41,3.49,,2.13,2.86,3.55,,1.36,2.8,3.84,,1.5,2.7,3.2,,2.25,1.35,3.24,,0.75,2.64,3.75,,1.68,2.36,4.26,,,2.65,6.1,,1.54,2.33,4.61,,4.71,3.34,3.87,,,,4.12,,3.21,3.81,4.4,,3.07,,4.27,,1.29,3.19,2.38,,1.56,4.56,5.51,,2.12,2.25,5.55,,,5.69,5.6,,6.12,2.2,2.25,,,1.94,2.71,,3.34,3.18,3.31,,3.21,3.32,4,,,
