station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
262630089580001,Gossaigaon,26.44166667,89.96666667,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,3.25,,,2.75,3.3,,2.13,,,,1.97,,,,2.22,2.95,3.68,,0.65,,3.6,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,3.14,3.41,,2.3,3.05,3.29,,,
263400090040001,Kachugaon,26.56666667,90.06666667,,,,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,,,4.22,,,,,,,,,,,,,,,,,,,4.35,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,1.93,2.32,3.41,,,
263200090280001,Sidli,26.53333333,90.46666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,3.34,,,3.11,2.09,,2.54,,,,1.82,,,,2.62,3.29,3.63,,2.14,,3.68,,,3.39,,,,,,,3.29,,,,,,5.23,,,3.42,,,,,,,,,,,,,,,,,,,,2.16,,,,,3.44,,1.84,2.68,3.39,,,
262930090093001,Dotma,26.49166667,90.15833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,3.27,,,3.45,,,2.37,,,,0.6,,,,2.41,3.08,3.7,,1.84,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,3.34,,,3.03,3.5,4.45,,,
263409090090001,Serfanguri,26.56916667,90.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,2.11,,,2,2.42,,1.04,,2.57,,,,,,1.12,1.72,2.23,,1.87,,2.3,,,3.44,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,3.22,,0.95,2.35,2.06,,2.03,2.33,2.67,,,
262530090043001,Bhowraguri,26.425,90.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,,,2.98,,,3.49,,,,1.92,,,,3.44,4.03,4.48,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
264600090280001,Deosiri,26.76666667,90.46666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15,,,8.28,5.89,,,,,,2.12,,,,1.52,2.3,3.1,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,6.96,8.29,,,
263330090230001,Garubassa,26.55833333,90.38333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,2.38,3.03,,1.23,,3.05,,1.07,,,,1.17,3.64,3.02,,0.64,,3.06,,,3.24,,,,,,,2.49,,,,,,3.67,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,2.73,3.54,3.64,,,
263800090230001,Runikhata,26.63333333,90.38333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,2.54,3.37,,1.93,,2.72,,0.67,,,,1.9,2.32,2.97,,1.69,,2.77,,,2.9,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,1.75,,1.83,2.77,3.4,,,
263400090180001,Bisumari,26.56666667,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,,,,5.05,,,,,,3.32,2.59,3.18,,,,3.02,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,1.51,3.27,4.09,,,3.39,4.67,,,
263600090404801,Borobazar,26.6,90.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.64,2.52,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
264300090340001,Haltugaon,26.71666667,90.56666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,5.1,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,3.76,,,,,,,,,,1.99,,,,,,0,,,
