station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
264921092471001,Balipara,26.8225,92.78611111,,,,,,,,,1.03,,0.97,1.2,1.69,,0.8,1.44,1.35,,0.66,1.21,1.95,,0.83,1.18,1.26,,0.59,1.18,1.64,,0.81,1.12,1.23,,0.79,0.93,1.9,,0.8,1.25,1.19,,0.45,1.23,1.27,,0.26,1.06,1.44,,1.47,1.23,1.27,,0.3,1.11,1.56,,0.3,1.18,2.29,,0.85,1.55,1.67,,0.62,1.55,1.97,,1.19,1.89,2.43,,,1.66,2,,1.05,1.6,1.95,,,,2.23,,0.82,1.59,1.85,,1.3,1.63,1.99,,1.15,1.55,1.69,,1.11,1.6,1.84,,1.81,1.49,1.72,,,1.3,0.71,,0.72,1.41,1.99,,1.05,1.6,1.91,,,
263630092230001,Barchola,26.60833333,92.38333333,,,,,,,,,1.42,,0.96,1.23,3.03,,,,,,,,2.5,,,,,,,,,,0.77,2.67,1.73,,0.67,0.96,2.57,,2.7,2.39,2.64,,,0.87,,,,1.62,2.37,,2.76,,,,1.56,1.6,2.64,,,1.18,2.66,,,,2.88,,0.68,,2.95,,1.74,2.27,3.24,,,,2.72,,1.58,,2.82,,,,1.91,,1.09,1.55,2.78,,2.03,2.45,3.29,,1.66,1.97,2.57,,,1.81,2.62,,1.38,1.4,2.06,,,1.26,1.25,,1.21,1.73,2.95,,0.63,1.24,2.42,,,
263930093103001,Biswanath,26.65833333,93.175,,,,,,,,,4.6,,2.6,2.83,7.4,,3.64,5.94,7.77,,2.61,2.46,7.98,,2.26,5.24,8.01,,3.45,5.66,7.86,,5.44,5.7,8.41,,5.24,6.57,7.94,,4.54,5.61,7.39,,3.74,5.45,8.19,,3.14,5.8,7.88,,5.86,6.69,8.04,,,,8.49,,2.64,,9.29,,4.16,6.57,8.73,,3.32,1.4,8.7,,3.48,6.19,9.21,,,5.32,5.24,,4.65,1.69,8.28,,,,8.27,,2.98,5.65,8.29,,3.79,5.32,8.27,,2.89,5.09,7.61,,2.13,,8.74,,,,,,,4.71,6.56,,,5.37,8.08,,5.48,7.6,7.7,,,
264500093111501,Biswanath chara,26.75,93.1875,,,,,,,,,1.16,,1.16,1.85,2.9,,0.4,1.28,1.13,,0.62,1.56,3.11,,1.52,1.04,1.24,,0.63,1.1,1.48,,0.7,0.99,1.57,,1.09,1.19,1.97,,0.58,1.11,1.33,,1.71,1.25,2.07,,1.22,1.29,2,,2.01,2.26,2.13,,1.23,1.98,3.07,,1.21,2.18,2.87,,1.32,1.97,2.75,,1.56,7.31,2.38,,1.49,1.93,2.86,,,1.87,5.29,,1.72,7.17,1.45,,,,,,,,,,,,7.44,,5.9,7.1,7.45,,7.28,7.4,,,3.75,7.43,,,,6.85,,,6.68,7.32,7.44,,6.5,,7.93,,,
265200092463001,Charduar,26.86666667,92.775,,,,,,,,,2.2,,1.36,1.53,2.72,,2.2,2.84,3.25,,1.71,2.62,3.24,,1.89,2.55,2.34,,2.08,2.67,3.39,,1.89,2.68,3.23,,2.28,2.98,3.52,,1.68,2.6,2.97,,1.79,2.84,3.53,,1.62,2.56,3.42,,2.64,2.78,2.05,,1.4,2.71,3.56,,1.36,2.96,3.54,,1.51,2.91,3.45,,1.6,2.68,3.4,,1.91,3.06,3.59,,,2.72,3.45,,1.87,2.7,3.52,,,,3.5,,1.82,2.74,3.3,,2.42,2.86,3.37,,,2.61,3.29,,2.03,2.83,3.3,,2.43,2.66,3.18,,,2.41,5.66,,1.53,2.78,3.43,,2.8,2.83,3.3,,,
264208092282801,Dhekiajuli,26.70222222,92.47444444,,,,,,,,,2.33,,2.08,2.18,3.67,,2,0.65,3.57,,1.75,2.57,3.76,,1.28,2.65,3.49,,1.75,2.79,3.54,,2.61,2.8,3.59,,2.5,3.33,3.62,,2.56,2.61,3.18,,2.1,2.56,3.61,,1.9,2.44,3.7,,2.82,2.04,3.47,,1.91,2.54,3.84,,1.93,2.86,4.07,,2.08,0.72,3.91,,1.79,2.75,4.05,,2.15,3.11,4.28,,,,3.72,,2.48,3.25,3.89,,,,3.87,,1.95,2.82,3.95,,,3.16,4.13,,2.3,2.68,3.84,,2.55,3,3.81,,2.55,2.7,,,,2.73,3.46,,2.45,2.98,4.03,,2.61,3.25,4.13,,,
265230093443001,Hawajan,26.875,93.74166667,,,,,,,,,2.18,,1.31,1.8,3.45,,1.27,2.32,3.04,,1.11,2.52,3.32,,1.39,2,3.13,,1.54,2.32,3.47,,1.67,2.21,2.99,,1.51,2.61,2.59,,1.76,2.29,2.06,,1.11,1.97,2.72,,0.71,1.99,2.3,,1.63,2.28,2.87,,1.06,2.17,3.58,,0.61,1.23,3.95,,0.74,2.05,3.54,,0.83,2.14,3.59,,1.04,2.23,3.69,,,1.7,3.19,,1.12,1.99,3.18,,,,3.36,,0.67,1.14,,,,,,,,,,,0.14,1.62,2.5,,1.12,,,,,,,,,,,,,,0,,,
264300092553001,Jamuguri(north),26.71666667,92.925,,,,,,,,,1.09,,1.21,1.43,2.74,,1.3,1.82,2.66,,1.09,1.34,3,,1.19,1.7,2.63,,,,,,,1.16,2.06,,,,2.01,,1.64,1.29,0.91,,,1.15,1.7,,0.23,0.98,1.63,,1.52,1.57,1.54,,0.41,1.46,2.64,,,0.42,2.49,,1.02,1.2,2.3,,0.43,1.46,2.39,,0.49,1.34,2.21,,,0.97,2.09,,0.64,1.2,2.29,,,,2.4,,0.26,1.09,2.53,,0.71,0.94,2.13,,0.56,0.76,2.19,,0.88,1.47,2.66,,1.68,,1.72,,,1.01,1.68,,,1.17,2.87,,1.14,1.41,3.16,,,
264400093023001,Sootia,26.73333333,93.04166667,,,,,,,,,3.28,,2.83,3.06,4.43,,2.52,2.84,3.91,,2.65,2.18,4.15,,2.35,2.7,6.52,,2.38,3.14,4.2,,3.27,3.64,4.1,,3.1,2.97,3.65,,3.15,3.71,3.06,,2.1,2.4,3.44,,1.9,2.6,2.89,,2.89,3.9,3.79,,1.83,2.63,3.76,,1.77,3.06,4.5,,2.91,3.16,3.89,,1.89,3.06,3.83,,2,3.05,3.76,,,2.47,3.64,,2.61,2.98,4.88,,,,3.61,,1.61,2.07,3.5,,1.55,1.98,2.82,,1.29,,,,,,,,,,,,,2.23,3.31,,,2.54,3.17,,2.01,2.77,3.13,,,
263730092480001,Tezpur,26.625,92.8,,,,,,,,,4.72,,3.71,4.44,6.88,,,5.91,5.59,,5.19,4.88,6.69,,3.46,5.09,6.72,,2.73,5.6,6.9,,4.18,5.34,6.14,,4.39,6.27,6.04,,3.59,5.54,4.81,,3.7,5.08,5.48,,2.56,4.54,5.8,,5.72,6.08,6.12,,2.49,5.48,6.86,,2.19,6.18,6.49,,2.54,5.5,6.87,,3.3,6.14,6.87,,3.21,4.99,6.79,,,4.87,6.37,,6.96,5.7,6.96,,,,6.33,,1.95,5.09,6.71,,1.19,5.25,6.83,,3.26,5.49,6.52,,3.64,6.2,6.89,,5.29,5.19,6.67,,,5.1,6.62,,1.84,5.24,6.55,,4.54,6.19,7.01,,,
265027093172401,Borgang,26.84083333,93.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.68,2.25,,1.11,1.75,2.4,,0.9,1.59,1.55,,1.35,1.45,2.11,,0.97,1.6,2.48,,1.82,2.46,2.56,,0.84,1.95,2.84,,0.89,1.9,2.87,,0.86,1.51,2.76,,0.92,1.82,2.66,,1.06,1.93,2.79,,,1.51,2.67,,1.31,,2.71,,,,2.68,,0.82,1.8,2.78,,1.18,1.38,2.51,,,,,,,,3.15,,,,,,,,,,,,3.45,,1.9,2.4,2.9,,,
264450093150001,Bihupukhuri,26.74722222,93.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,,6.14,6.9,8.64,,7.15,7.78,8.94,,6.24,6.25,8.83,,5.16,6.58,8.99,,7.23,6.87,8.84,,5.95,6.65,8.54,,6.12,6.76,8.53,,,5.68,7.83,,6.86,6.99,8.09,,,,7.1,,5.63,,8.1,,,5.51,7.54,,5.32,6.01,7.6,,5.61,6.09,7.5,,5.74,6.07,6.98,,,5.53,6.77,,6.11,6.29,7.66,,5.48,6.26,7.24,,,
265330093373002,Gohpur N,26.89166667,93.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,0.87,1.64,,,1.17,2.07,,0.56,0.96,1.44,,,0.94,2.01,,0.36,0.8,1.64,,,,1.26,,1,,1.2,,,0.43,1.17,,0.5,1.01,1.98,,0.63,1.12,1.87,,,
