station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
244030084271501,Deo1,24.675,84.45416667,,,,,,,,,3.46,5.15,2.23,3.33,3.77,5.45,3.26,3.01,3.56,4.07,3.3,1.56,3.78,5.85,0.45,3.7,3.71,5.9,0.93,1.7,3.65,6.44,0.6,1.8,3.82,6.59,5.25,3.22,3.53,5.82,2.24,5.7,3.2,,3,2.67,2.72,5.07,4.67,3.65,,7.16,0.92,3.31,4.54,7.32,2.07,2.33,5.02,5.62,2.16,4.22,3.92,6.35,3.12,3,4.3,6.58,4.7,4.31,5.63,5.8,3.55,2.15,3.55,5.92,,2.58,3.9,5.02,3.75,3.09,,5,3.37,3.5,4.16,5.6,3.33,5.4,,8.03,0.05,,2.78,5.47,0.35,1.95,3.33,5.23,2.9,,3.32,5.65,3.53,2.03,3.25,,2.04,2.9,3.42,,1,2.02,2.34,4.7,3.24,2.9,,6.65,,
250008084343401,Deohara/goh,25.00222222,84.57611111,,,,,,,,,3.19,4.57,1.53,3.32,3.68,4.08,2.13,3.23,4.66,4.16,2.26,,4.03,5.15,2.01,,,5.4,1.1,2.45,3.8,,,2.55,,4.87,3.29,3.6,4.07,7.6,,3.83,4.04,,,,,4.8,,,3.15,4.7,2.31,2.86,4.25,,2.7,3.15,6.15,,2.3,4.2,,,3.01,,4.85,11.14,,,11.14,11.14,3.22,3.62,4.7,10.15,,8.03,,,,4.39,4.1,,3.44,9.9,8.4,9.44,7.5,5.32,,9.79,6.92,,8.33,5.78,6.85,3.07,8.02,11.14,8.7,,,5.44,11.14,1.37,3.16,,7.73,9.82,9.48,,1,,3.1,5,4.4,4.4,,,,
243912084354901,Madanpur,24.65333333,84.59694444,,,,,,,,,3.99,5.09,1.54,2.74,3.15,4.74,1.46,2.84,3.45,5.01,1.54,3.76,3.67,5.1,0.6,1.92,2.07,5.15,1.11,2.05,2.05,6.71,1.1,2.1,3.36,6.8,0.26,1.6,2.43,5.76,1.51,4.8,2.3,,2.45,4.83,6.25,6.85,3.15,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250130084253001,Daudnagar,25.025,84.425,,,,,,,,,,,,,,,,,,,,,,3.05,,0.9,3.52,4.4,2.03,1.95,2.5,3.21,2.05,1,1.66,3.22,0.51,0.9,1.79,5.15,1.2,0.95,2.35,5.33,,,,3.05,,,2.5,3.75,1.26,2.14,2.6,4.35,1.15,1.4,2.9,5.66,2.59,3.65,3.2,5.35,3.83,,4.2,5.67,4.02,3.98,4.71,5.78,2.63,0.95,1.5,4.4,,2.71,3.64,4.3,5.8,2.46,3.24,5.6,3.84,3.8,4.67,5.73,1.61,3.62,,6.39,,,4.56,6.12,3.23,4.65,4.53,5.6,4.02,,4.52,5.92,1.62,2.9,4.68,,3.18,4.75,4.38,,3.25,4.6,4.6,6.7,,3.6,,6.4,,
244600084223001,Aurangabad,24.76666667,84.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,,6.85,9.35,9.35,8.8,1.5,3.2,5.65,9.35,2.2,2.26,5.1,,2.12,6,,6.1,2.77,1.7,9.35,7.3,0.7,1.47,1.47,6.6,0.5,0.87,5.65,4.5,,1.83,3.11,7,1.2,2.79,2.96,4.68,1.12,1.64,1.37,5,2.59,2.5,,7.57,0.15,,4.78,7.42,2.01,1.32,2.3,6.84,0.62,,2.22,7.5,1.3,0.84,1.16,,0.97,1.72,1.62,,0.6,0.78,0.8,1.5,1.45,1.2,,2.36,,
245330084143001,Barun,24.89166667,84.24166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.7,,0.4,,5.46,0.5,0.9,2.05,8.4,,,,8.16,,1.05,,9.1,,8.1,10.07,8.88,8.82,12.2,10,12.23,9.18,9.3,8.05,9.95,,8.94,10.11,8.96,6.91,9,9.77,,,,9.74,4.3,7.48,9.3,,10.2,,,10.11,12.23,9,8.1,10.21,8.95,7.9,,8.93,8.88,7.8,8.2,8.86,,,11.55,10.3,,8.18,,,,8.09,9.3,,0,,
244000084353001,Madanpur,24.66666667,84.59166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,6.85,3.15,4.21,5.5,6.42,0.85,3.65,5.26,,0.55,1.25,5.7,6.71,0.5,5.65,3.1,6.5,0.93,1.25,2.2,6.44,3.22,3.57,4.31,7.06,2.25,,,6.61,,2.44,2.7,6.91,2.43,4.36,,5.5,0.3,2.1,2.38,6.66,2.94,3,,7,0.05,,2.02,,0.72,2.8,3.42,7,1.72,,4.42,,7.5,3.52,5.28,,,7.5,,,2.9,,4.7,,,,,,,
245415084233001,Obra,24.90416667,84.39166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,5.55,4.2,4.37,4.85,5.4,2.7,4.55,4.95,5.9,2.56,2.25,5.5,5.66,3.8,4.55,5.05,,3.6,4.4,4.72,5.42,3.7,4.73,5.21,5.74,4.06,3.78,,6.15,,3.69,5.11,5.61,3.85,4.31,4.14,7.64,4.34,4.95,5.36,6.1,2.88,4.8,,6.48,3.03,,5.44,6.1,3.85,4.74,5.64,5.9,3.78,,5.65,,3.74,4.28,5.67,,,5.46,,,3.4,4.93,,,,,,8.17,,
243645084063001,Nabinagar dbib,24.6125,84.10833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,,,1.62,2.71,,1.53,2.82,,1.42,2.42,2.62,,0.44,2.1,,,0.9,,,,,,,2.26,0.24,0.52,0.92,8.52,,0.88,,3.42,,,1.41,3.26,,1.2,0.66,3.3,0.42,1.4,,4.62,0.15,,0.82,4.1,0.07,1.33,5.13,3.23,0.1,,6.4,,0.6,0.13,0.32,,,,,,0.3,3.52,,,,,,2.5,,
245015084381501,Rafiganj,24.8375,84.6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,3.75,4.09,4.14,,3.54,2.45,4.14,,2.18,,,,3.21,,6.75,10,7.26,5.71,9.28,10,3.3,4,6.15,9.75,,4.23,6.58,9.4,,4.76,6.78,9,5.21,6.4,8.25,9.97,4.42,9.47,,9.76,5.15,,5.66,9.46,4.2,9.26,10.7,14,14,,10.1,,14,14,14,,,14,,,10.25,,,,,,,0,,
