station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
250315086541501,Amarpur ps,25.05416667,86.90416667,,,,,,,,,3.12,3.95,1.63,,2.84,4.24,1.49,2.59,3.11,4.04,,6.38,3.1,4.03,2.62,2.63,3.31,5.57,1.57,2.83,3.27,5.2,2.46,2.03,2.67,3.9,2.47,3.13,,4.01,1.55,2.9,3.56,3.86,2.62,2.46,3.18,4.17,2.42,2.56,3.7,,2.47,1.85,5.42,5,,3.92,,4.27,1.57,,3.37,4.15,3.34,1.15,2.05,5.43,2.88,4.37,,5.43,2.93,3.17,3.47,5.1,,3.47,4.25,4.66,3.99,3.17,3.76,3.63,3.23,1.94,3.32,3.08,,3.14,,5.16,,3.63,1.77,4.71,1.29,2.57,3.52,5.43,3.27,,1.9,5.1,5.43,,3.18,,,,,,,,,,,3.23,,0,,
245345086551501,Banka ps,24.89583333,86.92083333,,,,,,,,,4.98,4.25,1.93,4.34,4.41,4.94,2.07,3.39,4.3,4.92,2.09,3.18,4.12,4.53,2.81,4.09,4.32,4.95,2.17,3.28,4.35,7.4,3.85,4.13,4.27,4.95,2.6,4.25,5.59,4.4,3.26,3.3,4.48,5.05,1.8,4.37,4.19,5.25,1.95,4.98,4.57,4.55,2.25,4.65,4.85,2.3,,4.75,4.85,,5.85,4.6,4.55,5.55,3.17,4.65,2.7,3.7,1.16,2.7,2.8,3.23,1.25,1.94,2.28,4.53,,2.34,3.61,3.52,0.36,1.78,2.6,3.82,0.82,2.13,2.8,4.6,0.97,3.87,,5.1,0.66,1.82,1.2,4.71,2.15,0.78,2.76,4.9,0.89,,4.1,4.35,3.4,1,,,,3.5,4.15,,0.58,1.54,2.69,4.49,3.59,3.49,,0,,
245300087011501,Barahat,24.88333333,87.02083333,,,,,,,,,2.71,5.45,2.33,2.76,3.99,5.05,2.19,2.99,2.74,3.43,2.12,2.45,2.69,4.73,2.05,2.2,2.61,5.53,2.4,2.2,3.29,4.79,3.85,2.44,3.05,4.65,1.33,3.35,4.11,4.43,3.02,3.1,2.83,4.71,2.33,,2.29,5.83,2.23,2.62,2.95,5.65,3.33,2.5,3.3,6.1,,3.43,2.95,5.58,1.93,2.65,5.03,5.1,3.2,2.15,3.45,5.33,4.08,4.68,4.21,5.52,2.05,2.35,2.95,5.13,,3.43,4.59,5.4,3.53,1.98,2.78,4.45,1.22,2.41,2.53,4.7,1.98,2.94,,,2.3,2.25,3.55,5.38,2.03,1.5,3.03,4.9,1.37,,4.42,5.19,8.3,3.3,4.87,,,3.32,4.03,,0.91,1.62,2.54,4.66,3.95,4.02,,7.82,,
244830087013001,Bausi pwdib,24.80833333,87.025,,,,,,,,,5.74,6.42,1.89,3.91,4.83,6.74,2.25,3.86,4.64,6.54,2.16,4.03,4.73,6.37,3.35,2.42,4.71,5.92,2.37,3.52,4.89,6.52,5.48,4.02,4.46,5.65,2.12,2.65,6.71,6.36,4.57,,3.81,6.82,3.67,2.44,4.89,6.82,2.92,2.78,7.52,6.22,4.67,3.05,,,,5.12,4.1,7.52,1.77,4.3,6.2,8.3,6.62,6,6.4,8.95,6.97,6.35,7.73,8.06,3.94,5.55,5.91,7.52,,6.54,,12.16,7.66,,4.19,3.08,1.55,,4.63,12.16,2.6,12.16,,,,,,8.5,,6.21,6.37,,,,,11.18,4.95,,,,,,4.95,,,0.98,,,,,,,,
245245087080001,Panjwara,24.87916667,87.13333333,,,,,,,,,3.43,5.79,3.84,,3.14,,3.49,3.56,,4.26,3.16,3.16,3.63,3.22,2.29,,3.33,5.4,3.57,3.17,3.37,4.76,4.02,4.39,4.02,3.3,1.5,2.98,,3.18,3.35,3,3.88,2.85,2.55,2.64,3.39,3.86,2.25,3.46,3.15,2.9,2.2,3.1,3.45,,,4.55,2.9,4,1.7,3,3.7,3.5,2.83,3,3.4,4.9,3.34,3.7,4.17,4.67,3.77,3.5,,5.17,,2.4,4.49,5.21,3.58,3.64,4.07,4.65,4.38,4.57,4.43,5.36,3.04,4.44,,5.23,4.27,4.68,2.45,6.95,1.88,4,4.84,6.95,4.22,,6.95,6.55,6.95,,4.6,,,6.95,6.95,,3.57,3.58,,6.33,5.75,5.29,,5.96,,
250030086584501,Rajaun ps,25.00833333,86.97916667,,,,,,,,,4.9,6.4,,,6.36,,,,,,,,,,,,,,,,,,,,,6.2,3.65,3.78,6.29,5.6,4.91,4.1,5,5.95,3.75,,,6.38,3.25,2.62,5.36,6.1,4.7,4.2,,,3.8,4.19,6.1,7.15,4.2,4.3,7,7.7,4.72,,5.6,8.1,4.84,5.7,8.28,8.76,,4.15,5.18,8.62,,5.7,8.4,8.84,5.69,3.86,5.66,7.7,3.68,4.33,5.4,7.24,4.28,7.62,,8.9,7.02,4.78,7.02,9.32,3.7,3.9,6.75,8.97,6.09,,,10.93,,,6.5,,,5.93,8.3,,4.27,4.75,3.51,5.89,4.97,4.87,,0,,
250450086440001,Sambhuganj,25.08055556,86.73333333,,,,,,,,,2.11,4.38,4.05,,2.29,4.62,3.82,,,3.74,3.04,,3.58,,,1.75,,5.3,,,2.67,3.5,2.37,2.7,3.61,,0.7,1.35,2.73,3.3,1.5,,1.7,,2.5,,,3.5,2.05,,4.9,3.1,2.3,1.1,,4.25,,3.45,,,,,2.8,3.75,1.76,1.7,2.6,3.6,2.36,2.8,3.9,5.3,1.78,1.93,2.82,5.66,,2.36,4.66,5.21,2.44,2.5,2.89,4.73,1.74,2.7,3,5.01,2.6,3.56,,4.9,2.26,1.82,2.46,5.93,1.8,1.72,3.01,6.41,2.18,,7.52,6.92,4.7,1.4,3.65,,,3.52,5.5,,1.37,2.02,3.14,,,2.89,,5.28,,
250310086514001,Rampur,25.05277778,86.86111111,,,,,,,,,,,,,,,,,,,,,,,,1.5,,4.4,,,2.04,2,0.99,1.31,1.75,3.2,1.4,1.46,,2.3,1.05,,1.9,,2.15,,,2.73,3.45,1.58,2.55,2,3.4,1.4,,,,2,,3.8,1.25,,3.2,,0.43,1.4,2,2.87,0.88,3.4,,2.85,1.06,1.62,2.06,3.58,,1.7,2.92,2.98,0.62,6.4,1.93,3.28,1.5,2.16,1.9,3.5,1.13,2.58,,1.78,1.5,2.04,0.58,3.73,1.96,1.36,2.13,4.74,1.93,,3.4,3.56,3.8,2.5,2.8,,,,3.8,,0.78,1.79,2.2,3.17,2.65,2.46,,3.63,,
244500086434501,Katoria,24.75,86.72916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,,,4.96,,,5.86,6.15,,,4.86,7.39,8.7,2.06,4.13,5.56,8.16,,6.93,8.32,8.7,7.52,4.52,6.3,8.7,1.17,3.91,4.86,8.7,1.92,6.4,,7.76,0.88,3.82,5.74,8.12,2.44,1.16,5.34,7.9,2.36,,7.59,8.16,5.56,2.25,5.3,,,4.57,6.02,,1.88,3.59,5.19,7.13,5.95,5.13,,6.81,,
243814086410701,Chandan,24.63722222,86.68527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,2.45,4.77,5.52,7.88,3.02,4.15,4.63,6.7,2.78,3.64,5.33,5.04,2.34,,3.18,8.6,2.99,2.48,4.1,5.92,5.07,,6.98,5.3,5.57,2.6,3.95,,,3.61,4.2,,1.64,2.57,3.47,5.24,4.88,4.26,,0,,
