station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
252245086081501,Begusarai fc/ib,25.37916667,86.1375,,,,,,,,,5.16,5.21,2.56,2.66,3.64,5.44,0.54,1.61,4.58,5,0.9,1.1,2.66,5.1,1.55,1.23,3.02,4.8,0.82,2.02,2.97,5.36,2,1.7,3.9,5.22,2.33,2.16,4.26,4.75,1.49,2.5,3.68,5.33,2.63,4.02,4.64,6.08,3.73,4.5,5.95,6,4.32,2.9,4.58,5.92,,0.8,3.8,5.7,1.35,3.3,3.29,6.28,5.8,3.7,5.17,6.1,4.95,4.7,6,6.7,2.6,3,4.1,6.8,,4.3,5.4,6.02,2.38,2.03,3.09,4.99,2.3,3.99,5.52,5.77,2.4,4.88,,6.2,1.76,2.7,4.49,6.46,2.81,3.65,5.42,6.27,3.66,,4.77,6.4,4.52,1.78,4.18,,5.02,2.18,3.82,,1.52,1.5,2.65,6.28,2.95,4.3,,,,
252522086243501,Bintoli,25.42277778,86.40972222,,,,,,,,,5.73,7.16,2.8,4.01,5.7,7.44,2.16,3.85,5.19,4.55,1.9,3.4,5.5,5.6,1.5,3.6,5.66,7.23,1.44,4.14,4.61,7.6,1.15,4.5,6.7,5.63,2.18,4.88,7.04,7.9,1.53,2.45,6.63,7.92,3.42,5.9,7.08,,2.65,5.9,6.65,7.55,5.02,5.12,6.88,7.68,,3.78,6.9,9.01,1.6,4.5,6.84,9.38,5.8,4.85,,9.1,4.09,6.4,7.7,7.1,2.6,3.2,7,9.2,,6,7.26,8.5,1.48,4.8,6.92,8.27,2.47,4.44,5.72,5.82,3.22,6.99,,8.4,2.89,4.68,5.21,,2.62,4.53,,5.28,3.01,,9.1,9.5,4.14,3.02,9.5,,,4.5,,,2.93,3.34,4.05,,2.2,4.39,,,,
252630086121001,Gopalpur,25.44166667,86.20277778,,,,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,,,,,,0.75,,4.39,5.96,3.51,3.1,,,4.38,4.76,5.81,6.91,3.4,3.91,,,,,6.83,7.01,1.95,5.25,5.91,6.87,2.53,3.07,4.72,6.15,2.75,5.4,,6.8,5.56,2.72,5.02,6.31,0.9,3.76,5.25,5.86,2.81,,6.27,7.35,5.85,3.91,5.2,,5.32,2.81,4.26,,2.32,2.49,2.01,4.03,1.91,4.9,,,,
253240085514001,Kumharson,25.54444444,85.86111111,,,,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,,,,,,,,,,0.8,,3.1,5.77,5.06,,,8.35,5.21,5.36,4.76,8.35,4.36,4.86,,,,5.11,6.28,8.35,,5.45,4.99,8.35,3.03,3.18,3.34,5.57,2.72,3.24,,5.48,3.46,3.38,4.03,8.35,2.81,3.3,4.23,5.28,5.09,,,8.35,5.54,4.68,4.92,,,4.26,5.75,,1.24,2.04,1.61,4.46,4.14,5.18,,,,
252910086164501,Laxminia,25.48611111,86.27916667,,,,,,,,,5.04,6.88,3.31,4.22,5.7,7.25,3.23,3.99,5.52,5.15,,,5.27,5.3,1.4,1.93,5.36,,2.52,,,,,,,5.32,2.08,,,,1.41,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,3.88,6.15,6.68,5.92,,5.99,7.64,7.07,3.3,5.31,,,4,5.5,,0.98,5.2,2.45,6.4,3.6,4.7,,,,
253345086084501,Manjaul,25.5625,86.14583333,,,,,,,,,5.99,7.91,1.84,,5.48,5.9,0.96,1.89,,5.75,2.35,3.65,3.38,5.4,2.1,2.6,3.56,5.19,3,3.03,3.63,5.52,3,2.88,3.76,5.39,2.78,2.65,4.26,6.5,2.16,2.3,4.45,,1.81,3.65,4.1,5.63,3.68,4.85,5.2,7.04,5.5,4.35,6.03,7.66,,1.42,3.1,4.7,1.05,2.45,2.69,5.35,4.02,,4.7,6.5,5.54,5.3,5.1,7.25,4.5,5.1,6.35,7.45,,6.1,7.53,9.2,4.2,6.05,6.54,8.26,1.98,2.09,4.99,6.49,3.27,4.47,,5.57,2.89,5,4.65,5.67,1.06,1.55,3.06,3.62,4.1,,9.3,8.86,2.93,2.4,4.8,,,2.9,3.2,,1.98,1.8,3.79,5,2.92,3.94,,,,
252436086144701,Pokharia,25.41,86.24638889,,,,,,,,,5.04,,4.05,4.38,5.63,,2.7,4.01,5.49,3.8,2.85,3.7,5.2,,1.6,1.04,5.46,6.97,,4.23,4.58,7.3,2.66,4.45,6,,2.13,4.28,6.48,7.38,1.63,2.4,5.77,7.13,2.2,5.85,6.34,,3.64,3.75,8.83,8.83,6.08,4.78,6.16,7.21,1.2,3.5,2.6,7.4,0.4,1.9,4.96,7.94,8.13,,,8.2,7.32,6.15,,8,4.3,4.8,5.9,7.75,,5.8,6.99,2.2,2.28,3.98,5.27,6.96,2.12,4.38,5.81,7.76,3.92,6.19,,6.68,2.09,3.95,5.83,6.39,5.04,4.9,7.67,7.3,3.31,,5.91,6.82,5.5,3.19,4.21,,,3.06,3.77,,2.1,3.4,2.59,5.92,,,,,,
252845085564501,Teghra,25.47916667,85.94583333,,,,,,,,,5.81,6.9,2.37,4.04,5,,1.28,3.13,,6.58,1.88,4.3,,5.88,0.93,2.73,5.35,,1.1,2.08,2.93,,,,,5.54,1.27,,,,1.06,1.9,,,,,,,2.78,,5.23,5.98,4.32,5.2,6.26,,,,,8.59,1.38,,5.55,,6.2,,,8.95,4.69,4.7,7.85,9.5,2.86,5.5,7.37,9.05,,6.65,8.2,8.75,1.54,5.71,6.8,8.43,3.02,3.35,5.58,6.92,3.18,7.47,,8.7,3.05,5.35,7.14,8.53,3.11,5.99,7.7,8.2,3.6,,7.31,8.68,5.11,4.91,6.83,,4.5,6.13,7.42,,1.8,4.93,2.24,8.3,2.89,3.45,,,,
253516086153101,Bakhari/salauna,25.58777778,86.25861111,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.35,,2.26,2.56,4.45,1.75,1.67,3.05,5.59,,2.89,2.71,3.9,,,,,,,,4.15,,,4.55,6.05,5.09,3.92,4.63,5.61,,,2.75,5.57,0.75,,3.09,4.89,5.5,,10.11,6.6,5.59,5.5,6.3,6.75,4.6,4.4,4.9,6.35,,,6.55,6.7,5.23,4.21,,,3.3,3.76,4.44,6.87,3.23,4.52,,6.2,4.78,3.83,4.65,6,3.85,3.98,4.14,6.04,4.01,,5.38,6.84,6.36,4.51,5.04,,,3.57,5.04,,3.47,3.45,3.12,5.88,5.43,4.43,,,,
253515086063001,Cheriabariarpur,25.5875,86.10833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,5.93,3.3,4.5,7,6.08,5.02,4.12,4.92,6,,1.52,2.75,5.91,0.85,2.15,4.3,6.14,4.9,,,6.1,7.5,6.4,7,8.5,5.8,6.05,5.8,7.5,,6.5,,7.8,1.93,7,6.75,7.07,5.91,5,5.27,6.11,4.63,4.8,,6.08,3.3,4.5,4.97,7.55,3,3.48,4.04,6.41,4.6,,5,7.19,7.35,5.44,5.98,,,3.35,4.11,,3.96,1.53,3.28,4.68,3.5,4.85,,,,
