station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251330086483001,Akbarnagar stn,25.225,86.80833333,,,,,,,,,2.87,7.15,2.02,2.64,3.25,6.07,2.18,3.02,3.77,6.02,,3.15,3.85,5.71,,1.8,,5.12,,2.29,,5.12,3.38,2.4,3.39,,2.52,3.04,4.29,5.48,2.5,,,4.62,4.32,,,5.86,2.67,,3.12,5.22,4.87,2.1,3.4,6.25,,2.67,2.5,5.52,1.12,,4.02,4.1,1.48,2,3,4.83,3.63,4.3,4.3,5.72,0.48,1.62,2.96,4.74,,3.17,4.35,4.9,1.26,1.97,2.05,3.54,1.06,3.68,3.03,3.94,1.64,4.04,,5.28,2.1,2.47,3,4.72,1.69,1.72,2.86,4.37,2.32,,3.05,2.86,3.45,,1.98,,,12.2,12.2,,1.07,0.97,2.7,2.75,1.1,1.1,,,,
251345086584501,Bhagalpur city,25.22916667,86.97916667,,,,,,,,,1.61,2.68,1,0.95,1.63,1.85,0.9,1.53,0.92,2.69,0.82,1.68,1.72,2.24,2.6,1.03,1.07,5.63,1.06,1.19,1.84,2.55,1.82,1.95,2.02,2.34,1.18,2.02,,2.84,1.81,,,3.3,1.73,1.33,1.48,3.58,2.08,,,,2.18,6.7,6.7,,6.48,5.5,6.18,,0.68,6.65,8.88,9.15,7.02,6.35,7.05,8.73,8.79,11.45,9.55,10.69,7.93,7.63,7.74,9.8,,10.75,11.5,12.25,12.21,10.45,10.05,12.78,10.26,10.2,10.2,12.67,10.14,11.02,,13.07,8.2,12.31,13.25,14.73,12.64,11.14,10.95,,12.15,,13.4,14.56,13.85,9.8,11.92,,,12.2,13.03,,11.4,10.69,10.76,14.08,12.56,10.31,,,,
252330086563001,Bihpur ib,25.39166667,86.94166667,,,,,,,,,5.11,6.64,1.77,3.76,4.97,6.7,2,3.65,5.36,4.65,0.45,2.87,5.18,6.7,1.9,2.41,5.06,6.64,1.49,3.62,,,,,4.89,6.68,3.3,5.2,5.49,7.08,1.35,3.87,4.34,,,2.63,,7.22,,2.62,,,3.42,,,8,,,,6.27,1.37,,5.97,,3.95,,,7.07,,4.87,,8.83,,4.09,4.09,5.54,,,,,2,2.42,,8.83,,,,8.83,1.43,2.95,,,2.23,,,8.83,2.16,,5.24,,,,,8.3,,,5,,,,8.83,,,3.02,4.42,,5.14,4.02,,,,
251230087103001,Ghoga rly stn,25.20833333,87.175,,,,,,,,,2.15,5.35,1.52,1.67,2.46,5.82,2.42,2.68,2.43,5.56,2.13,3.01,3.35,4.18,,1.13,2.4,4.75,2.7,1.63,3.53,5.74,2.42,3.66,4.19,4.39,0.9,2.27,5.8,4.9,1.94,2.4,,5.73,3.5,1.37,2.21,7.12,2.5,2.42,8.3,,4.05,2.1,4.1,,,2.1,3.7,3.8,1.7,1.9,2.5,5.3,0.85,1.7,2.9,6.2,5.07,,5.98,5.43,1.05,2.14,3.17,6.24,,4,5.43,5.58,,1.45,1.7,5.37,0.73,2.16,2.2,4.28,1,1.74,,5.14,1.56,2.03,3.36,5.35,1.52,1.18,2.1,4.33,1.78,,2.99,3.46,2,1.8,1.8,,,1.97,2.62,,1.33,1.15,1.35,2.3,1.45,1.19,,,,
250945086590001,Jagadishpur,25.1625,86.98333333,,,,,,,,,1.14,4.22,1.4,1.98,2.31,5.37,1.39,2.33,4.39,5.5,,2.15,3.72,4.61,2.67,,4.41,5.7,1.43,2.19,3.1,3.75,2.44,2.89,2.5,4.62,1.45,,2.52,3.82,1.49,2,,3.29,1.95,,4.36,5.58,1.5,,,4.45,2.42,1.85,,,1.85,3.6,2.05,3.4,1.25,2.25,2.75,2,1.34,2.5,2.15,5.51,2.61,2.2,2.06,2.5,,1.73,1.47,3.05,,1.97,2.9,1.68,0.62,2.07,1.23,3.52,1.07,2.74,1.15,4.5,1.18,1.98,,4.02,1.26,0.91,1.13,5.21,0.75,1.48,0.75,2.74,1.87,,2.19,6.15,1.27,1.1,1.82,,,,3.66,,0.34,1.02,0.97,2.77,2.05,1.97,,,,
252415087051501,Naugachhia h.s,25.40416667,87.0875,,,,,,,,,3.46,4.8,1.36,2.52,3.58,,1,2.54,3.57,4.68,0.3,1.8,3.39,4.8,1.8,1.66,3.23,4.72,0.45,2.15,,,,,3.7,4.43,1.3,3.58,5.15,5.44,,1.97,2.5,5.18,,1.64,,5.72,,1.87,,,3.55,,,6.4,,,,6.55,0.75,,4.5,,3.1,,,6.2,3,3.6,,5.82,0.61,2.64,4.4,4.8,,2.68,,6.32,0.94,2.14,3.75,5.6,2.6,2.8,4.82,6.3,0.85,3.16,,6.37,0.23,1.76,3.94,6.48,1.56,2.35,5.86,5.76,2.34,,,,,2.5,4.43,,,3.47,4.85,,,2.04,4.65,,3.62,2.92,,,,
251845087254001,Pirpainti db.ib,25.3125,87.42777778,,,,,,,,,3.41,5.32,2.25,3.29,3.66,5.24,2.62,3.25,3.89,5.13,2.5,3.16,3.76,4.68,3.32,2.41,3.16,5.4,2.88,3,3.75,4.07,0.4,1.85,2.45,4.91,2.6,3.46,4.2,5.47,,4,,5.4,2.3,2.62,3.19,6.66,2.2,2.61,7.26,5.5,3.6,3.6,4.4,9,,2.2,4.15,5.8,1.7,,5.3,5.8,3.8,3.7,6.2,,5.82,5.25,6.74,7.29,3.88,,,,,,,9.37,,4.3,5.27,,3.22,,2.66,9.37,3.56,,,5.68,,4.47,,7.5,1.41,4.8,4.93,7.28,,,7.81,8.57,3.6,2.85,4.8,,,4.52,5.2,,,,4.18,5.09,3.95,3.67,,,,
251030086484501,Shahkund db.ib,25.175,86.8125,,,,,,,,,4.03,,2.06,2.52,4.55,4.93,2.41,3.04,2.82,4.95,,3.16,3.17,4.92,,1.61,2.88,5.3,2.53,3.5,,4.33,1.41,2.28,2.65,,2,2.26,,3.81,1.25,2.4,,5.73,2.55,1.63,2.93,5.12,2.35,1.82,6.1,4.9,3.3,2.6,,6.2,,3.35,,5.6,2,,4,6.5,2.43,3.9,4.85,7,5.4,4.3,6.1,7.72,2.76,,4.36,7.79,,3.3,7.39,8.82,3.41,3.3,4.01,6.45,4.33,6.78,4.3,7.3,4.18,6.68,,7.37,3.26,4.23,5.32,6.75,2.91,1.48,3.31,,3.94,,,7.4,,2.4,4.8,,,4.87,5.8,,2.37,3.84,5.23,7.59,5.85,5.13,,,,
251430086420001,Sultanganj,25.24166667,86.7,,,,,,,,,6.71,7.5,3.08,5.75,6.66,9.14,3.62,5.16,6.8,8.73,2.72,5.36,6.42,8.91,5.95,4.2,6.81,5.85,3.72,5.17,7.6,9.1,4.16,5.6,7.31,8.82,5.5,5.94,,9.08,2.9,5.1,,7.75,4.45,4.36,6.54,9.61,3.45,4.28,7.87,9.7,4.1,6.3,8.35,9.6,2.45,4.02,4.9,9.5,2.9,,7,9.1,4.98,5.7,7.9,9.6,5.48,7.85,8.6,10.11,3.31,6.76,7.8,9.72,,5.5,9.53,9.33,2.33,4.93,4.26,8.9,2.58,4.51,8.05,9.59,3.68,5.08,,6.64,,5.98,4.5,8.61,3.9,4.12,7.86,5.94,4.23,,8.66,9.27,,4,7.2,,,,6.3,,2.05,2.9,6.46,7.63,6.38,6.01,,,,
251445087024501,Sabaur,25.24583333,87.04583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,5.5,3.75,1.96,3.3,4.65,5,2.75,3.85,5.4,1.95,2.85,2.95,5.55,1.55,2.95,3.75,4.5,1.7,2.6,3.6,4.98,3,4.1,4.68,5.33,1.79,,3.05,5.22,,3.8,4.4,3.2,3.28,,2.52,4.05,1.55,2.75,2.55,3.63,1.92,2.22,,6.98,,,4.67,11.2,4.28,1.78,,11.2,1.17,,2.87,10.85,,,2.48,,,4.55,5.2,,,1.61,2.07,,,2.98,,,,
