station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
252900084244501,Jagadishpur1,25.48333333,84.4125,,,,,,,,,3.33,4.92,1.75,2.55,3.51,5.45,1.34,1.98,3.12,,1.53,,3.56,5.6,,1.3,4.04,5.9,1.16,1.45,3.5,2.9,4.85,,1.76,5.35,1.89,2.95,,4.8,1.85,2.2,,4.85,2.5,2.2,3.86,5.28,1.16,2.4,4.66,5.51,,4.31,3.36,6.01,1.72,3.06,4.84,7.02,0.88,4.32,5.16,6.1,5.66,4.35,6.1,6.1,6.1,,6.1,6.1,,,,5.66,,,,6.1,3.12,3.14,1.76,3.94,2.01,3.8,3.64,4.06,4.06,4.83,,6.1,2.42,1.76,5,6.1,1.06,2.66,5.81,6.1,2.58,,4.12,6.1,5.66,3.15,4.33,,0.46,,4.44,,2.02,2.83,3.1,,5.81,2.75,,6,,
253445084450001,Kulharia,25.57916667,84.75,,,,,,,,,4.65,5.84,2.67,4.06,6.05,4.95,1.85,3.43,4.7,5.97,1.56,3.4,,5.6,,4.07,,5.45,,3.4,5.25,5.53,,3.1,,6.43,2.35,5.5,6,6.1,1.82,3,5.3,5.77,5.12,5.85,,,5.08,6.5,6.54,6,5.7,5.76,6.54,6.03,4.35,5.73,5.45,6.99,2.7,5.85,6.8,8.1,7.7,7.55,8.2,8.2,8.2,8.2,8.2,8.2,5.45,5.1,6.7,7.68,,5.4,,8.2,6.46,5.31,6.78,6.29,6.3,5.55,5.8,6.39,6.3,8.2,,8.2,8.2,5.28,6.22,8.2,6.02,6.4,3.32,8.2,3.94,,5.17,8.2,4.3,,,,,,2.69,,,,5.27,,4.8,,,5.9,,
254010084433001,Milki,25.66944444,84.725,,,,,,,,,4.22,6.8,3.75,4.22,4.37,6.55,2.92,3.51,4.02,6.47,3.14,3.69,2.51,6.6,0.87,1.82,,6.97,,4.72,4.87,,0.31,5.75,,5.78,3.56,4.74,5.77,,3.47,3.7,3.72,6.9,4,,,,,4.27,,7.62,,3.92,5.72,9.5,,,4.38,,0.89,4.04,3.79,7.6,1.39,4.97,5.78,7.12,5.25,6.12,5.77,,0.44,1.6,3.52,6.62,,3.37,,4.98,,0.87,2.43,3.73,4,3.62,6.82,8.1,6.27,6.97,,6.84,,4.81,3.67,7.17,3.65,4.94,5.58,,,,5.87,6.7,0.99,1.77,3.07,,1.69,,3.67,,1.53,1.82,3.05,5.67,1.67,3.6,,5.5,,
253030084373001,Udwantnagar,25.50833333,84.625,,,,,,,,,1.4,3.77,1.7,1.55,2.02,4.55,0.68,0.94,2.82,4.69,0.86,0.92,3.36,4.7,,8.2,0.85,4.95,0.7,1.05,1.15,3.66,0.6,1.1,2.42,2.34,0.35,1.75,1.8,4,1.6,0.5,1.04,4.2,1.25,1.8,4.53,5.2,0.9,2.3,2.9,,,1.85,5.24,6.1,2.06,2.37,5.3,,0.58,2.15,2.5,3.35,1.02,2.05,3.41,6.07,4.62,4.5,5,6.12,1.3,1.6,2.35,5.1,,0.9,,4.09,1.35,0.8,2,4,0.69,0.7,1.67,4.33,3.1,,,5.95,1.99,0.7,0.62,5.05,0.57,1.58,2.69,5.72,2.72,,3.26,5.44,3.27,1.41,1.99,,0.84,,1.88,,1,1.66,2.25,3.84,1.5,1.8,,4,,
253300084273001,Bihiya,25.55,84.45833333,,,,,,,,,,,,,,,,,,,,,,7.3,1.65,1,7.78,7.53,8.58,8.65,8.75,4.3,5.4,8.5,6.88,7.53,8.3,7.49,7.97,,2.53,8.45,7.26,7.55,8.4,8.63,2.33,,9.55,9.2,9.3,9.31,9.45,5.25,9.2,10.4,5.26,6.4,7.81,8.91,4.67,,,,,,,5.6,5.47,5.15,5.26,5.6,3.06,,,4.7,,3.56,4.4,5.2,1.28,0.97,2.6,3.73,3.05,3.35,3.63,4.6,4.4,4.9,,5.51,,2.17,3.06,4.42,2.67,4.15,3.95,5.61,2.55,,,5.2,,2.4,2.96,,2.3,,3.21,,1.1,2.78,3.15,4.22,4.1,2.06,,4.8,,
253345084361501,Chandawa,25.5625,84.60416667,,,,,,,,,,,,,,,,,,,,,,4.67,,,2.59,5.62,1.77,2.87,4.72,4.72,0.52,2.72,3.27,5.35,2.27,3.42,3.36,4.72,1.72,2.3,3.1,4.5,3.42,3.92,4.26,,2.22,3.06,3.57,4.62,2.02,2.82,3.77,4.77,1.5,1.5,3.03,4.99,,2.34,2.82,5.2,3.32,3.62,3.44,5.8,3.62,3.54,5.8,5.8,0.99,1.22,2.65,4.72,,2.22,4.09,4.56,0.73,1.22,,4.06,2.98,2.47,2.49,4.58,2.94,3.24,,5.8,4.53,3.04,2.74,3.14,1.45,2.95,4.09,4.72,2.17,,3.16,3.37,2.75,1.6,2.48,,0.7,,2.91,,0.57,2.38,,4.44,3.12,2.75,,3.8,,
252515084333001,Garhani,25.42083333,84.55833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,6.5,3.25,6.5,,4.35,5.3,6.5,2.95,4.4,5.4,,1.87,2.8,,,2.68,,,5.53,4.22,4.62,5.29,6.26,2.64,,,5.6,,3.07,4.64,5.08,3.24,2.6,2.8,4.88,2.9,3.22,3.55,5.5,2.98,4.6,,6.45,3.38,2.15,3.5,5.5,1.95,3.22,4.41,6.22,3.39,,5.16,6.4,5.78,3.53,3.95,,1.45,,4.4,,1.35,3.93,4.6,5.66,1.25,3.93,,8.2,,
252000084251501,Pirro,25.33333333,84.42083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.58,2.03,3,,4.08,,2.38,3.98,4.83,3.08,2.99,,4.94,2.18,3.08,3.28,5.35,2.74,2.52,3.5,5.4,3.42,3.37,5.32,5.35,2.18,2.13,,4.18,,4.1,4.9,4.94,2.08,2.78,3.7,5.5,0.91,,4.98,,,5.5,,,2.43,2.7,,,3.56,2.88,4.81,,2.58,,3.12,8,3.4,3.15,3.45,,3.82,,5.12,,3.38,,,,3.7,,,,,
253421084342101,Harnath Kundi,25.5725,84.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.79,3.97,2.26,4.22,3.6,4.33,2.92,4.37,4.9,5.15,,2.1,3.37,4.8,2.19,4.49,4.2,4.38,1.92,,5.12,4.43,4.11,2.31,2.92,,1.84,,3.24,,1.45,2.68,3.26,5.33,4.07,3.74,,5.44,,
254005084413401,Bakhorapur,25.66805556,84.69277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,4.12,5.57,6.13,6.97,,3.47,5.05,6.63,6.97,5.42,5.28,7.31,5.64,,5.2,7.31,2.9,5.12,6.3,,2.62,,4.87,,3.15,4.32,4.84,9.8,,3.93,,6,,
