station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
260400086080001,Bahera,26.06666667,86.13333333,,,,,,,,,6.12,,1.04,4.85,5.06,5.82,1.4,4.01,4.84,5.15,1.96,3.51,4.96,5.33,,3.3,3.77,4.81,3.75,3.65,3.98,5.15,2.57,3.06,3.35,6.05,,3.85,,,,4.5,5.7,,,,5.4,6.19,,4.25,,,,,6.12,6.05,,3.45,2.59,5.25,,,3.4,,1.02,,,,,,,5.3,2.35,2.7,3.52,4.63,,4.28,,4.75,2.95,3.22,3.46,4.7,3.2,3.72,4.2,4.75,5.17,3.81,,5.41,3.97,2.7,2.91,4.28,1.64,3.15,6.8,4.64,3.93,,4.96,6.53,5,3.6,3.74,,0.85,1.8,2.87,,2.95,1.2,2.7,3.64,2.62,2.77,,,,
255646086041601,Baheri1,25.94611111,86.07111111,,,,,,,,,4.91,1.31,,2.15,2.26,3.35,0.45,1.83,2.14,3.18,,2.34,2.25,4.1,,2.35,2.95,3.67,,1.7,2.15,,,,1.9,7.5,3.29,1.8,,,,1.93,5.15,,0.25,,,,,3.9,,,,,5.2,5.16,,2.1,2.44,3,,2.8,1.7,5.6,1.02,2.45,3.1,5.08,4.03,4.8,4.67,6.09,0.95,1.8,2.6,4.08,,2.8,3.3,,0.94,2.42,2.51,3.78,1.48,1.93,2.53,4.18,,2.91,,,3.24,2.95,1.71,3.36,0.87,,2.56,3.76,3.12,,4.44,4.79,3.1,1.64,2.14,,0.68,1.38,1.96,,2.09,1.22,1.52,1.97,1.15,1.4,,,,
260945085534501,Darbhanga,26.1625,85.89583333,,,,,,,,,3.01,2.67,1.86,2.3,2.38,3.35,1.36,2.26,2.29,2.46,1.09,2.24,2.14,2.39,1.95,2.06,2.31,2.62,1.56,2.16,2.36,2.16,1.86,2.88,2.15,3.26,2.55,2.06,2.7,2.36,1.76,2.9,4.26,2.32,0.46,,4.56,2.86,0.8,2.36,1.97,3.44,2.66,2.16,2.95,2.66,0.96,2.11,2.24,3.61,0.8,2.85,2.01,2.95,0.55,1.65,1.7,2.22,1.44,1.88,3.98,1.77,1.81,1.85,1.7,2.6,,1.96,,2.2,1.52,1.74,1.65,2.3,1.45,0.81,2.76,3.98,1.5,1.69,,2.77,1.7,,0.19,1.44,0.92,1.68,1.55,1.87,1.42,,1.84,2.47,,,2.03,,,1.32,1.5,,2.13,1.4,2.32,,1.75,1.44,,,,
260230085520001,Hayaghat,26.04166667,85.86666667,,,,,,,,,2.75,,0.7,3.1,3.14,5.87,0.75,2.44,2.73,5.08,,3.58,3.2,,,,,5.22,,2.4,2.79,,,,,6.05,,,,4.4,2.6,3.11,3.85,4.1,0.25,,3.53,,,4.1,,5.32,2.65,,,,,,,,,,3.05,,,,,,3.97,,,,,2.7,3.5,,,,,5.9,2.25,,,,2.6,3.14,,3.19,,8.18,,,8.18,,,,,,,,,,,,0.75,0.85,,,,,,,,,,,0.52,,,,,
261730085561501,Keoti,26.29166667,85.9375,,,,,,,,,3.16,,0.46,2.76,2.21,4.02,,2.55,2.17,4.14,0.85,2.15,2.8,,1.49,2.08,2.8,3.08,0.94,2.6,3.15,,0.98,2.17,2.15,2.5,2.15,4.25,2.8,3,1.95,2.18,1.8,2.82,,,2,,,,2.8,3.31,1.85,1.9,3.2,,1.58,,,4,,,2.8,,2.6,,,,1.63,,,4,3.46,2.25,,3.9,,2.99,3.98,3.8,2.4,3.06,3.16,3.9,1.56,,2.08,3.47,3.89,3.44,,4,4,3.54,,3.2,1,,2.85,3.78,2.28,,3.88,7.02,,2.5,3.25,,1.27,1.2,2.15,,2.05,1.42,2.02,,3.5,2.61,,,,
261001085460201,Simri (bithauli),26.16694444,85.76722222,,,,,,,,,,,,,,,,,,,,,,3.12,,,3.15,3.47,0.55,1.8,2.36,4.3,0.64,1.68,2.15,1.6,,2.5,,,,,,,,,2.15,4.01,1.15,2.3,2.57,4.7,2.65,,,,,,,,,,,5.1,1,2.1,2.8,4.9,1.8,3.07,3.23,4.75,,,2.15,4.38,,2.12,,4.3,2.42,1.88,1.93,4.1,0.71,3.04,3.29,4.3,4.15,2.73,,5.61,2.12,3.71,3.55,4.39,0.59,2.4,2.8,4.3,2.27,,4.31,,,1.6,2.62,,0.75,1.38,2.4,,,1.57,2.17,3.45,1.92,3.4,,,,
261147086060101,Sakari1,26.19638889,86.10027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1.42,2.2,1.9,1.6,2.1,1.3,0.4,1.5,1.25,,,,,2.36,,1.85,,,3.65,,,,,,,3.6,1,,,,,,,,,,,2.97,1.6,1.7,2.05,2.68,,2.06,,3.84,3.07,2.52,2.59,3.94,1.89,1.69,2.32,3.9,,4,,,4,,,3.75,0.55,,2.98,3.12,,,,2.94,3.95,2.68,3.3,,1.37,1.42,2.6,,,1.9,2.47,2.58,2.33,3.1,,,,
260026085583001,Jorja,26.00722222,85.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,5.43,3.76,1.89,4.15,5.51,6.04,4.58,,6.9,4.2,3.12,2.63,4.54,2.74,2.7,3.21,4.9,4.65,,5.73,,6.98,4.63,5.03,,2.12,2.57,3.05,,3.17,2.67,3.01,3.2,3.25,3.07,,,,
260249085524701,Pouram,26.04694444,85.87972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,5.74,2.32,3.14,4.58,5.76,6.02,4.91,5.3,9,3.7,4.42,4.08,4.6,1.32,2.4,3.13,5,4.88,,5.6,7.04,6.33,4.32,4.76,,1.34,1.88,2.42,,2.75,1.92,2.47,3.78,4,4.32,,,,
260121085524701,Barhi Tola,26.0225,85.87972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,,5.2,6.63,5.71,3.24,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,
