station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
243811086214601,Batia1,24.63638889,86.36277778,,,,,,,,,12.12,13.59,11.56,,,13.27,11.19,11.63,11.82,13.37,10.67,11.14,11.14,,10.49,,11.52,12.23,10.47,11.53,12.09,11.59,9.92,11.49,11.99,12.7,10.72,11.39,11.99,12.85,11.51,11.34,,13.1,11.6,,14.09,13,9.74,,12.22,12.49,7.44,,11.45,12.4,,4.59,11,12.29,11.29,11.8,12.09,13,11.55,11.65,12.1,12.79,12.64,8.04,12.96,13.64,,11.85,11.41,,,11.75,13.55,,12.45,12.59,12.72,15.8,10.99,12.06,11.89,15.8,,12.71,,,11.8,,12.56,12.08,,,12.16,15.8,11.92,,15.8,15.07,,11.8,15.8,,,12.03,12.25,,9.67,10.56,,,,,,,,
243259086241201,Chakai,24.54972222,86.40333333,,,,,,,,,6.05,5.62,2.85,,4.96,5.95,3.06,4.12,4.44,6.18,2.69,3.28,4.63,5.73,2.32,3.4,4.58,5.03,3.4,4.04,4.74,7.11,3.27,4.01,4.91,6.4,3.83,3.41,4.92,6.18,3.78,3.8,,6.05,4.1,,4.8,6.1,3.3,3.41,,,4.3,,4.85,5.75,,4.2,4.6,8,3.7,4.7,7.2,6.2,3.06,4,4.7,6.2,4.54,5.1,5.68,7.15,3.46,4.33,4.73,6.35,,4.22,4.71,7.77,2.28,4.1,5.46,9.6,3.2,5.03,4.88,9.6,4.18,6.35,,9.6,3.4,4.62,4.6,6.82,2.41,5.19,5.8,6.79,4.3,,6.23,8.8,4.7,3.9,4.72,,,4.07,5.55,,3.77,4.14,4.6,,4.91,4.23,,6,,
245536086092501,Jamui,24.92666667,86.15694444,,,,,,,,,8.85,9.61,3.01,,6.64,10.93,,6.19,7.21,10.55,2.42,,7.38,9.37,2.46,2.22,8.41,,2.32,,7.64,9.11,5,7.61,9.06,9.8,5.48,4.31,6.7,9.46,5.73,6.14,,9.1,5.2,,8.36,9.7,4.56,2.62,8.89,9.11,7.01,7.4,8.8,9.3,4.61,5.26,6.9,,5.41,6.7,8.21,9.55,1.58,6.9,8.2,9.91,9.63,9.17,9.57,10.29,6.33,2.77,8.15,10.22,,2.61,10.27,10.74,7.39,6.41,8.9,10.01,5.06,7.82,8.58,10.6,6.15,8.73,,10.71,5.47,7.7,8.38,9.32,8.71,8.01,6.96,10.98,8.95,,10.88,11.93,12.52,7.6,9.31,,,8.85,9.8,,7.07,,8.76,,9.65,7.63,,0,,
244606086230501,Jhajha,24.76833333,86.38472222,,,,,,,,,8.98,10.26,7.47,,8.82,10.64,8.25,8.6,9.08,10.58,7.1,7.85,9.12,10.73,6.38,7.12,9.1,8.94,6.98,8.31,9.53,9.7,7.47,9.5,10.1,10.74,7.98,7.9,7.9,10.42,8.38,7.92,,10.9,9.05,,9,10.9,9.8,7.29,8.98,10.34,6.85,,9.65,10.3,5.2,8.78,8.7,10.5,8.8,9.5,10.1,,9.08,8.9,9.2,11.25,9.88,8.47,10.22,11.25,8.42,9.15,9.62,10.95,,9.11,11.05,,10.33,9.49,10.41,11.25,8.62,9.47,9.42,11.25,9.1,10.12,,,,1.15,,,,8.81,9.8,11.25,9.37,,11.25,10.95,1.9,,11.25,,,,,,7.87,8.52,,,2.65,2.41,,6.64,,
245600086030001,Sikandra,24.93333333,86.05,,,,,,,,,3.8,4.26,0.8,,4.01,4.87,0.55,1.25,,4.9,0.35,1.21,,4.28,1.95,1.98,2.52,2.69,0.45,1.58,2.21,5.65,0.18,5.45,3.3,7.3,0.84,0.55,2.45,4.15,1.9,1.2,,,2.88,1.39,3.3,,3.95,2.13,,6.95,,2.05,3.75,6.45,,5.75,3.5,9.8,1.45,,,7.65,3.63,3.05,3.9,,6.67,8.4,7.53,,,3.57,1.18,6.55,,3.46,4.39,6.27,0.76,1.04,3.2,5.18,0.79,1.82,1.3,5.41,2.04,2.54,,6.3,2.36,0.48,4.42,4.41,1.15,1.5,2.57,7.57,1.63,,5.99,6.15,1.7,1.3,2.25,,,5.31,2.46,,,,,,,,,,,
244305086320301,Chandramanita,24.71805556,86.53416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,3.54,8.8,2.92,,4.69,,3.18,,3.8,5.39,2.22,2.76,,,,,,,,,4.45,6.2,4.1,,,4.7,,4.1,2.9,5,3.3,3.5,4.3,5.55,2.63,2.9,3.7,7.2,2.12,4.35,4.21,5.87,1.82,2.74,3.35,7.7,,2.58,4.54,5.6,,3.1,4.23,5.3,1.52,3.77,3.82,6.6,2.64,4.82,,5.5,2.36,3.18,3.8,6.6,2.1,2.73,3.14,3.14,2.47,,5.14,5.8,3.5,2.3,3.5,,,3.76,4.35,,1.53,2.02,,4.57,4.1,3.97,,5.9,,
250144086085601,Manjhwe,25.02888889,86.14888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,4.18,2.7,5.67,8,1.48,5.39,4.4,3.85,1.02,4.66,3.47,10.15,1.85,1.74,7.6,10.15,1.51,1.62,2.08,5,2.11,,5.21,6.92,,2.6,4.95,,,3.11,3.07,,1.05,1.35,4.21,4.33,3.87,2.96,,8.1,,
245157086121001,Purna Khaira,24.86583333,86.20277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,1.07,1.92,2.84,3.65,1.25,1.81,2.4,3.8,1.8,2.95,2.87,4.93,1.03,2.19,2.88,2.34,1.79,,2.78,3.98,1.87,,3.79,3.96,2.4,2.5,2.6,,,2.68,3,,1.05,1.53,2.26,3.62,2.65,2.57,,4.3,,
250016086235301,Laxmipur,25.00444444,86.39805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,6.87,0.15,,2.86,6.15,0.45,4.5,6.1,10.88,1.14,1.82,1.98,10.1,1,1.65,2.9,5.5,0.43,,,10.9,5.8,5.55,4.5,,,2.27,3.6,,0.58,0.97,2.91,3.07,2.65,2.59,,8.4,,
244740086213701,Ambedkar Nagar,24.79444444,86.36027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,3.9,0.1,2.43,6.8,10.4,1.18,3.48,5.41,10.86,,4.6,5.97,11.02,3.76,1.04,4.05,3.75,1.2,,4.14,4.47,8.5,1.5,8.7,,,7.25,5.7,,1.33,0.18,2.39,5.22,4.58,1.87,,5.96,,
