station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
251230084460001,Imamganj,25.20833333,84.76666667,,,,,,,,,3.18,4.36,2.43,3.33,3.71,5.29,,2.54,2.54,5.02,2.47,,3.5,5.21,2.86,3.2,3.96,5.19,3.35,5.39,3.9,5.27,2.95,3.24,,4.88,3.01,2.81,3.4,4.65,2.3,2.55,3.58,4.7,3.1,2.72,4.02,5.5,2.62,3.35,3.9,5.02,2.12,2.34,3.79,4.77,1.52,2.07,3.5,5.67,2.62,4,4.94,5.1,4.08,3.46,4.02,5.13,,4.14,4.85,6.14,2.64,2.97,3.28,5.45,,2.58,,4.89,3.9,,3.73,3.07,3.4,2.88,2.79,5.55,2.88,3.3,,6.29,1.9,2.63,3.85,,2.81,,4.26,5.52,3.69,,5.22,,1.94,2.44,3.52,,2.18,3.87,4.05,,2.03,4.17,4.22,,2.01,3.22,,,,
250445084584501,Makhdumpur,25.07916667,84.97916667,,,,,,,,,2.68,4.86,1.44,3.19,4.11,7.46,0.8,2.53,2.53,6.45,1.8,,3.24,5.03,1.01,1.4,2.8,6.41,1.86,1.94,3.01,5.93,3.59,2.42,4.58,4.8,,4.49,,,,,,,,,,,,,,,,,,,,1.25,,,,,,5.4,,4.13,4.38,6.1,4.7,4.74,4.31,6.58,3.83,3.96,4.16,6.07,,,,5.61,6.06,,3.62,5.4,,2.82,3.42,5.25,3.29,4.12,,6.1,3.16,2.44,,4.88,2.67,3.11,3.82,5,3.35,,3.59,3.46,,2.84,3.73,,2.67,3.8,3.54,,2.6,2.8,3.3,4.46,,3.3,,,,
250945085063001,Ghoshi,25.1625,85.10833333,,,,,,,,,,4.45,1.15,2.34,3.15,5.75,0.85,1.8,1.8,5.12,,,,,,,3.4,5.19,3.58,,3.61,4.85,2.15,1.19,3.46,,,3.65,3.78,4.3,,1.6,,4,4.15,3,4.02,5.65,3.46,3.6,4.3,,1.82,1.33,2.8,4.4,0.87,,,4.15,1.29,2.9,,,6.8,,,7.5,4.35,7.5,7.5,,,,1.3,4.57,,,7.43,4.33,4.86,,3.95,,,,3.29,4.29,,,,7.5,3.6,2.32,3.67,5.4,1.21,3.63,,7.5,6,,5.3,,,3.77,4.4,,,,3.81,,1.6,1.65,2.7,,,3,,0,,
251200084531501,Jhunathi,25.2,84.8875,,,,,,,,,,4.57,2.55,4.04,2.76,5.74,1.22,4.03,4.03,5.01,1.87,,4.65,5.3,1.71,3.62,4.45,5.12,4.27,4.12,4.84,5.37,2.7,3.64,4.47,5.23,1.9,4.44,4.4,5.3,1.8,2.02,4.86,5.35,4.6,5.46,5.58,6.23,2.52,5.5,5.94,6.52,3.24,3.14,4.33,3.4,,3.6,,6.15,,5.48,5.48,5.95,4.72,4.64,5.04,6.11,5.28,6.85,7.02,6.58,4,3.94,4.29,6.64,,3.68,,5.23,6.29,4.04,4.74,6.65,3.15,5,4.69,6.26,2.73,5.26,,6.76,,,5.72,5.42,3.1,5.11,5.7,6.79,6.82,,6.84,,,3.31,4.44,,3.46,5.15,4.77,,,4.52,3.74,5.83,4.95,6.94,,0,,
251345085061501,Kako,25.22916667,85.10416667,,,,,,,,,,3.9,2.19,2.68,2.4,4,1.25,2.2,2.2,4.33,,,2.13,,,,2.87,4.34,3.64,,3.08,4.98,2.5,1.94,,,,2.31,,3.65,,1.18,,3.55,5.25,,,,1.75,,5.1,,2.38,1.2,2.41,3.73,0.3,,,,1.35,,,,,,8.4,8.9,2.9,6.13,6.15,8.9,6.65,4,3.1,7.21,,1.27,6.03,4.43,7.12,4.84,5.36,7.5,,,3.8,5.94,3.5,4.74,,7.8,7.12,,4.3,6.07,2,3.09,3.2,6.93,7.74,,7.86,9.38,1.7,5.7,5.62,,3.86,4.13,4,,2.6,2.67,2.8,,3.6,3,,6.14,,
251245084494501,Kinjer,25.2125,84.82916667,,,,,,,,,,6.79,3.85,6.01,5.86,7.3,3.16,5.54,5.54,7.03,4.41,,7.36,7.25,3.58,5.28,6.06,7.26,5.34,1.93,6.16,7.16,3.16,4.6,5.69,3.97,3.91,5.17,5.86,6.94,1.5,3.83,5.88,7.06,5.96,0.88,6.88,8.43,5.17,6.31,6.58,,4.08,4.43,6.05,6.96,2.7,3.9,5.9,6.84,1.54,,,7.65,5.85,3.06,4,7.39,5.84,7.03,7.3,9.8,4.6,5.28,5.83,7.05,,5.2,,7.01,7.03,,4.94,6.93,,6.8,6.47,7.35,3.22,6.33,,,,,4.09,6.76,4.67,6.05,7.1,7.29,6.29,,6.95,7.39,5.07,4.24,5.57,,4.9,7.17,6.02,,2.88,5.45,5.33,6.95,6.33,6.23,,7.27,,
251516084404601,Arwal1,25.25444444,84.67944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,,2.48,4.1,5.03,5.8,,3.12,4.77,7.25,3.28,7.25,5.45,6.52,3.98,5.12,6.47,,5.25,4.3,5.73,6.58,5.31,5.06,6,6.75,4.51,4.83,5.51,6.13,,3.55,,6.18,3.08,3.69,5.6,6.18,4.06,4.46,5.67,7.21,,4.62,,,,,5.85,6.52,3.73,3.79,5.72,6.53,4.75,,5.88,,3.32,3.76,5.84,,3.61,5.58,5.85,,3.71,5.88,5.88,,5.98,4.48,,0,,
250745084491501,Kurtha bdo,25.12916667,84.82083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,4.35,3.35,3.57,2.6,2.51,1.34,1.45,2.01,3.65,0.98,0.55,2.3,5.3,0.7,3.75,,,2.92,2.73,3.25,4.04,3.78,3.9,3.9,4.58,3.15,2,2.24,3.73,,1.43,,3.57,3.45,,2.26,3.3,4.4,2.77,2.48,3.46,2.1,2.76,,3.97,0.68,,2.18,,1.18,4.07,2.72,3.46,2.04,,3.05,3.53,,1.4,2.84,,1.33,2.77,1.11,,1.46,2.4,1.6,3.95,2.6,2.5,,3.65,,
251739084421001,Dirpal Bigha,25.29416667,84.70277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,2.26,3.46,3.79,,4.04,,,4.1,3.23,3.52,6.13,,,,,,2.28,,2.67,4.21,2.57,,,,1.47,1.15,3.34,,1.14,4.32,3.23,,1.3,3.71,3.5,4.25,3.25,1.6,,4.63,,
251232084591101,Gaurakhini,25.20888889,84.98638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,3.34,7.4,5.6,8.47,6.87,8.21,8.43,,5.74,5.17,5.91,3.96,5.67,3.19,7.54,4.21,7.72,,8.53,10.4,,4.94,5.95,,4.51,5.6,5.25,,3.87,3.84,4.47,6.45,5.98,5.77,,8,,
