station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
244058083370401,Adhaura,24.68277778,83.61777778,,,,,,,,,5.27,6.27,2.24,3.07,5.52,,2.56,4.48,5.22,,,4.62,2.84,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,,,,6.6,,,,7,,,,,,,,,,,,,,,,,,,,7,4.45,,,,,2.52,2.66,,,,,,3,,,3.92,4.4,4.16,,6,,
251705083412501,Bandipur,25.28472222,83.69027778,,,,,,,,,4.9,4.87,3.65,5.37,3.15,5.05,1.8,2.93,3.63,5,2.52,3.1,2.19,5.15,,2.75,3.21,5.35,2,4.8,5.05,,0.75,4.45,,4.3,,3.2,3.99,5.27,,,2.89,,,4.65,,5.55,2,4.77,4.77,5.27,5.18,5.25,5.65,6.8,3.2,,,4.94,3.25,4.47,3.55,5.65,3.93,4.65,5.65,5.27,5.47,5.05,4.95,5.96,6.02,,,4.95,,3.32,4.83,4.4,4.25,4,3.25,4.15,4.67,4.34,3.26,4.99,3.62,,,5.59,6.65,5.92,,4.45,4.23,5.23,4.38,,,,,,,3.64,3.69,,,,4.02,,1.8,4.06,5.38,7.65,,8.6,,11.4,,
244900083343001,Bhabhua,24.81666667,83.575,,,,,,,,,6.59,9.21,3.92,5.05,5.01,,0.71,2.23,2.84,9.12,2.62,2.34,3.17,9.03,,3.5,5.26,8.93,2.02,2.68,3.3,,1.21,2.53,5.72,,,,,7.45,3.98,4.7,,5.8,3.28,4.85,6.4,8.9,4.3,5.93,5.93,6.1,,3.46,6.05,4.9,,,6.81,,2.12,,,6.05,6.25,3.15,6.95,12.3,5.68,6.66,7.93,12.3,4.9,,6.54,11.5,,4.57,,12.3,5.93,4.8,6.37,12.3,7.9,7.7,8.7,12.2,6.8,10.46,,8.2,8.86,4.16,8.44,12.3,6.8,9.48,12.3,12.3,12.3,,,12.3,,6.1,7.69,,,,12.3,,6.27,9.3,10.24,,,,,10.4,,
250235083300001,Chainpur,25.04305556,83.5,,,,,,,,,4.6,7.06,2.88,3.9,3.9,7.15,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,5.52,2.52,2.77,2.77,6.55,3,3.33,5.33,,2.79,4.97,5.92,8.82,1.67,8.61,8.72,7.97,5.48,7.62,6.66,9.48,3.4,5.74,7.71,9.7,4.31,3.62,3.74,9.02,,3.29,7.71,8.14,5.37,5.14,,7.24,6.48,5.8,7.09,7.45,5.36,9.26,,9.7,3.86,2.26,5.39,9.7,5.24,9.66,9.7,,9.7,,,9.7,8.12,3.28,3.57,,,,9.33,,1.84,4.5,5.27,7.43,,,,8.9,,
250645083240001,Chand in p.s.,25.1125,83.4,,,,,,,,,4.2,6.49,3.1,3.22,4.02,7.22,2.25,2.55,3.55,7.18,2.11,2.77,2.84,7.2,,3.13,3.95,7.35,2.95,6.55,6.5,7.9,2.15,6.45,3.66,6.36,2.85,3.76,4.56,6.63,4.1,3.1,3.88,6.2,,8.42,,7.7,3.65,4.93,4.93,6.42,2.85,4.41,5.4,,4.39,5.85,6.4,7.21,4.16,4.86,,8.05,5.2,4.7,4.85,7.47,4.15,4.52,5.74,7.7,2.58,4.55,5.2,7.4,,3.3,5.3,6.12,2.28,2.62,2.5,4.96,3.65,3.4,7.62,8.1,2.35,3.03,,10.4,0.9,1.43,2.79,5.3,1.83,2.18,2.45,5.5,3.95,,3.85,5.3,1.3,1.3,1.3,,,,2.86,,0.98,0.94,1.35,2.02,1.7,1.56,,4.4,,
251431083262801,Karmanasa,25.24194444,83.44111111,,,,,,,,,6.12,8.55,3.84,6.03,5.5,11.8,2.46,3.62,4.17,11.35,2.72,3.92,2.54,4.08,,4.86,4.08,7,2,3.2,4.9,,,2.7,4.23,6.73,3.21,3.22,4.84,7.1,2.82,3.7,5.26,7.8,2.72,4,5.7,7.24,1.73,4.6,4.6,,1.51,3.98,5.39,6.65,1.48,3.35,5.21,,3.39,6.78,5.9,6.85,3.16,5.21,8.38,9.77,5.78,6.58,8.98,7.56,5.6,3.64,4.18,,,4.92,6.37,8.58,2.78,3.28,5.08,,2.73,,,8.58,,,,,0.61,3.83,,10.03,4.16,6.13,7.29,11.75,8.4,,8.38,11.48,3.28,2.41,3.37,,,,5.64,,,,,0.32,,,,11.2,,
251017083371101,Mohania,25.17138889,83.61972222,,,,,,,,,4.35,7.83,4.59,4.98,,,2.7,4.57,5.45,,3,4.72,3.9,,3.35,4.63,6.38,,4.73,5.1,6.18,,3.35,5.15,,6.05,,3.9,,5.25,4.26,3.9,5.15,3.8,4.55,6.22,7.5,,6.55,7.42,7.42,7.16,6.35,4.26,7.52,7.5,5.03,,7.75,,2.88,7.04,,,,,6.85,8.72,6.52,7.09,8.15,9.73,4.92,4.95,,9.45,,,4.69,,6.43,2.65,3.65,6.83,3.78,7.37,7.77,9.4,4.58,5.5,,,0.55,4.16,5.55,8.09,3.13,6.73,7.64,9.9,5.2,,5.21,9.9,6.51,2.99,3.85,,,,6.83,,1.9,,,,6.7,6.46,,8.7,,
251735083321001,Nuawan,25.29305556,83.53611111,,,,,,,,,6.94,8.06,3.89,5.61,4.11,8.05,2.68,3.53,3.22,,,,3.22,8,,,,8.05,,7.1,7.15,,0.85,6.6,,5.19,2.69,3.81,4.69,6.25,4.08,3.1,5.06,,,6.1,,,5.3,5.45,5.45,7.6,4.36,4.6,6.26,9.9,4.71,,6.75,8.88,,6.7,7.3,9.15,5.09,4.6,6.13,8.57,5.43,5.42,7.2,6.35,4.32,,,6.1,,4.14,4.5,8.34,5.82,5.3,2.6,8.8,3.8,5.56,6.45,9,3.8,5.91,,5.6,,2.65,6.18,8.91,4.1,5.91,8.12,11.2,7.84,,5.86,6,,3.28,4.89,,,,11.2,,2.59,,,7.65,,8.2,,10.6,,
245835083374001,Tori f.ck.post,24.97638889,83.62777778,,,,,,,,,5.5,5.58,2.38,4.6,5.92,7.35,2.89,4.18,4.55,7.16,2.12,4.37,2.59,7.55,,3.22,,7.5,2.8,3.55,4.25,6.9,,3.35,,6.87,2.81,3.63,5.13,4.2,,3.15,4.52,,4.05,5.23,6.04,7.5,3,5.55,5.55,5.9,2.86,3.35,4.41,,1.7,,4.5,,,,,,4.76,,6.58,8.36,5.29,5.7,6.43,8.11,3.74,,,8.8,,4.69,8.46,2.46,4.24,3.38,4.9,6.58,5.17,5.5,6.75,7.5,5.6,7.14,,6.25,2.16,3.42,5.43,7.18,4.71,7.53,7.77,11,7.28,,8.48,11,6.94,4.88,5.15,,,,7.44,,2.67,,5.3,6.96,6.1,10.14,,9.7,,
251612083343801,Bevnaliya,25.27,83.57722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,4.02,5.37,6.75,7.3,4.49,2.63,4.88,7.08,4.31,5.26,6.54,8.7,5.5,,5.85,9.3,6.94,3.13,3.86,,,,7.33,,2.4,,3.92,7.14,,,,5.7,,
