station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
253645087241501,Korha,25.6125,87.40416667,,,,,,,,,4.78,4.77,2.96,3.56,4.21,4.42,1.37,2.14,,4.84,0.5,2.8,3.26,5.2,,2.36,3.2,3.89,2.15,2.4,2.84,4.05,2.18,3.46,2,5.31,2.55,3.42,3.9,4.19,,2.44,4.15,,,2,2.15,3.94,1.88,,3.2,3.7,3.05,3.05,3.1,4.35,,3.2,4.46,4.9,,2.6,3.7,5.5,2.95,3.34,2.1,5.2,5.14,5.1,5.5,5.92,3.65,,4.02,5.12,,4.51,,5.95,3.37,3.66,3.57,5.01,3.86,3.43,3.95,5.73,4.02,4.09,,5.29,3.9,3.5,4.03,5.72,2.72,3.1,4.45,4.85,3.13,,4.08,3.38,3.84,3.02,3.84,,,3.82,3.65,,3.25,3.2,4.15,4.9,5.2,4.02,,,,
252615087143001,Kursela,25.4375,87.24166667,,,,,,,,,5.32,6.66,1.21,4.05,5.33,7.02,1.49,4.07,5.04,5.1,1,3.4,4.88,6.7,0.8,3.4,5.16,6.67,0.96,3.96,4.28,6.05,0.98,2.18,4.1,6.78,2.7,4.64,5.29,6.83,,3.74,4.35,6.6,2.2,4.15,4.25,6.87,1.28,4.84,5.1,6.82,3.1,3.1,5.2,7.1,,4.1,6.06,7.3,0.95,4,5.7,7.95,4.3,4,4.98,6.72,3.1,4.25,4.4,7.2,1.25,3.7,4.4,6.87,,3.78,,7.43,1.45,4.49,5.38,7.19,3.35,4.71,7.3,6.56,2.88,5.24,,9.7,1.56,5.06,6.96,8.2,2.34,3.48,5.32,7.16,2.29,,6.36,4.89,1.75,3.11,4.12,,,4.7,6,,2.26,3.35,5.65,6.34,2.77,2.71,,,,
252945087144502,Mahendrapur,25.49583333,87.24583333,,,,,,,,,4.47,3.82,1.1,2.39,2.92,,1.14,1.85,,,1.05,1.3,,5.1,,,2.88,,1.67,,,3.9,1.86,2.72,1.9,5.23,,2.69,,,,,,,,2.35,2.35,,1.88,,,,,2.1,,,,4.7,4.13,,,2.78,3.6,,2.1,2.89,2.95,4.65,2.1,,3.54,,2.5,2.87,2.82,4.66,,3.53,,4.88,2.18,,,4.68,2.4,2.82,3.3,4.9,3.5,3.87,,4.65,2.7,2.47,2.97,3.2,2.08,2.06,3.98,4.66,3.35,,3.71,2.78,1.77,2.24,3.01,,,3.76,4,,1.71,2.92,3.77,3.9,4.35,3.7,,,,
252845087143001,Paranpur,25.47916667,87.24166667,,,,,,,,,4.27,3.93,1.33,,3.01,4.56,,3.37,,5.25,0.95,1.25,,6.8,,,2.98,3.97,,2.34,2.69,4.15,,,1.5,6.86,,2.93,1.35,4.08,,,,,,1.6,1.65,,,,,,3.2,1.6,3.65,4.05,,,,,,1.69,3.1,,,1.55,,4.32,2.2,3.05,4.07,4.18,1.54,2.26,2.04,4.52,,,,4.44,0.92,2.92,2.7,4.21,1.55,3.09,3.06,4.97,1.2,1.85,,4.56,1.05,2.13,3.32,4.5,1.15,2.06,3.97,4.1,1.94,,3.56,3.72,2.53,2.21,2.89,,,3.23,3.4,,2.7,2.15,,3.8,2.66,2.33,,,,
253525087431001,Sonauli,25.59027778,87.71944444,,,,,,,,,4.84,3.7,1.07,2.85,2.85,4.56,1.15,2.71,,,,1.3,3.11,5.85,,,,,,,,,,,1.05,5.88,,2.85,1.25,,,,,,,1.9,1.95,4.15,1.36,2.3,2.43,4.12,1.35,1.65,1.8,2.45,,,,4.25,,,3.2,5.15,,1.6,,4.45,1.7,2.95,3.42,4.5,2.28,2.73,2.4,4.15,,4.01,,4.97,2.84,3.09,3.6,4.2,3.18,2.8,2.96,4.8,3.04,3.53,,4.57,1.86,2.5,3.3,3.23,2.7,1.56,3.28,4.33,2.73,,3.72,2.3,2.42,2.58,3.23,,,3.3,3.25,,2.1,2.83,3.62,3.14,3.77,3.28,,,,
253001087402801,Bastaul1,25.50027778,87.67444444,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,3.13,3.49,5.15,,,1.1,4.73,2.4,,1.2,4.62,,,4,,,,,,,,,,,1.25,3.05,3.2,,4.46,4.45,,,2.85,3.1,6.25,,2.69,3.6,4.75,1.9,3.1,3.21,3.59,2.98,2.92,2.25,5.1,,3.48,,4.5,2.87,3.57,2.94,4.44,2.7,2.9,3.08,4.37,2.8,3.48,,4.05,2.05,2.63,3.06,,2.45,2.62,4.64,4.37,3.37,,3.65,3.69,2.46,2.61,3.42,,,3.58,3.35,,2.55,,3.74,4.23,3.28,3.47,,,,
253945087454501,Kadwa,25.6625,87.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,4.25,,2.9,3.15,4.35,1.45,2.1,1.8,3.1,,3.21,4.78,,,3.47,4,5.25,1.75,3.32,,4.9,1.6,,4.2,4.6,2.07,,3.91,4.82,,3.9,,5.12,2.46,4.05,3.92,4.74,2.65,3.48,3.92,5.3,2.64,2.95,,4.35,1.97,3.33,4,4.85,,3.3,5.02,4.77,2.97,,4.15,4.31,2.44,2.82,3.46,,,3.66,4.75,,2.1,3.9,4.23,4.18,4.13,4.11,,,,
253215087360001,Katihar,25.5375,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.26,0.96,2.17,2.32,3.05,2.7,2.95,2.7,3.3,,2.32,2.87,4.4,,,3.6,6,3,3.18,2.79,4.8,3.8,3.85,4.3,4.96,2.7,3.17,1.93,5.9,,3.59,,4.99,2.85,4.4,3.48,4.64,3.55,3.18,3.69,6.3,3.19,3.83,,5.75,2.62,2.94,3.6,5.67,2.57,2.74,5.56,4.58,4.48,,3.88,3.77,3.27,2.23,2.97,,,4.4,3.5,,1.45,2.63,4.02,4.27,3.77,3.25,,,,
252015087383001,Manihari,25.3375,87.64166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,5.76,2.61,3.73,3.95,5.13,3.76,,3.91,4.71,,5.18,5.75,,,3.61,5.15,7.3,5.65,3.4,3.62,,,,7.58,8.4,5.12,6.47,6.34,8.56,,4.35,,3.16,5.46,5.06,4.79,6.61,4.8,5.23,5.73,8.37,5.99,6.43,,8.75,7.11,6.25,7.05,6.15,5.51,3.22,5.47,6.14,5.67,,6.08,5.78,5.41,4.64,5.18,,,4.37,4.38,,3.25,4.1,4.48,5.3,5.88,5.3,,,,
252931087353201,Hafla1,25.49194444,87.59222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,3.32,,,,,,,,3.5,,,1.62,3,5.3,3.2,2.66,,,,4,3.52,4.44,2.33,2.47,1.76,4.3,,2.97,,4.2,2.93,2.28,2.86,4.23,3.12,2.64,3.05,5,2.84,3.26,,4.29,2.03,2.22,2.94,4.84,2.14,,3.85,3.82,2.75,,3.08,4,2.69,1.72,2.34,,,3.32,2.73,,2.27,2.67,3.28,3.94,3.46,2.68,,,,
252945087144501,Narahaiya,25.49583333,87.24583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,5.2,3,2.6,3.38,4.78,3.86,3.36,3.84,5.5,3.58,3.69,5.77,5.24,,,3.31,5.12,3.42,2.8,3.5,5.77,3.54,,3.8,2.84,2.25,2.06,2.78,,,,,,2.5,2.65,3.7,4.07,4.1,2.65,,,,
253016087223001,Barari-1,25.50444444,87.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,2.92,3.57,4.22,5.54,3.94,4.95,6.33,2.87,4.4,5.26,4.3,,2.74,4.78,5.13,2.47,,3.97,5.66,3.39,,5.02,4.03,2.76,2.65,3.01,,,,4.35,,,2.76,4.84,4.13,4.6,3.77,,,,
252927087143301,Dumaria,25.49083333,87.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.44,3.59,4.51,7.8,3.4,4.42,5.1,7.36,3.59,4.65,5.52,6.64,2.9,3.9,,5.2,2.84,,3.86,5.88,3.88,,5.52,4.88,2.51,3.34,4.12,,,,4.78,,2.79,4.15,4.95,5.04,4.9,3.93,,,,
253623087271801,Khiria,25.60638889,87.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,3.57,,,3.51,3.98,5.66,3.78,3.79,4.27,5.05,3.88,3.48,4.04,5.82,2.88,3.08,4.67,4.89,4.16,,,4.74,4.02,2.98,3.67,,,3.9,3.93,,3.47,3.23,4.37,4.65,4.87,3.8,,,,
252758087360701,Basantpur,25.46611111,87.60194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,1.96,3.63,4.7,3.43,3.84,4.21,5.05,2.63,3.48,3.18,4.85,2.32,2.78,4.02,4.63,3.32,,3.78,3.4,3.35,2.22,2.84,,,,3.48,,3.09,2.5,3.75,3.98,3.41,3.42,,,,
