station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
253045086220001,Gangaut,25.5125,86.36666667,,,,,,,,,5.95,6.54,2.89,5.19,5.59,7.34,3.33,4.5,,5,,3.3,6.4,5.6,,,6.58,7.2,1.78,5.5,6.01,8.34,2.46,5.02,6.86,5.68,,5.12,6.9,4.71,2.12,,3.25,,,,,7.62,2.7,4.3,5.3,7.2,4.13,5.97,7.01,7.87,,,6.6,7.23,0.7,5.7,6.52,8.03,3.94,7.45,,8.2,4.64,4.65,6.6,8.2,2.6,5.2,6.55,7.5,,6.1,7.15,2.51,1.81,5.1,6.15,7.18,2.62,4.78,5.89,6.64,2.85,6.4,,8,2.28,4.35,6.5,7.63,2.25,5.47,6.85,7.76,3.65,,6.78,7.97,3.76,4.07,5.62,,,5.27,6.8,,3.01,3.83,3.25,7.38,3.13,4.33,,,,
252545086383001,Jamalpur,25.42916667,86.64166667,,,,,,,,,6.11,8.08,2.49,2.56,5.34,7.4,2.15,3.34,,5.2,,1.55,,6.85,,,1.91,5.23,1.05,2.73,3.31,6.6,2.1,1.62,2.85,6.76,,2.06,4.67,3.35,1.88,2.45,4.15,6.86,1.67,6.64,6.76,8.55,0.6,5.6,5.9,10.67,3.39,2.43,4.12,6.75,1.15,0.75,3.75,6.21,1.05,3.15,4.09,7.21,4.5,2.6,,7.05,5.92,6.15,9.65,8.95,2.45,2.85,4.25,6.35,,4.11,,6.85,3.34,1.85,2.8,5,1.66,2.29,3.63,5.63,2.35,1.69,,6.3,4,3.45,3.99,5.95,2.44,2.63,6.38,5.64,5.08,,3.97,5.1,2.98,1.47,2.05,,,1.31,1.95,,0.6,3.33,4.5,3,2.16,3.18,,,,
252930086283001,Khagaria,25.49166667,86.475,,,,,,,,,4.44,7.39,2.2,4.6,6.2,7.44,1.13,4.99,4.29,4.38,0.6,2.47,8.31,5.57,2.17,3.21,6.05,7.25,0.67,3.88,4.42,8.8,2.14,3.72,6.72,5.46,1.15,5.61,6.89,7.85,2.12,1.97,7.83,7.96,2.09,5.97,6.79,7.27,1.27,5.77,,6.67,2.43,5.85,0.17,0.7,,2.39,6.62,7.52,0.67,5.77,6.44,8.6,4.59,,,9,4.36,6.27,7.07,7.27,2.07,4.77,6.17,7.67,,5.57,7.55,7.44,,4.33,6.03,6.85,2.52,4.74,6.31,7.37,2.31,6.4,,7.77,2.03,3.85,6.38,7,2.91,5.5,6.84,8.05,3.4,,6.35,7.95,4.23,3.1,6.3,,,4.85,6.72,,1.4,2.94,3.85,7.22,3.1,4.16,,,,
252730086374501,Maheshkhunt,25.45833333,86.62916667,,,,,,,,,4.47,5.21,1.84,2.64,5.33,6.82,1.85,3.05,3.84,4.35,0.85,0.6,3.73,6.5,,2.48,,,,,,,,,,,1.93,,,,,,,,,6,6.62,,,,,,,3.7,5.62,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,1.34,1.34,,,,2.54,,5.58,,2.94,2.2,6.13,,,,,,,,,,,,,,,,,,,,,,,
252331086444601,Mohaddipur,25.39194444,86.74611111,,,,,,,,,4.96,6.57,1.7,3.32,6.2,7.44,1.13,4.99,,4.8,,2.8,4.78,4.5,1.55,,,5.75,2.34,3.53,4.26,,0.84,,,4.29,,,5.3,2.45,1.53,,4.8,6.07,,4.22,4.88,,1.45,4.3,4.9,4.9,4.49,4.38,5.3,6.15,,2.58,5.3,6.25,,,5.22,6.77,,,,7.8,6.65,6.5,6.5,7.6,3.7,4.15,5,6.85,,,6.23,6.7,2.4,3.2,4.54,6.42,2.46,3.05,3.82,4.46,2.36,4.88,,,5.07,3.11,5.56,8.9,4.75,4.7,6,6.73,5.88,,8.1,6.8,5.9,3.72,5.3,,,4.41,5.8,,0.65,3.55,3.18,6.3,4.1,5.19,,,,
253000086253001,Labhgaon,25.5,86.425,,,,,,,,,,,2.59,,,,2.32,3.47,,5.2,,1.5,6.05,6.85,,,6.3,7.27,2.37,4.88,5.29,8.2,2.78,4.32,6.7,6.93,,5.39,,3.45,3.22,,2.35,,,3.11,4.01,7.66,1.55,4.45,5.7,7.1,1.59,5.5,6.83,7.71,,,6.6,7.6,1.25,4.4,4.6,8.24,,3.9,,,4.72,4.75,5.5,7.9,3.2,5.3,6.6,4.2,,6,7.27,7.67,2.3,5.3,6.28,6.16,3.59,5.19,6.65,8.29,3.17,6.4,,8.4,2.9,4.9,6.6,8.93,3.12,5.54,5.47,7.44,3.94,,7.13,8.02,4.56,4.56,6.57,,,5.4,7,,2.06,4.4,3.35,7.7,3.74,4.19,,,,
253245086403001,Chautham,25.54583333,86.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,5.64,0.25,4.45,5.15,4.85,2.65,3.05,4.91,5.44,,,8.53,5.27,0.6,2.7,4.54,5.87,0.9,3.15,4.62,5.7,1.57,4.05,5.05,5.4,0.7,2,4.45,6.5,,3.7,5.23,5.2,1.36,3.03,4.26,5.19,1.52,2.29,4.4,5.05,2.52,3.74,,5.26,1.78,2.3,4.71,5,1.03,2.9,,5.18,1.8,,4.42,5.27,2.14,2.21,4.17,,,3.18,4.76,,0.8,2.33,4.64,3.79,2.33,3.44,,,,
253012086351801,Basantpur,25.50333333,86.58833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,1.99,1.56,,6.03,1.8,2.28,3.54,6.46,3.12,3.77,5.38,4.28,2.43,2.4,4.5,6.38,2.58,3.52,5.43,6.68,3.24,,5.2,6.53,3.94,1.95,4.41,,,1.73,4.5,,0.72,1,4.1,3.85,3.16,4.18,,,,
252646086395401,Gandhinagar,25.44611111,86.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.9,2.93,4.7,2.07,2.08,3.29,4.68,1.91,3.21,3.65,5.22,2.54,1.9,5.51,4.8,,,3.57,,2.47,,3.73,4.98,2.87,1.47,2.9,,,2,3.53,,1.21,1.2,3.15,,1.8,2.95,,,,
253004086250601,Kasimpur,25.50111111,86.41833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,4.85,5.65,6.7,1.71,2.86,4.02,7.6,2.74,4.9,5.6,6.4,2.83,4.4,5.61,7.17,1.5,3.92,6.4,5.66,3.5,,6.54,7.6,2.78,2.7,5.98,,,3.86,6.25,,1.73,3.53,3.3,6.9,3.1,3.19,,,,
252736086381501,Maheshkhunt 1,25.46,86.6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.36,4.16,6.04,2.58,4.42,4.73,4.98,1.12,3.82,4.66,7.46,,2.73,,,2.94,2.2,6.13,5.49,4.19,,4.63,5.9,2.82,1.4,,,,2.2,5.53,,3.01,,3.35,,,,,,,
252850086355601,Maheshkhunt _Lohiya Chowk,25.48055556,86.59888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,3.74,4.99,,1.9,2.62,5.42,6.44,1.12,5.2,5.42,7.25,2.94,3.4,5.36,6.2,2.08,3.31,5.45,,3.3,,5.58,6.75,3.57,2.89,4.83,,,3.81,4.37,,0.96,2.7,3.55,5.45,2.6,3.63,,,,
253639086434502,Pirnasara,25.61083333,86.72916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.6,6.28,1.65,2.81,4.02,4.81,1.82,3.44,3.72,5.4,1.58,,5.11,5.07,2.4,3.4,5.01,5.72,,,4.49,5.45,4.48,3.81,3.56,,,3.37,4.27,,,3.07,3.25,6.1,3.35,4.38,,,,
252146086424901,Dewri,25.36277778,86.71361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,2.3,3.4,2.08,1.57,,3.24,2.23,3.2,1.97,2.89,1.4,1.52,5.01,2.41,1.14,,1.44,2.65,1.49,1.28,1.39,,,1.18,1.33,,1.1,1.01,6.9,1.58,0.78,4.1,,,,
253032086232601,Ismailpur,25.50888889,86.39055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,2.43,6.27,6.95,7.77,2.38,4.68,5.93,7.7,2.52,5.04,6.39,7.66,3.46,,6.6,7.45,3.91,4.02,5.89,,,4.6,6.03,,1.92,4.11,3.35,8.73,2.91,3.9,,,,
