station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
253047087020001,Chausa1,25.51305556,87.03333333,,,,,,,,,2.52,2.8,2.32,2.4,,,,,,3.51,,1.9,2.45,3.27,1.2,1.88,2.17,2.2,0.58,2.4,,,,,,3.39,1.18,,,,1.21,2.4,,,,,,,,1.3,1.95,2.7,,,,,,,,3.92,,,,,,,,,4.27,3.95,3.3,3.9,,3.1,,,,,,5.91,2.44,3.07,3.99,,,,,5.91,3.45,,,5.9,3.9,3.05,3.85,5.05,2.59,3.06,4.11,5.04,3.35,,3.94,5.21,3.86,2.69,3.63,,,2.88,3.79,,1.8,2.4,2.6,4.55,,4.11,,,,
254515086542001,Gwalpara,25.75416667,86.90555556,,,,,,,,,2.18,2.26,2.3,2.46,3.09,3.18,1.42,2.28,2.68,3.37,,2.21,3.01,3.32,1.42,2.31,2.88,,1.21,2.65,,4.32,3.32,2.16,3.2,3.61,1.53,2.18,3.32,3.19,1.22,2.5,3.06,3.75,,2.72,3.18,4.27,2.1,1.7,2.2,3.75,2.02,,,,,2.2,3.3,4.75,,,2.19,3.15,1.4,3.15,2.96,4.7,3.62,4.05,2.7,4.1,,3.2,3.45,4.65,,,6.09,4.88,2.13,2.46,2.87,3.84,2.52,2.99,3.19,3.95,1.72,3.07,,4.47,,2.24,3.86,4,,,3.2,,2.22,,3.44,4.06,2.68,2.04,2.99,,,2.51,,,,2.1,2.25,4.1,3.91,4.41,,,,
255545086523001,Madhepura,25.92916667,86.875,,,,,,,,,2.9,3.19,1.86,1.97,2.78,3.5,1.33,1.9,2.39,2.91,,2.58,3.26,3.12,1.66,2.51,3.37,3.25,1.64,3.8,,3.54,1.87,2.35,3.03,3.29,1.83,2.22,3.15,3.38,1.63,2.6,2.85,2.79,2.74,2.94,3.5,3.57,2.35,1.65,3.3,4.5,2.75,3.43,3.63,4.17,,1.88,3.1,3.83,,3.4,1.66,3.92,1.98,3.9,3.83,4.1,2.62,3.4,4.1,4.8,3.7,3.4,4,4.32,,4.25,4.5,4.39,2.61,4.46,4.49,4.83,2.59,4.01,4.65,4.95,3.43,4.93,,4.87,2.15,3.74,4.57,4.69,2.55,3.42,3.23,4.36,2.37,,5.32,4.18,3.73,3.87,4.68,,,3.65,4.82,,3.1,,4.4,5.1,3.85,3.65,,,,
255300086590001,Murliganj,25.88333333,86.98333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,3,0.6,0.71,1.5,1.75,0.54,1.2,1.8,3,,2.12,3.1,3.85,,,,4.09,1.5,2.55,2.82,5.96,,2.75,3.1,3.3,1.9,2.75,2.7,3.72,,,4.36,5.96,1.3,1.96,2.3,,,,1.5,2.43,1.92,,,3.2,0.51,1.67,2.16,2.83,0.95,1.76,2.34,3.1,1.63,,1.64,2.96,1.56,1.57,2.24,,,2.01,2.46,,1.45,1.62,2.96,3.06,2.37,4.53,,,,
255930086490001,Singeswar,25.99166667,86.81666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.5,1.2,2.8,3.15,3.4,2.14,2.6,3.14,3.5,,,3.4,4.8,,2.2,3.22,3.91,1.58,3.05,5.32,4.5,2.35,4.1,3.5,4.3,3.5,3.65,3.35,4.85,,4,4.84,4.3,1.36,2.94,3.65,5.36,2.16,2.74,4.06,4.88,2.25,3.5,,4.32,,2.87,3.94,5.29,3.55,4,4.27,5.47,3.52,,4.15,5.36,3.77,3.11,4.2,,,4.05,4.16,,2.93,2.87,3.46,5.1,3.4,3.95,,,,
255545086523002,Hatkora bazar,25.92916667,86.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.33,1.41,2.08,2.68,3.52,2.26,2.45,2.83,3.85,1.69,2.92,3.38,3.86,1.13,2.1,2.82,3.48,1.3,,3.03,4.21,2.17,,3.21,4,2.11,2.02,2.9,,,2.49,3.51,,1.73,2.04,2.2,3.88,3.25,4.35,,,,
253152087025901,Abhiyatola,25.53111111,87.04972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.4,4.26,5.22,6.17,2.52,2.86,3.24,6.26,1.13,4.65,4.84,6.3,3.73,4,4.57,6.1,4.05,3.84,4.54,5.85,3.44,,4.98,6.12,5.11,3.54,4.3,,,3.51,4.65,,3.12,3.47,2.9,4.19,5.55,6.8,,,,
253533086585101,Ganeshpur,25.5925,86.98083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,1.62,2.22,3.19,3.63,2.26,2.58,3.02,4.26,3.37,3.27,3.48,4.13,,2.05,3.32,3.75,,,3.26,,3.33,,3.57,4.06,3.3,1.48,2.44,,,1.75,2.28,,0.69,1.12,2.8,3,2.6,3.65,,,,
253534086561801,Gaushala Chowk,25.59277778,86.93833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.75,3.14,3.83,2.12,2.19,3.14,3.93,1.72,3.57,3.68,4,1.57,2.7,2.71,3.61,2.18,2.72,3.3,3.48,2.66,,3.3,3.38,2.68,2.72,6.4,,,3.8,6.4,,,2.8,2.8,3.8,3.35,4.3,,,,
254458086592301,Kusthan,25.74944444,86.98972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.17,2.76,4.33,2.03,3.34,,4.76,,2,3.36,4.32,2.69,2.93,3.44,4.23,3.06,,3.64,4.61,3.4,2.5,3.23,,,3.01,3.68,,2.1,2.59,2.19,4.34,3.94,4.64,,,,
