station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
263430086094501,Jaynagar,26.575,86.1625,,,,,,,,,2.91,2.97,1.54,2.9,2.41,3.09,2.6,2.56,2.29,3.35,0.55,2.36,2.99,3.24,1.95,2,2.45,3.66,0.81,2.5,3.06,2,0.18,1.87,2.55,2.3,3.35,2.3,3.65,2.1,1.5,3.1,2.95,,,2.92,1.69,3.46,,2.3,2.5,3.41,2.71,2.07,3.01,2.6,1.05,2.7,2.34,4.3,1.2,2.78,3.63,3,,2.12,2.4,2.84,1.75,2.63,2.51,1.94,1.8,2.38,2.54,2.82,,2.66,3.18,4.06,1,2.09,2.42,2.6,1.58,1.84,2.41,2.94,1.88,2.26,,3.26,1.66,4.05,1.91,2.48,1.16,1.48,1.96,2.38,,,2.32,2.68,1.2,2.66,2.08,,,1.42,2.08,,2.12,1.91,2.26,1.82,0.83,1.85,,,,
262200086300001,Kapileshwar,26.36666667,86.5,,,,,,,,,4.1,,1.9,1.95,2.94,3.87,0.53,2.25,2.39,3.88,0.57,2.1,2.42,3.84,1.75,1.78,2.9,3.48,0.73,2.8,3.39,,0.54,1.78,2.88,4.3,,4.6,,3.4,,,3.4,,0.55,,3.4,4.16,,3.55,,5,,3.27,4.08,4.1,1.4,2.46,2.84,4.05,1.3,3.84,3.1,,,2.5,2.85,4.28,2.18,3.5,,,2.5,2.7,,3.74,,,,5.4,3.33,3.51,4.5,4.2,2.16,1.87,2.92,3.51,2.55,3.14,,4.68,,6.4,2.9,1.5,0.72,3.55,3.84,4.88,2.7,,4.84,4.9,2.65,3.1,3.15,,,2.29,2.68,,1.97,1.83,2.47,3.53,2.73,4.28,,,,
262600086091501,Karmanli,26.43333333,86.15416667,,,,,,,,,4.75,2.89,1.58,2.01,2.18,,,,,,,1.98,,4.35,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,4.18,,,,,,,,4.42,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262100086040001,Madhubani,26.35,86.06666667,,,,,,,,,1.86,2.12,0.55,3.45,1.78,2.56,,2.64,1.35,3.18,0.55,0.9,1.46,2.05,2.06,1.23,1.47,1.27,0.11,1.2,1.56,1.66,1.78,1.36,2.32,0.6,4.39,1.54,4.1,1.1,0.4,2.6,1.85,1.06,0.7,2.8,2.5,2.31,,,,2.95,0.25,0.8,3.03,0.7,,0.53,0.84,3.1,0.3,2.4,2.05,2.55,1.63,1.7,2.7,6.6,1.14,2.5,2.38,1.43,1.1,1.95,1.75,,,2.11,2.81,,0.85,2.41,2.76,3.1,1.13,1.24,1.7,1.46,0.95,1.59,,2.66,1.27,,1.26,1.58,1,1.07,1.7,2.2,1,,2.2,1.53,1.23,1.4,1.58,,,1.4,1.7,,2.73,1.33,1.43,0.84,1.15,1.42,,,,
262601086091301,Karmnali,26.43361111,86.15361111,,,,,,,,,,,,,,,,,,,,,,,,2.72,3.02,,,2.25,2.93,,,,,,,,,,,,2.45,,,,,4.18,,,,4.26,1.45,,,,,,,,,2.5,,,,,,,,,3.71,,,,2.7,,,3.77,4.27,,,2.71,3,,1.45,1.59,2.46,3.68,,1.48,,,,,,,,,3.53,,0.7,,0.65,5.02,2.73,2.76,1.83,,,2.83,3.55,,,,3.31,3.15,2.06,2.14,,,,
261545086060101,Phulparas1,26.2625,86.10027778,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1,1.11,1.4,,,1.53,4.4,4.4,1.5,4.5,,,3.6,2.85,,0.2,,,,,,,2.68,,,1.58,1.9,,1.4,,1.7,,,0.7,,,,,,,,,1.16,0.95,1.8,,2.51,,2.42,,2.81,,1.27,1.34,2.74,2.1,1.49,2.39,2.15,1.33,1.79,,,,2.18,0.92,2.1,,,1.5,2.14,0.57,,1.62,2.79,0.6,1.08,1.58,,,1.1,1.25,,1.92,1.05,1.22,1.45,0.13,1.36,,,,
262730085581501,Benipatti,26.45833333,85.97083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,4.63,,1.73,,,0.9,,,2.35,,,1.47,,,,1.45,2.96,,1.05,1.7,2.65,1.09,2.15,2.21,2.36,0.95,1.4,1.4,2.02,,1.87,2.32,2.57,0.65,0.94,1.26,2.2,0.65,0.74,1.32,4.8,,4.8,,2.85,0.55,,,1.6,0.5,0.79,1.65,1.97,0.58,,1.55,2.31,0.65,,,,,0.78,0.95,,,,,,,,,,,
261500086080001,Bhawanipur,26.25,86.13333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,5.78,,4.18,,7.61,3.48,3.88,7.3,,,2.92,4.73,4.38,3,5.1,4.18,5.12,2.73,3.28,4.56,5.43,2.08,3.73,5.03,,4.7,3.68,4.02,6.45,,4.7,6.82,,4,4.39,5.22,6.68,3.71,1.25,3.92,5.12,2.38,5.36,,8.12,4.03,5.39,3.11,5.21,2.96,3.41,4.8,5.84,4.59,,6.58,7.23,4.68,4.53,4.21,,,3.46,4.63,,5.11,3.6,4.23,5.62,5.57,5.37,,,,
262945086100001,Khajauli,26.49583333,86.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,4.82,,2.37,2.51,,4.41,,,3.18,,1.42,2.06,5.75,0.45,2.1,2.52,3.6,,,2.42,3.62,1.27,,3.32,3.77,1.87,2.12,1.87,3.58,,3.74,4.32,4.52,2.42,2.74,3.01,4.02,0.89,1.91,2.18,3.11,2.61,2.21,,3.95,1.18,2.14,1.82,2.44,1.09,1.58,2.28,3,0.39,,2.54,2.98,1.25,1.17,1.83,,,1.07,1.71,,1.05,1.07,1.7,2.85,1.75,2.97,,,,
263200086061501,Narar,26.53333333,86.10416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.11,,3.2,3.5,,2.19,2.36,3.95,4,0.6,1.5,,3.65,,2.2,2.35,3.5,,2.1,2.95,5.1,0.78,3.89,4.5,5.19,1.5,,2.3,5.32,,5.57,6.17,5.44,3.4,1.68,2.16,5.88,1.04,1.13,1.55,3.85,1.04,1.98,,3.23,1.3,2.15,2.08,3.06,0.7,1.6,1.96,3.5,0.42,,,2.82,1.05,1.3,1.52,,,1.27,1.47,,2.44,1.14,1.05,0.85,0.7,0.95,,,,
