station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
261900085350001,Aurai,26.31666667,85.58333333,,,,,,,,,4.08,4.45,1.92,1.66,2.11,3.03,0.58,1.79,1.9,2.41,,1.25,2.03,2.97,,1.27,1.71,,1.2,,,,1.22,2.12,1.54,4.03,,,,3.07,,,2.28,3.11,0.48,,3.23,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
260945085270001,Bochaha,26.1625,85.45,,,,,,,,,5.82,5.41,2.79,3.54,4.1,5.54,2.1,4.6,3.96,6,1.1,4.28,4.82,5.3,1.25,3.8,3.8,4.43,2.6,,,5.4,2.62,3.63,3.32,,2.25,3.5,2.36,,2,2.8,3.15,,,3.66,3.4,5.46,2.73,4.75,,,3.05,2.46,,6.34,1.5,2.96,3.68,6.95,1.96,3.16,6.12,6.5,5.31,4.81,5.52,6.41,6.16,5.56,5.86,6.48,5.7,5.21,4.18,6.26,,4.76,,6.16,5.85,5.41,5.1,6.6,5.65,4.8,5.12,5.6,6.06,6.68,,7.1,6.2,6.65,6.85,7.33,6.5,6.49,5.67,6.44,6.49,,6.86,7.46,6.5,5.92,6.27,,2.82,3.19,4.3,,,3.27,3.92,6.03,5.06,3.4,,6.45,,
255530085353001,Dholi,25.925,85.59166667,,,,,,,,,6.3,5.17,2.96,4.48,5.06,6.12,0.85,3.73,4.63,5.8,2.41,2.65,4.41,5.57,,2.7,3.95,5.19,3.12,3.65,4.21,,2.67,3.98,3.03,7.35,1.95,3.7,4.3,5.25,2.35,2.69,4.8,5.81,0.85,4.3,5.55,,4.67,5.25,,7.32,4.4,4.9,6.1,6.49,0.04,2.92,3.45,5.21,1.99,1.78,2.75,5.95,4.88,4.52,5.35,,5.95,6.1,6.55,7.63,5.95,4.4,4.96,6.8,,4.85,6,7.05,,5.1,6.18,7.26,2.49,5.15,5.6,6.77,4.95,6.61,,8.16,4.73,6.7,7.07,7.9,3.3,6.18,6.06,6.52,7.39,,7.82,8.75,5.4,3.87,5.72,,3.33,2.8,3.01,,1.1,3.14,3.85,6.18,2.8,4.72,,6.7,,
261500085251001,Gargaliya,26.25,85.41944444,,,,,,,,,3.15,3.82,0.91,1.53,2.02,4.65,,1.48,2.84,2.55,1.35,1.6,2.91,,,,,,0.92,,,,0.22,2.06,,3.4,2.9,,,,,,1.8,,0.15,,2.05,,3.21,,,,2.4,,,,,,,,,,,,2.35,,6.4,5.37,,,5.27,,,3.05,2.59,3.9,,,,5.56,4.7,,4.36,,3.01,4,4.15,5.16,5.42,5.14,,6.4,5,6.02,,6.07,,3.9,3.87,4.06,4.68,,5.33,6.4,3.47,3.17,5.47,,0.44,1.69,2.95,,,2.09,2.63,4.98,3.9,4.01,,5.3,,
261300085383001,Katra1,26.21666667,85.64166667,,,,,,,,,3.87,3.71,2.38,1.87,2.36,3.88,0.69,2.11,2.08,3.43,,2.4,2.11,,,,,,2.22,,,,1.5,3.29,,3.5,,,,,,,4.29,3.16,0.44,2.82,4.29,,4.21,,2.35,,3.69,,,,,,,,,,,,,,,2.77,,,2,3.25,,,2.01,4.3,,,,4.78,,,,,2.29,2.38,3.78,5.31,4.82,5.39,,6.36,4.92,4.48,4.73,5.98,3.7,4.1,4.39,5.79,3.65,,4.88,6.3,4.98,2.51,4.07,,2.23,3.02,3.38,,,3.02,3.4,5.26,3.08,3.2,,0,,
260136085273601,Mahantmanihari,26.02666667,85.46,,,,,,,,,5,6.98,2.24,2.62,3.35,4.53,1.2,2.45,2.75,4.4,1.01,2.7,3.33,4.28,0.72,1.47,3.15,3.79,0.95,2.57,3.28,,1.03,2.16,1.93,4.45,3.2,2.27,3.38,4.54,3.1,2.41,4.45,4.15,0.65,3.17,3.65,4.29,3.52,4.03,,5.7,3.14,2.62,4.6,4.7,0.3,2.12,,4.62,,,,4.82,,,3.48,,,,4.95,,1.95,2.2,3.93,7.19,,2.65,,7.84,4.48,3.5,3.64,,1.27,3.15,,4.67,4.78,7.15,,5.58,4.72,5.64,,5.79,5.1,5.65,5.25,5.42,5.52,,7.8,7.8,5.36,5.03,5,,1.19,1.51,,,,1.66,2.26,4.44,2.22,1.96,,7,,
260645085174501,Muzaffarpur,26.1125,85.29583333,,,,,,,,,3.07,4.38,1.08,2.27,2.88,3.68,0.7,2.16,1.68,3.8,0.58,2.1,1.92,3.55,0.52,1.7,,2.73,0.96,2.38,2.93,3.6,0.93,2.13,2.16,3.45,1.43,1.7,2.3,3.85,1.31,1.8,2.95,,1,1.83,3.6,3.72,3.23,2.1,2.57,4.12,3.1,2.5,3.5,4.55,1.1,1.6,2.1,4.48,1.25,1.46,2.32,3.6,2.7,3.62,4.89,,2.65,3.69,4.6,,1,1.55,1.83,4.26,,2.5,2.85,5.5,4.91,2.76,3.13,5.25,2,2.84,2.16,4.58,4.1,4.93,,,4.28,5.35,5.54,7.28,4.8,6.1,5.02,7.53,6.17,,6.6,7.91,7.13,5.45,5.46,,0.27,4.23,2.8,,2.1,1.86,2.05,3.79,2.4,1.34,,4.7,,
262115085334501,Rajkhand,26.35416667,85.5625,,,,,,,,,3.62,4.36,1.88,2.51,3,4.39,0.72,2.29,2.78,4.68,,2.59,2.86,4.25,,1.69,2.25,,1.35,,,,0.29,2.48,1.88,3.57,3.72,,,4.97,,,3.32,4.37,0.17,,3.02,,,,2.57,,1.17,,4.29,,,,,,,,,4.32,1.8,1.69,,4.12,,2.17,3.32,4.97,,,2.13,3.91,,,,4.77,2.85,2.67,3.19,4.92,1.52,2.86,2.35,5,4.36,3.77,,5.31,4.12,3.23,4.37,3.66,,3.35,2.72,4.16,2.77,,3.95,5.81,2.27,1.99,2.76,,1.73,2.49,2.77,,,1.95,2.57,4.63,,3.04,,4.7,,
260245085211501,Sakri chatti,26.04583333,85.35416667,,,,,,,,,4,3.95,2.16,2.55,3.17,,,2.74,2.59,4.29,1.11,2.29,2.74,4.61,1.06,1.86,2.39,3.2,1.54,2.57,2.69,,0.78,2.36,2.51,6.14,3.47,2.34,3.7,3.74,2.76,2.8,4.34,3.37,0.69,3,4.39,4.72,2.95,2.64,2.89,4.12,2.64,1.74,2.43,3.89,,1.35,,,,,,,,,9,4.25,3.54,4,3.39,,1.44,1.59,1.82,,,,,9,4.34,1.47,1.95,3.18,1.04,1.9,2.61,3.22,2.45,2.52,,3.65,2.53,2.57,3,4.09,2.62,3.1,2.56,5.06,3.23,,4,9,3.02,2.14,2.3,,1.62,2.01,3,,,,1.03,,1.5,,,,,
260629085330001,Surfuddinpur,26.10805556,85.55,,,,,,,,,3.56,5.78,2.25,2.58,3.07,4.17,1.08,2.76,2.84,3.68,0.18,2.26,2.88,4.3,0.37,2.16,2.11,,2.19,,,,2.08,3.18,2.85,3.36,2.64,2.36,3.18,,2.46,2.1,2.66,,0.48,3.08,2.41,4.38,2.05,3.66,3.82,4.73,2.81,2.42,4.01,,,2.78,3.02,,,,,,,,,4.7,,,5.5,,1.66,2.06,2.96,4.11,,4.96,3.1,4.88,,3.9,4.68,,4.7,4.2,4.58,6.14,4.3,5.2,,5.43,3.05,1.56,,1.39,4.8,5.05,1.36,5.27,1.42,,6.5,6.5,6.25,5.02,5.3,,1.39,1.96,2.9,,,,3.1,,1.28,,,0,,
