station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
270515084051501,Bagaha,27.0875,84.0875,,,,,,,,,2.65,4.01,1.49,1.91,2.66,2.98,1.74,2.03,2.38,2.95,1.08,3.39,2.96,3.33,,2.79,2.96,3.12,1.24,2.48,2.88,3.2,0.89,1.68,1.29,3.24,0.3,,2.84,4,0.19,1.79,,3.2,0.55,1.88,2.42,,,,,,,,,2.89,,1.89,2.43,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,,,2.99,1.46,3.26,,4.01,1.51,3.36,3.82,3.76,0.75,4.15,3.93,4.11,1.39,,3.15,4.22,2.24,2.02,4.02,,,3.12,4.1,,1.1,2.7,3.3,3.47,2.25,2.68,,4.3,,
271000084303001,Banspur pipra,27.16666667,84.50833333,,,,,,,,,4.2,3.32,,1.43,,,,2.24,2.59,3.41,,,,,,,,,,2.1,2.52,,,,1.68,,0.67,,,,,2.49,,,,,,4.54,,,,,,6.09,,,,,,6.09,,,2.54,4.52,,,3.76,,,,,,,,2.44,4.56,,,,4.44,3.39,,,,1.47,1.08,,6.09,1.67,3.28,,3.17,2.21,,,,2.18,,,3.29,,,3.37,,,,6.09,,,3.27,,,,,0.41,2.84,1.64,1.78,,2.9,,
272545083563001,Valmikinagar,27.42916667,83.94166667,,,,,,,,,4.7,5.41,,4.57,4.85,5.28,3.56,4.42,4.67,4.92,2.05,4.54,5.27,5.16,,4.49,4.89,4.98,,3.7,,,,,2.54,,0.36,,4.69,,,4.99,,,2.71,1.52,4.89,4.69,,,,,,,,,,,,,,5.3,,,,,,3.45,1.78,2.51,,,2.14,2.63,,3.69,,1.81,,2.57,4.31,2.67,2.45,2.15,0.99,2.58,2.64,2.19,1.84,3.3,,3.17,1.35,,2.25,,2.3,3.12,2.35,2.27,1.62,,0.56,2.25,1.6,2.33,2.8,,,2.5,2.2,,,2.55,2.65,2.7,1.85,2.39,,2.8,,
265715084314501,Chanpatia,26.95416667,84.52916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,4.87,,3.92,,,1.87,3.77,4.01,4.52,,3.42,4.16,5.12,0.8,4.3,3.52,5.48,1.87,3.52,4.32,4.92,2.06,3.8,3.42,,1.82,3.97,5.03,5.12,,3.97,,4.64,3.59,,2.29,5.1,1.01,2.91,3.93,5.5,2.55,4.42,,5.01,3.37,4.12,4.16,4.93,0.65,4.7,4.58,5.06,2.54,,4.68,7.94,3.25,3.7,4.38,,,3.55,4.5,,0.36,3.65,4.18,4.77,3.32,3.5,,5.2,,
265900084250001,Lauria,26.98333333,84.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1.3,,3.1,3.7,,2.58,3.34,,1.1,3.29,3.55,,1.55,2.94,,4,0.85,3.15,3.5,6.72,1.06,3.15,3.37,6.03,,3.1,,4.6,2.02,2.25,2.89,,0.61,2.4,3.16,1.74,1.74,3.31,,3.65,2.6,3.11,3.44,4.06,1.55,3.7,3.62,4.7,1.31,,4.1,4.77,1.86,2.67,3.82,,,3.04,3.68,,1.04,2.85,3.01,4.02,2.48,2.65,,4.7,,
271700083561501,Naurangia,27.28333333,83.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,1.22,,,,,,,5.34,,,,,3.55,5.25,3.44,,,,7.74,4,0.72,1.68,,,2.69,3.75,3.3,4.52,,2.15,,3.93,2.14,2.9,3.83,3.92,0.62,3.6,3.2,4.03,2.16,3.77,,4.02,2.45,,3.56,4.39,2.6,3.6,3.76,3.99,2.13,,3.68,4.38,2.22,2.78,3.16,,,2.48,3.3,,,2.8,3.55,4.25,1.9,2.5,,4.05,,
271015084191501,Ramnagar,27.17083333,84.32083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,,,6.38,6.38,6.38,,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,5.05,,,4.87,5.08,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
271846084013301,Harnatanr,27.31277778,84.02583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,,4.1,,4.14,,3.11,,5.88,,,3.45,,,,5.88,,,,,,,,3.7,,,,,5.88,2.98,2.77,3.28,4.54,1.03,2.72,3.28,4.3,1.72,3.32,,4.78,3.98,3.16,3.39,4.85,1.85,3.12,3.49,4.45,1.99,,3.48,4.68,2.1,2.69,3.02,,,2.69,3.29,,,,3.38,4.18,3.1,2.37,,4.7,,
270824084255501,Korigawa Chowk,27.14,84.43194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.24,1.98,3.39,1.22,1.02,1.98,2.49,1,1.55,3.07,3.19,0.88,1.98,2.26,2.81,0.95,1.48,2.37,3.51,0.84,,7.13,7.13,1.52,1.62,1.56,,,1.52,,,0.5,1.5,0.99,1.2,0.45,1.23,,0,,
270452084102701,Belwa,27.08111111,84.17416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,3.21,1.01,0.83,2.5,3.03,1.13,2.22,2.67,3.5,1.47,2.45,2.48,2.88,1.42,3.15,2.55,2.23,1.27,,2.3,3.04,1.75,2.29,2.61,,,2.23,2.69,,,2.25,2.88,4.01,2.25,2.6,,5,,
