station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
262515085033001,Chakia1,26.42083333,85.05833333,,,,,,,,,3.6,5.58,0.3,1.41,3.59,4.72,1.18,,2.85,4.24,1.36,1.18,1.5,3.96,0.52,1.5,3.31,7.5,0.32,2.12,2.8,4.12,0.4,1.06,1.97,2.37,1.62,2.12,2.68,4.12,0.08,,3.05,4,,,,,0.72,8.53,8.53,6.97,,,5.63,,,,,,,2.8,3.6,6.18,2.85,4.26,5.18,6.95,3.44,4.5,4.9,,,,2.47,5.07,,,,4.5,4.06,3.34,,4.23,2.03,4.44,3.1,4.28,2.96,5.72,,4.89,3.31,4.79,4.97,5.6,,4.55,4.53,4.54,4.15,,5.46,5.65,1.1,0.63,3.07,,,0.38,2.15,,0.32,1.05,1.17,5.08,0.9,3.34,,0,,
262330084571501,Dharampur,26.39166667,84.95416667,,,,,,,,,3.68,,1.27,2.01,3.27,4.95,2.13,2.67,3.32,4.72,,3.3,3.56,4.59,0.95,2.13,,4.16,,3.35,3.69,4.28,,2.88,2.3,,,,,4.3,,,3.95,,,,,,,,,,,6.78,,,,,,4.25,,3.35,3.5,,1.65,1.3,,,2.33,2.73,,6.78,1.75,1.9,3.41,6.13,,3.3,,4.53,3.53,2.47,3.21,4.95,1.56,2.43,3.33,4.82,3.46,4.32,,4.53,3.75,3.12,3.62,5.12,1.65,3.8,4.09,4.73,1.55,,4.05,4.86,,1.95,2.83,,1.34,1.96,3.4,,,2.49,1.83,4.25,,2.9,,6.5,,
263025084503001,Dipau,26.50694444,84.84166667,,,,,,,,,2.34,3.46,1.52,2.72,2.94,3.57,0.92,2.72,2.81,3.39,,,2.92,3.63,0.87,2.82,2.71,3.07,,2.35,2.8,3.56,0.62,1.74,2.72,3.46,0.93,1.62,,4.22,0.22,2.54,,3.95,,,3.06,4.17,1.12,3.07,,3.75,0.77,2.92,2.69,3.72,,2.92,3.02,3.47,0.9,3.35,2.92,4.79,0.77,2.74,3.63,,1.62,3.12,3.82,5.16,1.72,2.87,2.88,4.53,,1.42,,4.83,2.41,2.42,2,2.46,1.78,2.34,2.92,3.16,1.88,2.42,,3.2,1.43,2.27,2.39,4.08,1.25,3.7,2.71,3.57,0.88,,2.67,3.21,1.33,2.31,1.9,,1.33,1.4,1.98,,0.75,2.49,0.67,3.92,1.2,2.27,,3.8,,
264900085083001,Ghorashan,26.81666667,85.14166667,,,,,,,,,2.73,5.19,1.64,1.88,2.69,3.84,1.35,2.21,2.48,3.77,1.78,3.08,3.36,4.1,1.69,2.91,3.06,4.05,1.74,3.19,3.37,,1.23,,2.19,3.9,,2.34,2.92,,,1.83,,,,2.77,3.08,4.44,,,,,,2.94,,4.27,,,,,,,2.94,,1.34,2.06,3.1,3.97,,2.22,4.24,,2.24,2.59,2.48,4.22,,3.69,,4.73,1.62,2.23,2.85,3.22,2.17,1.81,2.07,3.54,1.56,3.44,,4.23,1.73,2.45,2.71,2.92,,2.5,2.73,3.64,1.49,,3.54,4.47,2.24,1.83,2.49,,1.39,2.52,2.62,,,1.75,2.05,2.8,1.74,1.44,,4,,
263915084394501,Gobindganj,26.65416667,84.6625,,,,,,,,,2.33,4.73,1.39,1.85,3.41,3.7,1.01,2.27,2.54,3.78,1.2,1.26,1.96,3.41,0.1,1.58,2.23,3.3,0.3,2.63,2.52,3.25,0.55,1.5,1.05,3.53,1.01,2.25,1.49,3.25,0.15,1.31,2.62,3.37,0.93,2.32,2.61,3.85,1.65,2.5,2.55,3.15,1.74,2.05,2.78,3.65,,1.15,2.09,3.45,1.15,2.45,1.95,4.9,0.65,2,3.6,4.1,0.8,1.63,2.25,4.21,0.65,0.8,2.09,3.7,,1.7,,3.6,,0.75,1.41,2.64,0.77,2.45,1.35,3.05,0.62,2.38,,3.57,1.85,1.38,2.52,3.48,0.82,2.75,2.49,3.44,0.25,,2.43,3.93,1.96,,,,1.66,0.79,1.85,,,0.71,1.3,2.86,1.94,1.26,,3.5,,
263915084544501,Motihari,26.65416667,84.9125,,,,,,,,,2.44,,2.9,3.62,3.97,5.5,2.9,2.74,3.72,5.1,0.7,3.6,3.88,4.98,2.1,3.51,3.78,4.34,2.7,3.38,3.69,4.8,1.53,3.4,3.6,,1.7,3.6,,4.9,0.6,,,4.57,,,,5.15,1.9,3.7,3.82,,3.45,3.3,3.66,,,3.4,3.89,4.7,1.5,3.68,3.65,5,1.85,3.4,3.53,,2.4,3.61,4,4.93,2.2,3.25,3.5,4.74,,3.45,,4.77,2.81,3.03,3.53,4.02,2.11,2.7,3.3,4.55,2.56,3.82,,4.82,2.23,3.81,3.98,4.46,2.1,4.15,4.15,4.77,3.19,,,5.42,3.18,2.3,5.42,,,2.9,3.6,,1.31,,,3.75,3.05,3.3,,0,,
263430085101501,Patahi,26.575,85.17083333,,,,,,,,,2.14,5.87,0.39,1.19,,,,2.11,2.45,3.47,0.87,2.98,3.26,4.45,0.27,2.84,3.03,4.22,,3.13,2.61,,0.76,,1.67,3.69,1.42,,,,,2.52,,,,,3.31,3.95,,,,,,3,,3.3,,,,,,,3.05,,1.8,2.35,3.01,,,,4.9,,2,2.1,3.17,4.04,,,,5.05,3.69,2.97,3.47,4.31,1.41,2.65,2.2,4.16,3.47,5.13,,4.84,2.03,4.35,4.56,5.09,1.82,4,3.76,4.43,3.8,,,,,,4.9,,,2.62,,,,2.2,2.96,3.55,3.5,3.3,,0,,
265900084500001,Raxaul,26.98333333,84.83333333,,,,,,,,,3.13,5.2,1.29,3.61,3.29,4.11,2.51,3.22,3.63,3.75,1.8,2.61,2.99,4.84,1.16,2.63,2.92,3.82,1.41,3.4,3.6,3.7,1.12,2.62,2.26,,2.67,1.61,3.21,3.62,0.27,3.31,3.9,3.65,1.91,2.78,3.07,3.61,2.11,3.51,,,2.81,3.36,6.79,3.81,,2.61,3.15,,,4.05,3.26,,,,6.79,,,,6.79,,,,3.01,,,,,4.06,3.25,3.28,2.93,3.81,1.45,3.15,2.86,3.78,1.09,2.92,,3.23,3.36,3.75,3.83,4.62,,2.98,3.84,3.66,2.49,,3.68,4,2.77,3.33,3.52,,,3.29,3.52,,,3.68,3.36,3.56,2.56,3.38,,3.9,,
264340084474501,Sagauli,26.72777778,84.79583333,,,,,,,,,2.62,4.12,2.03,2.84,3.47,4.36,,2.56,2.72,3.8,0.92,1.68,2.39,4.13,1.16,2.85,3.4,3.83,1.76,2.71,3.15,3.93,1.21,1.8,2.06,3.74,1.11,1.66,2.86,3.76,0.5,,3.2,,,,2.71,4.06,1.56,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.76,,,,,2.51,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
264518084583201,Lakhwara,26.755,84.97555556,,,,,,,,,,,,,,,,,,,,,,3.7,1.44,,,3.35,1.99,1.58,1.83,2.92,0.59,1.21,2.09,2.74,,1.99,2.83,2.64,0.05,0.96,,,,1.26,1.8,,,,,,,,,,,,,,,,,,0.74,1.54,,,0.54,1.59,1.99,4.32,0.74,0.94,1.15,2.77,,1.29,,4.21,1.51,0.62,1.16,2.01,1.91,0.75,1.09,2.4,,0.6,,2.46,1.14,1.22,1.68,1.97,,2,1.91,2.45,0.5,,2.13,2.92,3.18,0.59,1.87,,,1.81,1.5,,,1.46,1.23,2.07,1.65,0.78,,2.5,,
