station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
253515085363001,Bajidpur,25.5875,85.60833333,,,,,,,,,6.09,8.1,3.68,3.59,3.92,6.07,2.67,3.75,3.15,5.67,,2.78,3.21,6.3,,3.45,3.82,6.1,3.29,,,,,,,4.47,3.32,,,4.15,,,3.02,3.67,0.72,2.75,2.79,6.11,4.31,,,7.16,5.47,,,,0.22,2.97,3.12,6.02,1.71,2.62,4.36,,5.54,5.02,6.03,,,6.41,6.64,7.48,5.47,5.43,5.88,7.43,,5.38,5.9,6.8,5.46,4.48,4.75,6.63,4.3,4.72,5.14,7.04,6.24,6.27,,8.31,5.24,4.73,4.72,,4.14,5.48,3.99,7.24,3.9,,6.21,7.69,6.91,3.84,9,,4.45,2.93,3.5,,0.95,1.74,2.87,5.53,3.48,4.98,,,,
254015085471501,Dalsinghsarai,25.67083333,85.7875,,,,,,,,,6.87,,2.6,3.57,4.3,6.19,2.89,3.29,3.65,6.14,1.43,2.95,3.77,5.91,1.06,2.94,3.69,4.17,2.11,,3.52,,2.21,3.56,3.45,5.09,4.2,2.34,4.4,4.59,,3.5,3.59,5.82,0.59,3.86,4.32,6.08,5.4,6.03,6.03,,5.69,3.34,5.8,6.56,,1.86,2.94,6.12,1.51,2.21,3.77,6.15,3.82,4.02,5.7,7.48,3.35,6.83,7.65,10.52,5.79,5.5,5.5,6.57,,5.8,6.5,6.25,4.06,4.02,4.65,5.4,2.9,5.36,5.72,6.57,5.77,6.82,,8.91,5.49,5.1,5.51,6.92,4.04,5.4,6.06,7,5.4,,6.4,7.52,6.95,,5.46,,5.2,3.2,3.38,,,1.62,4.34,,2.7,3.6,,,,
253530085424501,Madudabad,25.59166667,85.7125,,,,,,,,,6.45,7.1,6.73,3.98,4.71,6.88,3.03,4.22,4.05,6.46,,3.05,4.17,6.17,,3.8,4.1,5.96,,,,,,,3.68,5.63,2.83,,,,,,2.78,,0.07,,3.79,6.42,3.56,,,,,,,7.83,,2.74,3.93,6.7,1.15,2.43,4.78,7.7,5.84,5.1,5.8,7.65,7.43,6.56,6.54,7.92,6.13,5.6,6.25,7.19,,5.28,5.56,6.75,5.07,,3.67,6.78,3.8,5.01,5.37,6.68,5.76,5.22,,8.06,5.67,6.76,5.23,5.42,5.52,6.11,4.86,7.7,5,,5.3,8.06,,,8.06,,,,,,2.66,2.46,3.45,,4.7,3.46,,,,
254545086023001,Rosera,25.7625,86.04166667,,,,,,,,,6.23,6.6,1.6,4.19,4.92,6.83,2.3,3.63,4.41,6.06,2.19,4.04,4.52,5.95,,2.96,3.3,6.62,2.46,,2.96,,2.53,3.58,5.5,6.6,,5.1,,5.31,,,5.6,5.43,1.05,,5.45,5.98,,6.15,6.15,8.06,4.9,,,7.1,,4.19,,,,4.86,5.94,7.5,4.83,5.55,,7.24,5.45,6.96,6.92,11.1,5.1,6.03,6.53,7.54,,6.51,7.18,7.43,6.34,6.32,6.54,7.93,1.57,5.88,6.31,7.37,7.13,5.93,,11.1,5.85,7.68,6.62,7.18,1.34,4.8,5.12,7.08,5.61,,7.13,11.1,6.03,5.76,6.53,,4.98,4.85,5.63,,3.32,4.18,5.47,6.85,5.9,5.93,,,,
254852085391401,Tajpur1,25.81444444,85.65388889,,,,,,,,,6.7,5.79,5.7,4.03,4.8,5.98,1.5,2.68,3.15,4.89,0.56,3.08,3.66,5.13,0.24,2.54,2.7,5.03,0.66,,3.88,5.15,0.82,2.12,2.47,3.3,2.1,2.6,3.2,5.3,1.85,2.9,2.95,5.35,0.95,4.28,2.23,5.22,6.05,4.68,4.68,4.67,4.67,4.67,4.67,4.68,,2.82,3.6,,2.14,3.21,4.08,,,5.45,6.25,6.18,7.43,7.26,7.63,7.99,3.2,3.2,5.45,8.1,,7.38,,8.04,6.61,4.02,6.9,8.22,,6.4,6.87,7.98,7.8,6.21,,8.8,5.8,6.15,7.12,8.3,4.82,6.2,5.74,7.72,6.73,,8.28,9.26,8.5,6.65,,,4.21,4.2,4.23,,,1.95,2.39,4.7,3.92,4.02,,,,
254600085494501,Ujiarpur,25.76666667,85.82916667,,,,,,,,,6.37,7.64,3.59,3.45,3.93,6.07,2.32,3.07,3.61,5.08,1.39,2.65,3.65,4.92,1.06,2.81,3.6,5.11,3.02,,3.29,,3.22,3.96,,4.22,3.73,,,4.1,,2.8,2.47,4.76,0.77,2.9,3.79,4.91,3.2,4.76,4.76,7.01,3.75,4,5.67,6.46,0.76,2.23,3.03,5.12,1.33,2.02,3.11,5.15,2.75,3.6,3.95,7.86,,6.55,7.26,7.3,6.22,6.45,5.8,7.62,,4.82,5.32,6.72,5.99,,7.92,8.1,5.53,6.15,6.52,8,7.03,5.67,,8.74,,5.15,4,3.95,3.43,4.26,5.02,3.9,1.6,,,4.96,3.2,3.68,,,,2.9,3.32,,1.95,1.54,2.68,4,4.55,4.12,,,,
255200085500001,Jathmalpur,25.86666667,85.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,2.1,4.1,,,2.2,3.3,2.3,0.75,2.98,4.15,,2.16,,,,3.06,3.7,5.09,7.06,0.58,1.75,2.15,3.82,0.85,1.65,2.4,,2.74,3.15,3.75,,,5.29,6.51,,4,5.05,6.39,7.5,,,,7.6,3.07,3.82,3.76,8.88,2.45,2.96,5.28,5.57,7.55,2.84,,6.72,2.96,4.26,2.82,6.5,,3.2,,6.7,,,,7.81,2.15,2.83,,,3.85,,,,,4.32,4.67,8.37,4.9,5.22,,,,
255500085480001,Kishanpur1,25.91666667,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,,,6.54,7.05,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255111086000001,Kerian,25.85305556,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,6.3,4.73,5.01,7.78,2.25,1.81,5.66,7.79,5.37,3.17,5.28,8.05,3.27,3.81,2.05,3.9,3.3,4.27,2.34,6.3,5.35,,6.9,6.3,5.81,4.55,5.03,,6.2,3.96,4.15,,6.27,4.46,4.98,5,4.4,4.52,,,,
254643085550801,Patapara,25.77861111,85.91888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,2.15,4.78,5.02,5.1,0.4,3.69,2.02,5.4,2.17,1.4,2.73,4.41,1.5,1.65,1.72,3.93,0.15,1.71,1.63,3.38,1.5,,3.99,5.29,2.26,0.7,1.55,,3.2,0.68,1.05,,,0.27,0.75,1.74,1.15,3.72,,,,
