station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
254430084574501,Ammi,25.74166667,84.9625,,,,,,,,,6.41,9.08,,5.45,7,9.9,2.91,2.48,2.8,8.05,0.67,3.64,6.23,8.9,,4.71,6.39,8.75,4.1,5.4,6.02,8.08,5.4,4.26,5.9,7.73,3.41,5.8,,7.9,,2.14,2,5.81,4,7.18,7.88,9,4.25,6.35,6.35,,5.7,6.3,7.65,8.8,1.65,4.03,6.6,8.2,1.4,3.8,5.85,8,6.9,6.48,7.34,8.96,6.2,6.08,6.18,8.7,3.06,3.68,5.33,8.74,,4.82,7.3,8.65,4.25,3.31,4.87,8.16,3.95,4.26,5.27,8.36,7.42,7.51,,8.81,5.31,2.53,5.6,8.18,4.48,6.27,7.38,8.64,5.09,,7.07,7.53,7.55,3.34,3.71,,1.77,2.66,3.75,,1.73,5.04,2.6,3.64,4.3,2.4,,6.3,,
254904084413401,Baleshara,25.81777778,84.69277778,,,,,,,,,2.96,5.14,2.09,,2.49,4.8,1.32,2.46,2.8,4.22,1.11,1.36,1.93,4.24,,1.73,2.76,4.36,1.45,3.42,,,1.65,,3,,2.35,,4.94,,,2.08,4,3.38,1.91,,,,,,,,0.95,3.4,1.31,,,,,,,,,,,3.9,,,,4.05,3.63,,3.31,,2.9,4.8,,3.19,,5.12,,3.39,4.11,4.45,1.95,1.55,3.18,4.42,4.13,4.28,,5.2,4.1,3.25,6.1,3.98,2.6,2.91,4.78,6.24,5.13,,6.22,7.17,2.86,0.77,2.02,,,2.9,2.31,,,,2.5,,3.4,2.85,,4.85,,
254645084423001,Chhapra,25.77916667,84.70833333,,,,,,,,,3.63,9.54,2.28,3.07,4.13,6.46,1.28,2.44,2.73,7.9,1.37,2.39,3.56,7.32,,3.7,4.78,7.36,2.81,3.14,3.6,8.08,4.56,2.53,3.76,7.62,3.3,4.06,5.06,8.36,0.96,2.42,4.21,4.49,,4.59,5.66,7.76,2.11,3.11,3.11,,3.32,3.41,4.89,5.4,0.81,4.82,3.75,4.96,0.81,2.75,3.05,5.48,4.8,3.77,3.84,12.25,4.1,,,8.1,1.09,2.13,2.74,9.36,,1.65,4,4.05,,2.41,3.51,3.7,3.71,2.08,,5.58,5.12,5.21,,5.8,4.89,4.1,5.6,4.6,2.33,3.3,,,,,,11.91,,1.17,2.55,,0.82,2.58,2.34,,1.53,1.85,,1.21,2.5,,,4.5,,
254930084533001,Garkha,25.825,84.89166667,,,,,,,,,4.64,7.38,1.19,2.22,1.45,5.5,0.58,2.2,2.54,4.7,,2.05,3.97,7.48,,3.34,4.11,7.52,2.8,4.38,,7.43,3.2,2.43,4.5,,2.78,2.3,,,,,,,,,,,,,,,3.9,,4.44,,,3.56,,5.05,2.05,4.05,5.05,5.86,5.3,,8.75,7.34,5.05,3.81,3.7,7.7,4.35,3.18,5.38,7.4,,5.3,,7.43,3.95,5.1,5.52,6.75,2.68,7.26,,6.99,5.68,6.24,,6.42,5.34,3.9,5.1,5.36,5.45,5,7.04,7.92,6.69,,7.52,8.15,7.14,4.89,5.5,,1.76,3.71,4.88,,,4.57,4.9,4.78,4.7,4.6,,3.1,,
255845084410001,Jalalpur,25.97916667,84.68333333,,,,,,,,,3.66,7.1,,,,5.57,,3.9,4.29,,,3.85,4.49,7,,5.33,,6.98,1.95,3.75,,,2.2,2.87,3.95,3.87,2.88,3.75,,,,3.61,,3.8,,3.61,,,1.3,2.65,2.65,,,3.05,,4.56,,,2.7,,,,,,2.6,3.77,,,3.1,,3.73,3.63,4.23,2.78,3.12,7.45,,,5.4,4.83,4.75,3.58,4.31,,2.9,2.91,3.63,4.57,5.33,2.69,,7.8,3.1,2.6,,3.9,3.08,5.2,,7.8,5.03,,7.8,7.45,,,,,,,,,,,,,3.3,3.95,,0,,
255000084344501,Manjhi,25.83333333,84.57916667,,,,,,,,,7.43,10.5,,,,,,2.48,2.75,5.04,,2.43,3.58,7.35,,3.7,4.25,7.42,2.1,4.14,5.2,,2.25,4,7.7,7.02,2.95,5.7,,7.2,0.6,,,2.88,,,,9.1,5.65,7.75,7.75,,7.01,8.35,,8.45,,2.58,5.1,6.9,2.2,3.95,4.6,6.65,6.4,7.58,6.85,14.1,7.5,8.38,7.65,8,5.84,7.47,6.09,7.7,,7.33,7.8,7.4,,4.13,5.8,7.05,1.95,7.22,6.24,7.34,6.64,8.79,,7.97,,7.07,5.75,7.4,5.49,5.3,6.87,7.71,6.87,,7.42,8.03,5.65,4,4.81,,,2.55,2.88,,1.55,,2.28,2.38,4.2,3.85,,4.9,,
260530084473001,Masrakh,26.09166667,84.79166667,,,,,,,,,2.78,6.29,,3.77,,4.27,2.48,3.52,3.72,4.35,1.18,3.47,4.06,6.12,,,,5.88,1.27,4.15,3.98,,1.47,3.88,4.32,2.85,2.34,2.67,4.61,,,2.03,4.6,7.1,4.77,,,4.12,,2.77,2.77,4.71,,3.52,5.7,,,,,3.47,1.37,,2.75,3.77,3.27,2.6,7.12,7.12,4.72,2.92,2.67,7.12,4.3,1.45,1.5,3.86,,2.33,4,,,2.68,,4.24,2.26,1.95,2.01,3.19,1.3,2.52,,3.77,3.99,2.9,3.25,4,2.67,2.7,3.02,3.94,3.84,,4.19,7.12,4.24,0.88,2.18,,0.31,1.98,1.28,,,0.99,,0.92,2.4,3.15,,3.85,,
254933084434001,Nagra,25.82583333,84.72777778,,,,,,,,,4.47,6.78,,3.6,,4.33,2.83,3.31,3.72,4.08,1.38,3.26,3.86,5.71,,,,5.52,1.03,4.43,4.28,5.64,1.43,3.28,4.48,,3.38,3.28,3.62,,2.84,,3.45,4.06,,,,5.18,,2.93,2.93,,,3.13,,5.98,,2.3,3.9,5.08,,3.36,4.35,5.77,5.5,4.88,8.96,8.96,6.4,5.5,5.43,8.96,4.64,4.32,4.48,5.08,,,3.5,5.74,4.98,3.38,3.95,4.85,2.14,3.52,4.02,5.49,4.92,5.69,,6.77,4.98,4.7,6.1,3.93,4.87,5.45,6.14,8.96,6.47,,8.96,8.64,7.43,5,5.71,,1.46,3.56,3.92,,0.7,3.02,1.7,,3.9,4.6,,0,,
254545085051501,Nayagaon,25.7625,85.0875,,,,,,,,,5.58,8.45,2.91,3.35,6.9,9.7,1.44,3.76,3.98,8.23,2.34,3.61,5.62,7.85,,3.22,4.97,7.72,1.7,4,4.24,7.7,3.3,3.12,5.95,7.4,2.35,5.3,,7.4,0.6,2.05,3.5,,,6.29,6.75,8.15,2.3,5.4,5.4,7.64,3.11,4.55,6.68,7.9,1.22,,6.4,6.85,0.65,3.9,6.05,7.15,4.5,4.33,6.36,7.87,3.75,4.5,6.15,7.4,2.18,3.53,5.1,8.49,,4.03,6.4,7.27,2.57,2.8,4.85,6.99,3.95,3.82,5.75,6.81,5.37,5.21,,7.55,5.46,2.45,5.32,7.04,4.41,4.45,6.29,7.35,4.14,,6.29,7.71,3.84,1.56,1.61,,1.37,3.58,4.62,,0.23,1.75,3.4,1.52,3.6,2.2,,6.76,,
254201085104601,Sonepur1,25.70027778,85.17944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,2.22,0.32,0.67,0.67,1.57,0.33,0.25,0.82,,0.54,,0.72,1.62,0.24,1.05,0.6,0.68,0.2,0.53,0.8,2.01,0.5,0.51,0.66,1.6,0.66,0.4,0.34,2.22,,0.43,,,0.8,0.32,0.46,1.07,0.72,0.5,1.46,1.64,0.46,0.58,,,0.5,0.48,,1.7,,,,,0.2,,0.87,2.3,1.34,0.36,1.36,,,0.64,0.5,,0.4,,1.56,0.35,0.37,0.45,,1.3,,
