station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
263930085421501,Khairwa,26.65833333,85.70416667,,,,,,,,,2.6,3.56,1.46,2.21,2.44,3.33,0.38,2.5,2.02,3.83,0.53,2.15,2.51,3.65,,,2.98,3.86,1.34,2.73,2.88,,1.42,2.17,,2.3,,,,3.55,,,2.45,2.92,,,2.05,3.58,,2.1,2.1,,1.4,1.68,2.97,3.64,,1.5,2.03,3.05,0.6,1.6,2.16,4.1,0.64,1.5,2.55,3.6,6.68,3.13,3.19,3.42,,,2.25,,,2.3,,3.28,3.8,2.76,2.99,3.68,1.18,1.19,1.56,3.01,3,1.83,,4.98,1.7,2.1,2.71,3.5,0.51,1.22,2.98,3.15,0.7,,2.57,3.33,2.65,2.87,1.89,,0.69,1.29,2,,2.48,1.47,2.5,3.6,,1.7,,,,
263545085280001,Sursand,26.59583333,85.46666667,,,,,,,,,1.91,3.18,1.17,1.75,1.97,1.87,,1.62,1.62,3.28,,2.41,3,3.73,,1.36,,3.25,1.24,,4.19,2.25,1.26,2.08,2.13,3.05,,,2.9,3.15,,2,3,3.45,0.2,,2.85,3.68,,,,,1.56,2.4,2.03,3.27,,1.89,,,,2.25,2.8,3.15,,2.45,2.78,6.4,0.7,2.78,2.92,2.5,2.45,2.3,2.4,3.41,,2.56,3.36,3.26,3.32,2.36,3.09,2.56,1.69,1.87,2.25,3.18,3,2.71,,4.26,1.89,2.82,2.7,4.2,1.5,2.78,2.47,2.56,1.56,,2.57,2.46,1.8,1.92,,,0.36,2.13,2.49,,3.25,2.51,2.2,2.8,1.9,2.4,,,,
262545085301501,Thumba,26.42916667,85.50416667,,,,,,,,,4.43,3.41,1.51,2.12,2.72,3.67,0.68,2.2,2.11,4,1.22,2.27,2.84,3.64,,2.1,2.87,4.47,0.82,0.88,1.36,,0.86,1.98,2.3,3.22,,2.44,3.22,4.15,2.34,3,2.17,3.22,0.02,1.84,2.72,3.62,,2.62,2.62,3.92,1.08,1.42,2.27,3.71,,1.97,,3.53,1.85,2.12,2.4,,0.67,1.85,,4.23,1.85,,,,1.32,1.85,,4.2,,3.13,,4.49,3.62,2.25,1.51,4.53,1.75,0.7,2.05,2.04,1.1,1.47,,5.3,0.64,1.55,1.79,3.15,0.46,0.91,1.8,2.58,0.55,,2.18,,,0.9,1.41,,0.36,0.7,1.3,,1.92,1.14,1.52,1.4,0.44,0.73,,,,
264145085320001,Jagwanabazar,26.69583333,85.53333333,,,,,,,,,,,,,,4.08,,,,3.94,,2.29,,3.78,,,,,,,,2.68,,,1.82,4.68,,,3.46,3.92,,1.8,2.83,4.54,,2.85,3.27,3.22,,2.53,2.53,,1.74,2.38,3.38,3.7,,,,,0.95,,,3.4,,,,,2.66,,3.68,3.9,2.63,2.68,3.18,5.6,,2.38,2.8,3.43,2.41,2.25,2.86,4,1.34,1.25,1.88,3.2,3.42,2.66,,4.3,2.33,2.32,3.78,3.46,0.66,1.94,2.77,3.03,1.38,,3.23,3.48,1.33,1.64,2.27,,0.97,1.43,2.22,,1.07,1.62,2.03,2.48,0.71,1.78,,,,
264345085221501,Dheng,26.72916667,85.37083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,3.68,2.3,,,3.88,1.4,1.5,,2.96,,2.57,,3.7,2.87,1.93,2.08,3.7,1.9,1.04,1.06,2.55,4,3.5,,3.96,3.63,3.22,2.43,3.9,0.9,2.55,3,3.71,1.26,,3.3,2.82,1.7,2.06,2.6,,1.15,1.06,2.49,,2.09,1.84,2.35,5.2,0.88,1.28,,,,
263358085270101,Karahniya Chowk,26.56611111,85.45027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.06,,,3.1,1.16,1.28,1.5,3.56,2.49,2.43,3,5.29,1.68,3.44,1,3.42,0.72,1.62,2.37,3.54,0.85,,2.58,3.8,1.32,1.8,1.82,,0.62,1.36,1.82,,3.38,1.5,1.55,2.4,1.07,1.37,,,,
263512085280101,Panaura,26.58666667,85.46694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,2.65,2.61,2.9,3.52,1.3,1.14,1.41,3.05,3.05,2.75,3.1,5.2,1.72,1.85,1.7,4.13,0.93,2.56,2.15,3.14,0.94,,2.4,3.26,1.28,1.4,1.67,,0.46,1.06,1.4,,3.05,1.24,1.3,4.1,1.03,1.07,,,,
262925085295901,Sitamarhi,26.49027778,85.49972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.35,4.21,2.67,3.04,5.21,5.4,5.33,6.05,6.76,4.73,3.35,1.45,4.65,2.63,3.35,3.46,4.99,2.6,,4.47,10,1.63,10,4.12,,0.19,2.95,2.62,,2.65,2.35,2.49,4.75,3.8,3.1,,,,
263405085332701,Bhpbhana Khaptola,26.56805556,85.5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.61,4.13,4.72,4.92,4.27,2.73,2.23,4.38,1.29,2.41,3.06,4.21,2.32,,3.95,6.1,3.63,3.11,3.49,,1.47,1.84,2.76,,3.21,1.83,2.31,3.21,2.21,3.21,,,,
263512085281601,Kodwara Tola,26.58666667,85.47111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.73,2.64,3.1,4.68,1.8,2.26,2.4,3.05,0.48,2.01,2.15,2.99,0.93,,2.48,3.12,1.2,1.2,1.31,,0.82,0.9,1.42,,2.15,1.04,1.32,1.9,1.1,1.2,,,,
