station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
255615085204501,Garaul,25.9375,85.34583333,,,,,,,,,4.95,5.67,3.33,2.64,3.48,,1.2,3.24,2.29,5.05,0.64,4.18,,5.02,0.27,1.46,3.15,4.35,2.1,2.8,3.36,4.9,2.18,3.28,2.95,4.4,2.7,2.1,2.95,4.62,2.6,,2.95,,0.6,,5.95,5.71,4,3.15,3.15,5.14,4.51,,4.7,5.47,,2.44,3.2,4.55,1.2,2.1,2.66,3.6,3.7,3.93,,,,,5.43,7.8,4.46,2.65,3.45,5,,2.92,,,3.41,1.44,2.45,7.5,3.91,2.54,2.31,4.82,4.12,2.89,,4.1,2.51,2.55,2.59,7.62,4.31,4.08,2.71,7.76,0.9,,3.19,5.71,5.99,2.27,2.81,,0.72,1.95,1.5,,0.4,0.86,1.21,,1.2,3.03,,,,
253615085310001,Mahnar,25.60416667,85.51666667,,,,,,,,,4.8,6.43,3.81,3.7,4.43,4.21,1.74,3.77,3.83,6.97,1.04,4.32,4.54,8.33,0.84,4.7,5.18,,2.67,4.73,4.88,,2.76,3.49,6.8,5.5,,,4.9,8.54,2.1,,4.35,8.45,0.25,7.21,5.58,8.42,4.31,,,8.67,4.02,3.9,,8,,2.32,,8,,3.29,,8.3,6.8,5.72,7.1,10.53,6.75,,7.42,8.9,3.73,4.6,5.43,8.1,,5,,7.83,4.97,4,4.31,7.55,3.5,5.2,6.1,6.18,5.52,6.37,,9.28,5.21,4.5,6.13,5,4.07,,6.8,8.29,4.25,,6.51,8.64,5.89,2.45,4.45,,2.44,3.78,4.6,,1.13,2.8,2.78,6.7,3.9,3.7,,7.54,,
254930085251501,Mahua1,25.825,85.42083333,,,,,,,,,5.78,6.93,3.58,3.99,4.47,5.57,2.68,3.75,3.88,6.52,1.39,,4.04,5.35,3.2,2.87,3.4,3.67,2.85,,,4.9,2.86,3.26,3.18,,4.15,2.8,4.8,4.95,2.3,2.65,3.4,,0.35,4.8,6.9,5.42,3.95,4.84,4.84,5.56,3.35,4,5.7,6.06,,3.23,3,4.6,,3,3.4,3.76,3.2,4,4.83,6.34,4.1,5.56,6.26,,3.41,3.68,4,5.55,,3.25,5.2,5.03,3.3,3.16,3.81,4.68,4.04,3.32,3.91,4.92,4.11,4.59,,6,4.52,4.56,5.17,7.58,3.39,4.84,5.66,7.73,3.82,,6.39,7.71,5.25,3.31,4.18,,1.45,2.52,2.92,,1.43,3.5,3.12,4.65,4.9,4.04,,7.25,,
255200085334501,Patepur,25.86666667,85.5625,,,,,,,,,4.58,6.05,3.84,4.23,4.55,6.39,,3.65,4.36,5.85,1.57,3.49,4.53,4.55,1.19,2.28,2.65,3.04,3,,,4.37,3.06,4.01,,4.67,,,,5.83,3.52,3.92,2.82,5.91,1.02,,4.06,4.63,6,5.87,5.87,6.93,5.97,4.12,5.79,6.46,,2.12,5.25,6.12,,3.49,4.4,5.25,5.3,4.91,5.39,7.24,6.4,5.3,6.1,7.24,6.03,4.7,4.33,6.57,,4.95,5.9,5.11,5.94,3.69,4.06,6.1,4.77,2.67,4.04,4.63,3.99,4.22,,5.12,3.53,3.6,4.8,,3.91,4.88,4.96,6.03,5.99,,6.16,7.24,,,,,,,,,,,3.1,,4.5,3.1,,5.3,,
254215085134501,Hajipur,25.70416667,85.22916667,,,,,,,,,,6.41,3.62,5.86,6.59,6.59,2.73,3.48,5.67,7.4,2.88,2.69,5.39,8,3.18,5.35,5.77,5.15,2.26,1.35,2.26,8.15,2.36,3.46,6.75,4.95,4.53,6.05,6.1,7.91,3.15,6.8,4.45,7.16,0.95,,5.25,8.12,5.4,6.95,6.95,8.94,4.25,2.57,4.07,8.53,,,,8,1.75,4.6,6.25,8.1,5.65,,7.23,8.03,5.25,6.45,7.38,8.55,3.87,6.06,6.45,8.23,,2.65,8.1,,4.45,5.33,,7.85,4.63,5.71,7.23,7.54,5.17,6.97,,,2.76,5.7,7.01,8.13,4.2,,6.94,8.3,4.27,,6.98,8.47,6.25,2.66,3.06,,3.33,1.8,5.97,,1.85,5.6,5.44,6.75,,4.41,,8.05,,
255517085172401,Bhaluhia (Garaul),25.92138889,85.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,1.55,1.8,4.08,6.65,3.8,2.02,2.72,5.42,4.99,5.12,5.1,5.38,4.6,2.25,2.84,7.5,4.43,3.8,3.08,3.78,2.43,,3.66,5.71,2.38,1.44,1.78,,0.97,1.19,1.63,,0.92,1.05,1.37,2.64,0.85,0.91,,3.15,,
255237085223701,Baksama,25.87694444,85.37694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,6.4,4.6,2.3,2.62,5.36,5.01,3.54,4.66,6.18,3.96,3.55,4.76,7.2,2.55,3.14,4.02,6.04,3.27,,4.71,4.62,3.85,2.12,2.32,,1.66,1.92,2.37,,0.9,1.75,2.05,,2.27,2.05,,4.9,,
254059085201601,Chak Sikandar,25.68305556,85.33777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,7.85,3.95,3.12,4.3,5.9,5.5,5.61,5.93,8.1,6.92,4.24,5.44,6.46,5.39,,5.83,7.48,6.58,,7.41,8.72,5.98,4.9,5.63,,3.08,2.86,3.17,,0.22,4.02,3.82,5.7,4.62,3.72,,6,,
254146085250601,Gajipur,25.69611111,85.41833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,6.4,3.5,3.88,4.58,6.31,5.29,6.18,6.3,7.24,6.5,4.35,4.9,7.2,4.57,,5.87,6.4,6.11,,7.24,,,,,,,,,,,,,,,,,,,
255510085225301,Harpur,25.91944444,85.38138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.06,3.81,,3.86,5.61,4.29,4.59,5.21,6.67,6.31,5.3,5.9,7.4,4.73,4.55,4.75,6.26,5.79,,5.97,7.44,7.44,5.01,5.31,,3.02,2.86,3.4,,0.57,,1.75,2.05,3.8,2.66,,5.1,,
