station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
195020081341001,Alor,19.83888889,81.56944444,,,,,,,,,3.87,5.78,1.48,3.15,4.04,5.95,3.68,2.9,3.48,5.26,,2.75,3.65,5.54,1.82,2.92,3.77,4.48,2.22,3.8,4.67,4.69,1.49,3.02,3.95,5.77,3.52,4.26,4.75,7.22,1.77,,3.67,5.12,1.12,2.02,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193620081562001,Amravati,19.60555556,81.93888889,,,,,,,,,2.58,6.62,1.02,3.75,5.01,6.66,6.04,4.04,4.95,7.02,2.38,4.08,4.42,8.44,5.72,2.99,5.5,6.45,4.67,3.3,6.29,7.19,,1.22,4.34,6.62,2.69,5.05,8.11,8.1,2.5,,3.4,6.27,0.5,2.48,4.28,6,2.27,3.35,4.73,7.31,,2.05,3.9,8.35,0.5,2.47,4.02,6.95,1,2.34,4.4,6.45,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,
190030081514601,Bare arapur,19.00833333,81.86277778,,,,,,,,,7.28,10.87,3.25,5.4,8.89,13.35,4.43,6.09,4.51,13.01,3.84,4.11,4.55,8.2,1.95,4.17,7.22,13.11,1.5,4.45,7.35,11.9,,,,,3.2,9.93,,12.29,1.64,,6.62,9.56,3.25,5.54,12.17,9.22,3.91,3.47,7.42,,1.45,4.08,5.52,8.53,3.1,4.07,5.47,7.77,3.27,4.17,5.32,18.3,3.49,4.4,5.96,,,,,,,,,,,,,10.93,4.1,,6.72,,,,8.62,,,,,6.21,1.47,2.16,,13.1,1.85,,4.14,,,,,,,2.5,,,,,3.62,,,,,,,,,,,
191205081561001,Bastar,19.20138889,81.93611111,,,,,,,,,7.22,9.92,3.12,4.95,8.02,9.94,8.2,7.24,8.08,6.6,4.82,4.52,6.7,10.16,1.44,2.34,6.24,9.71,0.81,4.5,7.22,10.09,0.75,4.56,6.98,10.69,3.36,5.89,8.3,11.8,1.3,,4.2,9.87,1.05,2.26,4.75,9.5,1.53,2.18,5.37,10.37,0.87,3.15,6.7,10.94,2.6,4.6,7.5,11.1,2.1,4.4,7.8,11.9,1.91,5.83,8.1,,,1.8,5.2,9.7,3.91,4.3,5.55,,,3.26,6.35,9.7,1.65,3.93,5,10.98,5.65,4.23,9.52,7.7,1.22,4.55,,11.2,2.56,4.06,7.22,12.58,1.7,3.3,6.9,8.86,1.75,6.55,1.98,11.05,2,2.5,4.75,,1.3,3.1,6.55,,2.62,3.7,5.45,8.4,,3.1,5.38,7.99,,
193930081255001,Benur,19.65833333,81.43055556,,,,,,,,,2.86,5.14,0.75,1.72,3.51,5.35,1.2,1.55,2,7.3,0.55,1.31,,4.28,0.44,1.39,2.46,4.57,0.23,2.32,3.37,5.02,0.28,1.37,2.76,5.16,0.61,3.19,3.78,5.92,0.63,,2.05,4.46,0.72,,2.8,4,0.6,1.45,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191950081495501,Bhanpuri,19.33055556,81.83194444,,,,,,,,,2.9,4.68,0.97,2.3,3,3.82,2.2,2.21,2.81,4.14,1.09,2,2.87,4.77,0.74,1.43,2.89,4.2,1.24,2.77,3.26,4.84,0.68,2.18,3,4.79,1.29,3.29,3.57,6.95,0.85,,2.75,4.36,1.1,2.21,2.97,4.65,1.22,2.1,2.96,4.67,1.26,1.9,2.77,3.56,1.17,2.61,3.11,5.85,1.05,2.2,3.05,,0.81,3.18,2.84,,,1.57,2.75,4.05,2.09,2.95,3.15,1.11,,,3.28,3.43,1.2,2.67,2.75,2.6,0.6,2.55,5.82,1.55,1.16,2.35,,5.42,1.6,2.31,3.57,6.51,2.09,1.9,4.46,2.13,1.1,2.95,4.18,2.8,4.6,,2.65,,0.95,2.2,3.26,,1.05,,2.55,3,1.1,1.91,2.85,3.33,,
192730081193001,Chhotedonagar,19.45833333,81.325,,,,,,,,,3.9,5.76,1.2,2.86,3.72,5.18,3.72,3.08,3.35,5.2,3.2,3.02,3.42,6.4,,3.28,,2.94,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193640081475001,Chimpawad,19.61111111,81.79722222,,,,,,,,,2.64,5.14,0.46,1.66,3.43,4.66,3.58,2.78,4.03,6.39,0.9,4.54,5.21,5.92,0.55,1.62,4.24,6.83,1.06,2.98,5.06,7.56,0.51,1.24,3,7.28,2.22,4.92,4.86,7.89,1.68,,3.33,5.79,0.52,1.49,3.34,5.58,0.92,2.68,3.49,5.58,0.9,2.04,4.68,5.5,0.55,1.84,3.35,6.68,0.78,2.46,4.58,6.01,0.9,3.86,3.32,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,7.05,8.5,2.4,,,,,,,,,,,,,,5.19,,,,,,,,,,,
191210081431001,Chitrakot,19.20277778,81.71944444,,,,,,,,,4.74,6.9,0.55,2.86,,7.5,1,2.04,0.97,,,2.05,,2.77,0.35,1.29,2.9,,,,3.31,8.69,,,,8.94,1.45,4.86,3.6,8.54,1.25,,,4.91,,4.1,5.32,5.85,3.3,3.45,4.41,5.24,1.84,3.78,5.8,6.93,3.5,3.97,4.1,3.9,3.5,4.35,5.1,6.57,2.3,4.47,6.2,,,,5,,3.19,3.96,4.7,,,,8.85,7.5,3.95,3.57,4.4,5.7,2.12,4.21,4.97,1.82,1.82,,,7.19,3.96,,,8.1,2.1,3.9,7.1,5.06,2.05,5.5,7.25,4.7,3.35,2.36,4.6,,3.7,4.8,5.6,,4,6,5.3,5.25,2.35,4.88,5.25,,,
192810081432001,Dahikonga,19.46944444,81.72222222,,,,,,,,,4.73,8.98,2.52,5.81,5.02,8.62,9.05,5.89,6.94,9.86,9.1,8.36,9.26,9.86,7.55,7.02,8.14,9.82,0.69,4.94,7.29,8.89,0.39,4.88,4.9,11.02,4.13,5.25,9.44,11.23,6.16,,6.07,9.25,3.39,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,12.5,4,3.85,9,,4.1,3.8,6.68,,7.6,4.8,8.15,8.95,,,,,,
