station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
215130081550001,Baitalpur,21.85833333,81.91666667,,,,,,,,,2.69,2.63,0.82,2.29,3.05,5.13,2.1,2.32,1.82,2.65,0.37,,,,1.55,1.8,3.05,5.12,1.3,2.37,1.42,4.53,0.49,2.2,3.24,,2.13,1.94,3.91,5.15,0.23,0.89,3.06,5.2,0.25,2.37,4.65,4.85,0.63,2.48,3.92,4.75,0.55,2.55,3.75,5.26,0.45,2.14,3.43,5.45,0.7,2.25,3.61,5.05,0.65,2.7,3.72,4.05,1.2,1.75,3.05,4.45,0.3,2.47,3.45,4.02,,2.14,2.85,5.15,0.8,2.55,2.9,4.4,0.4,1.34,3.49,4,,1.35,,5.19,1.02,2.2,3.45,4.94,0.73,1.19,3.6,4.4,1.8,2.95,,4.15,1.1,2.04,,,0.5,,,,1.8,1.67,3.03,4.15,0.1,1.2,3.1,,,
222300082070001,Bansajhal,22.38333333,82.11666667,,,,,,,,,2.92,3.18,2.05,2.72,2.64,3.08,2.69,2.47,2.65,2.71,1.74,,,3.05,1.95,2.85,2.3,3.11,2.15,2.38,2.63,3.12,0.96,3.52,2.34,3.06,2.79,2.44,3.16,3.25,2.13,1.97,2.57,2.73,1.15,2.49,2.1,2.29,1.19,2.03,2.06,2.75,2.1,1.88,2.03,2.75,1.97,2.53,2.27,2.62,2.81,2.07,2.3,2.7,1.8,2.05,2.42,3.35,1.65,1.75,2.25,2.47,0.9,1.72,2.09,2.77,,1.57,2.45,5.85,1.2,3.85,4.01,2.35,1.41,1.8,1.55,2.4,0.76,1.45,,2.87,2.14,2.4,2.49,2.9,2.26,3.16,2.45,5.68,1.9,3.03,4.05,2.52,1.16,3.2,2.3,,2.77,2.78,2.93,,,1.7,2.48,2.93,1.07,1.62,2.5,,,
222630081461501,Chhaparwa,22.44166667,81.77083333,,,,,,,,,4.3,5.98,0.12,1.49,5.73,10.06,1.82,1.84,8.07,9.14,1.8,0.9,,10.12,0.65,6.86,7.77,11.11,10.93,,10.43,12.84,0.16,6.52,7.49,,11.61,9.12,9.96,12.42,13.08,7.96,8.33,11.3,5.9,5.13,6,9.55,7.67,6.58,7.75,10.7,11.1,8.6,9.44,12,12.85,7.24,11.18,13.22,11.95,10.21,10.79,13.1,14.14,14.02,14.28,15.3,13.6,13.3,10.75,12.92,8.5,5.45,6.62,9.3,,4.4,6,15.49,3.92,,15.77,,5.35,,6.5,15.77,8.4,8.35,,15.2,16.87,,,,,,16.87,,,,,,,,,,,,,,,,,,,,,,,
221140082082001,Gatori,22.19444444,82.13888889,,,,,,,,,2,2.23,1.04,1.61,2.15,2.76,1.59,1.69,1.72,2.45,1.42,1.37,,2.2,1.58,1.75,1.8,2.35,,2.09,2.24,2.29,1.09,,2.09,2.99,1.63,1.87,2.37,3.29,1.57,1.34,1.94,2.97,1.2,1.94,2.18,2.65,1.22,2.15,2.25,3.16,1.36,1.88,2.32,2.83,1.15,2.05,2.17,3.02,1.63,2.11,2.62,3.3,2.19,2.1,2.48,3.35,1.25,1.8,2.4,3.15,2.39,1.22,2.05,5,,1.6,2.7,3.3,0.9,1.9,2.78,2.75,0.85,1.59,2.2,2.95,1.17,1.84,,3.34,1.7,2.15,2.88,3.68,1.63,1.86,2.75,5.68,1.4,2.5,2.45,3.53,1.26,2,2.18,,1.3,2.22,2.34,,2.5,2.1,2.14,3.03,1.08,1.76,2.42,,,
215815082030001,Hirri,21.97083333,82.05,,,,,,,,,5.5,8.89,0.16,2.45,7.43,8.49,6.57,2.31,3.4,5.1,0.66,,,6.1,1.1,3.43,5.46,6.75,1.18,4.38,6.66,7.45,0.47,2.49,5.34,10.08,5.26,4.75,7.63,8.86,0.17,1.24,5.95,6.7,0.8,4.48,5.6,9.18,0.75,3.72,7.25,9.4,0.44,4.1,5.48,6.48,0.35,5.64,9.11,7.06,0.53,4.25,6.58,8.1,0.51,5.4,7.32,7.7,0.9,3.8,6.9,6.72,0.15,5.32,5.6,6.62,,3.9,6,7.43,2.65,5.52,6.25,6.8,0.82,,5.1,7.75,1.34,4.05,,8.45,2.43,4.7,6.9,7.81,1.55,3.19,6.5,7.31,1.35,6.9,5.1,5.1,2.12,5.02,5.08,,1.2,4.53,5.72,,1.35,1.65,4.85,6.55,0.33,2.12,4.4,,,
221745082043001,Jogipur,22.29583333,82.075,,,,,,,,,10.85,11.25,7.76,8.7,10.48,7.56,9.79,8.43,8.8,9.85,8.92,8.5,,11.7,9.2,7.6,9.6,11.27,10.45,,11.63,12.08,5.63,9.65,9.79,11.83,12.29,11.33,11.76,,11.99,3.95,8.5,12.2,7.85,10.76,10.6,11.65,7.52,8.24,9.65,11.47,10.4,9.34,10.96,12.38,0.95,5.47,10.28,11.95,10.82,10.08,10.86,12.1,11.43,10.5,11.24,6.5,11.4,9.8,11.54,11.7,9.5,8.5,11.7,11.6,,7.2,9,11.7,4.52,7.35,9.7,11.7,9.05,11.7,9.7,11.6,2.98,8.3,,12.1,4.67,5.15,4.04,12,3.16,4.15,4.6,8.98,,6.7,,12,3.09,7.39,,,4.25,7.48,9.61,,,8.07,9.19,11.18,1.75,2.75,5.15,,,
220910081390001,Kanteli,22.15277778,81.65,,,,,,,,,5.6,6.5,5.25,3.47,6.8,7.58,5.89,4.69,4.77,7.75,1.67,6.26,,7.7,5.42,4.8,4.85,7.28,1,1.32,1.67,7.56,4,4.32,1.74,9.95,7.36,5.66,6.62,8.9,7.03,4.85,6.31,9.27,2.45,4.61,6.65,8,6.87,6.27,7.07,8.65,0.65,7.84,7.82,8.35,0.55,5.69,6.43,8.23,5.17,6.13,6.93,8.25,,,,,,,,,,,,,,,,,,,7.77,,,,,,,,,,,,,,,,,,,,10.94,10.81,,,,,,,,,,,,,,,7.6,,,
221720082013001,Kota(kargi),22.28888889,82.025,,,,,,,,,9.47,14.95,1.12,7.61,6.72,4.78,2,5.89,8.05,14.5,0.31,7.25,,18.82,1.35,2.94,13.75,2.2,0.14,,,11.54,5.55,1.49,2.04,,14.7,,,,0.68,1.21,1.49,6.1,0.5,1.56,2.78,6.71,0.64,1.53,1.71,7.7,0.6,1.5,2.95,6.62,5.34,1.94,2.08,5.86,12.78,1.81,3.54,8.8,1.13,1.9,3.34,9.3,1.25,2,2.98,9,0.8,1.92,1.7,7.8,,1.42,2.1,6.95,0.35,1.6,1.75,2.02,0.81,1.42,1.8,2.8,0.55,1.24,,2.6,1.7,2,2.1,3.3,1.2,3.31,2.5,11.53,1.45,,3.46,6.3,11.46,1.45,1.94,,1.48,1.72,2.34,,2.2,2.03,2.04,,0.98,2.02,6.11,,,
223230081444501,Lamni,22.54166667,81.74583333,,,,,,,,,7.5,9.26,5.84,6.45,,9.11,6.6,7.01,7.8,8.85,2.21,2.37,,9.3,6.85,6.98,7.63,8.8,7.49,,8.98,,5.47,6.37,7.31,11.99,8.78,7,10.45,,7.81,6.68,7.5,12.54,2.55,6.65,7.38,9.45,6.84,6.62,7.42,5.17,7.45,7.38,8.15,12.54,9.01,7.53,8.48,12.99,9.15,8.7,8.65,,8.2,,8.2,8.2,6.65,8.95,15.25,15.55,4.45,6.35,7.28,15.55,,6.73,7.75,15.55,7.14,6.85,7.57,15.55,7.63,6.65,7.8,15.55,8.37,8.3,,16,,,16,16,8.95,10.18,16,,,,9.45,15,,,8.3,,5.6,6.1,7.95,,,,7.03,,6.55,7.73,10.15,,,
215925082160001,Masturi,21.99027778,82.26666667,,,,,,,,,0.9,2.61,0.21,1.14,3.49,3.6,1.19,1.09,0.3,2.51,0.07,1,,2.64,0.44,0.63,1.49,4.23,0.05,0.39,2.99,4.75,0.07,0.44,2.75,4.12,,0.57,1.36,4.76,0.11,0.21,,2.99,0.04,0.5,1.36,3.09,0.1,0.39,1.04,3.24,0.11,2.89,9.14,9.14,0.54,0.09,9.14,9.95,4.11,,,,,,,,,,,,,,,,,1.05,,10,0.39,1.76,2.89,4.44,0.81,,,,,,,6.3,2.75,4.4,6.02,7.02,,2.46,12,12,2.1,4.35,5.6,6.3,1.21,3.56,2.1,,0.22,0.92,1.13,,1.1,1.25,1.35,2.95,0.25,1.17,4.4,,,
220356081411001,Mungeli,22.06555556,81.68611111,,,,,,,,,9.9,10.37,9.75,10,10.05,10.64,10.93,10.49,9.2,10.2,8.67,9.25,,10.3,9.57,9.44,10,10.44,9.87,10.05,10.23,10.64,3.42,9.61,9.78,10.25,10.24,10.01,10.13,10.75,10.08,8.92,9.75,10.7,9,9.5,9.8,10.55,9.39,9.59,9.93,11,10.4,10.2,10.39,11.12,11.5,10.33,10.62,11.2,11.17,11.52,11.22,12.05,12.02,8.9,11.78,12.3,12.3,12,11.62,12.3,7.02,12.01,11.1,12.3,,10.85,11,12.25,11.6,10.5,11.3,,4.28,3.15,9.3,,,,,,,,,,,,6.36,,,,,13.5,,,7.47,,4.4,,,,6.53,5.38,,7.55,3.6,4.4,6.15,,,
221650082104001,Ratanpur,22.28055556,82.17777778,,,,,,,,,6.88,7.7,1.34,4.51,8.51,8.67,5.43,5.03,5,8.75,1.86,3.91,,8.85,4.95,5.51,6.39,8.71,4,6.63,6.79,8.48,0.54,3.59,4.72,8.38,7.72,8.47,7.56,,5.5,2.7,4.5,10,2,4.56,5.55,8.8,1.7,4.21,5.31,9.3,4.55,5.17,5.44,8.85,5.15,4.52,5.45,7.98,3.56,4.37,5.58,9.2,5.46,5.6,6.09,9.98,5,4.6,5.5,9,3.9,9.98,4.1,9.98,,3.5,5,9.11,1.35,3.79,4.69,7.4,3.02,3.75,4.2,7.85,2.07,4.08,,9.05,3.8,5.65,6.75,9.75,3.7,2.28,5.9,7.5,3.3,6.1,,10,4.7,3.17,,,1.76,3.98,6.5,,,4.18,5.38,9.73,1.4,2.55,5.65,,,
