station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
201445082044501,Arsi-kanhar,20.24583333,82.07916667,,,,,,,,,6.04,8.16,4.05,7.04,8.92,8.88,,6.91,7.82,9.81,6.46,4.66,6.78,9.86,8.02,7.22,6.77,,7.27,6.57,8.55,,0.28,5.78,7.1,,8.06,7.53,8.2,9.86,6.08,3.8,5.92,7.94,4.04,3.94,7.16,8.11,5.36,4.95,6.61,8.39,4.16,4.56,6.06,11.26,4.66,3.9,7.32,9.56,4.6,5.28,7.22,7.94,4.84,7.16,5.91,9.58,,,,,0.06,,,9.16,,7.06,7.46,10.34,6,5.66,7.66,11.16,6.86,,,,,,,12,,,,,,,,8.1,3.9,,4.82,8,,5.1,,,,4.36,4.61,,7.8,9.25,9.27,11.75,4.2,9.2,,,,
203545081393001,Banraud,20.59583333,81.65833333,,,,,,,,,3.98,6.16,0.4,3.3,5.07,6.56,1.01,3.45,3.37,4.57,0.75,3.2,4.75,5,0.6,2.32,4.52,3.73,0.84,3.18,4.14,4.8,0.36,3.11,5.04,5.08,2.62,3.58,5.63,5.08,0.52,1.97,3.31,4.35,0.45,2.87,4.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,4.17,,,
202200081473001,Banspani,20.36666667,81.79166667,,,,,,,,,3.33,6.37,1.54,3.01,9.03,10.3,1.79,2.82,3.01,5.35,1.95,3.2,3.55,7.73,1.37,2.29,,6.52,3.49,3.49,5.72,11.46,0.99,2.59,3.87,10.21,2.41,4.03,5.82,12.28,2.05,1.42,2.88,5.21,0.78,2.5,3.88,8.34,0.54,1.66,3.29,5.38,0.93,1.98,3.32,7.66,1.26,2.08,3.98,6.98,1.06,2.68,3.27,7.92,1.43,2.93,4.43,8.5,1.03,1.62,2.78,5.25,,3.57,3.85,9.43,,3.29,,,,,,,1.13,2.01,5.15,,,2.14,,9.15,5.04,2.84,3.73,,4.15,5.07,7.24,4.41,1.5,2.57,4.8,11.35,3.77,2.45,4.2,,2.46,3.12,5.4,,3.48,4.98,5.01,8.65,3.6,4.98,,,,
201920081514501,Birgudi,20.32222222,81.8625,,,,,,,,,4.97,7.25,1.47,2.11,5.78,8.12,1.38,2.61,4.04,7.45,4.75,2.7,3.97,6.93,2.09,3.1,3.85,7.17,2.15,3.58,5.29,8.27,0.85,3.04,5.37,8.3,6.01,4.61,6.26,9.15,1.41,1.83,4.16,7.67,1.25,4.24,6.4,9,1.72,2.66,5.3,8.27,1.21,2.15,4.95,8.8,1.63,2.68,5.15,8.45,1.03,4.47,5.77,9.25,1.79,4.1,5.47,9.15,1.21,2,3.38,7.84,1.4,3.98,4.24,8.01,,4.89,,,,3.28,4.87,,1.24,2.86,5.56,4.49,,2.94,,11,2.34,2.94,3.84,,3.26,4.52,6.17,4.38,1.38,3.7,7.52,5,5.72,3.05,6.04,,3.87,2.7,5.36,,6,7.23,7.25,,2.65,4.1,4.15,,,
204645081400001,Chhati,20.77916667,81.66666667,,,,,,,,,3.52,2.4,1.02,1.25,2.86,2.45,2.21,1.95,2.49,2.03,1.22,2.25,2.82,1.51,1.15,2.27,3.77,6.34,0.87,2.18,3.49,6.73,0.27,2.04,1.93,3.1,1.21,1.89,2.88,5.82,1.55,1.73,3.32,3.18,0.39,2.41,3.77,3.27,0.87,1.66,3.54,3.13,0.67,1.92,2.73,3.17,0.57,1.57,2.44,2.97,0.74,2.68,3.73,3.06,1.14,1.77,2.82,2.81,0.79,1.44,2.17,6.27,0.24,1.43,1.52,1.72,,1.46,,1.7,0.55,1.81,2.54,1.32,0.37,1.07,1.66,0.99,0.9,1.41,,2.64,1.03,1.89,1.8,2.42,,1.52,2.38,3.92,0.85,3.72,4.54,2.06,0.82,0.86,1.58,,0.85,2.32,4.86,,0.86,1.45,1.51,0.35,0.76,1.28,1.28,,,
202420081544001,Dorgardula,20.40555556,81.91111111,,,,,,,,,4.36,6.76,3.73,5.45,6.73,,3.88,5.9,6.24,7.59,7.13,6.51,7.3,8.38,6.5,5.98,6.98,8.06,6.36,7.5,8.23,8.95,0.6,2.72,5.79,7.77,7.52,8.41,8.79,9.32,5.67,2.37,4.16,8.09,2.27,3.68,5.67,8.27,4.99,4.44,5.91,8.98,0.97,2.07,4.32,7.4,1.59,1.47,5.47,7.57,3.41,2.59,4.67,7.64,5.17,6.05,6.67,7.84,5.85,3.58,2.11,,0.4,1.67,2.2,8.31,,1.8,5.09,8.91,0.18,1.81,3.8,6.98,0.87,1.52,5.07,7.17,6.37,6.45,,9.28,6.45,1.32,3.84,8.34,1.41,2.53,4.59,8.72,4.18,5.9,7.8,3.2,9.68,6.9,8.82,,6.24,6.03,7.1,,,9.05,9.11,,7,7.85,7.9,,,
202930081521501,Dugli,20.49166667,81.87083333,,,,,,,,,2.65,4.66,0.66,2.18,3.19,4.39,0.96,1.59,1.85,4.15,1.7,1.9,3.1,4.48,1.68,1.37,2.92,4.84,1.8,2.77,2.92,5.6,1.32,1.73,3.03,5.05,3.38,3.96,5.25,,1.06,1.36,2.38,4.52,0.6,2.29,3.15,4.8,0.91,1.29,3,,,,,,,,,,,,,7.3,,,,,,,,,0.3,1.58,,,,,3.25,,,1.8,2.6,7.3,0.55,,,,,,,7.8,1.58,1.74,2.45,7.71,1.52,2.61,4.19,6.5,1.78,4.15,5.11,7,1.45,,3.56,,1.28,4.22,4.86,,1.6,1.8,1.83,6.1,1.16,1.5,1.55,,,
203255081441501,Keregaon,20.54861111,81.7375,,,,,,,,,3.15,4.04,2.35,2.68,3.18,7.22,2.28,3.29,3.54,4.05,2.95,3.35,3.67,8.1,2.6,4.72,3.3,4.34,4.43,3.62,3.58,6.46,1.21,4.9,3.52,5,3.69,6.47,7.55,6.89,1.51,3.57,4.29,3.44,1.14,3.94,5.14,6.52,2.64,3.69,5.29,5.77,1.49,3.84,3.85,7.39,3.04,3.83,7.05,5.04,3.11,3.71,3.14,4.9,2.9,3.74,3.87,4.56,2.36,3.62,4.37,4.47,1.89,3.56,3.77,4.25,,3.79,4.67,4.86,0.42,3.61,5.01,4.55,2.15,3.59,4.78,4.31,3.41,4.07,,5.08,3.75,3.96,5.62,6.73,2.08,3.17,4.72,4.99,1.32,4.52,5.18,5.32,3.76,4,4.45,,2.35,3.6,5.36,,3.8,4,4.03,4.82,2.7,2.95,2.99,,,
205410081412001,Marod,20.90277778,81.68888889,,,,,,,,,1.79,10.44,0.62,0.82,1.62,1.71,1.02,1.38,0.46,2.52,1.39,1.42,4.29,,0.52,1.4,1.84,2.93,1.29,2.94,7.31,10.34,0.51,1.15,1.68,9.13,0.5,1.29,1.8,10.19,0.23,0.39,0.87,2.18,0.19,1.17,1.49,6.37,0.16,0.47,1.21,2.08,0.19,1.03,1.59,6.8,0.51,0.99,1.69,5.54,0.34,1.43,2.25,8.85,0.26,1.29,5.2,9.95,0.54,1.33,1.77,5.21,0.01,1.18,1.39,9.95,,0.8,2.25,8.07,0.25,0.76,1.32,5.49,0.05,0.69,1.58,1.4,0.89,2.03,,10.2,1.18,1.45,2.01,9.91,1.12,2.59,3.52,5.47,0.76,2.47,3.82,2.4,1.42,1.38,2.1,,1.06,2.75,4.82,,1.56,1.7,4.15,,0.98,1.5,1.52,,,
202000081573001,Nagri,20.33333333,81.95833333,,,,,,,,,1.94,7.45,0.18,1.74,4.22,7.25,0.78,2.2,2.02,5.73,2.2,1.2,2.22,5.73,0.45,1.25,2.15,6.23,0.75,3.37,7.43,7.7,0.22,1.2,3.29,6.28,0.77,2.82,4.18,5.85,0.31,0.55,0.93,3.41,0.1,1.45,3.25,6.65,0.75,0.9,2.93,5.09,0.2,1.1,3.27,4.31,,2.9,,,,,,,,,,,,,,,0.88,2.64,,,,,5.14,6.13,,3.03,4.48,6.43,1.15,,5.53,4.3,1.8,3.53,,7,2,1.82,3.13,6.96,1.63,2.07,3.13,,1.27,,,,,,,,,,,,,,,,,,1.97,,,
