station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
210400081163001,Anda,21.06666667,81.275,,,,,,,,,2.26,3.87,0.11,0.13,2.25,5.71,0.73,0.28,1.24,4.05,0.34,0.77,2,4.17,0.75,0.68,2,1.42,0.18,1.28,3.31,,0.13,0.81,2.6,5.07,0.08,0.14,1.91,5.01,0.25,0.5,0.87,4.04,0.62,0.99,2.33,3.25,0.21,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,3.27,3.67,1.42,2.28,2.31,1.49,1.44,,,2.64,1.69,1.92,,3.83,3.32,2.7,3.41,3.75,1.71,2.9,2.7,3.25,0.94,,3.15,5.36,1.7,2.33,2.41,,3.42,2.57,2.85,,1.6,2.39,2.11,2.82,2,,2.8,2.98,,
204345081120001,Balod,20.72916667,81.2,,,,,,,,,4.57,7.03,1.63,4.43,5.63,9.63,1.82,3.89,3.66,6.29,3,2.9,3.45,4.61,1.93,2.73,3.2,3.91,2.36,2.58,2.82,5.48,1.73,3.19,4.56,3.5,1.97,4.76,5.8,9.66,0.98,1.93,3.98,5.03,1.16,3.78,4.55,5.15,0.73,2.3,3.11,3.96,1.28,3.03,3.45,4.84,1.67,3.01,4.15,9.13,1.6,3.98,5.7,5.87,1.22,1.71,3.66,5.46,1.33,2.6,3.2,4.32,1.08,2.93,2.74,4.23,,3.03,3.92,5.1,1.41,2.95,3.64,4.33,1.19,2.03,3.11,5.83,2.97,5.16,,10.5,2.68,3.25,11.15,10.5,2.14,2.85,3.2,,1.91,3.19,4.35,3.86,1.41,2.88,3.29,,2.7,5.14,4.15,,2.7,3.67,2.85,5.15,1.95,2.95,3.25,4.95,,
214300081320001,Bemetara,21.71666667,81.53333333,,,,,,,,,5.8,10,5.93,6.22,8,8.71,1.22,7.11,13.65,10.95,12.62,1.3,2.99,6.87,1.5,1.1,1.35,1.91,1.12,1.71,1.82,,10.98,,,4.1,,4.25,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,,
215345081283001,Dadhi,21.89583333,81.475,,,,,,,,,7.58,10.6,2.6,6.41,6.85,11.07,3.84,6.29,6.65,10.27,1.14,6.68,7.64,11.65,9.45,5.65,8.05,11.35,7.85,8.43,10.7,6.91,6.12,5.73,5.95,12.41,5.05,6.11,12.49,13.28,6.7,4.55,7.25,,0.48,2.35,10.03,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,7.6,,,5.27,,,,,5.85,,11.69,,6.02,5.42,6.6,6.3,,1.65,3.91,,5.25,1.21,4.71,5.12,8.11,5.4,4.54,5.63,,3.2,4.43,5.18,,,,,,,,,,,
202930081052001,Dondi,20.49166667,81.08888889,,,,,,,,,8.18,9.14,0.49,1.42,3.31,7,3.78,2.09,3.13,7.76,1.72,4.89,3.64,9.14,1.89,5.2,9.14,5.96,4.87,6.02,6.62,,0.6,1.61,3.04,5.98,0.96,,5.79,8.72,0.28,0.37,1.7,5.24,0.02,1.74,3.88,6.83,0.16,1.14,1.65,6.98,0.11,1.29,3.72,8.37,0.02,1.79,2.94,7.84,5.51,5.98,8.44,,4.84,,,,,,,,,3,,7.54,,2.42,,,,1.12,3.01,8.66,,,,2.74,2.74,,,,,,,10,,,,,,,,,,,,,8.75,,,,,,8.65,12.3,3.3,4.6,7.9,10.25,,
211130081163001,Durg,21.19166667,81.275,,,,,,,,,1.17,2.17,0.51,0.99,1.2,1.53,1.17,1.18,1.77,3.51,0.72,0.73,0.77,1.53,0.36,0.63,0.66,1.3,0.48,0.98,0.99,1.67,1.12,1.15,0.99,1.69,0.44,0.91,0.86,1.4,0.41,0.57,0.75,1.82,0.44,0.87,0.84,1.22,0.17,0.77,0.59,1.25,0.07,0.77,1.17,1.31,0.42,0.82,1.07,1.82,0.52,1.05,0.83,1.84,0.6,0.69,0.69,1.35,0.52,1.09,0.61,1.57,0.53,2.53,0.72,1.87,,0.32,1.98,3.1,1.06,1.37,1.56,2.27,,0.87,1.59,2.64,1.27,1.75,,3.7,1.83,2.4,2.4,3.58,1.14,2.09,2.5,2.72,1.93,2.66,5.05,4.39,2.27,3.1,2.29,,1.85,,1.75,,,,,2.78,2.35,2.79,2.38,2.79,,
210435081290001,Funda,21.07638889,81.48333333,,,,,,,,,2.4,2.95,0.12,0.68,2.5,3.77,1.03,0.91,1.71,3.76,0.97,0.84,2.97,4.18,0.83,1.12,8.44,0.74,0.87,2.16,4.52,5.94,0.67,1.22,2.49,4.92,0.55,1.21,7.38,5.3,0.61,0.85,3.04,4.67,0.56,1.57,3.88,5.47,0.42,1.37,3.47,9.16,0.62,1.12,3.4,4.99,0.62,0.57,2.62,4.7,0.59,1.78,3.56,5.96,0.62,1.8,3.39,5.67,0.52,1.66,3.09,6.66,0.74,1.97,3.02,4.32,,1.68,3.44,5.33,0.69,2.03,3.33,,0.52,1.59,6.06,5.97,1.58,2.1,,6.23,1.1,4.99,,6.7,1.11,1.8,4.05,5.1,0.64,2.98,4.43,,5.07,1.82,2.34,,0.86,2.5,4.7,,1.4,,,1.9,1.5,2.1,4.17,3.78,,
205640081174501,Gunderdehi,20.94444444,81.29583333,,,,,,,,,3.48,7.85,1.12,2.45,3.75,6.83,1.76,2.56,0.87,4.77,2.65,6.75,2.67,5.48,0.09,2.39,3.85,8.23,1.73,3.65,5.54,9.05,0.02,2.96,4.54,7.98,0.01,3.25,5.37,8.45,0.21,2.15,3.45,7.55,0.05,3.45,5.12,7.73,0.05,1.75,3.53,6.84,0.05,2.63,3.53,8.36,0.07,3.75,3.99,6.95,2.04,3.09,5.77,7.74,0.03,4.51,4.23,7.6,0.25,3.03,3.06,9.05,0.55,1.85,4.45,8.05,,1.91,6.28,7.47,0.5,2.75,2.83,4.35,0.63,0.18,2.66,3.85,,1.35,,6.01,0.84,2.75,6.4,6.4,,1.9,3.35,4.87,0.45,3.04,6.07,10.2,1.77,1.3,3.03,,1.17,2.14,3.1,,0.56,2.65,1.85,3.75,0.3,1.35,2.72,2.95,,
204100081243001,Gurur,20.68333333,81.40833333,,,,,,,,,4.15,8.35,0.12,2.7,2.31,4.8,2.14,2.25,3.23,4.22,1.54,0.61,2.4,3.68,0.18,1.13,3.26,4.07,1.47,2.75,3.98,9.22,0.25,,4.19,9.6,6.75,7.45,4.1,5.15,0.07,0.81,2.37,4.44,0.1,2.05,3.6,4.55,0.3,1.05,3.08,4.65,0.22,1.92,2.6,5.33,0.27,1.93,3.6,4.95,1.3,1.35,3.55,6.25,0.26,1.43,1.75,,,1.1,2.75,4.65,1.6,3.95,2.85,4.58,,1.77,3.64,5.35,0.33,2.02,2.26,3.48,0.35,2.01,2.71,,,2.76,,5.3,1.62,2.2,4.72,4.45,2.25,2.2,4.84,4.16,0.1,4.3,4.11,3.82,3.6,1.72,4.3,,2.9,4.01,4.66,,4.05,3.8,3.95,4.75,2.44,3.4,4.5,4.24,,
214640081261501,Khati,21.77777778,81.4375,,,,,,,,,1.3,1.95,1.6,2.03,4.17,4.09,1.07,1.35,0.72,1.92,1.45,,2.01,4.57,2.37,,1.13,4.15,1.54,5.24,6.51,7.02,0.77,1.05,4.41,5.97,3.54,5.15,7.23,,2.07,1.97,3.68,4.57,0.59,2.52,6.81,6.52,0.57,1.75,6.49,6.46,0.12,6.47,6.87,7.01,0.03,1.47,3.48,5.97,7.7,7.7,,5.66,5.52,6.25,6.7,7.7,5.37,6.17,7.7,7.7,3.57,4.83,5.7,7.32,,4.27,6.59,7.7,1.22,4.47,5.92,4.51,0.23,3.71,4.77,6.14,0.21,5.88,,7.1,2.42,6.4,8.23,,2.84,3.45,,,2.42,4.81,6.43,6.92,3.44,3.52,4.54,,1.95,3.76,,,,,,,,,,,,
