station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
220940081131501,Bodla,22.16111111,81.22083333,,,,,,,,,6.91,11.22,2.5,4.95,6.08,9.93,4.48,4.62,4.69,6.91,4.35,4.23,5.68,7.96,4.1,4.41,5.87,8.63,8.57,5.21,6.76,12.58,2.94,4.48,6.38,12.38,5.38,4.75,6.31,14.36,3.65,3.66,5.56,12.38,2.43,3.88,5.74,10.53,3.48,4.38,6.3,14.35,4.38,4.48,7.38,13.88,5.38,4.18,6.93,14.5,5.93,5.28,9.55,13.88,10.16,4.93,7.59,13.88,5.08,4.48,8.6,13.88,3.98,6.18,8.53,13.88,,4.18,14.5,13.94,4.34,6.28,13.88,13.88,4.9,13.88,13.88,13.88,4.4,5.47,,,3.41,7.15,14.5,8.15,4.92,4.55,14.5,7.7,1.2,4.04,6.04,6.16,3.81,,,,3.75,,4.7,,,,,,,,2.23,6.58,,
221000081033001,Chilpi,22.16666667,81.05833333,,,,,,,,,6.47,8.18,1.47,6.16,7.37,8.57,1.04,5.53,5.79,7.4,4.73,3.34,5.42,5.45,3.98,4.35,3.81,7.72,6.04,6.74,7.54,8.85,1.72,5.57,6.98,8.34,1.54,2.7,6.87,8.21,,2.29,6.1,7.47,0.72,5.47,6.73,8.27,0.67,4.72,5.88,7.94,2.07,5.32,6.82,6.73,4.57,5.67,6.99,6.62,5.52,6.47,7.58,9.02,5.65,6.97,7.75,9.66,4.47,5.47,7.07,8.62,5.27,4.35,6.34,8.37,,4.66,7.1,8.02,1.27,4.18,5.32,7.32,3.59,3.34,6.57,7.67,3.39,6.84,,9.1,4.34,5.9,5.5,8.4,2.62,5.1,7.95,9.55,2.39,,9.2,9.24,6.36,5.1,6.32,,6.15,5.49,5.9,,4.68,2.6,5.6,6.3,1.15,4.8,6.45,8.58,,
221415081324501,Kapada,22.2375,81.54583333,,,,,,,,,3.97,5.18,2.6,2.83,4.5,5.44,3.47,3.15,2.85,5.6,2.46,2.76,,5.16,3.25,2.4,3.63,5.22,3.05,4.08,4.63,5.69,3.06,,4.95,5.6,5.95,5.72,5.55,6.7,4.53,3.18,4.46,6.5,3.8,4.15,5.05,6.18,3.2,3.6,4.73,2.67,3.6,4.17,5.42,9.91,5.55,4,5.56,9.5,4.68,,6.23,9.5,5.58,5.05,6.02,7.41,4.2,5.45,5.89,9.5,4.8,4.59,6.39,7.1,,2.4,6.63,9.5,4.01,2.8,6.8,,4.57,3.81,9.5,9.4,5.69,3.79,,10,,,6.6,10,,,10,10,0.81,3.7,6.1,6.12,3.41,3.27,4.68,,3.15,,,,,,,,,,,,,
220026081141801,Kawardha,22.00722222,81.23833333,,,,,,,,,14.04,18.69,12.96,11.8,15.51,21.55,13.3,11.15,12.36,17.71,15.38,12.31,14.36,20.66,14.01,,15.66,,13.34,13.61,,,13.06,13.73,,,,,,,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,2.31,4.07,,
222150081211001,Kui,22.36388889,81.35277778,,,,,,,,,2.51,5.59,0.62,1.8,2.54,5.65,1.02,1.69,2.29,2.59,,1.81,,4.74,1.15,2.15,2.49,3.57,0.88,1.85,2.68,6.15,1.52,1.84,2.59,7.52,2.01,2.98,3.7,6.69,2.55,,3.45,7.39,0.74,2.78,4.65,7.03,1.64,2.67,4.99,6.81,1.84,2.69,2.74,6.52,3.81,3.94,5.21,6.99,3.61,4.03,5.39,8.25,3.1,4.39,5.49,8.54,2.29,2.54,4.55,7.2,2.79,5.79,3.9,6.49,,2.59,5.16,6.49,,,,,1.87,2.54,4.71,6.66,3.03,4.31,,7.28,2.63,,4.77,8.17,6.65,7.19,5.45,5.3,1.02,3.12,5.03,9.75,3.49,3.28,4.82,,3.25,3.3,4.1,,,3.4,,,,,,,,
220405081123001,Rajnanwagaon,22.06805556,81.20833333,,,,,,,,,3.09,3.71,3.01,2.15,3.3,3.91,1.42,1.82,3.06,2.86,1.98,1.36,1.96,3.55,3.95,3.23,2.85,3.41,1.08,3.31,3.34,3.96,2.85,3.02,3.35,3.76,3,2.64,2.94,4.1,3.41,3.19,3.56,3.94,3.51,2.91,3.69,3.93,3.31,3.43,3.79,3.97,3.41,3.62,3.71,4.33,3.46,3.51,3.65,4.74,3.67,3.55,3.66,,3.56,3.61,3.69,5.2,3.31,3.46,3.67,4.54,3.12,3.16,3.61,4.41,,3.51,4.15,4.53,3.27,3.71,3.91,4.27,3.05,3.22,3.49,4.04,3.38,,,5.2,,3.9,5.49,5.52,3.62,3.13,4.1,5.52,1.05,3.74,5.19,,4.82,5.49,5,,3.95,,,,,,,,,,4.32,5.21,,
215000081074501,Sahaspur lohara,21.83333333,81.12916667,,,,,,,,,3.49,4.08,3.22,3.71,3.79,4.11,3.65,3.32,3.44,3.64,3.26,3.59,3.74,3.98,3.28,3.46,3.08,3.81,3.46,3.65,3.78,4.79,2.97,3.54,3.66,4.29,3.14,3.28,,4.28,3.16,3.35,3.4,3.94,2.59,3.04,3.49,4.25,2.79,3.48,3.63,3.96,3.24,3.55,3.64,4.5,3.41,3.57,3.74,4.74,3.84,4.21,4.99,5.88,,,,,,,,,,,,,,,,5.51,2.99,,3.86,,,,,,,,,,,,,,,,,5.03,1.26,,6.15,6.38,,,,,,,,,,,,,,4.9,,,,
221300081250501,Pandaria1 PZ,22.21666667,81.41805556,,,,,,,,,,,,,,,,,,,,2.2,,7.33,,,,,,8.17,7.44,,,,,9.53,,6.25,8.04,9.35,7.84,1.37,,7.17,,3.1,5.94,7.2,2.04,2.15,4.83,7.53,4.04,3.24,6.18,9.54,9.46,9.7,10.69,11.62,6.51,3.97,6.07,10.72,8.71,4.57,6.26,10.57,4.04,2.44,5.67,9.67,4.54,5.83,5.81,9.94,,,5.14,10.32,1.9,,5.19,,,1.4,6.36,11.15,5.26,3.24,,15.48,2.78,2.35,6.61,18.9,7.01,9.11,9.25,17.58,1.32,,,,4.19,4.47,5.19,,,,,,,3.55,4.15,15.19,,2.78,,15.58,,
215000081073002,Lohara-d PZ,21.83333333,81.125,,,,,,,,,,,,,,,,,,,,,,32,,,,,4.02,4.42,4.85,5,4.08,,,5.11,4.06,3.26,3.86,5.03,1.89,2.09,3.24,4.62,2.27,2.87,3.59,4.55,1.77,1.87,3.35,4.58,2.22,2.87,3.77,4.97,2.05,2.35,3.72,5.17,5.19,5.42,7.21,12.75,5.53,5.18,4.96,6.32,3.77,2.48,3.59,4.84,2.95,3.46,3.9,6.12,,2.81,4.68,5.41,2.58,2.62,3.62,5.12,1.97,2.26,4.27,18.02,1.44,,,6.37,4.7,2.25,6.69,6.55,5.73,4.69,5.75,7.8,3.34,9.74,10.48,19.64,15.68,14.48,16.16,,2.65,3.56,4.89,,,3.26,4.35,,1.65,3.76,,,,
221935081235001,Munmuna,22.32638889,81.39722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,2.8,0.75,4.28,6.6,2.4,4.16,5.26,6.73,1.5,3.75,4.78,6.24,1,4.2,4.4,6.92,4.13,3.25,4.8,6.77,2.02,4.31,5.15,7.18,1.72,3.6,5.55,7.58,3.3,3.8,5.28,7.01,1.55,5.35,5.57,6.5,,3.3,5.69,5.05,,3.1,4.28,,0.88,3.45,6.42,7.17,3.01,3.79,,8.15,2.54,5.3,5.63,9.1,4.37,5.11,6.75,9.1,0.84,2.84,4.33,5.29,2.87,2.64,4.2,,2.65,5.5,6.15,,,5.15,,,,,,,,
215750081121501,Danganiya,21.96388889,81.20416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.15,,8.9,9.8,7.95,6.51,6.48,9.8,2.7,1.53,3.15,7.79,2.6,2.45,3.51,6.1,,3.8,4.53,7.8,0.71,0.97,4.7,6.15,0.55,1.1,,5.59,1.45,1.82,,7.75,4.28,,6.56,7.95,9.51,4.42,8.05,10.06,0.84,3.79,7.29,10,6.72,6.48,7.66,,1.25,3.27,6.25,,,2.05,3.5,7.35,0.96,,4.35,5.29,,
221030081190001,Kharoda Kalan,22.175,81.31666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,3.81,3.65,7.15,8.29,6.44,6.97,8.68,8.65,7.05,3.1,6.95,8.65,3.75,4.6,5.08,8.65,,3.45,5.69,8.65,0.37,3.35,5.41,,,2.85,7.18,9.83,2.4,3.77,,12,1.87,4.7,5.89,10.5,1.81,2.39,12,,1.56,4.79,7.83,,,,4.26,,2.52,4.6,6.8,,,,,,4.3,6.4,4.55,5.74,,
220403081123001,Bharamdeo D,22.0675,81.20833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.14,17.5,23.7,11.96,13.1,15.5,20.6,13.22,14.28,15.9,19.3,15.2,,,25.07,,12.75,17.21,22.74,12.2,15.1,26.15,15,,,,,,,,,9.8,17.05,17.37,,,16.29,16.77,19.25,12.8,16.1,17.97,,,
220405081123002,Bharamdeo S,22.06805556,81.20833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93,18.12,24.42,12.35,14.19,14.9,19.96,12.68,13.8,16.5,18.77,15.12,,,24.55,,12.15,17.15,22.15,,,20.45,14,,,,,,,,,9.44,15.9,18.03,,,15.66,16.11,18.8,12.48,15.43,17.27,,,
220033081140701,Kawardha S,22.00916667,81.23527778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32,,20.57,11.19,13.4,17.31,18.9,,14.94,20.28,20.88,14.1,17.37,,,,,23.45,26.3,16.67,17.44,,,,,,,,,15.46,,,1.8,21.9,,,,,,11.75,16.55,20.89,24.49,,
221414081165702,Singhari D,22.23722222,81.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,6.11,8.28,2.06,4.18,6.42,,2.29,2.54,,19.25,2.89,,,12.93,,6.9,,14.97,5.47,6.31,9.75,14.6,,,,,,,16.16,,5,7.52,8.15,,,8.06,10.49,16.58,8.55,7.84,12.36,15.01,,
221414081165701,Singhari S,22.23722222,81.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,6.02,8.28,2.09,4.11,6.32,,2.52,2.66,,,3.01,,,12.9,,6,11.54,16.15,6.41,7.49,9.35,14.58,,,,,,,17.74,,,7.32,8.05,,,,,15.18,9.15,6.57,11.04,12.95,,
215231081102401,Uria Khurud,21.87527778,81.17333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.7,2.47,3.78,7.9,7.3,,,,8.08,,5.18,7.29,9,3.47,7,7.95,8.92,,6.84,9,9,0.92,3.69,8.02,9,6.62,6.72,7.93,,5.35,6.91,,,,5.5,,8.5,2.8,,0,7,,
215000081073001,Lohara-s PZ,21.83333333,81.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,3.53,5.02,,,4.28,17.51,0.98,2.94,,6.19,,1.75,6,6.4,5.21,4.48,4.65,7.7,3.47,9.33,10.28,9.31,14.36,15.83,12.29,,2.17,3.8,4.76,,,3.22,4.27,,,,,,,
