station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
200535081100501,Antagarh,20.09305556,81.16805556,,,,,,,,,5.7,8.57,0.8,3.02,5.56,9.87,1.28,2.6,5.16,9.65,1.09,2.57,5.33,8.52,0.71,2.6,5.6,8.64,0.76,3.3,5.99,4.69,0.58,3.14,6.04,,1.34,3.57,6.15,10.51,0.25,,5.45,9.75,1.13,,6.34,9.9,0.96,3,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201315080461501,Badgaon,20.22083333,80.77083333,,,,,,,,,3.45,6.76,0.32,2.84,4.74,,1.15,2.8,4.12,7.29,1.25,1.86,4.01,7.09,,1.62,3.97,6.54,0.2,2.9,5.02,,0.13,3.41,5.28,,2.96,5.45,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201930081042501,Banupartappur,20.325,81.07361111,,,,,,,,,6.37,9.63,2.8,5.31,6.67,9.85,3.1,5.21,5.73,9.2,4.15,4.31,5.97,8.98,2.15,4.29,5.93,8.93,3.2,6.01,7.54,10.66,0.75,5.18,6.82,9.69,4.11,6.11,6.85,9.95,2.8,,5.8,8.14,1.84,5.06,6.3,8.95,2.11,4.55,5.56,7.3,2.07,4.56,6.07,8.55,2.92,5.38,6.37,9.02,2.4,5.93,7.65,10.78,2.74,5.69,6.88,,,,,,,,,,,,,,,,,,,,4.23,,,8.05,,,,,7.58,9.58,4.16,,7.63,,,,7.8,,,,,,,,7.1,,,,,,,,,,,
201905081103001,Bhanbera,20.31805556,81.175,,,,,,,,,4.27,6.35,1.03,3.92,4,5.92,0.65,3.94,3.87,6.16,1.96,3.61,4.18,5.93,1.03,3.7,4.22,6.24,0.85,4.14,4.78,7.13,0.63,3.96,4.64,6.94,2.02,4.4,4.81,7.97,0.89,,3.95,5.79,1.32,3.86,4.6,6.72,0.94,3.72,4.25,7.77,1.03,3.79,4.42,6.84,1.55,3.94,4.55,7.16,2.05,3.79,4.5,7.22,0.69,3.91,4.59,,,,,,,,,,,,,,,,,,,,5.08,,,9.46,,,,,7.81,10.16,3.71,,6.15,,,,6.24,,,,,,,,6.81,,,,,,,,,,,
201830081243001,Devri,20.30833333,81.40833333,,,,,,,,,2.96,6.33,1.39,1.77,4.1,6.8,1.3,1.58,1.88,15.67,1.16,1.4,2.51,5.83,1.03,1.49,2.67,5.86,1.18,2.63,4.74,6.68,0.78,1.84,4.12,6.42,2.41,4.78,5.65,7.4,0.78,2.57,2.06,6.13,0.93,1.81,3.61,7.41,0.99,1.56,2.88,6.29,0.96,1.53,2.94,6.29,1.13,1.93,3.7,16.23,1.91,2.04,4.66,,0.92,,3.92,,,,,,,,,,,,,,,,,,,,5.59,,,7.21,,,,,,7.56,2.41,,6.31,,2.13,,6.48,,,,,,,,6.34,,,,,,,,,,,
201715081451501,Dudhawa,20.2875,81.75416667,,,,,,,,,2.94,7.6,0.55,2.33,3.54,4.17,3.26,3.23,3.47,4.85,3.75,3.3,2.7,2.95,,,1.51,3.75,2.02,2.3,5.21,6.08,0.86,1.61,2.33,6.16,1.68,2.63,,5.5,0.45,,1.55,1.9,0.91,1.71,2.07,4.85,0.95,1.8,3.51,2.03,1.07,1.47,2.05,5.07,0.9,1.89,2.02,4.3,0.85,1.83,2.1,4.97,0.7,2.64,4.24,,,,,,,,,,,,,,,,,,,,2.91,,,5.56,,,1.68,2.21,5.61,6.3,4.28,,5.41,,,,5.12,1.5,1.05,,0.8,,1.2,2.8,5.47,,,4.3,4.5,3.85,1.3,3.15,3.88,4.05,,
201310080571801,Durgkondal,20.21944444,80.955,,,,,,,,,4.57,7.08,2.16,4.18,5.81,,1.95,4.15,4.4,7.08,3.75,3.95,4.67,,,,,,,4.8,,,,,,,,,,,0.12,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202400081044001,Kachhe,20.4,81.07777778,,,,,,,,,5.19,7.02,0.91,4.01,4.52,6.4,2.45,4.25,3.72,5.24,2.39,3.15,3.8,5.89,1.07,2.38,3.92,6.33,1.53,3.92,4.26,6.88,0.11,2.21,4.09,6.15,4.32,6.28,4.91,7.43,0.63,,3.28,5.62,0.82,2.98,4.15,5.78,0.73,3.13,3.99,,1.33,5.49,4.43,5.82,0.83,2.83,3.97,,,3.21,,,,4.59,,,,,,,,,,,,,,,,,,,,,5.23,,,3.73,,,,,5.76,8,4.06,,5.12,,,,5.26,,,,,,,3.7,5.2,,,,,,,,,,,
201645081294501,Kanker,20.27916667,81.49583333,,,,,,,,,6.08,9.55,2.35,2.51,4.83,8.85,1.65,2.36,2.85,7.3,1.74,2.85,5.22,9.33,1.51,3.12,7.62,9.52,2.07,6.75,7.54,10.68,1.22,7.6,7.74,6.05,1.62,6.72,8.09,9.55,0.98,2.42,6.27,8.56,0.85,4.7,7.08,9.75,0.98,2.45,5.32,8.17,1.21,2.31,5.4,,1.15,3.3,6.7,7.9,0.55,3.45,6.7,11.6,1.72,2.97,6.54,,,,,,2.09,4.8,6.5,8.34,,5,6.5,9.7,3,5.2,5.9,,0.76,,,3.58,,3.07,,,,,,,,,,,,,9.28,,,,,,5.1,,,,,,,,,,,,,
201900081163001,Korar,20.31666667,81.275,,,,,,,,,5.31,9.4,0.3,3.61,6.8,12.34,1.62,4.6,4.65,11.05,1.9,4,5.42,10.05,1.83,2.95,5.17,10.08,3.14,5.9,6.96,9.16,0.42,4.33,5.38,8.47,4.72,6.87,7.75,10.37,0.8,,2.83,8.49,0.79,3.18,5.19,8.23,0.79,2.55,8.68,8.82,0.69,2.56,10.29,9.32,1.41,3.05,12.65,12.65,1.3,9.15,9.85,12.65,9.1,8.28,12.65,,,,,,,,,,,,,,,,,,,,3.96,,,8.7,,,,,6.98,8.36,2.9,,13.5,,1.7,,7.44,,,,,,,,,,,,,,,,,,,
