station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
222330082225001,Banbandha,22.39166667,82.38055556,,,,,,,,,1.7,3.89,0.02,1.25,1.9,4.3,1.55,1.16,0.56,2.15,0.09,0.4,,3.45,0.17,0.55,1.08,3.26,0.68,1.75,2.61,4.88,0.14,1.53,1.17,4.25,0.52,1.12,2.2,4.04,,0.33,1.06,3.23,0.95,0.72,1.4,3.3,0.01,0.68,1.54,3.7,1,1.84,3,4.83,0.25,0.94,1.51,3.7,0.11,0.81,1.67,4.2,1.05,0.8,3.02,4.46,0.8,1,4.03,2.62,0.07,0.83,1.2,3.75,,0.52,1.5,3.46,1.03,0.67,1,2.65,0.18,0.4,1.5,3.1,,0.72,,4.45,1.7,1.9,2.7,5.2,2.58,3.24,2.4,5.35,1.05,,2.8,5.08,1.14,1.1,1.86,,0.65,1.09,,,1.88,1.9,2.61,3.69,0.31,0.65,3.45,,,
222600082260001,Chaitama,22.43333333,82.43333333,,,,,,,,,6.32,11.95,1.73,4.61,7.7,12.23,3.03,4.38,3.9,5.4,1.53,4.49,,6.8,2.15,3.17,3.65,7.34,1.81,3.56,5.07,7.54,0.85,3.31,14.82,6.98,3.09,4.07,5.77,7.87,1.94,2.43,4.19,6.65,0.1,3.54,4.9,6.57,0.92,2.77,4.47,7,2.1,4,5.58,8.05,1.44,3.54,4.59,6.25,1.17,3.75,4.02,6,2.92,2.1,4.2,7.7,1.5,2.8,4.32,6.47,1.23,3.69,4.28,6.7,,3.1,4,6.42,0.8,3.2,4.15,5.43,1.22,2.6,5.05,6.7,1.32,3.76,,7.8,2.83,4.3,5.65,6.5,1.43,2.55,4.7,15,4.8,4.1,4.75,6.8,1.96,2.96,3.92,,1.55,3.9,5.27,,6.39,6.1,4.41,5.71,1.02,2.01,4.4,,,
222605082390001,Gopalpur,22.43472222,82.65,,,,,,,,,6.71,9.59,0.44,2.03,6.27,9.62,1.98,2.3,2.19,6.49,1.08,1.71,,9.19,0.74,1.99,3.14,9.49,1.66,3.16,4.31,,0.71,2.87,3.51,9.32,1.33,2.92,6.04,9.14,0.75,1.69,,9.39,1.14,2.18,4.64,9.59,0.76,1.94,3.12,8.69,0.89,2.93,4.32,11.8,1.07,1.8,4.88,11.8,0.94,3.01,6.19,9.29,1.44,2.59,7.19,9.59,0.94,1.89,7.34,4.89,0.64,2.49,6.9,7.89,,2.32,,5.3,0.54,2.99,3.6,11.8,1.37,2.39,8.99,11.8,3.93,2.69,,9.61,3.75,3.6,4.5,8.09,4.5,4.91,4.9,8.17,1.4,5.6,5.6,8.25,1.68,3.25,4.28,,1.7,3.52,3.39,,8.32,3.6,4.3,11.05,1.35,2.61,4.45,,,
223030082311501,Katghora,22.50833333,82.52083333,,,,,,,,,3.15,4.61,0.28,2.15,5.68,9.6,1.39,2.29,2.39,3.35,1.17,1.37,,3.55,0.95,1.55,2.1,3.99,0.94,1.97,2.34,3.08,0.47,1.54,2.05,3.03,1.04,2.18,2.66,3.75,1.1,1.31,2.09,4.15,0.2,2.04,2.55,3.44,0.47,1.55,2.37,4.85,0.7,2.47,3.92,4.35,1,1.87,1.54,4.33,0.65,1.75,2.93,8.3,1.4,2.05,2.87,5.55,1.15,1.55,2.39,6,0.71,1.94,1.87,5.65,,1.47,2.45,4.75,0.7,1.98,2.6,2.67,1,1.7,2.31,5.95,1.2,2.23,,4.4,1.97,2.5,,3.4,2,2.69,2.9,6.7,0.9,2.9,2.85,4.47,1.72,2.06,2.3,,1.4,2.19,3.2,,0.9,2.5,2.51,3.96,1.17,1.98,4.6,,,
222045082420001,Korba,22.34583333,82.7,,,,,,,,,10.48,11.31,10.45,10.3,10.75,11.55,10.96,10.42,10.2,11,10.51,10.14,,11.6,10.03,9.54,9.9,11.33,10.64,10.63,11.01,,3.82,9.74,10.25,11.42,11.64,11.52,,,11.7,9.8,10.23,11.73,5.9,10.26,,13.47,10.8,10.3,10.63,14.47,13.47,10.83,13.47,13.47,13.47,10.54,,13.47,10.92,10.21,8.29,9.35,11.08,10.5,10.95,13.47,13.47,13.47,13.47,13.47,13.47,,13.47,13.15,,10.2,13.47,13.47,13.4,,13.47,13.47,13.47,13.47,10.9,13.47,13.47,13.47,,14.47,3.79,,14.47,14.47,14.2,13.4,14.47,14.46,3.8,,14.46,14.46,,,6.14,,,3.24,7.21,,,,,3.55,,,0,,,
224515082385001,Morga,22.75416667,82.64722222,,,,,,,,,8.04,9.77,6.2,6.89,8.06,10.91,8.65,7.35,7.59,9.12,6.17,,6.82,9.1,4.74,6.09,7.07,9.12,7.52,6.57,7.73,9.97,3.01,,,9.11,4.75,6.67,8.87,10.91,7.03,4.83,,8.45,5.02,6.74,8.03,10.42,5.02,6.23,7.49,9.37,6.81,7.27,7.77,10.32,7.01,6.74,7.19,9.97,5.27,6.22,7.63,9.87,9.22,9.12,10.57,11.32,11.17,9.67,10.52,13.17,8.69,3.97,7.57,9.97,,3.17,10.02,11.57,8.3,9.17,10,,6.37,1.96,8.37,10.93,,,,14,7.12,7.7,9.67,11.54,7.95,7.23,8.74,11.46,7.11,8.19,8.6,13,,,8.19,,,6.54,7.47,,,5.2,6.11,,2.1,,4.85,9.45,,
224000082225001,Nagai,22.66666667,82.38055556,,,,,,,,,6.41,10.08,1.04,4.31,7.34,10.34,2.01,4.5,4.89,7.24,3.06,4.12,,8.69,2.55,3.52,5.54,9.65,2.38,5.05,6.63,10.53,2.49,4.08,6.32,,9.96,5.91,2.66,10.68,4.66,2.9,5.72,10.89,1.34,4.77,6.64,10.88,2.79,4.06,6.06,10.14,2.6,4.36,6.26,10.42,4,4.83,7.36,10.33,,5.84,7.33,10.09,4.09,6.14,6.85,10.04,6.54,4.74,8.06,10.64,3.38,4.61,6.76,10.59,,3.46,7.34,10.04,5.21,5.74,6.33,9.14,2.34,2.89,7.34,9.74,5.34,5.04,,10.1,6.9,6.75,8.56,11.44,6.3,6.86,8.9,11.76,6.1,8.6,9.9,10.35,4.61,4.97,8.44,,5.3,6.35,7.82,,8.25,5.75,7.03,10.26,4.8,5.67,7.4,,,
222220082192001,Pali,22.37222222,82.32222222,,,,,,,,,6.55,7.4,0.38,5.26,5.89,7.05,1.52,4.59,1.45,5.05,0.21,1.16,,7.7,0.9,4.33,9.71,9.43,1.24,2.07,8.11,9.77,0.79,2.02,3.07,7.77,5.08,3.46,6.32,8.83,0.67,1.09,2.53,8.08,0.5,2.7,5.91,7.15,0.55,2.35,4.18,7.65,0.95,5.83,7.88,7.15,0.67,2.74,4.15,7.57,0.69,3,5.3,8,0.72,3.45,5.83,8.95,1.45,4.55,6.14,8.7,0.64,2.87,3.35,7.85,,1.7,2.35,6.95,0.33,2.15,2.34,5.25,0.48,1.35,1.95,4.55,0.48,1.69,,4.1,1.55,2.15,3.14,2.75,4.2,5.57,2,10.25,4.55,2.8,3.2,4.1,1.16,1.74,,,0.95,1.81,2.63,,1.3,1.4,1.95,2.49,0.35,1.05,3.15,,,
225030082120001,Pasan,22.84166667,82.2,,,,,,,,,6.8,8.65,5.02,6.14,8.17,9.13,6.32,6.2,5.85,9.02,6.73,6.01,,8.15,,5.05,6.45,9.08,2.84,7.47,8.12,10.77,3.95,5.79,7.5,9.66,10.08,8.93,10.45,11.66,10.46,5.95,6.7,10,1.05,5.88,7.45,9.3,5.3,5.25,7.07,8.95,3.95,5.85,7.3,8.93,7.83,7.66,9.28,10.57,6.93,7.15,9.13,10.9,8.26,9.45,10.07,12.05,10.35,8.95,10.35,9.46,7.15,7.12,8.16,10.55,,6.04,8.65,10.77,1.56,5.5,6.5,8.8,4.17,1.36,7.75,10.15,8.09,9.67,,12.1,11.4,11.4,12.1,13.88,10.85,11.97,11.5,9.38,9.05,,11.5,13.18,5.46,4.96,9.45,,4.05,5.04,6.42,,8.53,5.2,6.52,10.02,5.28,5.95,6.9,,,
223615082331501,Pondi,22.60416667,82.55416667,,,,,,,,,2.72,3.12,0.62,2.1,11.98,3.36,1.77,2.04,2.13,2.97,,1.87,,2.93,,7.9,2.28,3.19,,2.17,2.84,7.9,0.79,2.13,2.52,3,1.19,1.97,2.06,2.78,0.89,1.33,2.53,3.25,2.55,2.08,2.72,3,0.79,2.63,3.28,3.08,0.67,3.83,2.38,3.08,1.49,1.21,2.07,3.18,0.73,2.18,2.03,3.59,1.08,1.83,2.85,3.18,0.73,2.03,2.83,2.97,0.34,2.33,2.63,2.83,,1.28,4.68,3.33,0.53,2.3,4.18,2.73,1.31,1.57,2.98,6.13,,2.38,,4.4,1,4.11,4.3,4.3,2.7,4,4.85,4.1,1.97,3.9,4.35,4.93,,,4.56,,2,3.95,4.41,,2.55,3.2,,,,,4,5.34,,
