station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
231530082330001,Baikunthpur,23.25833333,82.55,,,,,,,,,2.39,3.72,0.38,2.03,3.07,4.3,1.86,1.97,2.56,3.3,0.5,0.2,0.9,4.91,1.51,2.49,1.68,4.54,0.57,2.58,3.32,4.88,0.87,2.41,2.86,4.79,1.8,3.13,3.65,5.37,1.28,1.38,2.87,4.76,1.68,2.64,3.36,5.05,1.51,2.67,3.37,6,0.67,2.94,4,5.1,3.38,3.26,4.28,5.1,1.23,2.98,4.1,5.25,2.9,3.1,4.5,5.97,3.15,2.95,4.55,6.01,3.51,3.1,3.32,5.8,,2.2,4.97,6.1,1.45,2.71,3.09,5.5,1.45,3.56,4.21,5.23,1.66,3.88,,6.9,2.1,3.39,5.89,7,2.41,2.8,2.9,6.51,2.03,3.74,3.89,7,2.1,4.37,5.08,,1.52,3.65,4.46,,2.4,2.95,3.46,7,2,3.43,3.05,7.4,,
231728082155401,Belbehra,23.29111111,82.265,,,,,,,,,5.08,5.7,2.65,3.32,5.05,6.75,3.87,3.12,4.71,4,1.65,1.85,2.55,6.08,3.03,3.1,,6.22,3.12,3.55,4.43,6.45,1.98,3.91,4.65,7.12,5.57,5.02,5.85,5.26,4.38,2.05,4.3,5.56,1.7,2.87,4.71,6.21,1.66,2.66,4.95,5.45,2.54,4.07,5.15,6.6,6.09,4.23,5.03,6.4,2.15,3.59,4.65,5.75,4.25,3.65,4.95,6.42,4.91,4.03,4.92,6.6,1.36,3.05,3.95,6.05,,2.45,6.42,,2.03,2.65,3.61,,2.25,3.46,4.55,6.55,5.93,3.6,,5.95,3.7,4,,,4.85,5.15,6.95,7.27,4.12,5.88,7.25,7.27,4.1,5.37,7.15,,2.31,4.08,6.31,,4.17,3.2,3.8,,3.7,4.68,6.45,8,,
230630082224501,Khadgaon,23.10833333,82.37916667,,,,,,,,,9.36,11.8,9,7.41,7.53,12.76,8.78,,,,5.2,4.9,5.41,11.97,,,,10.94,6,6.58,7.23,12.6,6.25,5.95,8.2,13.14,9.25,9.92,,,,7.62,9.55,12.8,7.41,7.17,12.8,12.8,6.77,8.12,12.8,12.8,5.4,7.92,,,,,,,,,,,,,,,,,,,,,,,,,8.2,12.8,0.72,4.87,8.06,12.8,4.47,4.86,,7.22,7.22,8.09,,13.2,,,,,3.02,,,,,3.82,,13.1,1.98,,5,,,7.52,2.87,,2.22,2.9,4.01,4.2,2.45,2.74,,5.3,,
232215082313501,Khatgori,23.37083333,82.52638889,,,,,,,,,14.74,14.55,8.92,4.23,14.73,13.31,3.52,4.99,6.82,12.46,2.21,2.01,2.71,9.93,3.78,4.55,5.98,11.85,5.2,0.41,10.23,2.58,1.68,0.26,1.01,12.64,8.23,6.56,1.74,3.7,0.11,0.06,0.63,4.8,0.52,0.26,1.46,4.41,1.08,0.35,1.25,4.56,0.15,0.59,1.56,13.21,0.66,0.3,1.52,4.46,0.14,,1.46,12.16,7.24,5.41,2.96,10.28,0.46,1.38,6.93,15.2,0.11,1.96,0.96,4.96,,1.51,8.09,,1.31,1.41,2.33,,0.05,0.55,2.16,11.66,5,0.82,,2.85,0.65,1.11,2.15,5.3,0.81,2.25,2.71,3.99,0.8,3.29,3.5,4.36,0.65,4,3.5,,0.57,2.25,3.9,,0.5,2.22,4.44,4.15,0.8,2,4.7,3.79,,
231300082122101,Manendragarh,23.21666667,82.20583333,,,,,,,,,3.08,5.95,0.53,2.8,3.2,8.2,1.3,3.35,2.6,5.92,1.12,1.23,5.63,6.82,3.16,6.19,6.72,7.65,2.4,7.63,5.6,8.16,0.56,1.31,2.87,4.3,1,1.23,5.4,8.52,0.38,0.67,1.31,1.57,0.4,0.58,0.72,0.77,,0.65,0.65,0.8,0.22,0.71,0.5,0.8,0.52,1.38,1.93,2.2,0.45,0.47,0.6,0.4,0.3,0.21,,0.47,0.45,0.46,0.41,0.53,,2.8,0.05,0.4,,2.2,1.28,,0.25,2.4,2.6,0.8,0.32,0.71,2.3,9.7,5.24,0.56,,4.1,0.81,1.2,1.3,1.65,2.18,1.13,1.5,1.3,0.9,1.19,1.1,10,,,,,0.87,1.03,1.42,,,3.36,1.22,,2.6,3.04,1.4,1.2,,
231330082293001,Mansukha,23.225,82.49166667,,,,,,,,,7.2,8.63,4.78,6.05,7.58,8.9,5.41,6.42,7.11,,4.6,4.3,4.92,,,,5.98,9.07,5.64,6.8,7.73,9.04,,2.78,4.28,8.79,8.24,7.41,8.25,9.46,4.48,5.36,7.25,7.93,4.55,5.93,7.19,8.73,4.15,6.5,7.73,8.8,4.44,3.31,6.4,9.05,6.23,6.53,7.39,9.3,4.12,6.92,7.77,9.25,6.05,7.5,8.9,9.54,7.3,7.14,8.1,9.53,0.95,6.4,6.9,9.7,,5.75,8.94,9.25,0.3,7.37,8.08,9.3,4.18,6.88,8.2,9.43,6.55,7.09,,10.4,5.72,7.6,8.68,10.3,5.72,6.77,8.49,10.7,5.64,2.75,8.15,11,3.5,6.26,8,,3.85,7.37,8.96,,5.5,6.1,,10.1,5.9,7,8.5,10.4,,
234015082252001,Ramgarh,23.67083333,82.42222222,,,,,,,,,6.92,8.3,6.44,6.1,7.47,,,,,,,,,,,,,7.82,9.51,,9.77,8.04,,,,7.22,3.04,2.54,3.79,8.47,3.77,3.23,4.85,6.5,1.61,5.45,10.31,7.27,2,4.94,5.6,6.69,2.67,5.22,4.64,6.66,,,,7.9,5.44,,4.84,7.99,7.49,7.24,7.34,9.66,,,,10.31,,,,,,,,,,,,,,,,,,,,,,,,10.25,,6.5,,,,,,,,,,,,,,,2.88,3.32,,,2.85,,,,,
231650082421001,Ranai,23.28055556,82.70277778,,,,,,,,,6.41,10.01,2.91,5.11,7.93,10.79,3.98,4.74,6.09,7.5,1.85,1.45,1.95,12.06,2.7,4.16,5.07,6.85,4.25,5.2,7.89,10.75,2.42,3.01,3.66,11.13,6.53,6.72,8.7,10.58,2.83,3.59,6.98,9.5,3.16,5.61,7.8,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,0.55,5.7,9.17,11.15,2.03,7.85,,10.35,3.75,8.56,,13,1.61,,12,12.9,3.45,2.86,11.92,13.05,6.1,7.6,12.2,,3.85,6.48,11,,1.7,1.65,9.15,,3.17,4.16,8.18,9.85,2.2,4.82,6.8,3.2,,
231500082213001,Sarbhoka,23.25,82.35833333,,,,,,,,,3.14,3.59,1.59,2.78,3.14,4.1,2.63,2.18,2.96,4.88,1.65,1.35,2.28,3.66,2.07,,2.05,3.45,1.74,2.63,2.75,3.4,1.82,2.11,2.4,2.87,1.65,2.64,2.7,3.5,1.67,1.81,2.51,3.46,1.9,2.36,2.76,3.39,1.83,2.52,2.84,3.3,1.67,3.04,2.7,3.4,1.92,1.96,2.72,3.33,0.9,2.4,3.5,3.05,1.79,2,6.6,3.72,1.75,5.4,2.7,3.71,1.65,2.3,2.65,3.6,,1.4,3.81,,0.95,1.58,2.9,3.7,2.01,2.76,2.9,1.81,1.81,2.74,,5.8,2.8,3.41,5.09,4.15,2.57,2.7,5.38,6.71,2.2,3.92,3.57,8.88,2.11,3.06,4.17,,1.52,2.05,3.7,,,2.7,3,4.1,2,3.37,4.2,4.5,,
232855082310801,Sonhat,23.48194444,82.51888889,,,,,,,,,1.8,6.4,1.32,1.76,1.93,6.44,1.91,1.69,2.61,4.3,1.05,0.85,1.46,5.68,2.59,3.69,,6.33,1.5,1.98,2.4,6.18,1.14,1.87,3.72,6.98,1.6,2.11,2.73,4.93,1.22,1.26,1.64,4.64,1.76,1.48,1.69,3.49,1.27,1.9,2.02,6.8,1.22,1.93,2.3,5.29,1.58,1.86,2.59,3.7,1.1,,2.5,5.48,1.6,1.3,2.3,5.3,0.7,2.17,2.65,4.33,0.82,1.4,2.1,3.75,,1.05,3.3,,,3.34,3.45,4,1.33,3.59,4.26,6.4,1.91,2.1,,,1.42,2.38,2.46,5.8,1.48,2.6,4,2.87,1.21,2.34,2.28,2.26,1.45,2,2.2,,0.92,2.85,3.84,,2.84,2.65,2,5.65,2,2.68,2.6,3.45,,
