station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
210200082243001,Bag bahera,21.03333333,82.40833333,,,,,,,,,5.44,9.39,1.53,3.01,4.12,5.53,2.08,2.38,3.04,9.1,3.3,2.6,5.28,8.7,4.44,3.1,5.01,8.23,1.82,5.71,7.32,9.35,1.88,2.63,5.17,,5.34,6.17,7.93,10.67,0.04,0.1,2.5,7.22,0.36,2.85,5.42,9.12,2.37,2.24,4.81,7.8,0.07,3.32,5.39,8.92,0.62,3.32,5.52,8.72,2.53,4.76,2.17,10.08,1.83,5.1,7.34,10.08,2.72,4.12,6.57,10.08,0.12,5.28,4.94,9.85,,3.7,6.28,10.64,0.2,2.69,4.05,9.95,,3.11,5.53,7.92,1.62,5.57,,11.26,2.45,4.23,6.29,10.9,3.36,4.04,8.78,10.22,,,,,5.9,5.49,8.26,,4.18,6.12,7.38,,6.46,7.94,9.19,10.3,6.11,6.55,6.57,,,
212000082463001,Jagdishpur,21.33333333,82.775,,,,,,,,,5.51,7.03,2.46,5.11,5.82,7.11,3.34,4.64,5.28,4.8,4,3.5,3.9,,,,5.6,7.17,5.03,5.7,6.07,7.45,1.95,4.82,5.58,7.18,5.04,5.06,6.52,7.55,,4.44,5.02,8.44,3.64,4.89,7.5,10,1.29,5.49,7.45,9.4,1.7,4.45,6.7,10.1,3.7,4.25,7.35,9.4,,5.41,6.64,10.06,1.1,6.52,6.85,7.43,10.06,,10.06,10.06,0.5,4.44,4.32,10.06,,5.08,6.18,10.05,0.35,4.19,5.42,10.06,4.6,4.1,5.99,3.73,8.24,4.19,,10.76,2.38,3.39,5.34,,1.67,3.27,3.92,5.12,1.26,4.53,,5,2.35,2.99,6.67,,2.2,4.1,5.12,,2.58,3.8,3.92,2.15,,3.7,,,,
210630082054501,Mahasamund.,21.10833333,82.09583333,,,,,,,,,7.57,12.46,3.19,6.26,8.45,12.52,2.38,5.17,6.85,11.73,5.03,5.58,7.93,10.73,2.03,4.91,6.83,11.38,1.46,5.72,7.68,11.68,0.86,5.34,7.36,12.34,2.28,5.91,8.44,,,3.61,6.15,11.51,2.18,5.29,7.63,12.03,2.31,4.45,7.47,13.14,1.58,5.33,7.84,13.23,1.79,5.13,7.43,13.23,5.07,6.88,10.47,,,,,,,,,,,,,,,,,13,,8.93,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,
212210083043001,Patsenduri,21.36944444,83.075,,,,,,,,,3.16,7.89,0.31,1.91,3.19,9.59,1.1,1.6,1.34,7.45,0.1,0.17,0.57,3.68,0.5,0.69,1.68,7.57,0.24,1.37,5.23,8.05,1.39,0.61,1.16,6.77,0.24,0.87,1.32,6.5,,0.5,0.72,3.88,0.4,0.73,1.2,8.79,3.41,,1.04,9.59,,1.03,5,8.79,0.4,0.5,1.28,8.79,0.25,0.8,1.65,9.59,0.3,0.7,1.05,8.79,0.85,0.71,1.15,5.5,0.27,1.08,1.51,8.79,,0.62,1.2,8.79,0.18,1.5,3,1.6,0.38,0.5,3.97,0.15,0.15,,,8.9,1.15,1.55,2.1,5.13,1.15,1.35,1.9,6.2,1,,1.82,3.7,1.25,1.92,3.75,,,,,,,,,,,,,,,
211505082310001,Pithora,21.25138889,82.51666667,,,,,,,,,5.12,7.69,7.14,6.59,8.13,11.4,3.44,3.63,4.69,8.67,6.34,4.21,6.24,9.58,5.28,4.82,6.07,,9.29,,,,4.34,7.65,5.95,,8.58,5.81,6.36,,6.36,2.14,4.72,8.18,1.98,4.41,5.54,,4.87,4.01,5.72,11.4,1.99,,,,,,,,,,,,,,,,,,,,,3.24,,,,,4.53,8.64,,3.14,4.35,9.92,0.94,,4.88,6.89,4.93,8.61,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211900083003001,Saraipali,21.31666667,83.00833333,,,,,,,,,10.65,11.86,0.51,8.34,10.74,12.48,1.18,11,8.63,10.08,0.33,0.13,1.03,,,11.79,2.58,10.81,2.86,,12.03,,0.7,8.15,11.86,10.11,0.42,7.08,,,0.53,1.32,7.11,10.25,0.88,5.85,9.48,10.12,,7.41,10.53,7.81,0.38,6.68,8.98,10.48,0.63,1.38,1.48,6.38,0.83,3.64,3.76,11.86,0.35,2.28,4.35,11.86,0.68,1.4,1.59,2.03,0.23,,,5.39,,2.5,,4.63,1.8,4.05,5.58,0.73,0.78,0.98,,2.8,,1.43,,,,2.84,3.94,5.8,1.42,3.54,4.29,,,,,,,,1.3,,,,,,1.1,1.45,1.31,4.8,1.86,2.2,2.22,,,
205810082294501,Suarmar,20.96944444,82.49583333,,,,,,,,,8.05,11.35,8.36,7.98,9.09,9.44,2.22,5.26,8.1,12.4,8.45,1.65,7,,2.4,3.88,6.8,9.8,9.33,9.79,10.18,12.36,1.21,5.26,7.33,10.48,10.64,7.28,8.64,11.1,1.64,1.58,5.94,8.86,1.85,4.18,7.3,9.86,2.52,4.94,7.29,9.84,0.95,4.77,6.93,9.65,2.26,2.5,6.4,9,2.51,5.92,6.95,10.3,2.45,5.82,7.27,9.95,2.27,3.42,5.92,7.75,0.84,6.84,6.57,9.37,,4.16,7.11,8.45,0.53,4.33,5.56,8.26,0.8,2.7,,7.09,6.4,6.14,,10.25,8.5,4.29,5.49,9.53,1.81,7.7,8.84,7.02,,2.13,,8.8,9.49,4.08,10.35,,6.33,7.1,,,6.72,8.11,9.23,10.45,2.1,2.97,3,,,
210630082281501,Tendukonda,21.10833333,82.47083333,,,,,,,,,4.24,7.51,2.02,3.06,6.45,8.47,0.86,2.45,3.52,7.37,2.12,2.19,3.57,7.77,1.87,3.05,3.29,9.45,2.07,4.51,7.87,8.72,1.47,2.38,4.58,10.77,1.25,3.81,5.58,8.96,0.97,1.83,4.07,7.32,1.22,3.05,5.92,7.32,1.55,2.14,4.29,6.68,0.87,2.47,4.62,7.89,1.22,2.07,4.53,7.37,1.21,3.89,5.13,8.77,1.09,3.77,5.85,8.11,1.35,2.95,4.1,6.69,0.62,5.3,4.95,6.57,,4.35,,6.96,0.59,4.68,5.01,6.68,0.52,2.1,3.63,1.27,0.95,3.54,,12.98,1.97,2.33,3.24,7.2,1.29,2.61,3.24,4.82,1.38,2.19,4.35,10.37,1.74,2.4,5.2,,1.51,3.05,6.09,,2.57,3.95,3.88,9.2,2.94,3.05,3,,,
211130082071501,Tumgaon,21.19166667,82.12083333,,,,,,,,,3.64,5.11,0.98,2.73,4.34,8.11,2.01,2.71,3.41,5.8,1.55,1.7,3.94,6.1,0.28,2.86,3.72,5.58,1.56,3.06,5.25,9.93,0.81,3.01,4.19,7.05,0.82,2.64,4.08,7,0.32,2.06,3.02,3.76,1.1,2.48,3.8,6.25,1.54,1.91,3.74,4.26,0.9,2.6,4.09,7,0.6,2,3.5,3.8,1.02,2.88,3.8,5.8,0.52,2.23,3.44,5.62,1.47,2.5,4.42,4.17,0.3,3.38,2.66,5,,2.55,5.13,4.3,0.21,3.23,4.17,4.89,0.8,2.66,3.22,2.92,1.32,,,10.15,2.71,2.04,3.37,8.6,2.12,3.78,4.55,6.11,1.6,3.45,3.44,5.4,1.62,3.4,5,,1.5,2.76,4.08,,2.94,3.3,3.51,7.15,1.63,2.59,5.37,,,
212035082110001,Sirpur,21.34305556,82.18333333,,,,,,,,,,10.1,,,8.31,9.26,7.15,8.75,7.69,7.75,1.2,8.15,7.05,8.05,5.45,7.25,6.94,9.38,8.83,9.27,9.8,10.05,7.35,8.26,9.59,9.8,8.55,9.1,9.6,10,,7.95,9.2,9.59,7.25,9.13,9.45,9.55,8.36,8.62,9.39,9.58,9.8,8.7,9.35,9.4,7.45,8.48,9.15,9.35,8,8.57,9.3,12.2,7.9,8.65,8.52,12.2,8.15,8.69,9.22,9.51,6.15,9.18,8.72,9.67,,8.71,10.32,9.79,0.78,5.14,7.51,9.85,7.45,9.05,8.51,6.91,8.05,8.85,,13.15,,,,,,,,,,7.11,,10.04,8.67,,,,,9.1,,,,,,,,,,,,
