station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
223045083261001,Bakaruma,22.5125,83.43611111,,,,,,,,,8.73,8.68,6.62,7.27,8.45,8.68,8.04,7.19,7.7,6.5,7.3,7,7.39,8.68,6.47,6.22,6.25,,3.99,2.08,5.21,,,3.62,5.12,10.25,8.8,7.37,8.4,10.65,9.07,5.91,7.12,11.1,7.9,8.4,9.78,9.73,8.65,7.29,5.4,7.68,,5.01,8.44,7.98,8.82,7.32,6.17,10,7.35,7.15,7.85,10.3,1.35,8.62,8.95,10.4,9.74,8.07,8.25,9.8,7.29,5.52,7.03,9,,6.9,7.77,9.2,8.25,7.7,7.94,8.7,7.32,7.4,9.7,10.3,7.8,,,8.36,8.8,7.2,8.2,7.64,7.7,7.3,5.1,11,8.8,8.95,8.45,10.55,8.5,6.98,6.7,,4.6,7.24,8.54,,5.38,5.88,6.37,8.05,5.65,4.95,7.2,9.5,,
221940083160001,Barpali,22.32777778,83.26666667,,,,,,,,,6.79,8.61,3.48,5.98,6.97,8.19,5.81,5.98,5.53,7.54,4.16,4.16,,8.02,2.12,2.97,5.61,7.89,6.04,6.76,6.89,9,4.1,5.66,6.86,9.26,,5.56,6.48,8.34,5.47,3.86,5.91,8.86,1.31,2.41,6.86,8.25,4.31,5.84,6.69,8.45,5.27,6.34,7.19,8.77,3.54,5.52,6.51,7.91,2.66,5.16,6.51,8.03,1.46,5.96,6.76,8.01,5.01,5.52,6.28,10.64,4.75,5.39,5.13,8.36,,5.47,6.38,8.06,3.21,6.46,6.55,7.46,3.97,5.83,7.46,7.48,4.06,,,9.03,5,6.7,7.4,,6,6.75,7.4,8.65,4.65,6,5.7,9.48,2.25,6.6,6.7,,2.5,6.75,7.83,,4.78,4.9,,8.4,4.5,6.5,7.4,9.27,,
215900083120001,Chaple,21.98333333,83.2,,,,,,,,,3.6,6.2,0.95,2.11,3.89,6.9,4.56,2.94,4.16,6.2,1.64,1.34,1.94,,0.63,1.89,4.28,5.33,3.89,3.74,4.25,5.45,0.02,1.02,3.1,,3.5,2.1,3.59,5.74,1.92,0.03,1.56,4.9,0.45,0.6,2.8,5.15,1.75,1.66,3.16,5.96,3.58,2.6,4.1,6.4,2.15,1.17,3.22,5.2,,,,5.52,3.1,2.54,3.35,5.45,3.39,2.54,4.55,4.4,3.24,3.88,2.94,5,,0.81,2.86,4.8,0.95,1.1,3.3,4.5,2.11,1.28,4.2,4.8,0.75,,,6.52,1.8,2.1,4.2,6.52,1.2,2.4,4.86,,,,,,,,,,,,,,,,,,,,,,,
221620083250001,Chimtapani,22.27222222,83.41666667,,,,,,,,,12.68,9.02,6.19,10.15,12.71,9.57,12.41,,12.51,9.02,8.85,8.7,9.31,8.14,3.32,9.07,13.15,,11.93,4.51,8,6.08,4.26,9,8.42,9.24,10.35,8.46,10.77,,4.23,2.51,4.64,12.65,2.75,9.15,7.21,8.26,2.8,3.37,,6.74,2.03,4.5,4.36,6.86,3.43,6.41,5.65,12.85,3,9,12.95,13.6,0.8,12.1,12.8,7.25,2.22,10.73,12.65,8.95,4.5,6.3,12.7,9.05,,2.44,5.16,13.6,2.16,6.95,9.65,13.6,2.82,6.13,8.3,12.49,3.35,,,14.15,3,6,10.85,5.76,4.7,7.35,9.35,12.35,3.9,7.8,7.96,8.8,3.65,,7.05,,3.25,,7.74,,2.23,2.39,5.82,9.62,5.8,4.8,6.6,6.17,,
212715083070001,Damdarha,21.45416667,83.11666667,,,,,,,,,4.76,7.01,3.32,4.5,4.89,7.15,4.2,4.41,4.67,6.73,2.45,2.25,2.9,6.47,3.46,3.79,,6.95,2.77,4.52,5.71,7.28,3.12,4.25,5.2,7.65,5.6,4.45,5.25,7.47,3.68,3.64,4.46,7.95,4.55,4.7,5.95,7.61,5.05,4.05,5.31,7.97,3.93,4.83,6.05,8.1,4.29,4.31,5.65,7.75,3.6,4.48,5.35,8.35,6.05,4.9,5.7,9.1,5.67,4.9,6,9.1,8,6.43,7.82,9.1,,5.69,7.43,9.1,7.38,5.05,6.1,9.1,4.55,5.8,9.1,9.1,6.4,7.87,,9.85,9.15,8.3,9.12,,9.85,9.1,9.85,9,9.1,,,,,4.93,8.5,,4.45,7.73,8.91,,8.91,8.88,,8.8,9,9.12,0,0,,
221015083211501,Gharghoda,22.17083333,83.35416667,,,,,,,,,5.09,7.97,3.17,3.69,5.26,7.84,4.68,3.63,4.47,6.47,2.85,2.35,2.88,7.64,2.78,3.84,4.85,,5.42,4.91,6.25,8.67,3.79,3.39,4.73,7.68,1.01,2.45,6.04,7.49,5.05,2.06,3.61,7.65,1.65,4.05,5.3,7.47,2.62,2.8,4.02,6.5,3.4,4.03,4.97,6.79,2.37,2.85,3.92,5.8,1.58,2.95,4.3,6.4,2.71,3.25,4.15,7.05,5.33,4.65,6.35,8.45,5.37,4.2,5.08,8.25,,3.46,3.2,12.73,2.7,3.95,5.55,7.95,2.53,3.9,12.73,12.73,3.45,,,9.95,6,3.9,5.8,,5.45,4.95,5.96,10,4.15,,,,4.25,4.33,,,3.25,4.88,5.79,,4.39,4.31,5.44,8.34,3.5,4.08,5.38,8.65,,
223750083241501,Golabuda,22.63055556,83.40416667,,,,,,,,,7.37,9.51,1.15,5.89,7.44,9.03,2.93,4.8,5.86,5.16,2,2,,,,,,9.22,,6.25,,,1.68,4.21,6.58,,3.25,3.58,4.68,10.05,5.35,2,5.5,9.65,2.85,3.95,5.7,9.4,6.89,6.33,7.45,9.91,7.69,7.01,8.11,10.11,6.11,5.5,7.45,9.55,4.32,4.89,6.6,9.47,2.95,6.96,7.65,10.1,8.08,5.85,7.4,9.5,2.16,5.15,6.43,8.8,,4.97,7.16,9.6,7.3,5.2,5.25,9.8,2.83,5.25,8.45,10.2,4.6,,,9.71,6.1,5.6,7.9,6.72,4.9,5.35,5.94,9.9,5.6,8.9,8.13,10.2,5.1,,7.2,,,5.56,6.67,,1.22,1.33,4.7,9.32,4.4,4.08,6.52,9.7,,
221815083054501,Hati,22.30416667,83.09583333,,,,,,,,,6.17,7.77,1.55,3.95,5.47,7.17,5.1,4.8,5.92,6.32,3.35,3.1,3.78,,1.19,2.68,4.36,6.65,3.05,8.56,6.09,7.5,1.57,2.82,4.6,6.9,4.94,4.87,6.52,7.9,5.34,2.03,4.18,7.9,2.5,4.7,6.05,7.58,2.05,2.53,4.78,7.48,3.1,5.34,6.66,8.32,3.59,4.04,6.3,7.92,1.3,3,4.7,7.9,3.9,5.3,6.2,8.2,7.05,4.94,6.48,8.6,2.12,6.66,5.01,8.3,,3.09,4.52,8.4,5.08,5.2,5.92,7.8,1.34,3.93,7.7,8.18,2.9,,,9.56,2.9,4.15,6.15,9.56,3.7,4.45,6.7,8.6,3.1,,,8.35,3.05,,6.8,,,4.31,5.05,,1.26,1.21,3.41,,,,6,0,,
213730083083001,Hirri1,21.625,83.14166667,,,,,,,,,3.45,8.26,0.85,2.63,3.85,8.27,1.24,,2.13,5.04,0.64,0.44,1.07,5.61,0.75,1.77,2.94,6.47,0.99,2.54,4.24,8.72,0.51,2.04,4.54,8.44,,1.55,3.75,8.64,0.75,0.92,2.08,9.14,1.09,1.84,3.04,6.68,0.84,2.09,3.51,8.22,0.42,2.15,3.47,7.92,0.53,1.7,3.14,7.44,0.4,2.09,3.19,8.96,1.04,2.34,3.49,8.96,0.92,1.88,3.14,8.94,0.67,3.19,2.6,5.44,,1.96,3.58,7.74,0.24,2.74,2.99,7.94,0.25,2.39,7.76,8.94,0.36,,,9.1,1.2,3.2,5.85,,2.15,3.35,7.15,8,1.15,5.5,,0.6,1.2,2.36,7.2,,0.5,2.81,3.89,,0.11,0.31,,,0.56,1.15,1.98,,,
224015083201501,Kapu,22.67083333,83.3375,,,,,,,,,4.69,7,0.73,3.87,6.89,8.75,2.46,3.88,4.48,5.53,0.85,0.55,1.38,7.36,,,,8.09,3.58,4.02,4.87,7.55,1.39,3.55,5.2,,3.35,4.15,5.43,7.35,2.82,2.14,4.35,7.15,1.8,2.9,4.4,7.04,2.91,3.84,4.77,7.83,2.27,3.99,4.88,7.95,1.77,3.52,4.63,6.25,1.35,3.78,4.72,6.95,1.75,4.03,4.9,7.27,2.78,4.02,4.95,7.55,2.08,4.09,4.78,7.85,,3.8,5.76,7.75,3.3,4.15,4.7,7.45,1.79,3.55,6.4,9.2,1.8,,,8.18,3.4,4.1,5.6,8.04,2.4,4.35,5.45,7.9,2.3,,5.61,8.62,2.15,,4.6,,3.15,4.88,5.63,,3.23,3.33,4.88,6.85,2.35,3.68,5.5,7.48,,
