station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
210300081444501,Abhanpur,21.05,81.74583333,,,,,,,,,7.33,6.57,0.99,4.92,5.71,15.02,1.12,4.4,4.89,5.38,3.07,3.82,5.12,7.42,1.62,3.64,4.95,5.51,1.96,5.49,5.13,15.1,0.86,4.62,5.45,7.38,0.84,3.79,5.5,5.7,1.32,2.98,4.62,5.16,2.16,5.03,4.9,7.6,0.66,3.54,5.06,4.9,0.85,3.95,5.01,5.54,1.1,3.65,4.9,6.85,1.4,4.3,5.05,5.06,0.71,3.6,8.69,5.9,1.12,3.97,4.78,5.22,0.9,4.05,4.02,5.19,,5.1,,5.51,0.37,4.22,4.5,19.2,,4.33,,,,,,7.13,2.27,1.89,19.9,6.25,,,,,1.18,2.95,3.12,5.25,2.05,3.5,4.63,,1.1,3.7,4.81,,2.1,4.26,4.45,5.2,1.36,3.9,4,,,
205900081484001,Bajrangpur,20.98333333,81.81111111,,,,,,,,,2.08,1.27,0.53,0.82,2.48,4.49,1.12,1.15,1.39,1.79,0.55,1.05,2.4,5.63,0.75,1.3,2.35,1.28,0.51,1.67,3.45,11.35,0.28,1.88,3.56,5.03,0.71,1.13,2.85,7,0.98,0.91,2.12,5.49,0.23,1.61,3.77,6.14,0.63,0.85,2.74,5.29,0.37,1.12,2.96,1.69,0.32,0.87,2.35,1.32,0.16,0.98,1.96,1.85,0.33,1.09,2.67,3.52,0.52,1.18,2.13,1.27,0.42,1.02,1.16,2.54,,1.61,2.53,2.09,0.1,1.47,1.82,1.37,0.2,1.01,2.38,0.33,0.47,1.07,,1.99,1.03,1.66,1.31,2.22,1.05,1.81,2.41,2.52,1.1,3.11,2.45,2.92,1.18,1.4,2.12,,1.25,3.15,2.47,,1.25,2.12,2.9,2.5,1.94,1.9,2.68,,,
213920082100001,Baloda bazar,21.65555556,82.16666667,,,,,,,,,5.95,10,1.15,,3.92,11.75,2.72,4.14,4.9,9.4,0.88,3.3,5.5,13.4,2.1,5.02,,6.8,3.33,5.15,6.74,,2.51,3.89,5.75,,6.57,7.17,11.92,,5.34,2.88,6.64,14.4,2.5,6.78,9.1,14.4,4.45,5.53,8.88,13.4,2,6.3,9.54,14.4,2.62,6.05,10.85,14.4,0.26,2.23,5.87,15.4,1.56,2.1,7.34,14.4,0.22,1.46,4.2,14.4,0.35,3.68,3.63,14.4,,3.04,4.72,14.4,0.4,7.89,8.02,14.4,1.27,3.5,5.79,14.4,1.4,4.7,,15.4,2.28,2.89,4.57,,1.34,,15.4,7.56,1.87,,,7,5.76,4.15,,,4.18,6.11,6.91,,,8.6,8.63,7.45,3.15,5.23,5.29,,,
213815082433001,Bilaigarh,21.6375,82.725,,,,,,,,,1.9,3.51,0.52,,2.13,3.91,1.32,1.28,1.66,3.18,0.38,1.77,,4.23,1.31,2.18,1.82,2.26,0.77,2.92,3.58,3.72,0.1,1.15,1.58,3.44,0.11,1.28,1.77,3.91,1.11,0.56,1.3,4.51,2.8,1.27,2.66,3.01,1.49,0.86,1.23,1.94,0.16,0.8,1.52,3.57,0.06,0.86,1.36,1.96,0.36,3.31,0.48,3.74,0.44,0.97,2.55,4.51,0.94,1.03,1.27,2.92,0.13,0.53,0.68,4.46,,0.56,,3.24,0.3,0.93,1.12,2.78,,0.26,0.79,0.98,,0.38,,5.35,,1.02,2.37,5.35,0.89,1.56,2.28,3.73,1.56,4.11,,5,0.93,1.46,1.88,,,,,,,2.25,2.31,2.8,1.5,1.97,2.25,,,
200130082240001,Burgal tappa,20.025,82.4,,,,,,,,,7.38,7.9,,7.7,8.67,9.15,,6.97,7.26,9.08,7.2,7.78,8.5,10,8.25,6.85,8.2,9.54,9.2,9.25,9.78,10.15,4.85,6.39,7.86,9.55,9.3,9.08,9.99,10.44,,4.84,6.9,9,4.19,6.51,4.36,9.43,8.16,6.57,7.85,9.28,4.23,5.65,7.17,4.08,2.81,4.76,7.18,8.71,3.47,5.94,7.16,8.97,5.67,7.86,8.63,9.51,6.68,,,,,,,,,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204845082123001,Chhura,20.8125,82.20833333,,,,,,,,,4.56,6.24,,6,5.21,8.86,1.16,5,6.29,8.76,2.64,,6.41,8.89,3.89,5.79,5.77,6.66,6.09,7.01,8.45,9.58,1.01,3.24,4.61,6.58,2.86,4.35,7.89,7.25,1.5,1.74,2.73,5.53,0.7,3.53,4.5,5.55,1.13,3.75,7.86,10.47,0.6,3.6,8.39,11.24,,2.85,6.62,5.25,3.69,6.17,8.39,5.64,0.48,3.55,4.84,10.75,0.65,3.69,4.28,5.25,,3.5,3.62,,,2.96,4.01,5.91,0.48,3.98,4.2,5.57,0.8,3.15,4.47,4.45,1.55,4.5,,6.4,4.48,3.92,4.41,6.05,1.52,2.67,5.28,,,,,,,,,,1.05,3.86,,,,,,,,,,,,
195315082390002,Deobhog,19.8875,82.65,,,,,,,,,3.23,4.71,,3.43,4.09,5.63,,2.94,3.11,4.75,3.65,3.75,4.19,5.77,2.97,3.18,3.99,5.32,1.88,2.85,3.73,6.26,1.46,2.8,3.52,5.01,2.69,3.5,4.14,5.65,,2.49,3.57,4.88,1.57,2.7,4.15,5.05,2.66,2.75,3.72,5.27,1.35,2.75,3.65,5.36,1.45,2.6,3.6,5.1,1.03,2.9,3.55,5.42,1.04,3.45,4.22,6.11,2.7,,,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211230081404001,Devpuri,21.20833333,81.67777778,,,,,,,,,5.71,10.1,1.26,2.18,5.83,7.8,1.72,2.58,3.83,4.69,1.65,2.25,6.36,9.04,1.72,2.64,5.22,7.86,1.66,4.88,9.22,,1.04,2.31,6.75,7.17,1.55,3.13,7.6,,1.92,1.92,5.54,13.9,1.8,3.19,7.7,13.24,0.76,1.88,6.73,13.24,1.1,4.1,10.72,13.24,1.3,3.6,9.2,13.24,4.21,5.73,9.24,13.24,1.35,3.6,8.59,13.24,2.12,3.66,6.47,10.52,1.1,,,13.24,,3.49,10.66,12.4,1.03,6.26,7.66,13.24,1.43,4.44,,13.24,3.1,8.1,,14.04,2.83,3.52,10.5,,4.2,6.45,14.04,10.2,1.93,4.18,6.8,8,2.6,3.7,10.1,,0.7,5.1,,,1.8,2.6,5.77,7,1.96,2.74,3.24,,,
212430081402001,Dharsiwa,21.40833333,81.67222222,,,,,,,,,5.71,8.62,1.22,2.68,4.21,2.7,2.37,3.44,2.4,6.4,1.37,3.22,7.02,4.75,3.43,2.31,5.99,7.82,1.87,6.56,4.94,,1.4,,8.9,6.35,2.61,5.8,8.15,,0.87,2.74,3.4,3.64,1.24,2.77,9.84,5.27,2.45,1.86,3.72,8.59,3.89,1.54,4.08,7.37,1.41,2.38,3.38,5.56,1.26,1.59,2.54,3.34,1.14,1.59,2.69,3.31,3.74,4.44,3.3,3.04,1.14,1.76,2.25,5.71,,1.41,2.54,5.32,1.24,2.46,7.3,3.44,0.99,1.49,6.91,7.65,5.24,2.14,,3.1,0.47,3.75,5.42,12.5,2.13,3.67,5.22,6.7,1.2,3.19,,9.88,2.42,,3.5,,2.51,4.1,5.12,,1.41,2.65,2.35,13,1.67,2.58,3.1,,,
205800082020001,Fingeshwar,20.96666667,82.03333333,,,,,,,,,4.64,9.97,1.75,2.08,4.7,10.48,2.4,1.78,4.98,7.25,1.25,1.15,3.7,9.15,0.7,2.77,3.83,7.51,2.03,3.99,6.09,9.95,0.05,2.08,4.47,6.45,0.79,1.6,4.28,8.29,1.45,0.73,2.35,4.94,0.03,2.14,4.79,5.39,0.21,1.33,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,10.1,,4.46,4.7,,1.19,,,,,,,11.65,2.7,2.13,2.89,11.65,1.08,2.64,4.21,,,3.12,,,3.63,4.32,,,,3.16,,,4.5,,11.65,7.2,4.74,5.7,5.5,,,
