station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
204630080443001,Ambagarh chowki,20.775,80.74166667,,,,,,,,,6.51,9.12,6.37,6.9,9.38,14.4,7.26,7.28,7.26,11.74,7.19,6.24,8.04,11.26,6,7.38,7.57,11.24,7.04,7.82,10.04,,2.58,8.56,10.03,13.04,9.21,10.12,12.22,,5.95,7.82,10.01,14.64,6.68,8.69,11.28,14.64,4.74,,14.64,14.64,6.64,8.62,11.59,14.64,6.99,8.74,11.54,14.64,11.24,11.74,11.74,,10.98,,,10.98,,,,,,,,,,,,,,,,,,,,10.98,,,,,,,,,,,,,,,,,,,,,,10.71,,,,,,,,,13.3,,,
212315080504501,Baigatola,21.3875,80.84583333,,,,,,,,,2.15,2.47,2.02,0.74,2.65,2.98,2.3,0.75,0.57,1.85,3.25,,0.1,2.48,0.9,1.02,3,3.95,1.65,1.32,5.35,3.6,0.2,0.95,2.65,2.8,0.5,1.27,3,2.6,0.23,0.58,1.2,2.9,0.05,1.25,1.4,2.17,0.25,1.35,1.26,2.32,,1.1,2.95,2.85,0.05,0.4,2.85,2.45,1.6,0.94,1.83,2.67,4.81,2.65,5.25,,1.15,0.7,1.24,,1.15,3.4,1.2,2.45,,2.77,2.02,2.9,0.36,2.67,2.85,,1.97,1.63,2.08,2.01,0.83,4.64,,2.8,,,8.16,3.2,4.29,4.15,5.05,3.65,1.26,2.37,4.23,3.89,1.29,1.56,2.2,,1.32,1.2,,,,2.2,,,,,,,,
202815080530001,Boriatibhu,20.47083333,80.88333333,,,,,,,,,6.21,10.9,0.93,1.34,3.83,9.4,1.51,5.17,4.82,8.75,4.75,4.8,6.13,9,3.17,4.3,5.9,8.49,2.26,5.45,6.74,10,0.43,5.51,6.58,9.4,4.22,,6.97,9.9,3.04,2.9,5.63,8.9,0.94,3,6.52,8.3,0.65,4.1,5.85,8.58,1.05,4.5,5.9,9.36,1.7,4.4,6.45,8.69,3.78,5.6,7.1,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,
210030080380001,Chhuria,21.00833333,80.63333333,,,,,,,,,5.13,8.3,2.6,2.9,5.6,12.1,2.01,2.87,2.65,8.05,2.35,2.5,4.7,9.92,1.2,2.23,4.97,9.5,1.79,5.54,6.73,12.2,0.65,3.39,7.43,12.25,3.14,4.2,6.35,11.96,0.31,1.67,4.36,10.25,0.85,2.95,6.01,5.28,0.25,1.77,2.93,7.34,0.5,2.85,4.47,7.99,1.52,3.1,5.1,7.55,1.59,3.23,5.4,9.46,2.14,3.51,5.06,11.76,,3.02,5.57,10.36,0.9,,,,,,,,,,,,,,,13.03,,,,,,,,15,,,,,,,,,,,6.29,,,,,,,,,,,,,,,
210500080351501,Chirchari,21.08333333,80.5875,,,,,,,,,6.05,8.3,3.83,5.37,6.48,7.48,1.65,4.42,2.38,7.28,1.01,3.78,5.33,7.57,2.21,3.74,,6.28,2.74,5.15,8.61,8.98,1.62,4.58,6.41,9.98,2.62,2.15,4.03,9.22,1.51,4.11,6.08,8.88,2.52,4.98,6.7,7.84,0.78,3.92,6.12,8.62,1.48,4.83,6.35,8.24,2.22,4.13,6.13,8.81,1.85,4.66,6.54,9.05,2.98,4.63,5.45,8.5,2.18,4.08,6,8.93,2.13,3.43,6.76,11.5,,,6.67,8.64,1.33,4.58,5.7,8.68,2.14,3.96,7.46,3.78,,5.08,,12.02,2.72,2.4,,4,,6.15,6.9,4.2,1.54,4.28,4.35,,8.59,,7.92,,,,2.6,,3.15,,2.65,,1.8,3.9,2.79,3.95,,
213130080594501,Chuikhadan,21.525,80.99583333,,,,,,,,,3.44,5.59,2.56,2.34,3.41,5.26,2.37,2.23,2.19,4.34,4.22,2.89,3.84,5.43,1.85,1.94,3.49,5.01,0.69,4.21,6.34,,2.27,2.7,6.74,,0.24,7.28,9.64,,1.14,2.09,3.18,5.44,1.28,3.89,5.06,7,0.46,2.39,4.32,9.38,0.94,3.09,5.09,9.38,0.34,2.19,6.3,5.99,6.2,6.74,5.48,5.48,8.2,8.2,8.2,8.2,9.74,5.76,10.74,,4.74,10.74,10.74,10.74,,10.74,12,10.74,0.19,5.71,10.74,10.74,5.79,4.46,10.74,10.74,4.29,3.13,,12,12,8,,12,,,12,,,,,,,,,,,,6.8,,,,,7.5,3.95,6.8,0,6.49,,
205815080512501,Dongargaon,20.97083333,80.85694444,,,,,,,,,7.49,8.99,3.12,5.67,8.14,9.63,2.87,5.46,5.85,8.79,7.29,4.1,6.44,9.35,7.27,4.64,6.28,9.54,2.85,5.95,7.05,7.83,1.79,3.24,4.55,8.06,6.68,5.46,6.16,8.45,1.69,3.86,5.53,8.49,2.06,4.64,6.52,8.35,1.19,2.97,5.46,5.8,1.92,4.71,6.59,9.21,1.73,5.09,5.99,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,
211105080453501,Dongargarh,21.18472222,80.75972222,,,,,,,,,8.35,5.81,5.59,1.58,1.73,7.53,1.85,1.4,1.4,1.9,2.23,1.55,1.75,8.19,7.13,,3.19,6.75,,4.6,,,,6.13,5.56,7.47,,,,,1.57,3.82,5.92,9.85,2.85,5.65,7.47,10.03,0.55,3.85,5.72,10.31,2.95,4.65,7.35,11.39,3.44,5.3,7.75,10.75,5.64,6.41,9.1,10.75,6.12,7.43,8.43,10.75,2.65,5.15,7.97,,3.15,6.19,,7.45,,4.14,7.59,10.75,1.7,5.03,6.23,8.85,1.7,2.93,6.25,6.5,3.5,3.98,,10.7,3.42,5.9,7.28,10.05,4.4,4.6,7.05,4.2,1.18,4.67,4.03,4.89,2.21,2.73,6.43,,1.62,6.3,8.1,,4.9,2.9,,11.3,1.52,5.1,7.85,12.47,,
213952081054301,Gandaipandaria,21.66444444,81.09527778,,,,,,,,,7.05,7.34,6.55,6.55,6.1,7.1,2.35,6.18,4.22,7.18,2.42,6,7.3,4.12,4.97,5.9,5.65,6.85,5.68,5.92,7.17,7.5,4.99,6.13,7.08,7.37,5.37,5.77,7.08,7.67,5.32,5.75,6.3,7.1,4.4,5.95,7.01,7.28,4.75,3,6.96,6.88,5.45,5.9,6.8,7.46,5.67,5.55,6.95,7.5,6.22,6.69,7.28,7.45,6.5,5.9,7,7.42,6.75,6.15,6.79,7.35,5.05,6.8,7.15,7.6,,6.75,8.21,7.45,5.45,6,7.4,,6.09,6.69,7.23,6.85,5.76,3.27,,8.25,7.2,,8.32,7.67,7.24,7.62,10.05,6.3,,9.32,10,,,,,,3.25,,,,5.35,7.4,,,,,,,,
212600080581501,Khairagarh,21.43333333,80.97083333,,,,,,,,,4.18,5.83,4.28,3.97,4.19,6.43,4.88,4.01,4.01,5.3,5.14,4.2,3.9,5.57,3.57,3.54,6.32,4.25,3.24,4.5,5.14,6.9,3.49,5.36,4.85,6.25,3.3,4.08,5.27,7.05,3.22,4.03,5.04,6.67,4.3,6.05,5.9,6.36,3.05,5.25,5.5,5.7,3.6,5.1,5.75,6.09,2.99,4.25,4.8,6.4,5.79,6.29,7.45,,6.35,6.04,6.87,7.48,4.35,4.85,6.16,7.15,3.95,5.1,4.86,6.55,,4.25,6.84,6.83,1.7,4.85,6.35,7.25,5.17,5.18,6.83,7.45,5.48,5.98,,8.2,5.72,6.8,8.2,8,7.27,7.87,7.25,7.8,2.87,5.92,8.03,7.74,6.48,6.33,8.19,,6.15,5.66,6.95,,3.4,5.5,6.35,7.15,3.05,5.8,6.63,7.02,,
