station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
283755077115501,Birla mandir,28.63194444,77.19861111,,,,,,,,,5.34,4.91,1.37,3.83,3.77,7.91,6.51,,4.51,7.51,2.63,3.61,5.81,7.31,2.01,4.91,3.81,6.66,6.01,8.66,8.06,11.71,9.17,11.81,10.91,14.86,14.21,14.48,8.8,13.29,1.99,4.8,6.35,13.52,13.3,2.71,8.95,9.5,9.32,9.7,8.81,10.14,9.76,10.71,10.78,10.92,,,,11.25,4.58,4.14,5.12,5.76,4.82,4.8,3.41,11.45,5.95,2.5,4.9,6.3,5.55,6.9,7.9,7.3,,9.1,9.35,14.86,8.48,9.01,9.2,13.3,12.53,10.78,9.24,13.5,8.32,11.95,11.86,,7.91,9.94,11.04,,7.95,,10.29,15.46,9.44,7.35,10.8,10.7,14.84,14.83,13.06,,,,12.05,,,,,5.19,5.89,6.29,,,,
283525077124501,Safdarjung tomb,28.59027778,77.2125,,,,,,,,,6.03,22.5,4.65,4.63,,7.83,7.08,4.5,,11.28,12.43,7.04,8.93,10.35,9.03,16.25,13.49,14.95,,13.4,15.7,15.05,9.92,11.85,9.65,16.35,18.15,18.75,10.2,11.24,9.25,11,9.8,14.33,11.11,17.21,16.3,19.9,20.45,17.41,16.84,14.62,17.85,12.37,14.07,18.39,12.89,13.82,,15.3,14.49,13.94,13.83,16.81,19.5,13.78,14.07,17.25,15.62,12.25,12.25,13.77,13.45,15.85,15.8,17.35,,16.95,17.1,17.95,15.01,13.92,13.67,14.25,14.4,18.01,14.47,14.86,14.63,16.53,15.59,,15.4,15.55,14.67,16.19,14.73,17.15,14.37,18.45,15,16.3,14.97,16.75,14.34,16,13.58,,13.55,14.22,13.3,,12.52,,10.57,11.57,11.32,10.81,,,,
283525077110301,Shanti Path Dw,28.59027778,77.18416667,,,,,,,,,19.66,20.79,20.58,18.27,,20.89,17.68,17.49,16.89,19.99,17.49,17.89,17.49,18.29,18.58,18.93,19.27,19.57,20.76,20.13,19.92,20.32,20.62,20.67,20.47,21.02,21.56,21.37,21.47,23.26,21.54,20.77,18.17,20.75,23.07,21.17,22.4,21.57,22.69,22.73,22.37,22.37,23.1,22.6,24.72,26.37,,,,26.69,30,30,28.4,26.93,28.4,27.73,30,28.4,28.4,,28.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,25.45,,,22.71,22.99,23.05,22.93,,,,,
283615077103001,Mahabir Vansth.,28.60416667,77.175,,,,,,,,,,,,15.59,,13.05,15.87,16.4,16.35,17.42,17.55,16.85,15.95,16.05,,19.36,,,,,,,,,,,,,23.75,24.77,22.9,21.55,21.1,21.86,21.45,21.47,22.5,22.05,21.82,21.71,21.84,23.03,21.55,22.8,23.74,24.49,,,,24.46,24.35,23.97,24.65,25.75,25.25,25.9,26.44,26.41,25.48,24.55,23.95,23.25,23.5,23.15,23,24.05,,25.05,25.16,25.92,26.06,25.63,25.51,26.97,27.43,27.79,27.3,27.08,26.46,26.83,27.19,,26.79,27.89,26.61,24.65,,28.3,28.45,29.58,28.23,28.38,27.45,25.98,27.13,27.09,27.37,,25.35,26.85,25.86,,25.23,23.49,22.76,22.34,21.89,22,,,,
283645077133001,India gate,28.6125,77.225,,,,,,,,,,,,,3.09,3.56,3.44,3.02,3.44,4.32,3.52,3.39,3.55,4.35,4.19,4.11,3.97,4.39,3.36,3.97,4.81,4.18,3.74,4.89,4.19,4.89,5.14,4.59,4.16,4.8,2.91,3.84,3.82,5.1,,4.71,,,4.59,3.57,3.19,5.38,5.12,5.19,5.52,7.09,,,,5.69,4.37,4.66,5.58,6.13,4.86,5.09,5.24,7.49,6.32,6.61,6.09,7.89,4.64,4.79,6.69,,,6.11,5.99,7.46,5.38,5.24,5.23,5.98,6.07,6.88,5.47,7.44,6.85,8.15,8.13,,7.17,7.23,8.77,8.39,7.65,7.44,,8.71,7.66,8.42,10.43,9.78,9.53,9.97,9.76,,9.09,9.51,8.4,,7.27,6.01,,,,,,,,
283622077123601,Nehru Park Dw,28.60611111,77.21,,,,,,,,,,,,,,,,,,,,,,,,,15.73,17.94,18.49,,17.44,19.84,18.16,19.34,19.34,19.79,22.04,21.74,23.34,22.95,18.24,22.34,,,,,22.54,21.34,22.96,21.13,20.11,22.74,21.74,23.14,22.1,23.18,,,,23.7,23.45,22.9,21.79,22.99,23.84,23.14,23.25,24.74,24.44,20.7,20.64,21.84,22.44,22.44,22.09,22.74,,21.94,21.64,22.68,21.35,19.05,20.74,20.57,21.53,22.36,23.23,24.12,21.4,20.06,21.9,,23.82,24.08,,43.34,,,,,,,,,,,,,23.22,24.56,23,,22.02,19.09,19.07,18.46,18.56,18.23,,,,
283525077125901,Lodhi Garden (D),28.59027778,77.21638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.53,,9.15,9.41,10.28,9.76,9.31,8.33,8.64,,,8.4,8.78,5.94,8.2,8.55,9.84,10.64,9.03,9.85,11.2,10.58,8.49,7.74,9.52,9.46,9.1,8.87,10.3,,9.72,9.3,10.25,8.74,7.82,7.38,8.6,8.67,8.72,8.03,7.92,7.55,8.12,,9.76,7.63,8.55,7.98,6.9,8.03,7.9,7.73,8.3,7.61,8.31,7.86,7.4,7.01,6.92,6.83,,6.59,7.36,5.95,,5.03,3.77,4.09,4.67,4.7,3.91,,,,
283530077131401,Lodhi Graden Dw,28.59166667,77.22055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.16,9.94,,11.6,11.25,10.6,10.49,10.07,10.84,,,10.15,12.47,12.51,11.99,10.55,11.56,13.7,11.21,10.75,44.1,14.25,11.99,11.4,12.07,12.6,12.2,12.3,12.92,,11.7,12.03,13.6,12.28,11.49,10.98,11.36,12.04,12.61,11.6,12.1,11.8,12.05,,12.58,11.56,11.9,13.95,11.9,11.46,11.41,11.05,11.58,11.32,11.77,11.34,6.65,11.02,6.63,10.31,,9.34,4.8,8.92,,8.01,6.66,6.54,7.3,7.39,7.13,,,,
283653077124301,Shram Shakti Bhawan 1,28.61472222,77.21194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15,14.28,14.03,13.27,13.96,13.53,13.18,12.97,12.87,12.75,12.28,12.63,13.41,13.68,15.39,16.37,16.05,17.4,17.55,16.79,17.21,19.1,15.55,12.75,12.93,13.25,12.03,12.45,13.53,14.85,,15.16,15.15,15.38,13.81,13.47,12.69,13.97,14.5,13.83,14.06,14.58,11.94,12.35,,12.13,11.93,12.27,12.15,13.24,13.28,12.49,,,,,,,12.64,12.62,10.88,,,,,,,,,,,,,,,
283654077124401,Shram Shakti Bhawan 2,28.615,77.21222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85,13.48,13.46,12.7,12.4,12.38,12.28,,12.32,12.58,,,,,,,,,,,,16.2,,11.36,,,,,,14.22,,14.37,14.4,14.87,12.82,12.5,12.49,12.95,11.48,13.72,13.9,14.11,12.13,12.54,,12.99,12.27,12.39,,12.91,,,11.43,13.07,12.9,12.73,12.5,,11.8,12.38,11.28,,13.34,9.72,8.59,,7.32,,6.7,8.68,7.89,7.13,,,,
