station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
283235076575501,Daulatpur Pz,28.54305556,76.96527778,,,,,,,,,10.61,10.53,5.29,9.78,10.23,10.38,10.11,10.41,10.76,11.06,10.84,9.26,11.63,11.16,10.96,11.28,11.56,12.16,12.14,12.3,,13.56,13.23,13.18,14.71,17.05,14.36,15.01,15.5,16.25,15.55,15.17,15.45,16.35,,16.05,17.5,16.75,16.41,17.05,17.75,18.33,17.03,17.06,16.42,18.07,,,18.05,17.81,17.04,17.46,17.98,18.23,18.9,18.02,18.57,18.93,,17.1,18.75,17.05,15.87,16.38,16.88,16.89,,17.4,17.45,16.98,16.12,15.42,16.53,15.48,15.49,15.54,16.18,16.85,15.04,15.07,15.32,,14.39,14.24,15.16,14.48,14.06,14.43,14.89,14.47,14.05,,15.21,13.89,13.53,13.71,14.17,,13.26,13.84,13.68,,12.36,11.31,11.06,10.8,10.69,10.62,,,,
283105076541501,Raota,28.51805556,76.90416667,,,,,,,,,2.21,5.71,6.61,4.61,1.72,2.7,4.76,5.21,2.61,3.01,1.81,1.51,1.41,2.61,2.41,1.39,1.91,2.48,1.31,1.57,1.71,2.61,1.81,,1.71,2.41,2.01,1.31,3.51,4.27,1.71,2.81,3.06,3.61,2.61,2.56,3.15,3.36,2.36,2.51,3.01,4.41,3.11,4.46,4.35,2.31,,,1.67,2.17,2.01,2.32,2.56,3.13,3.5,2.11,2.46,3.01,1.21,2.17,2.21,3.51,1.24,2.38,2.25,2.86,,2.3,2.39,2.71,1.37,1.85,2.13,2.69,1.92,2.23,2.15,2.61,1.45,2.26,2.3,2.98,1.39,2.09,2.27,2.8,3.2,2.25,2.15,,,2.2,2.59,2.81,1.46,2.19,2.14,,1.01,2.37,1.37,,0.6,0.88,1.45,1.68,0.79,0.84,,,,
283508077013401,Dwarka Sec-16 (Tp),28.58555556,77.02611111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,9.78,9.99,9.75,10.79,10.36,8.26,10.78,10.9,13,,,12.09,12.65,11.92,12.97,13.2,13.22,13.92,13.07,13.68,15.01,15.45,14.25,13.85,14.8,14.45,15.24,15.45,16.42,,17.62,17.89,18.42,18.81,18.72,19.04,19.48,20.03,20.39,20.68,21.46,21.82,21.88,,22.18,21.64,22.35,22.15,21.92,22.33,22.21,22.1,23.12,22.56,23.7,22.74,21.79,21.86,21.75,21.67,,21.33,22.08,20.97,,20.34,19.39,18.73,17.86,16.85,14.15,,,,
283210076541701,Jhuljhuli Dw,28.53611111,76.90472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,3,1.35,2.2,2.85,3.31,1.4,2.25,2.27,3,,,2.69,2.8,2.32,2.46,2.55,2.85,2.97,2.27,2.66,2.85,0.65,1.97,2.75,2.77,1.05,2.45,1.91,2.75,,2.38,2.46,2.16,0.75,2.13,2.05,2.47,1.2,2.06,2.21,2.2,0.87,2.01,,2.44,0.98,2.21,1.9,2.79,1.03,2.03,1.98,2.2,1.11,2.26,2.67,2.6,1.3,2.13,1.7,,0.7,2.47,1.53,,0.9,2.4,1.85,1.27,0.97,2.58,,,,
283532077073901,Kabul Line Pz,28.59222222,77.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.47,20.84,21.31,23.07,21.67,20.22,20.47,21,21.97,,,,25.08,22.57,23.42,24.17,23.55,24.4,23.09,25.87,26.05,26.71,26.27,26.07,26.07,26.1,25.47,25.61,26.24,,26.37,26.35,26.9,26.86,26.23,25.55,26.02,26.52,26.75,26.72,27.17,27.34,27.37,,27.79,27.5,28.39,28.18,28.92,29.17,29.33,29.18,31.12,30.76,32.37,31.91,31.47,31.67,32.07,31.8,,31.88,32.9,31.91,,33.05,32.54,32.06,31.79,32.37,31.68,,,,
283436076545101,Ojwah Pz,28.57666667,76.91416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,17.61,19.05,18,18.65,17.63,16.06,,18.97,18.51,,,,19.53,18.44,18.78,18.95,18.8,19.46,18.9,19.44,19.35,,18.39,15.33,15.99,16.45,14.55,15.3,16.42,,15.23,15.34,15.43,14.48,12.57,13.59,13.45,14.06,14.69,15.96,14.84,15.35,15.77,,15.87,15.68,15.08,16.15,15.16,15.78,15.23,16.02,,15.04,15.8,14.97,14.98,,14.19,14.05,,14.2,,,,,,,,,,,,,
283442077062801,Shekhawati Line Pz,28.57833333,77.10777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,35.19,34.57,33.93,34.12,33.29,34.23,34.25,35.59,35.99,,,35.59,36.15,35.42,35.96,36.29,36.71,37.33,36.36,36.88,40.99,38.49,37.99,37.99,39.06,38.93,38.81,38.85,39.59,,40.55,40.34,40.41,41.12,41.48,40.13,40.07,40.39,40.62,40,40.45,40.27,40.18,,41.32,40.96,43.26,44.69,64.39,42.23,,46.09,47.32,48.07,47.53,46.97,46.85,47.19,45.78,46.42,,47.48,48,47.6,,44.86,43.76,43.79,,51.03,43.04,,,,
283400077031401,Dwarka Sect -23,28.56666667,77.05388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,7.98,8.72,,,,8.62,7.42,7.94,9.01,10.02,10.41,8.21,8.68,10.06,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49,,,,18.4,17.43,,,13.3,14.21,15.3,14.39,13.14,,,,
283626076533801,Mandela Khurd Pz,28.60722222,76.89388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08,13.06,13,,,14.7,14.69,14.01,14.48,14.85,15.4,16.07,14.55,15.02,16.15,13.92,13.24,13.4,15.09,14.94,13.35,13.8,14.13,,13.23,13.55,13.3,12.05,11.55,12.33,11.71,20.57,11.98,12.94,12.46,11.65,11.85,,13,11.46,11.41,12.5,11.95,11.75,11.87,12.55,13.24,12.51,,,,,,11.8,,,,,,,,,,7.69,,,,,
283653077000201,Najafgarh Town,28.61472222,77.00055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.91,15.1,15.91,,,17.02,17.32,16.43,16.73,16.82,17.87,18.49,17.52,17.78,19.22,18.73,16.92,16.32,16.18,17.92,17.32,17.42,18.55,,18.98,19.2,19.78,19.4,18.83,19.16,20.16,20.89,20.88,21.02,21.64,21.09,20.66,,22.11,22.12,21.65,21.88,22.47,22.77,22.63,22.59,22.92,22.99,23.66,23.29,22.79,22.89,22.27,22.02,,21.05,21.48,19.84,,19.28,17.35,16.72,16.6,16.75,16.32,,,,
283128076571201,Sikarpur Deep,28.52444444,76.95333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12,16.22,15.12,,,16.12,15.69,15.04,15.19,15.27,15.32,15.84,14.9,15.28,16.44,,12.09,11.42,,,,,,,,,,,,,,12.7,11.45,11.05,11.88,11.32,11.17,,11.26,11.85,10.82,10.8,10.77,11.99,10.94,10.42,10.92,10.78,10.81,10.15,11.22,11,10.24,9.78,,9.48,10.1,8.56,,8.1,,7.38,7.43,7.36,6.33,,,,
283129076571201,Sikarpur Shallow,28.52472222,76.95333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99,15.99,14.88,,,15.8,15.32,14.83,15.04,,14.38,14.81,14.66,15.02,16.47,13.3,12.15,11.15,12.02,12.6,11.15,11.41,11.85,,11.4,11.45,12.07,12.37,9.66,10.96,10.35,12.9,11.22,10.76,10.68,11.2,11.03,,11.1,11.87,10.57,10.6,10.79,12.02,10.72,10.7,10.52,9.11,10.52,10.1,10.75,10.98,10.04,9.53,,9.55,9.92,8.46,,7.93,,7.42,7.28,7.22,6.12,,,,
