station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
153125073494901,Alto Betim Porvorim,15.52361111,73.83027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23,13.03,4.33,7.7,11.05,10.63,5.98,,9.19,11.45,4.38,7.3,10.53,6.17,5.85,5.88,5.53,5.81,3.08,6.03,5.66,5.73,4.1,4.66,4.94,5.39,3.12,5.34,5.56,,,4.26,5.23,5.93,2.43,5.85,,,,,5.45,6.16,5.99,5.05,,6.73,,5.85,,5.61,,6.33,9.58,10.69,5.25,8.03,11.9,10.48,5.08,5.54,10.28,,,9.5,12.03,,6.27,6.27,13.49,7.24,,,11.9,6.9,5.68,
153636074040001,Bayalwadikeri(querim),15.61,74.06666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,6.11,2.26,5.06,1.76,2.16,,,4.05,6.56,1.37,6.15,5.76,6.08,3.2,3.72,3.52,3.48,2.19,3.27,4.19,3.51,1.93,1.82,2.19,2.71,1.1,3.61,2.69,2.44,,4.86,2.01,4.03,1.56,5.51,,,,,1.93,2.34,1.56,3.49,,2.56,1.7,3.19,1.76,1.58,,2.66,1.85,0.86,1.41,3.82,1.89,2.04,1.84,1.46,2.11,,,2.34,1.9,,2.28,2.77,2.52,,1.25,3.62,2.5,2.47,2.05,
153243073452901,Calangute,15.54527778,73.75805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,8.85,3.36,5.09,6.58,7.7,4.85,2.8,6.39,8.1,3.15,4.36,6.3,8.3,5.27,5.14,6.5,8.87,5.43,5,7.07,8.2,2.68,4.76,6.03,8.04,2.85,5.11,6.58,8.26,,4.59,6.15,7.5,3.1,3.05,,,,,6,7.68,4.2,5.27,,8.15,3.57,3.77,6.35,8.18,4.54,5.26,6.66,8.68,4.6,6.32,6.8,8.93,2.95,3.91,6.14,,,5.12,6.22,,3.19,5.09,,8.5,4.64,6.23,7.7,8.96,4.17,
153248074030201,Honda,15.54666667,74.05055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,,2.75,2.53,4.4,4.65,2.15,2.25,3.83,4.12,2.2,2.41,3.4,3.75,2.25,2.42,3.15,4.75,1.61,2.65,2.56,3.59,2.05,2.01,3.54,3.85,1.06,2.57,2.95,3.45,,2.53,3.32,3.75,0.9,2.39,,,,,2.63,4.27,2.3,2.5,,4.42,2.15,2.53,3.36,2.4,1.6,3.47,3.07,3.55,1.86,,4.06,4.46,2,2.06,3.36,,,3.14,3.85,,2.73,3.1,3.61,4.35,,3.3,3.85,5.07,2.9,
152729073481501,Karanjhalen,15.45805556,73.80416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,2.07,,3.66,2.5,,,2.48,3.28,,,2.43,3.08,1.48,2.1,2.6,3.18,,,2.41,3.4,1.56,1.8,2.41,2.8,2.57,2.22,2.87,3.28,,1.69,2.83,3.3,,,,,,,2.52,2.82,1.74,1.56,,3.35,1.68,,2.6,2.8,1.22,2.1,2.8,3.05,1.45,,3.95,3.41,,2.73,1.45,,,,2.44,,2.3,2.64,3.1,,2.1,2.81,3.27,3.66,2.53,
152904074082601,Khadki(harijanwada),15.48444444,74.14055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,11.64,5.58,6.94,7.84,10.94,4.99,6.54,7.83,10.41,1.74,3.14,4.61,5.44,5.95,7.34,7.74,11.94,3.59,4.89,2.54,11.39,4.4,5.45,8.55,10.29,3.5,6.6,8.24,10.93,,7.42,7.88,11.24,3.14,7.16,,,,,7.7,9.95,5.24,7.29,,8.76,2.91,7.24,7.67,6.89,,7.25,7.79,10.84,3.18,,7.86,10.42,3.74,6.51,7.83,,,8.16,7.76,,4.7,6.4,8.52,10.56,3.46,7.8,8.55,11.39,3.34,
154229073450501,Korgaon1,15.70805556,73.75138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,4.99,3.39,3.75,,4.65,3.35,3.55,3.93,4.73,0.85,1.71,2.69,3.68,2.72,3.57,3.85,5.53,0.97,2.75,3.85,4.85,3.39,3.59,2.25,5.13,1.47,3.86,4.09,4.95,,2.53,4.13,4.85,3.25,3.88,,,,,4.36,4.96,,3.79,,4.94,3.52,3.98,2.25,3.9,3.29,3.7,4.13,4.65,3.35,6.89,3.92,,3.52,6.82,3.9,,,,,,,4.78,5.1,5.46,4.43,5.08,5.32,11.71,4.7,
153634073493501,Mapuca,15.60944444,73.82638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.65,2.16,3.55,4.22,10.85,,12.05,11.95,2.57,0.61,0.95,1.57,2.85,10.22,2.28,,4.08,1.99,3.07,2.48,2.8,2.37,2.47,3.87,1.69,1.62,3.63,3.89,4.29,,1.5,3.87,4.25,0.45,1.41,,,,,3.85,3.87,3,3.14,,3.88,2.15,3.45,3.6,1.53,1.65,3.5,3.82,3.6,2.55,,3.82,4.16,2.48,3.25,3.81,,,4.21,3.6,,2.95,3.16,4.54,4.55,2.24,4.3,3.6,4.72,3.68,
153815073441201,Morji,15.6375,73.73666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,2.33,0.33,0.34,,1.83,0.08,0.07,,1.98,0.39,0.39,0.81,2,0.21,0.28,0.83,2.21,0.33,0.43,0.55,1.98,0.34,0.51,0.63,1.72,,0.45,1.05,2,,0.21,0.78,1.93,0.03,0.27,,,,,0.38,1.72,0.13,0.35,,2.33,0.17,0.83,1.04,,0.63,0.73,0.94,1.93,0.63,1.83,1.43,2.51,0.65,0.65,1.13,,,1.32,1.11,,1.22,1.1,1.58,2.23,1.02,1.3,1.94,2.78,1.11,
153535074024701,Morlem,15.59305556,74.04638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.02,3.47,3.86,2.6,3,3.3,7.7,3.74,2.98,,,,,2.33,3.85,9.62,3.72,2.7,2.95,3.13,3.3,3.1,3.8,3.34,3.95,1.83,3.06,,3.32,,3.68,3.27,3.9,2.1,4.1,,,,,2.98,3.79,3.43,4.1,,3.59,3.17,3.8,6.5,3.29,2.63,4,,3.3,2.93,3.23,3.86,3.87,3.3,3.48,3.71,,,4.77,3.8,,3.35,4.48,3.85,4.85,2.83,5.52,14.65,4.4,3.24,
