station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
220900071533001,Barvala,22.15,71.89166667,,,,,,,,,13.05,13.85,14.09,14.2,9.76,15.83,13.84,15.6,17.4,14.75,15,13.7,13.58,14.71,15.67,15.49,16.3,17.93,16.8,18.6,,20.8,16.23,4.95,5.28,18.3,15.82,15.15,15.09,15.9,14.16,13.57,13.76,14.5,12.33,,12.1,,10.9,8.68,7.76,9.35,6.94,7.34,7.5,7.75,5.44,4.7,5.06,6.5,4.54,3.68,4.06,5.65,4.5,6.15,6.55,8.95,7.45,6.14,6.63,8.22,6.86,7.81,7.98,9.72,,10.65,12.84,12.82,9.8,7.7,7.8,8.75,6.5,7.6,7.73,6.82,8.55,9.5,,,11.04,12.8,12.4,14.21,11.4,10.48,11.14,,9.72,,8.23,13,9.32,6.89,6.7,,3.15,2.95,3.82,,2.93,1.64,3.03,4.6,2.88,4.9,5.01,5.39,,
232200071580001,Dalod,23.36666667,71.96666667,,,,,,,,,7.9,7.75,7.4,7.93,,6.87,6.7,6.3,11,7.15,9.8,6.4,6.8,7.46,8.45,9.57,9,,9.35,10,11,,9.7,10.39,11,11.38,14.6,11.8,11.16,,11.59,11.32,11.48,11.24,10.74,8.24,11.32,,11.55,9.3,9.14,8.7,6.25,5.9,6.78,6.83,5.46,7.26,10.45,,6.1,6.31,6.93,6.85,7.8,7.94,9.27,8.85,7.02,6.53,7.39,8.35,6.42,5.01,5.17,5.7,,5.23,7.78,7.45,6.42,5.45,7.91,6.21,6.12,5.7,4.8,7.25,4.55,3.8,,4.1,4.75,5.05,5.18,5.47,6.62,6.58,4.5,7.14,8.1,,8.2,8.97,9.31,7.7,7.7,,5.43,5.95,6.18,,6.4,,5.72,,5.34,5.57,6.4,6.7,,
222240071591001,Devalia,22.37777778,71.98611111,,,,,,,,,13.15,14.35,14.35,14.35,11.85,14.35,11.09,10.08,14.35,14.35,14.35,10.2,11.28,14.35,14.35,,,,,,,4.85,5.01,11.65,,,,12.51,,,,10.71,12.04,,11.82,11.15,,,9.5,,7.63,9.66,6.65,7.58,13.1,13.95,8.28,6.19,6.54,8.1,7.9,5.65,6.89,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,,5.25,13.95,13.95,19.8,,20.4,20.4,20.4,6.5,20.4,6,20.4,20.4,20.4,11.52,20.4,13.78,,,20.4,7.7,,20.4,20.4,,,,,,,,,20.4,20.4,20.4,,,,20.4,,20.4,,20.4,,,,,,,
222230071591001,Dhandhuka1,22.375,71.98611111,,,,,,,,,9.84,13.35,,10.65,11.18,12.94,,12.18,11.21,11.1,10.44,9.45,11.22,13.06,13.1,11.85,11.25,13.47,11,,,12.55,11.47,10.6,10.3,10.1,10.2,8.49,9.54,10.1,9.25,8.42,8.54,8.64,7.42,6.9,,7.25,6.1,4.47,4.45,13.89,3.72,3.7,4.07,5.06,3.24,2.68,3.15,4.25,3.15,2.6,2.92,3.85,3.77,3.95,4.22,4.91,4.3,2.66,3.03,4.22,2.47,3.29,3.45,4.1,,4.57,6.9,6.23,2.75,1.95,2.36,3.45,1.42,2.43,2.83,6.88,2.88,3.5,,4.05,2.82,3.15,3.46,4.3,3.05,2.71,4.2,3.75,2.99,,3.87,4.37,2.14,2.64,1.95,,1,1.94,1.85,,3.1,1.65,,,,,2.5,3.56,,
231620072033001,Endla,23.27222222,72.05833333,,,,,,,,,6,7.33,4.75,2.74,4.27,4.95,1.93,2.74,5.21,5.11,9.31,4.61,3.06,4.79,3.16,4.06,4.79,6.79,3.78,4.95,5.21,7.06,2.54,3.33,5.81,7.41,7.91,8.74,8.94,10.21,4.69,5.29,5.21,7.72,4.08,4.06,4.51,4.56,2.67,2.33,2.45,4.08,1.12,2.59,2.98,3.74,0.99,1.66,2.74,5,1.76,1.7,2.81,3.54,3.5,4.59,5.99,5.26,0.96,1.9,3.09,5.02,0.64,1.48,2,3.35,,2.67,4.14,4.11,0.02,0.98,1.76,3.89,0.79,1.41,2.6,9.6,2.51,1.82,,2.46,3.01,3.24,2.29,1.75,3.26,1.81,1.67,2.21,3.03,,2.08,3.83,1.48,0.1,1.11,,0.52,1.38,2.19,,1.9,1.8,0.36,2.21,0.81,1.33,2.48,2.63,,
222130072100001,Gamph,22.35833333,72.16666667,,,,,,,,,2.14,3.8,1.15,2,1.34,3.57,0.39,1.15,2.57,2.5,1.85,0.8,1.58,2.98,2.9,3.55,4.1,5.8,4.65,4.4,,,0.07,2.45,2.24,2.8,1.8,0.2,2.37,3.3,,1.8,2.35,3.9,1.38,0.1,3.5,,,1.9,1.49,,,0.88,2.85,3.85,,0.87,1.43,,1.25,1.65,1.95,3.65,3.25,3.39,3.51,3.03,1.5,1.14,1.96,3.58,0.72,1.63,2.03,2.26,,2.24,4.28,4.55,0.02,2,2.15,2.83,0.79,1.25,2.05,7.16,1.3,1.2,,4.1,1.71,1.99,2.45,3.25,0.8,1.43,1.72,1.6,1.18,,2.06,2.25,0.53,0.64,1.2,,0,2.18,1.3,,0.9,0.62,0.3,1.4,0.92,1.42,2.43,,,
225400072010001,Kumarkhan,22.9,72.01666667,,,,,,,,,9.5,11.64,11.64,7.5,,11.64,6.2,11.64,,11.64,8.1,10,10,,11.64,8.1,,,,,,,7.3,8.2,,,,10.1,,,,,,,9.26,,10.05,,9.17,7.24,7.41,,5.8,5.7,7.44,6.95,4.16,4.84,5.25,,7.02,3.2,4.28,4.68,4.43,6.25,7.03,7.18,4.65,6.64,5.44,5.88,4.88,5,5.3,5.22,,5.68,7.88,7.42,4.92,3.44,4.6,4.57,3.2,2.88,4,2.42,3.95,2.73,,,3.9,4.22,3.12,4.9,,3.15,2.61,3.8,4.48,,4.23,27.55,4.31,1,2.45,,2.2,2.35,2,,27.55,2,2.6,2.8,2.22,2.57,3.13,,,
221610071420001,Kundali,22.26944444,71.7,,,,,,,,,9.65,14.7,,14.7,10.5,14.7,10.91,5.68,10.06,14.7,12,14.7,14.7,14.7,14.7,,,,,,,11.57,1.95,22.2,,,8.4,,,,,,,,11.15,,14,,14,14,6.33,11.47,2.73,4.62,11.2,14,2.41,,4.38,14,7.35,3.6,4.81,11.23,5.18,10.37,11.78,,7.85,3.8,7.54,,5.27,5.3,15.3,14.4,,12.2,13.63,21.8,1.82,1.52,1.8,11.35,4.11,6.28,11.8,24.12,10.7,15.4,,21.62,14.89,9.75,14.05,15.42,4.65,4.82,11.7,18.1,10.78,,11.29,10.4,4.6,3.39,2.8,,1.1,1.4,2.3,,9.18,,1.86,25.3,6.8,16,14.17,25.73,,
231630071550001,Mandal2,23.275,71.91666667,,,,,,,,,4.88,3.8,,5.03,5.68,5.21,1.85,4.27,6.13,,4.23,2.68,3.85,4.47,4.18,4.6,,,5.14,5.33,6.13,6.98,,4.84,5.46,6.03,6,6.15,6.33,5.73,4.81,5.23,5.59,6.13,1.53,4.28,4.97,7.46,2.86,2.83,3.27,,0.78,2.96,3.23,4.01,1.17,3.79,3.57,4.13,2.69,2.91,3.7,4.43,4.87,4.83,6.04,5.66,1.95,2.74,3.34,8.08,1.19,2.76,3.08,3.83,,2.73,4.84,5.13,,,10.63,3.63,1.51,2.53,3.35,2.5,3.08,2.69,,5.23,3.13,3.47,4.96,4.17,1.57,3.52,4.27,3.93,2.07,,4.38,10.63,,2.83,,,,,2.7,,,,,,,,,,,
221830071413001,Rajpada,22.30833333,71.69166667,,,,,,,,,18.25,21.15,18.05,21.3,15.4,21.28,13.15,14.64,16.45,21.55,18.5,17.25,17.85,21.16,20.4,16.71,19.47,21.45,,18.15,,18.25,11.85,15.95,17.05,,15.95,19.21,21.95,20.35,15.7,18.43,20,,14.22,16.69,18.35,22.15,14.15,,14.57,20.95,1.13,14.93,17.89,21.6,9.62,9.7,13.67,19.65,15.65,9.55,16.1,17.25,14.4,17.19,17.97,21.2,14,14.15,16.76,19.08,12.47,17.15,18.28,21.03,,16.4,18.43,22.95,11.08,9.45,14.45,18.1,12.15,15.9,16.65,24.77,16.45,14.3,,17.75,15.25,16.25,16.7,17.18,12.65,15.29,15.9,23.7,15.53,,17.26,17.15,8.88,17.72,17.4,,1.78,6.01,11.3,,14.03,10.05,10.47,24.1,12.83,17.55,18.67,17.07,,
