station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
213630071133001,Amreli,21.60833333,71.225,,,,,,,,,11.38,13.1,6.11,6.94,9.5,11.92,7.26,8.79,10.13,11.94,3.73,,7.51,10.14,8.55,,10.19,,9.98,11.79,9.7,,4.74,7.8,9.72,12.29,6.04,,11.59,,2.94,8,9.11,,6.01,8.75,10.81,13.21,,2.54,5.83,12.61,2.24,3.66,7.64,11.24,,1.66,4.46,11.29,7.24,2.99,6.36,13.21,4.52,8.6,11.78,13.21,3.54,2.9,4.46,11.41,2.17,3.91,6.03,13.21,,9.04,,13.21,,5.02,6.28,13.21,4.89,4.74,9.19,3.42,4.67,4.04,,11.85,6.58,,6.73,12.04,3.2,4.87,7.42,11.94,4.96,,9.91,11.7,2.84,2.71,4.92,,1.68,3.58,5.54,,,3.24,3.48,9.59,1.08,4.87,,9.54,,
213845071063001,Ankadia mota,21.64583333,71.10833333,,,,,,,,,11.01,10.6,5.3,6.65,10.93,9.52,6.4,5.53,7.3,7.15,5.33,10.35,11.46,8.23,8.12,8.43,,9.4,7.14,10.6,10.9,11.35,3.85,8.4,11.15,14.53,10.72,,8.64,8.8,5.05,6.6,9.04,,2.77,5.65,,11,3.3,,5.28,6.55,1.53,3.82,5.6,9.8,0.84,2.77,5.39,6.25,4.5,3.9,5.51,6.65,5.4,11.13,7.6,11.85,2.4,5.26,5.27,10.15,1.45,,,10.07,,,,12.35,12.35,,9.53,12.35,9.8,8.11,10.96,10.85,5.15,6.75,,,5.43,3.85,7.2,12.35,4.26,11.22,7.95,10.05,5.1,,7.73,7.41,3.54,3.48,5.77,,1.19,3.4,6,,3.49,4.01,5.38,7.62,1.53,9.55,,13.18,,
211557071202001,Badhda,21.26583333,71.33888889,,,,,,,,,9.95,11.2,9.46,6.65,9.42,10.43,6.22,6.8,8.13,10.45,8.38,4.89,5.87,9.11,8.79,9,9.38,9.05,8.44,10.12,10,9.85,8.25,10.1,9.35,9.42,5.68,,9.09,9.82,7.6,10.4,9.17,9.85,,7.45,9.85,10.9,4.65,4.2,5.52,9.65,3.09,3.06,7.45,9.21,,2.85,4.85,9.35,4.75,3.65,5.66,,5.81,8.22,9.22,9.15,3.4,3.7,4.84,9.6,3.15,5.58,6.49,9.91,,10.05,7.15,8.3,7.37,4.9,9.31,9.07,7.85,8.7,9.45,21.55,7.27,6.75,,16.77,7.49,13.55,6.75,9.28,6.65,6.78,7.2,9.46,,,8.5,,6.03,3.48,5.5,,1.87,,,,0.34,0.55,1.81,,1.59,7.85,,,,
212845070574501,Bagasara,21.47916667,70.9625,,,,,,,,,21.63,20.17,,24.54,12.86,14.07,14.19,16,16.92,20.65,10.57,11.7,12.08,14.43,16.19,25.49,20.08,19.47,12.1,21.82,21,22.21,15.61,21,24.45,22.15,8.15,,9.25,20.45,15.83,12.05,12.44,21.8,13.67,22.82,21.81,16.13,12.2,8,9.27,9.15,4.78,2.03,7.65,9.22,4.3,3.55,3.6,9.3,6.15,5.25,4.24,9.65,7.55,10.13,13.6,20.6,8.8,7.96,8.25,13.51,3.57,5.82,7.5,15.5,,15.55,20.55,15.45,13.34,14.9,22.75,20.92,16.95,20.21,18.6,4.4,14.12,13.15,,19.47,13.84,14.25,20.98,20.95,13.47,15.38,15.55,17.1,16.67,,21.2,19.13,13.84,10.05,13.25,,3.14,5.5,10.2,,6.72,3.65,6.23,10.85,4.78,9.51,,11.88,,
205205071214501,Bherai,20.86805556,71.3625,,,,,,,,,5.46,8.65,7.21,6.8,6.87,6.41,6.15,3.69,5.92,7.01,6.01,5.79,6.02,6.31,6.32,7.95,6.4,7.19,6.67,6.45,6.52,6.91,6.01,6.2,6.34,6.54,5.99,,5.57,6.01,5.32,4.65,4.76,5.24,4.7,6.14,4.61,4.93,3.71,3.86,3.06,3.61,2.86,2.79,3.61,3.61,2.4,1.61,2.02,2.71,2.21,2.31,2.58,2.91,2.36,2.5,2.93,3.24,,,2.02,,2.21,2.54,2.69,3.14,,3.31,4.21,3.79,2.51,2.06,2.64,3.39,2.91,2.79,3.11,3.89,2.65,2.41,,,2.44,1.61,3.03,2.84,2.35,2.57,3.21,3.18,1.61,,2.73,3.58,2.77,1.93,1.76,,0.72,2.2,4.25,,0.08,0.07,0.57,1.81,0.75,3.51,,16.71,,
212558071215001,Bhuva,21.43277778,71.36388889,,,,,,,,,5.17,6,6.23,5.12,5.56,6.97,5.01,3.15,5.6,6.2,5.33,5.26,5.29,6,5.72,5.92,6.47,5.62,6.04,6.58,6.84,7.23,6.35,6.75,7.03,7.6,6.85,,8,7.6,6.5,,8.45,7.25,,6.15,6.6,7.95,5.45,5.3,4.83,5.45,3.67,4.29,5.1,5.22,,3.14,4.55,4.6,3.6,3.45,4.51,5.4,3.76,3.97,4.21,5.45,3.4,4.05,4.27,4.45,2.45,3.5,3.63,4.04,,3.88,4.3,4.6,3.58,3.99,3.6,4.18,3.9,3.52,4.85,8.05,3.56,4.6,,5.02,3.91,3.5,3.84,4.43,3.92,4.33,4.36,,3.98,,4.51,4.97,3.43,3.32,3.7,,3.2,3.24,4.26,,2.54,3.6,3.56,3.9,3.07,8.07,,4.04,,
212500071100001,Chalala,21.41666667,71.16666667,,,,,,,,,37.18,37.5,37.48,37.18,38.59,37.27,36.5,39.05,36.83,38.33,37.12,36.2,36.15,37.48,37.35,36.97,37.67,38.63,38.08,38.07,38.75,39.33,37.58,37.8,38.03,,38.79,,38.03,38.23,38.19,33.9,36.35,35.45,34.77,34.48,33.48,32.68,31.53,30.43,30.4,30.72,29.41,,29.23,29.21,28.96,27.36,26.18,28.08,27.13,26.88,25.63,26.38,25.74,26,26.23,,26.55,25.8,25.22,25.99,25.16,24.21,24.81,25.69,,28.63,28.03,28.63,27.72,27.03,23.05,33.23,28.03,27.13,28.61,4.08,28.07,27.13,,29.42,27.74,26.58,31.58,33.07,26.18,29.33,25.63,27.98,25.83,,26.58,29.35,26.71,25.68,24.63,,23.01,21.91,23.52,,21.42,19.05,20.76,22.03,21.15,21.31,,22.4,,
212330071174501,Charkhadia1,21.39166667,71.29583333,,,,,,,,,28.95,31,29.42,27.8,27.23,29.16,23.08,23.14,23.61,24.4,23.13,20.64,24.02,24.76,24.77,24.54,24.89,25.18,23.8,25.13,25.39,25.9,25.9,27.05,27.6,27,26.44,,16.97,27.55,26.63,22.7,27.52,,,28.4,,35.7,,35.7,35.7,35.7,,16.04,,24.13,21.3,21.1,21.1,21.6,19.85,19.15,19.39,19.15,18.8,18.37,18.66,24.4,,,15.83,17.27,17,,15.7,15.7,,17.4,13.7,15.2,,15.05,14.19,18.4,17.65,18.1,18,30.92,16.26,13.7,,19.35,17.15,17.18,16.85,17.73,17,18.57,20,22.1,19.75,,22.5,,19.64,20.3,21.74,,15.8,18.88,20.8,,,5.4,7.24,,,19.2,,,,
214900071244501,Chavand,21.81666667,71.4125,,,,,,,,,17.15,17.25,9.7,10.4,13.46,16.86,8.77,8.9,14.45,18.5,10.82,15.52,,13.66,13.83,14.7,19.3,,6.9,18.8,,8.9,4.2,13,17.3,12.72,4.74,,13.39,,5.24,4.1,14.35,17,6.26,14.73,11.67,13.61,5.2,5.9,6.98,11.1,3.91,6.59,13.1,12.7,3.4,5.3,6.16,11.05,7.7,5.1,6.41,11.95,7.45,10.91,12.89,14.83,5.1,4.8,6.15,9.23,3.55,5.14,5.55,10.08,,,12.33,9.14,5.6,4.88,9.53,8.13,0.88,4.98,7.72,14.68,5.82,5,,18.31,5.43,3.44,6.33,11.33,4.62,7.67,6.35,5.36,4.48,,15.5,12.15,3.05,4.58,5.3,,3.15,3.96,6.86,,3.67,2.1,5.76,2.8,3.92,4.53,,4.92,,
212000071120001,Dharangani,21.33333333,71.2,,,,,,,,,28.91,32.85,27.5,27.75,27.42,33.23,27.4,28.65,19.43,32.25,29.98,28.22,28.98,29.23,29.15,45.53,30.85,32.35,31.69,33.55,36,39.05,37.85,36,35.05,38.85,36.32,,38.73,42.45,39.65,26.7,37.26,41.25,,36.59,42.45,39.7,34.5,42,39.67,35.7,33.82,30.68,28.7,29.49,29.31,27.75,26.07,35.93,28.9,27.75,26.85,24.9,26.7,29.15,39.54,33.6,29.85,26.95,32.59,35.15,24.97,25.14,23.65,26.45,,28.85,,30.25,31.25,38.14,22.7,22.7,28.35,27.35,27.87,6.67,29.3,30.55,,,28.85,39.65,30.85,30.08,30,29.55,36.65,29.81,,,36.65,38.45,32.75,37.2,39.35,,28.9,34.3,30.5,,26.76,25.35,28.35,,23.67,,,,,
