station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
242420072383001,Amirgadh,24.40555556,72.64166667,,,,,,,,,9.89,19.25,8.4,9.5,9.9,11.86,15.3,10.18,11.3,11.91,12.83,12.47,13.25,15.64,14.1,15.08,14.3,15.85,21.81,16.23,,17.6,16.82,20.5,,16.55,17.6,17.75,20.03,18.77,15.82,16.06,16.16,16.4,16,15.95,16.6,,15.4,14.1,14.1,14.15,5.5,7.09,7.84,7.7,6.28,7.05,,,7.1,8,12.3,8.31,,19.27,,,,,,16.73,11.6,11.8,8.6,12.1,,,17.3,11.4,12.22,7.87,10.4,9.81,7.55,14.4,10,6.4,10,12.37,,14.7,7.98,9.68,9.86,9.5,6.95,6.8,9.56,7.46,7.75,,8.03,11.1,10.05,11.31,11.75,,9.22,12.37,13.4,,15.88,13.82,15.74,,8.55,10.92,11.97,13.82,,
243145071323001,Bharol1,24.52916667,71.54166667,,,,,,,,,5.45,6.18,4.4,6.34,8.11,,5.85,5.83,6.33,6.87,6,6.25,6.42,6.99,4.76,6.58,6.7,,6.9,6.68,6.8,,4.92,6.2,6.48,,,,,,,5.99,5.23,,,7.01,7.01,7.91,7.91,7.01,7.01,7.3,4.2,4.64,4.98,5.3,4.15,4.93,4.7,5.33,5.1,5.52,5.7,5.7,6.15,6.36,7.86,8.1,,4.72,5.01,,2.43,2.6,,4.5,,3.58,3.61,1.95,3.22,3.03,0.9,2.96,2.23,4.23,3.88,11.74,,3.1,,2.68,0.7,2.31,2.27,2.58,,1.25,2.25,1.24,0.45,,2,2.62,2.24,1.82,1.94,,,,,,,,,,0.4,,,,,
241750072565001,Ganapipli,24.29722222,72.94722222,,,,,,,,,8.37,6.75,8.1,5.57,10.72,5.99,7.35,4.98,5.69,10.4,7.86,,4.54,9.31,6.58,7.28,7.6,12.48,10.2,12.72,,10.1,9.02,10.6,11.39,9.33,,9.5,12.7,12.6,7.32,7.92,8.05,10.3,7.65,8.2,9.6,11.8,7.75,9.5,7.9,9.8,6.1,7.43,7.56,9.6,6.8,7.9,7.78,9.5,7.75,9.2,10.2,11.7,7.6,8.9,10.22,13.18,7.42,7.81,8.53,13.17,5.03,10.7,10.31,9.9,,5.8,7.72,9.35,11.1,7.56,8.02,9.1,4.55,9.5,7.7,5.56,9.8,9.21,,12.25,7.02,8.51,9.73,12.45,8.6,8,9.32,11.97,7.5,,12,13.9,13.57,11.35,11.05,,5.58,7.8,9.95,,7.82,7.84,7.56,11.25,6.4,9.17,7.73,9.26,,
242610072215501,Gangodra,24.43611111,72.36527778,,,,,,,,,12.58,,11.4,22.07,17.47,18.05,,10.97,11.4,18.41,10.33,14.4,15.4,20.9,19.3,19.78,23.8,23.48,18.53,24.42,,21.43,19.93,18.45,22.68,22.48,,22.41,25.53,,,,,,,21.97,21.97,21.97,21.97,21.97,21.97,,,21.97,21.97,21.97,21.97,21.97,21.97,17.3,,,21.97,19.5,15.92,16.4,21.87,22.5,12.35,13.98,14.5,19.98,11.45,14.5,16.58,23.5,,14.01,16.66,25.9,12.95,10.99,12.97,22.33,11.17,15.2,17.3,12.05,7.3,13.32,,21.87,18.56,14.49,15.16,22.68,18.05,17.67,15.2,17.8,16.13,,,25.9,,16.83,15.97,,16.54,16.5,17.37,,21.96,19.93,23.66,22.5,13.2,19.16,19.98,23.38,,
242045072321501,Iqbalgarh,24.34583333,72.5375,,,,,,,,,19.62,22.77,19.5,23.12,26.29,28.21,26.85,24.3,23.75,29.35,30.35,28.75,30.15,32.35,30.95,34.09,33.5,36.52,,,,,40.04,41.45,42.95,,41.74,42.58,43.15,45.35,39.75,37.51,36.37,41,,29.35,41.38,42.35,40.8,34.28,33.3,32.35,29.85,21.73,21.85,24.35,21.37,21.05,20.9,24.18,24.83,20.87,26.91,29.92,30.95,32.15,33.71,37.95,32.81,29.31,29.15,30.22,25.84,24.85,24.45,26.65,,24.25,24.49,28.65,26.67,27.51,29.7,28.23,13.38,26.85,27.65,3.47,24.09,30.48,,28.46,27.59,28.76,27.91,30.82,18.39,18.35,29.45,30.51,21.9,,26.7,30.55,27.99,28.45,29.08,,30.28,26.85,28.1,,30.93,30.3,32.27,36.29,,22.25,,28.93,,
243930071460001,Khoda,24.65833333,71.76666667,,,,,,,,,8.58,12.07,11.7,12.1,12.21,12.47,11.83,12.39,12.66,12.71,13.05,13.4,13.53,12.37,15.02,13.79,13.95,14.3,11.4,15.6,14.65,15.72,13.83,14.75,,15.85,15.45,15.7,16.21,16.35,15.7,16.89,14.47,16.25,15.87,17.3,16.89,17,17.4,17.5,18.5,18.1,17.6,17.38,18.27,17.8,15.75,17.9,18.23,19.2,18.6,19.23,19.3,19.8,20.4,20.2,23.7,26.15,19.05,18.78,20.3,20,16.5,12.5,26.15,20.8,,21.1,20.89,11.6,19.98,21.06,21.76,21.75,10.87,22.3,22.3,13.65,26.15,20.58,,21.5,21.54,21.04,20.8,22.54,18.83,18.13,21.3,21.66,21.92,,21.68,21.17,23.25,23.45,23.92,,24.24,23.82,25.93,,24.94,23.44,25.02,,,25.89,27.23,,,
242350072170501,Meda,24.39722222,72.28472222,,,,,,,,,7.16,,11.7,12.63,12.65,17.51,,9.92,9.48,24.69,19.58,13.9,12.5,13.67,16.85,15.25,14.77,18.15,22.75,20.62,17.7,22.8,19.18,,,21.97,21.15,21.4,22.52,22.74,22.4,23.3,22.15,22.45,22.47,22.5,22.92,23.6,23.3,23,23.91,,22.78,11.7,12.76,14.35,13.61,10.9,11.25,11.5,12.15,11.67,12,13.51,13.95,,15.03,16.26,14.1,15.84,16.1,12,,,9.86,11.4,,5.82,5.82,9.23,7.88,5.7,6.32,8.06,4.03,7.9,8.17,4.87,9.1,9.19,,8.5,9.32,,8.93,15.5,13.3,12.66,15.8,12,5.25,,5.46,6.56,6.1,7.02,7.75,,,5.8,6.23,,17.3,9.71,17.36,13.05,19.8,16.99,,6.24,,
241000072434001,Mohabbat gadh,24.16666667,72.72777778,,,,,,,,,16.82,12.5,,16.2,20.28,18.19,16.75,15.32,17.07,18.99,17.17,17.05,17.4,19.6,18.98,19.72,21.4,22.58,27.28,25.46,,24.5,26.38,,,,,,,,,24.62,24.43,,,26.2,26.2,26.2,26.2,26.2,26.2,,,,26.2,26.2,26.2,26.2,14.45,17.45,,,26.2,20.8,20,21.1,31.25,31.2,21.51,21.66,22.31,,22.5,22.7,17.44,19.5,,16.43,17.41,20.24,18.26,16.65,17.64,19.85,9.93,17.5,17.75,11.54,15.58,15.13,,22.3,18.81,16.44,14.36,22,17.8,17.1,17.3,19.44,18.8,,20.1,31.2,31.2,19.59,20.36,,21.37,16.53,17.64,,20.41,19.84,20.87,,18.4,16.02,,20.56,,
241140072260001,Palanpur2,24.19444444,72.43333333,,,,,,,,,35.75,23.81,34.5,30.28,32,32.5,26.55,24.09,31.16,33.95,29.75,29.63,35.05,,35.55,35.48,,,,,,,,,,,,,,,,,,,,,,35.75,35,35,,,,,35,35,,35,35,23.05,25.55,25.55,35,19.06,35,33.25,28.25,34.35,28.02,28.21,29.58,,24.75,22.35,23.97,35,,24.53,26.53,34.43,35,29.75,30.43,34.37,17.19,31.38,35,9.34,23.5,34.17,,28.06,27,27.54,28.64,27.15,19.42,19.1,27.35,20.77,18.85,,16.95,27.27,25.89,26.79,25.69,,24.06,22.77,22.09,,25.29,24.75,25.32,28.21,24.5,22.75,23.84,26.47,,
241030072444501,Ratanpur2,24.175,72.74583333,,,,,,,,,10.94,14.16,11.1,12.8,,16.19,,13.9,15.3,17.23,15,14.38,16.1,16.39,15.95,16.96,15.86,20.25,20.7,20.36,,21.3,24.04,,,21.5,23.7,23.95,,23.9,23.65,,23.95,30.2,,,26.8,19.5,15.65,,30.9,24.6,15,12.63,12.84,13.95,12.43,11.6,11.85,14.82,12.61,14,14.3,15.91,15.82,16.22,17.2,19.6,15.03,14.98,15.26,18.76,15.45,15.55,13.2,15.3,,12.93,12.97,16,10,13.07,14.01,15.94,7.97,14.3,14.48,8.14,16.23,13.01,,16.54,14.9,13.77,12.76,20.72,17.23,17.37,13.97,18.83,14.33,,15.9,25,24.2,14.46,15.85,,15.75,13.68,15.6,,16.41,16.25,16.34,19.3,14.3,13.68,14.5,16.88,,
