station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
213645073260701,Arethi,21.6125,73.43527778,,,,,,,,,6.95,7,4.53,5.6,6.38,6.69,3.29,6.15,8.45,7.47,4.83,5.9,6.23,7.65,7.88,6.12,8.53,8.05,6.49,7.36,7.89,8.75,5.13,6.2,6.69,5.27,4.77,5.9,4.53,7.75,3.05,4.18,5.47,7.02,,4.83,7.37,7.15,4.85,5.23,5.72,7.35,3.95,5.4,6.48,7.53,4.15,5.25,5.75,7.78,3.95,5.48,6.2,7.36,4.3,5.73,6.16,7.55,6.15,5.63,5.92,7.6,2.85,5.84,5.9,7.53,,5.8,5.98,7.82,,5.3,5.07,7.65,2.75,6.5,7.27,49.46,5.12,6.17,,49.46,7.22,6.95,7.18,14.45,3.6,6.65,7.05,14.45,2.84,,7.1,,3.23,4.38,6.11,,3.68,6,6.75,,14.45,14.45,5.99,,10.01,5.95,,6.93,,
214200073001501,Bharuch,21.7,73.00416667,,,,,,,,,8.7,9.24,3.54,6.04,6.82,9.84,4.51,7.95,14.5,9.85,7.1,6.3,6.76,8.3,14.5,,9.08,,5.75,7.84,9.91,,,,5.35,8.98,8.02,7.49,9.01,,5.32,6.87,7.68,,,6.59,6.93,13.35,10.03,4.2,5.52,7.63,5.15,,6.43,10.05,1.72,2.87,4.3,6.62,3.29,3.83,4.95,7.35,5.76,7.05,7.78,13.35,6.35,3.2,3.79,5.8,1.93,3.28,3.95,4.96,,3.87,4.45,5.56,,2.41,2.55,3.93,1.84,2.05,2.88,18.2,2.98,2.85,,3.97,3.7,3.75,4.38,6.14,3.55,6.41,9.05,13.35,4.09,,6.47,7.46,2.58,2.61,3.95,,2.53,5.09,4.4,,6.4,6.03,6.16,,3.13,,,4.71,,
214330072450001,Bhensli,21.725,72.75,,,,,,,,,7.1,7.52,3.53,5.1,5.6,6.95,3.15,4.85,5.88,6.02,3.4,3.07,4.4,4.9,5.75,3.62,5.2,5.33,4.72,5.35,5.72,6.45,4.11,9.18,9.3,4.36,2.82,4.29,4.91,5.94,3.62,3.35,4.9,5.55,3.51,4.01,4.69,4.9,2.97,2.52,3.54,4.15,1.91,2.1,2.66,3.14,2.3,2.58,3.06,3.78,2.26,2.62,3.05,3.9,1.51,2.6,3.43,4.2,,1.8,,4.03,1.53,3.53,4,3.45,,2.63,3.8,3.7,,0.51,0.55,1.34,,,0.96,7.22,2.76,1.82,,3.58,2.9,2.98,2.38,3.25,2.75,1.74,2.25,3.4,0.49,,3.08,3.56,2.29,0.68,1.4,,0.83,1,1.5,,2.45,1,1.3,2.7,1.04,0.8,,3.2,,
221105072355001,Dahegam,22.18472222,72.59722222,,,,,,,,,1.17,11.95,10.3,8.75,10.55,11.73,6.85,9.5,11.45,8.68,7.64,8.9,10.2,10.33,11.45,9.76,11.62,10.3,11.72,12.05,12.12,12.82,13.15,13.85,14.05,,9.78,12.41,8.45,12.05,6.53,6.88,7.55,11.06,10.49,8.67,6.95,10.07,4.25,9.84,6.39,8.5,4.43,5.31,3.42,7.48,3.15,4.44,4.15,7.02,2.55,3.87,4.92,7.15,7.25,7.62,9.69,10.1,6.7,7.96,8.4,8.4,4.91,8.13,8.95,7.62,,5.21,8.55,7.96,,9.92,5.87,5.14,4.36,7.38,12.16,7.22,8.03,10.38,,7.71,5.45,9.96,5.2,5.15,7.03,10.35,4.6,10.71,1.25,,7.01,8.42,2.95,4.2,7.13,,3.6,9.5,6.2,,7.2,8,6.9,7.5,7.39,6.96,,6.73,,
212700072480001,Ilav,21.45,72.8,,,,,,,,,4.95,4.1,3.97,4.2,4.4,8.94,3.63,,6.11,4.75,,2.65,3.45,4.35,3.65,3.95,6.47,4.65,6.58,4.55,5.1,5.37,2.98,2.75,3.15,3.27,3.3,5.15,4.4,4.92,,2.26,,4.81,5.85,3.43,4.08,5.43,3.45,3,3.97,5.3,,3.07,4,4.87,2.58,2.11,3.19,4.22,2.02,4.01,4,5.97,4.16,4.16,5.07,4.52,7.75,3.61,4.89,,6.48,6.73,4.55,8.19,,7.6,7.91,8.19,,8.19,,8.19,,5.93,4.69,8.19,7.46,8.19,,8.19,1.27,,8.19,8.19,,6.17,4.65,8.19,4.37,,6.3,,,3.7,3.97,,2.93,2.45,3.85,,4.55,3.05,3.18,,2.86,2.75,,5.68,,
220300072480001,Jambusar1,22.05,72.8,,,,,,,,,8.72,9.25,,8.64,9,13.83,8.52,7.65,13.83,8.42,7.37,,,,13.83,,,,7.67,8,8.4,9.2,,,,,,,,,0.65,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212930072423001,Jetpur1,21.49166667,72.70833333,,,,,,,,,3.05,3.68,2.35,2.4,2.3,6.51,1.48,2.9,3.66,3.45,1.65,1.85,1.9,3.47,3.7,3.07,3.03,2.68,1.85,2.24,2.59,4.32,3.38,4,4.29,4.5,3,3.21,3.4,4.71,2.3,3.6,4.48,3.15,2.19,2.83,2.36,4.54,3.8,2.71,3.5,3.87,1.43,3.85,3.69,7.75,,1.3,2.35,3.48,1.08,1.91,2.35,3.22,1.12,1.7,3.37,3.03,2.6,1.51,2.26,2.54,3.03,3.82,2.73,3.13,,0.37,3.05,7.75,,0.42,0.45,3.41,,2.02,1.01,9.88,3.56,4.56,,3.54,1.23,2.35,2.42,2.55,0.96,,4.9,3.82,,,2.96,3.51,0.2,0.14,1.75,,0.3,5.15,1.6,,4.65,4.65,4.13,4.55,3.13,3.62,,5.6,,
214030072583001,Juna borbhata,21.675,72.975,,,,,,,,,7.32,8.55,4.17,5.83,7.41,7.96,5.88,5.7,8.07,7.7,5.5,6.05,5.64,7.5,6.35,6.2,6.52,7.65,5.32,6.6,6.5,6.66,6.13,7.87,8.15,6.32,5.36,6,8.1,8.72,4.92,5.55,6,8.19,8.54,5.87,6.42,6.9,4.4,6.27,7.54,7.63,2.1,5.15,6.23,8.5,5.2,4.64,6.78,5.81,5.95,5.71,5.62,8.5,5.75,6.25,8.5,8.5,4.55,5.28,5.57,6.1,3.04,5.79,6.07,8.5,,4.19,6.2,6.21,,6.82,5.9,6.12,3.06,5.02,8.3,1.57,6.16,5.92,,8.5,2.62,6.25,8.5,8.5,4,4.12,7.3,8.5,5.1,,6.25,,2.1,2.26,5.6,,3.66,5.5,8.5,,8.5,8.5,8.5,,3.44,5.5,,4.5,,
214100072490001,Kaswa,21.68333333,72.81666667,,,,,,,,,7.95,8.42,7.37,7.8,8.45,11.05,4.59,10.25,7.85,10.35,6.25,5.32,5.95,10.2,7.83,8.58,9.78,,10.25,10.45,9.9,10.31,9.73,7.15,7.95,7.02,2.51,4.95,,9.02,2.55,3.97,4.25,8.13,2.85,4.28,4.42,8.24,4.33,3.57,4.45,7.44,4.96,4.35,8.89,8.53,2.25,3.15,4.93,5.57,5.41,3.96,5.4,7.65,7.41,9.05,9.18,7.25,3.21,3.55,4.45,7.05,5.88,7.36,5.75,8.84,,4.15,5.4,7.45,,2.83,2.9,5.03,1.66,2.61,3.5,6.58,7.63,4.29,,7.2,7.16,7.2,7.23,7.94,6.75,,,8.8,2.3,,5.35,7.67,2.22,2.4,3.49,,2.37,3,3.45,,6.15,2.65,2.6,6.05,4.42,3.34,,6.23,,
213450073040501,Kondh,21.58055556,73.06805556,,,,,,,,,7.4,9.04,7.87,7,7.04,8.87,8.55,7.55,0.7,10.06,8.65,6.05,6.2,7.55,7.7,7.62,7.87,8.98,9.1,9.15,7.23,9.8,7.96,7.5,7.6,8.94,,7.55,7.78,8.5,,,,6.48,5.56,4.65,5.4,7.02,4.9,3.49,4.86,,,2.85,5.97,6.06,1.6,2.6,3.76,4.58,1.25,2.85,4,5.12,3.75,4.32,4.5,6.11,4.95,1.95,3.95,5.1,3.96,3.33,3.8,4.63,,3.35,4.27,4.7,,3.32,3.3,5.07,1.5,2.93,4.53,2.76,3.36,3.26,,4.94,6.99,2.78,3.4,4.92,2.4,2.92,4.7,4.85,1.1,,3.88,4.31,1.44,1.87,3.53,,3.67,2.9,3.2,,2,1.7,2.57,4.05,1.38,1.8,,4.3,,
