station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
214600072090001,Bhavnagar1,21.76666667,72.15,,,,,,,,,4.21,9.18,5.25,6.33,5.43,9.78,6.12,8.93,6.84,11.43,9.26,4.47,4.98,10.45,8.63,8.75,,,17.51,13.98,14.4,15.03,13.68,14.2,16.03,12.03,2.68,,3.83,6.78,3.53,3.63,3.97,6.33,3.92,,,6.33,,,3.3,5.03,2.87,3.2,4.08,5.2,2.98,3.25,3.48,4.8,2.96,3.59,3.91,6.5,6.75,8.56,9.7,11.7,6.15,6,5.49,7.54,3.46,4.41,4.49,6.24,,6.8,7.85,8.48,3.1,3.68,5.42,5.64,4.05,4.3,4.43,33.6,5.73,7.1,,6.21,4.2,4.39,,6.52,3.75,5.63,4.65,11.4,5.85,,7.4,10,3.53,3,4.05,,2.8,3.51,4.89,,3.7,3.4,4.32,5.1,3.47,3.9,,4.31,,
214130072093001,Bhudel,21.69166667,72.15833333,,,,,,,,,5.46,10.6,3.06,3.5,6.38,11.06,4.55,6.9,3.87,13.35,6.28,12.62,7.69,13.35,13.58,,,,,,,,9.9,,12.8,17.7,3.1,,13.45,,2.2,6.5,8.04,,,2,,11.85,1.8,,2.49,4,0.9,1.12,2.4,3.7,,0.6,1.41,3.6,1.35,1.6,2.4,3.3,1.5,3.26,,11.85,4.5,2.6,4.51,3.2,2.12,3.76,4.86,11.85,,6,7,8.96,0.72,,11.85,6.98,1,,,11.24,1.26,2,,3.15,2.24,1.13,1.56,0.75,0.9,,1.75,4.82,1.55,,3.58,,1.34,0.62,1.85,,1.01,1.3,3.05,,0.95,0.5,1.32,,0.92,2.83,,3.74,,
214046072143901,Bhumbhali,21.67944444,72.24416667,,,,,,,,,3.15,4.87,3.31,1.7,3.57,4.23,2.46,3.7,3.15,3.23,3.42,9.22,3.06,6.08,3.03,,4.04,3.52,4.03,4.38,,,3.3,,,,2.61,,6.25,,1.53,3.1,2.68,2.9,2.11,2.57,2.1,1.5,3,2.35,2.43,2.7,2.02,2.22,2.9,2.74,2.24,1.5,2.58,2.6,1.92,2.2,2.51,2.72,2.4,1.43,2.44,2.92,2.5,2.43,2.53,3,0.58,2.27,2.34,2.75,,3.16,,2.71,1.26,2.32,2.38,2.83,0.4,2.42,2.68,0.88,2.4,1.7,,3.34,2.46,2.5,2.75,3.43,2.68,2.84,3.38,3.14,2.25,,3.42,3.65,2.08,2.19,2.38,,1.9,2.52,2.6,,2.45,0.9,1.43,,1.56,2.72,,5.82,,
214450071420001,Bhutia,21.74722222,71.7,,,,,,,,,19.6,24.8,27.02,19.2,18.79,18.79,6.76,13.2,18.19,10.81,15.48,15.98,18.06,16.43,15.7,16.68,17.59,28.6,17.31,18.35,20.44,23.57,9.3,16.8,19.49,20.5,9.84,,18.45,20.5,9.97,8.8,16.7,18.6,6.41,,,18.14,,,,15.87,0.4,4.85,13.1,,1.29,0.96,3.9,,14.26,3.95,11.28,18.75,14.85,18.2,18.3,18,4.9,14.7,16.26,17.46,6.52,15.41,17.6,17.95,,16.6,17.8,17.6,0.88,1.59,17.42,17.44,7.6,15.4,17.9,18.3,20.65,21.3,,19.84,22.3,15,22.3,22.3,,,,22.3,17.75,,21.14,,22.3,,0.28,,,,22.3,,,,,,,16.4,,12.77,,
211315071570001,Datha,21.22083333,71.95,,,,,,,,,3.83,6.95,6.47,5.44,2.72,6.25,2.87,3.66,3.33,6.32,2.02,8.93,1.49,3.64,4.54,4.72,5.72,6.72,6.48,6.99,,9.24,8.16,8.3,8.61,9.79,3.47,,6.23,4.66,1.09,4.84,6.96,4.84,2.04,3.37,3.59,6.79,1.74,1.69,3.06,1.94,1.32,,2.54,2.08,0.74,1.69,3.4,2.19,1.51,2.24,3.05,2.24,2.04,3.26,2.42,4.44,0.79,3.01,4.08,1.99,0.6,2.72,3.57,9.4,,3.29,,8.49,0.54,3.04,8.15,5.29,1.14,5.14,4.72,11.75,5.46,6.86,,,0.82,,7.32,5.19,1.09,4.17,4.49,5.89,1.82,,6.71,8.24,4.62,2.93,4.34,,0.82,2.19,5.38,,0.76,2.74,5.84,2.24,1.88,,,,,
214800071303001,Dhasa,21.8,71.50833333,,,,,,,,,7.83,8.95,5.65,7.99,7.69,8.45,4.78,3.99,8.32,9.09,4.81,5.11,6.71,8.77,9.49,8.99,,8.99,3.07,6.34,6.95,7.87,1.26,5.2,6.79,6.51,2.79,,6.9,7.21,1.99,4,6.7,6.74,4.12,7.19,6.21,6.89,1.94,2.24,2.96,5.08,0.94,2.42,4.13,5.31,1.25,1.51,2.62,5.37,4.41,,2.71,4.69,3.13,4.48,5.69,5.94,2.59,1.84,1.24,5.52,1.42,2.61,3.12,5.34,,4.89,4.64,4.22,,2.15,4.71,4.59,0.48,2.44,3.64,10.2,2.49,2.59,,11.69,3.44,1.92,3.94,6.91,1.05,,,5.94,,,1.32,4.59,,1.74,2.21,,0.29,2.21,3.33,,1.8,1.45,3.29,2.29,,1.49,,3.83,,
210815071393001,Dudhala,21.1375,71.65833333,,,,,,,,,9.95,14.6,14.27,14.09,13.82,13.01,12.76,14.6,13.75,15.33,12.92,11.95,11.42,,11.91,,10.75,15.3,11.84,12.26,,,13.6,14,14.2,25.9,7.69,,10.6,,9.7,10.6,8.54,,,11.8,,,,,13.1,11.85,6.7,8.47,8.5,,6.66,6.1,8.5,9.05,8.2,7.28,9.68,15.65,7.05,10.08,10.25,16.1,8.54,7.05,5.55,,4.06,5.11,7.38,13.08,,11.7,13.95,14.1,7.24,4.5,,10.09,,8.7,13.7,11.89,10.38,7,,19.43,11.08,4.45,6.35,14.03,,9.37,,17.84,9.04,,13.86,14.96,14.2,,5.8,,,,5.25,,,,4.88,9.9,,7.68,,13.7,,
215800071344501,Gadhada2,21.96666667,71.57916667,,,,,,,,,4.84,6.55,5.43,14.8,4.86,6.49,0.61,5,2.71,6.2,2.62,,4.76,5.74,5.88,4.58,5.46,6,5.19,5.13,5.41,5.84,3.8,4.3,4.7,4.9,4.05,,0.55,5,3.7,4.8,4.64,4.4,4.07,4.83,4.7,4.9,4.17,2.4,4.69,4.52,3.85,4.58,4.55,4.96,4.77,4.2,4.61,4.5,4.45,4.27,4.6,4.9,4.6,4.68,4.75,5.27,4.34,3.7,3.47,4.77,3.35,4.5,,4.6,,4.5,4.73,4.71,4.17,4.16,4.04,4.04,3.7,4.3,4.41,9.49,4.45,3.3,,4.85,4.25,3.65,4.5,4.91,3.84,4.27,4.36,4.77,4.1,,4.39,4.35,3.59,3.76,4.25,,3.03,,,,2.92,2.5,2.98,,,,,,,
213235071335501,Gariyadhar,21.54305556,71.56527778,,,,,,,,,22.1,24.25,8.64,22.3,22.32,27.2,10.88,23.3,22.24,23.48,21.62,22.47,22.76,24.4,24.38,24.71,24.98,24.25,25.05,25.08,25.15,25.8,,,23.4,25.5,10.7,,19.9,23.32,8.41,22.1,24.93,25.7,17.78,,25.55,26.9,11.75,7.35,11.18,11.47,4.64,3.14,14.75,25.06,5.59,4.95,7.58,12.78,11.45,6.3,9.21,22.2,14.6,24.84,25.08,5.77,12.1,5.15,6.53,17.11,3.26,8.31,5.33,24.15,,,22.05,23.95,4.6,5.97,22.34,17.29,11.1,13.3,22.8,2.17,23,20.7,,,8.59,7.3,9.12,23.62,9.31,11.92,12.85,24.6,24,,24.45,,12.13,7.02,9.3,,1,2.2,6.85,,3.29,5.2,8.27,11.3,4.17,9.5,,24.54,,
214100072164501,Ghogha1,21.68333333,72.27916667,,,,,,,,,2.68,,,1.8,,7,,,,4.1,,1.57,,,1.9,3.87,,5.01,,3.65,4.4,5.53,1.4,3.5,4.91,,,,1.92,,1.5,3.4,2.01,4.7,0.94,1.54,,4.7,1.45,1.15,1.9,3.73,1.24,1.82,2.97,4.62,1.28,1.5,2.29,4.4,1.1,1.5,1.96,4.2,1.75,1.92,3.91,4.16,1.5,1.8,2.29,4.3,1.13,1.43,2.86,4.17,,1.9,3.6,3.55,0.7,1.6,3.55,4.7,1.7,1.85,3,3.85,1.6,1.25,,4.68,1.18,1.69,2,3.92,,,2.5,4.06,1.04,,,4,0.06,1.32,1.69,,1.24,1.51,2.12,,1.2,0.6,1.73,1.8,,2.74,,,,
