station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
223500073541501,Dabhava,22.58333333,73.90416667,,,,,,,,,2.85,5.3,1.4,2.47,2.37,3.8,1.3,2.47,2.3,1.02,1.84,1.92,2,3.76,2.93,3.88,4.91,5.69,4.5,6.8,,,3.52,5.7,6.15,5.82,2.14,3.8,5.38,,1.55,3.55,2.73,4.77,,2.4,2.45,4.98,1.85,2.79,4.7,4.57,1.15,2.45,4.15,4,0.95,2.15,2.76,4.35,2.4,3.09,3.91,5.6,3.45,3.08,5.15,5.78,2.2,2.51,3.33,,1.42,3.07,4.13,5.78,,2.57,4.4,5.78,1.12,2.25,2.48,4.58,1.4,2.58,4.6,5.78,3.65,3.8,,5.78,0.3,3.2,4,5.78,2.65,,4.3,5.78,9.1,,4.3,,7.99,2.9,4.2,,,3.65,,,,,,,,3.3,3.93,,,
225015074040001,Dadhela,22.8375,74.06666667,,,,,,,,,5.41,8.05,0.4,3.77,3.9,7.25,1.45,3.26,,4.48,5.98,4.19,5.79,8.4,8.23,9.25,12.57,12.52,13.02,15.38,15.09,12.5,14.32,15.74,16.1,15.47,13.46,9.05,11.1,14.18,4.55,4.53,6.4,8.24,,2.51,5.3,7.61,6.7,6.81,7.45,9.79,1.22,2.77,5.47,7.44,2.06,2.43,5.45,7.85,5.75,4.92,6.27,8.44,8.55,9.63,10.64,15,4.89,5.54,6.46,9.16,1.17,3.37,4.69,6.46,,2.39,4.99,8.03,0.93,5.65,3.73,6.13,3.85,3.29,6.03,34.67,3.65,5.4,,10.55,4.75,2.71,3.81,6.15,2.25,2.15,4.95,7.35,2.05,,4.37,8.29,1.33,1.85,3.52,,0.05,3.4,4.15,,6.05,5.35,5.55,7.65,2.91,2.95,3.46,8.4,,
224930074140001,Dahod2,22.825,74.23333333,,,,,,,,,9.22,10.57,6.3,5.42,5.64,8.7,2.37,4.73,5.17,3.76,6.54,4.9,5.13,2.92,7.4,8.09,8.93,9.09,8.77,9.65,10.21,,10.06,10.72,11.8,11.41,7.49,9.47,9.22,11.12,2.48,4.3,6.17,8.92,,4.1,6.12,8.03,7.16,6.92,6.47,9.63,3.29,5.47,5.59,7.87,2.75,3.94,5.22,8.22,4.75,6.69,6.75,8.71,8.97,8.33,9.55,11.02,6.49,6.67,7.8,10.24,4.99,6.92,6.93,9.44,,4.37,5.95,8.65,,5.72,5.73,7.66,,4.82,7.03,22.6,4.45,6.67,,6.97,2.42,2.95,3.67,6.87,,9.27,6.82,10.12,4.77,,5.28,10.04,2.28,4.67,5.66,,,,,,6.92,5.87,5.42,9.61,4.96,4.57,5.67,5.27,,
224200073545001,Devgadh Baria,22.7,73.91388889,,,,,,,,,12.02,15,9.7,8.55,8.95,12.5,5,8.69,9.5,3.58,11.28,8.55,8.86,18.25,12.1,12.66,15.2,15.2,12.8,15.9,15.18,,12.15,13.08,,,11.73,12.05,13.26,,7,7.58,,12.22,,7.55,8.95,11.38,7.75,9.2,11,11.42,2.48,6.58,8.4,10.54,3.45,6.25,5.33,10.04,6.7,7.64,8.65,11.05,8.7,8.35,10.69,12.36,5.7,7.46,8.42,11.4,3.35,6.4,8.17,11.1,,7.2,8.67,11,3.84,7,,9.68,6.05,7.1,8.78,18.29,7.05,10,,14.3,6.4,7.8,9.3,11.7,7,7,7.8,13.5,5.85,,6.09,11.98,4.31,6.53,7.97,,5.04,7.58,7.74,,7.52,3.25,9.5,11.4,6.18,,,11,,
223800074061501,Dhanpur,22.63333333,74.10416667,,,,,,,,,7.93,10.02,5.3,5.53,6.59,8.9,1.25,4.44,6.5,3.67,6.75,5.71,8.63,8.8,8.9,8.72,11.44,,,,,,,,,,,,10.05,,7.55,6.53,7.81,,,4.42,5.55,10.4,5.6,7.8,8.65,12.1,1.45,,,,,,12.85,9.85,,,,,7.68,11.1,13.13,13.85,9.07,9.27,10.94,13.85,6.29,7.96,8.98,,,7.27,10.19,13.55,4.44,5.85,7.5,10.21,7.65,6.71,9.53,22.64,8.18,,,13.85,,8.83,,13.65,8.85,7.85,10.55,13.85,,,10.29,14.07,,5.25,6.95,,,7,8.2,,10.34,7.25,8.4,12.95,9.45,7.05,7.48,0,,
224050074184501,Garbara,22.68055556,74.3125,,,,,,,,,6.39,8.86,3.3,3.44,3.69,6.05,1.6,2.9,3,1.53,4.91,3.25,4.02,5.62,3.18,4.2,7.41,7.17,7.75,9.35,11.33,,9.41,11.07,,,11.15,11.15,11.96,,4.89,4.19,4.33,8.73,,2.83,4.02,6.04,3.15,4.16,,9.39,0.85,2.35,3.61,6.9,2.6,2.55,3.69,7.9,6.45,4.19,5.03,9.54,7.43,6,8.99,11.27,5.97,5.69,6.56,9.65,5.83,4.11,4.3,6.95,,3.12,3.69,7.75,1.44,2.25,3.46,6.05,4.98,4.64,7.13,12.13,2.7,3.25,,9.55,1.35,1.87,2.75,3.66,1.85,2.55,3.11,5.95,1.75,,3.53,8.72,0.89,0.66,2.47,,2.05,1.75,1.71,,3.62,2,1.75,3.95,0.57,0.75,1.02,,,
230530074080001,Jhalod1,23.09166667,74.13333333,,,,,,,,,3.67,11.79,1.1,3.05,3.49,10,2.55,5.5,2.9,7.4,5.48,2.35,2.28,7.37,6.53,4.48,11.47,12.3,12.15,12.65,15.38,14.7,12.27,13.6,13.96,12.88,10.1,12.05,12.2,10.45,7.41,6.53,5.25,7.43,,3.99,2.38,7.33,5.8,6.72,6.7,9.5,0.98,3.8,2.65,8.25,1.4,3.7,2.6,6.79,12.36,10.84,11.02,12.52,11.85,7.72,9.42,10.1,6.02,7.15,9.17,10.58,2.35,5.48,5.22,7.2,,4.84,5.3,7.8,0.65,4.06,4.04,6.91,7.58,5.35,5.47,33.92,4.3,4.9,,13.1,2.8,5.06,6.1,7.1,3.1,5.5,4.46,7.1,4.4,,5.78,6.77,2.54,4.83,4.58,,4,,,,13.1,5.9,5.15,,2.84,,,0,,
223450074065001,Kanjetha,22.58055556,74.11388889,,,,,,,,,7.15,10.07,3.9,5.16,5.95,8.75,1.7,5.39,6.45,3.82,5.47,5.2,6.38,8.7,8.35,9.23,11.25,10.78,9.85,10.85,11.68,,9,12.49,12.95,12.01,10.6,9.5,12.73,12.45,9.52,5.08,8.03,9.64,,4.85,7.7,9.29,5.95,9.29,8.95,10.06,0.9,3.77,6.5,8.73,2.8,3.95,9.95,8.94,7.5,7.35,10.47,10.24,7.15,7.33,10.64,11.64,5.99,7.65,8.86,10.79,3.34,6.27,6.39,10.1,,6.05,8.43,10.61,2.71,5.23,5.77,9.94,4.57,5.06,9.43,18.49,5.45,6.85,,7.55,4.25,6.09,7,10.75,7.25,6.8,8.65,11.01,9.3,,8.06,10.98,2.67,4.15,5.38,,3.75,5.47,0.75,,7.93,5.9,6.7,11.55,7.53,5.3,6.09,12.05,,
224215073501501,Khandania,22.70416667,73.8375,,,,,,,,,12.12,12.99,9.5,10.36,10.94,12.6,6.84,10.28,11.1,6.56,10.84,10.47,11.18,12.09,12.1,12.67,13.5,13.38,12.69,13.8,13.68,,12.42,12.65,4,15.62,10.58,11.7,12.49,13.37,8.9,10.96,11.37,13.22,,10.02,11.35,13,9.07,10.58,8.3,12.54,4.75,7.35,11.5,12.39,6.66,9.3,9.7,12.5,10.9,11.05,11.82,12.79,11.7,7.65,12.76,12.85,7.44,10.1,11.03,13.19,7.88,10.72,6.04,13.01,,10.64,11.92,12.94,6.29,10.05,2.28,12.25,9.75,10.16,11.9,21.84,11.01,13.1,,13.37,2.5,7.98,12.1,12.9,10.35,11.9,12.1,,8.7,,11.73,13.22,5.78,8.75,11.36,,7.84,10.6,13,,12.06,9.8,11.65,,8.52,10.04,11.17,13.45,,
230015074093001,Limbdi2,23.00416667,74.15833333,,,,,,,,,1.94,,2.4,,0.7,1.9,0.3,,,7.2,,1.85,,,3.73,,,,2.1,3.9,3.44,3.33,4.55,2.48,3.32,3.12,,,,3.5,0.84,1.56,4.55,3.54,,,,3.04,,,,,0.1,,,,,,1.25,,,,1.68,,0.9,,,,,1.72,4.53,,,,,4.53,,,2.12,3,0.88,1.7,,2.55,1.45,2.04,3.16,6.6,3.2,4.5,,5.5,1.6,3.2,,6.1,1.9,,2.16,3.96,1.9,,2.38,3.69,0.86,0.62,0.94,,0.75,1.25,1.9,,3.07,1.6,1.3,3.8,1,0.44,0.98,,,
