station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
224945070334501,Amran1,22.82916667,70.5625,,,,,,,,,2.52,5.1,0.58,1.96,2.9,7.43,,1.36,1.91,4.49,4.55,0.4,1.78,7.75,3.6,2.22,2.85,,0.63,2.15,3.27,5.22,0.16,1.84,,4,0.55,,,5.4,,1,1.8,3.17,0.01,0.4,1.72,3.1,0.01,1.22,1.79,3.1,0.37,1.39,2.3,3.46,0.31,1.04,1.51,3.46,2.37,1.15,2,7.25,0.49,1.92,3.49,4.59,0.58,1.39,1.7,4.22,0.35,1.4,2.14,4.34,,4.06,3.48,4.2,1.15,1.4,2.12,3.6,0.5,2.55,3.87,6.15,2.22,1.88,,6.87,1.7,3.62,5.38,6.55,0.84,2.6,2.6,3.13,1.11,,7.41,5.61,0.17,1.06,4.96,,0.67,0.76,2.55,,,,,,0.43,,,,,
222600069023001,Aramda,22.43333333,69.04166667,,,,,,,,,7,7.1,6.21,6.55,6.95,7.25,6.32,5.94,6.1,6.99,5.3,7.5,5.9,6.12,7.36,6.54,6.5,6.87,5.46,6.55,8.52,6.6,5.8,5.82,5.53,6.35,,,,6.7,5.52,5.81,5.33,5.73,6,6.47,7.32,7.5,6.61,5.8,6.1,6.45,4.05,5.12,5.43,6.08,1.53,4.2,5.09,5.49,4.92,4.8,5.14,,2.75,4.75,4.15,5.11,1.48,3.48,3.94,4.57,4.1,3.62,4.09,4.6,,4.64,4.5,4.7,4.7,5.05,5.8,5.08,,4.1,4.7,1.66,4.21,5.02,,5.75,4.97,5.1,5.25,8.4,5.45,5.7,3.6,5.9,6.05,,6.4,8.59,6.64,4.41,5.03,,0.85,4.8,4.3,,2.25,3.35,4.2,5.16,3.29,4.1,,5.35,,
215415069573001,Balwa,21.90416667,69.95833333,,,,,,,,,15.32,18.51,10.88,17.62,18.57,21.52,17.32,11.83,18.44,21.2,10.55,7.6,21.42,18.06,19.82,16.56,18.52,22.76,14.8,21.3,15.82,22.79,11.22,17.9,18.72,22.84,17.62,18.42,22.57,22.32,14.25,10.52,22.03,22.44,6.86,15.87,17.72,20.02,8.62,8.87,14.56,17.78,2.62,10.12,19.2,16.97,2.25,5.12,12.59,22.53,9.58,9.45,19.82,21.82,4.42,15.13,22.17,21.93,3.68,5.52,9.44,17.61,6.68,9.4,20.9,20.4,,21.67,20.04,21.87,2.92,9.87,14.02,21.22,10.41,10.42,21.12,8.16,21.25,18.6,,22.52,16.02,20.82,18.27,22.72,15.22,14.12,,22.72,11.92,,20.4,21.98,14.64,3.5,10.14,,1.9,,11.44,,20.04,5.89,11.9,19.24,2.19,8.54,,17.8,,
224100070190001,Bedanpur,22.68333333,70.31666667,,,,,,,,,11.6,13.27,9.57,11.31,12.1,12.1,9.94,8.26,11.88,10.2,11.12,13.9,10.9,11.4,13.27,12.24,12.5,13.72,13.02,11.65,12.24,11.72,7.81,13.87,10.18,9.5,7.6,8.85,10.25,10.6,1.39,3.13,1.95,4.39,1.5,2.4,4.33,,3.68,2.09,1.85,3.59,0.99,1.26,1.56,4.12,1.71,1.29,0.87,3.71,2.93,1.57,1.81,8.8,1.39,4.92,2.07,5.23,1.64,1.44,1.45,1.82,0.2,0.45,1.5,3.84,,9.3,9.35,9.3,6.25,3.1,3.25,6.5,1.94,3.6,6,4.66,1.58,7.72,,10.15,7.7,5.1,2.8,7.8,2.25,1.5,1.3,3.5,4,,8.62,7.2,2.33,1.45,1.2,,0.53,1.02,1.02,,,1.1,2.22,1.62,1.3,1.04,,2.25,,
220445069344501,Bhadthar,22.07916667,69.57916667,,,,,,,,,9.6,15.75,8.62,15.75,15.75,15.75,15.75,6.61,8.77,15.75,4.65,2.17,3.14,8.69,8.88,,,,7.38,12.05,13.4,,2.36,4.32,8.77,,,,,,2.37,4.01,8.26,,8.4,8.48,11.77,15.1,15.1,15.75,15.1,15.1,1.25,3.45,6.98,15.1,1.36,2.64,4.92,,8.84,10.38,15.1,15.1,1.14,5.1,15.1,15.1,0.51,3.17,4.33,15.1,6.2,4.5,9.43,15.1,,15.1,15.1,15.1,6.65,4.04,15.1,15.1,2.09,,15.1,12.83,12.83,,,15.1,,,15.1,15.1,,,,,,,,,8.27,2.38,4.3,,0.86,,4.03,,7.23,2.65,3.87,13.23,1.5,3.87,,15.17,,
215540069474501,Bhanvad,21.92777778,69.79583333,,,,,,,,,10.53,12.94,11.1,12.3,14.14,14.1,6.52,11.68,12.26,13.77,9.77,10,11.44,13.1,13.3,13.04,14.63,15.28,13.56,13.6,14.03,14.9,12.58,12.25,12.8,13.6,13.9,15.1,15.65,14.25,10.31,10.96,12.39,14.12,9.2,10.7,11.83,14.5,13.02,11.86,12.31,13.86,3.12,6.05,9.52,11.6,3.41,3.11,5.69,10.51,6.32,6.33,9.37,13.05,2.6,6.08,10.08,12.91,2.06,3.35,5.22,10.03,10.85,5.9,10.19,12.79,,,13.75,15.86,9.35,4.8,9.8,16,4.74,6.1,9.93,4.06,15.2,14.16,,16.05,13.73,13.7,15.9,15.9,3.6,6.37,11.8,,14.3,,15.59,15.91,,,,,,,,,,,,,,6.05,,,,
220530069180501,Bhatia,22.09166667,69.30138889,,,,,,,,,16.45,17.61,14.9,10.59,18.19,19.69,22.39,10.48,11.15,14.04,11.63,7.74,8.39,10.51,,12.65,15.65,17.11,6.64,15.55,16.14,15.46,2.19,9.13,,,11.04,7.77,16.24,15.99,4.38,5.89,14.89,18.85,10.99,10.69,11.25,14.09,,15.76,15.81,15.67,0.32,4.47,6.35,14.09,0.88,2.5,5.31,3.84,0.78,4.91,0.97,15.01,,1.17,19.96,2.82,0.89,0.86,0.95,2.41,0.86,1.46,1.2,3.81,,12.61,3.11,20.21,1.06,1.81,1.37,12.23,,,8.69,20.21,1.26,19.71,,20.21,20.13,3.82,6.02,20.21,,,,20.21,2.31,,5.1,17.92,,,1.52,,0.43,1.16,1.86,,0.96,1.06,2.23,,1.16,1.81,,3.53,,
222100070023001,Changa,22.35,70.04166667,,,,,,,,,16.75,19.45,12.7,16.12,17.56,19.33,8.03,7.71,11.31,16.65,12.09,6.95,14.95,7.35,13.25,17.83,13.86,,11.91,15.2,12.25,19.45,11.29,19,18.1,23.75,14.25,19.2,22.7,,2.11,5.98,11.18,15.42,,17.2,15.97,,3.75,,10.23,18.47,3.32,6.64,16.75,8.07,0.68,6.9,8.06,16.19,10.07,17.69,15.66,,2.96,15.63,8.57,17.41,1.77,9.57,,13.13,6.03,4.25,9.55,14.07,,15.64,18.5,18.98,4,1.97,,10.42,12.95,16.7,18.69,14.95,16.78,19.45,,,17.28,11.76,14.87,22.95,,,14.15,18.21,,,,14.66,5.49,6.56,6.12,,1.01,4,8.25,,,3.58,,,,11.43,,,,
223400070250001,Dhrol2,22.56666667,70.41666667,,,,,,,,,6.21,7.1,3.18,4.62,6.39,6.64,5.34,0.99,1.2,2.86,3.69,4.09,4.14,4.07,,4.73,5.99,7.75,5.42,6.39,,2.89,6.99,6.26,6.27,9.59,4.69,7.89,9.44,8.19,1.57,3.42,8.59,4.2,3.29,2.85,3.2,4.09,3.21,2.29,1.79,4.04,0.65,3.04,1.91,4.69,1.79,1.98,1.57,3.09,2.58,2.19,3.9,5.18,0.45,16.18,2.28,1.34,0.87,2.16,2.21,3.94,0.71,2.44,2.71,4.91,,5.17,4.51,9.56,2.94,2.56,3.16,3.14,7.57,3.06,4.36,25.12,2.8,1.64,,5.23,1.16,3.17,2.66,6.36,0.91,2.16,2.41,3.01,0.7,,5.17,7.52,5.37,0.57,1.65,,0.26,,1.71,,,0.86,1.41,4.48,0.36,1.51,,5.08,,
224730070301501,Dudhai2,22.79166667,70.50416667,,,,,,,,,2.8,5.49,1.28,1.85,3.44,10.69,,2.62,3.51,7.59,11.83,2.29,2.95,11.25,14.55,5.85,11.9,13.94,2.33,3.3,6.35,15.41,1.42,2.45,3.62,13.65,15.65,15.35,14,15.45,1.11,1.71,2.55,5.79,0.52,1.95,2.59,5.55,1.02,1.01,1.48,3.28,0.65,0.96,1.84,3.26,0.73,0.78,1.38,3.06,3.02,3.45,3.73,5.25,0.95,2.11,2.45,4.23,0.65,0.79,0.9,2.67,0.6,0.8,1.55,2.26,,4.3,2.2,3.67,0.65,0.9,1.4,3.86,0.54,0.03,2.03,3.18,2.15,1.07,,3.65,1,2.64,3.15,7.65,0.73,1.11,1.55,3.37,3.35,,4.64,5.28,1.05,,1.02,,0.58,1.6,1.05,,,0.6,0.85,2.34,0.45,0.7,,2.68,,
