station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
231930073341001,Bavaliya,23.325,73.56944444,,,,,,,,,7.58,8.7,6,4.59,5.76,6.38,1.81,4.1,5.86,8.48,5.53,4.35,5.2,7.79,8.41,7.81,9.12,9.2,,,,,,,,,,,,,,,,,,,,7.43,,5.21,7.26,8.51,1.34,3.48,5.86,8.01,3.31,4.61,5.47,8.11,7.46,7.15,8.2,8.85,8.19,5.81,8.65,10.46,5.83,4.76,7.59,,3.46,4.16,5.82,8.16,,3.95,6.5,7.86,1.77,3.28,4.95,8.01,8.01,4.01,7.7,7.7,5.86,6.46,,10.46,,3.73,5.71,8.06,4.16,5.31,7.29,10.46,5.59,,,,4.87,,,,,,,,,,,,,,,,,
224615073380001,Godhra2,22.77083333,73.63333333,,,,,,,,,7.25,6.65,3.4,3.71,4.3,,3.13,3.92,4.4,7.81,4.67,4.35,4.79,6.12,6.05,6.45,6.71,7.43,6.45,7,7.93,8.65,6.82,11.75,12.67,9.51,7.58,7.15,,,3.75,4.8,5.05,6.24,1.3,3.4,4.15,5.6,1.65,4.03,4.55,5.43,,3.8,4.07,5.4,2.77,3.62,9.14,4.39,3.44,9.35,4.38,,9.53,,5.95,,7.14,7.46,7.61,,6.25,6.36,7.27,9.62,,4.89,6.92,8.98,3.37,4.94,5.79,7.97,,6.35,8.24,8.55,7.19,8.34,,5.84,7.5,2.11,8.74,4.14,6.94,2.34,4.15,,6.04,,7.84,10.59,4.48,4.76,5.93,,5.94,6.51,,,9.74,7.04,8.14,7.34,8.01,1.84,2.06,10.44,,
230110073311001,Kothamba,23.01944444,73.51944444,,,,,,,,,3.73,3.77,1.3,1.95,2.34,3.3,0.52,1.19,2.8,3.7,1.82,2.73,3.43,9.75,2.8,3.02,2.86,3.72,1.07,4.2,3.34,5.71,5.12,4.8,6.21,6.44,4.95,4,5.98,7.32,0.91,2.79,3.46,3.7,1.44,3.2,3.55,4.24,1.98,2.77,3.54,2.01,0.75,1.65,2.51,3.95,0.55,1.58,1.73,3.82,1.1,1.89,2.58,4.02,4.6,3.21,3.48,5.19,1.06,3.04,2.51,6.38,1.25,2.7,2.83,4.68,,2.87,2.93,3.64,0.86,3.02,3.42,5.2,3.75,2.04,2.46,7.95,2.5,2.9,,5,2.37,1.96,3.8,4.4,1.9,,2.45,3.5,1.6,,2.57,3.67,0.52,4.2,3.12,,2.04,4.34,3.4,,3.74,3.1,3.8,4.2,1.32,3.81,4.47,5.05,,
231215073360001,Limbadia peti,23.20416667,73.6,,,,,,,,,1.63,5.59,0.9,1.81,1.8,4,0.6,1.06,1,3.5,1.06,1.08,1.92,3.62,2.5,3.15,4.84,4.06,4.7,4.6,7.48,12.43,8.53,9.66,10.38,10.76,8.99,9.3,10.8,13.92,4.63,4.18,6.17,8.92,2.66,,4.55,6.88,4.5,2.96,3.9,6.05,0.35,0.95,1.65,3.52,0.48,2.79,1.2,2.95,1.08,2,2.74,6.73,3.78,3.14,5.72,9.85,2.82,4.06,5.09,7.73,4.2,2.43,2.36,4.37,,2.11,2.4,5.29,1.94,2.97,2.15,3.65,2.3,2.49,2.56,8.6,3,1.9,,6.9,2.3,2.72,3.2,5.1,1.9,3.45,2.74,6.2,2.02,,2.62,7.28,2.25,2.44,2.66,,2.2,2.54,4.62,,7.62,5.15,5.5,8.9,1.8,2.4,2.75,6.6,,
230745073363001,Lunawada,23.12916667,73.60833333,,,,,,,,,1.27,2.26,1.7,0.93,1.14,1.86,0.78,1.15,1.06,2.26,1.48,1.09,1.16,7.07,1.41,6.16,2.82,3.02,1.86,2.64,3.04,5.12,4.26,4.89,6.72,6.28,5.53,4.56,4.41,,2.06,,1.79,,0.2,,1.36,,2.02,0.45,8.96,0.37,0.86,0.61,7.91,11.46,5.36,6.3,0.56,,11.26,2.61,11.97,,12.71,11.19,12.27,11.72,9.16,10,10.52,1.5,6.46,6.19,8.42,11.24,,6.8,9.19,10.25,,4.79,,9.56,10.16,6.67,9.16,12.55,8.81,9.91,,11.81,7.81,7.83,9.01,11.46,5.86,6.71,7.99,11.41,7.54,,8.43,11.19,5.8,6.21,7.01,,3.96,5.4,7.05,,9.38,8.01,9.26,11.61,5.35,4.21,4.78,11.41,,
231350073441001,Malekpur1,23.23055556,73.73611111,,,,,,,,,2.35,2.63,5,2.45,2.67,4.8,3.23,2.58,3.4,6.2,1.52,2.88,2.98,2.68,2.47,8.35,6.25,7.05,5.45,,,11.05,2.55,6.14,7.16,7.08,,7.4,4.23,7.45,1.23,2.57,2.6,1.76,0.01,2.42,2.75,6.98,2.4,2.09,5.3,7.1,0.7,2.15,2.72,2.46,1.2,1.58,2.13,2.12,1.8,2.22,1.8,1.94,,0.42,2.29,2.22,1.47,1.99,1.95,1.99,0.56,1.92,1.82,2.07,,1.7,2.08,2,1.81,2,1.86,4.85,2.05,1.66,2.17,8.1,3.8,1.7,,5.2,0.9,2.48,3,3.43,2.35,,2.37,,1.45,,2.9,6.3,3.53,1.45,2.3,,0.88,2.3,2.65,,2.85,2.8,3.2,3.4,4.4,1.45,1.89,2.8,,
232230073380001,Pandarvada,23.375,73.63333333,,,,,,,,,12.49,18.41,1.5,5.89,11.03,4.86,1.38,4.15,6.66,14.7,4.06,2.33,11.11,15.06,8.8,14.7,,,,,,,,,7.62,14.26,,,,,12.15,13.96,,,1.77,4.29,,,7.24,11.78,14.62,14.82,0.43,2.01,11.51,15.56,0.51,15.56,2.06,15.56,5.66,12.03,15.56,15.56,9.39,9.25,15.56,15.56,1.2,5.36,11.57,14.1,0.06,4.46,11.6,15.56,,2.64,15.56,15.56,0.45,3.16,7.97,15.56,2.01,3.33,15.56,15.56,6.66,5.36,,15.56,6.36,4.17,4.36,15.56,6.16,5.16,,15.56,5.58,,15.56,,0.24,1.69,6.29,,1.21,7.61,15.56,,5.36,13.41,15.56,,0.86,7.18,7.68,0,,
222915073332001,Pavagadh,22.4875,73.55555556,,,,,,,,,8.69,10.8,2.6,5.67,6.06,9.61,1.69,4.61,6.01,10.78,4.61,5.16,6.44,9.23,8.78,10.36,11.26,,8.67,10.55,11.14,,3.66,,8.1,11.25,6.04,7.46,9.54,,3.16,4.25,6.39,10,2.03,5.51,7.76,10.68,3.25,1.65,5.46,9.63,1.51,4.11,6.74,9.81,2.81,3.63,6.31,9.96,3.96,5.36,6.84,9.91,8.53,8.56,10.74,10.84,2.13,4.76,6.47,10.29,2.46,4.66,6.41,9.76,,5.08,8.16,11.87,1.64,4.37,,9.03,2.16,4.19,7.46,7,7.74,10.46,,10.84,4.86,5.8,7.76,10.36,5.66,5.54,7.01,9.86,3.36,,7.24,10.23,0.63,3.31,4.88,,1.88,4.38,5.3,,6.26,4.21,5.16,7.71,2.06,3.81,4.9,0,,
224330073453001,Ranipura,22.725,73.75833333,,,,,,,,,11.48,11.84,3.5,6.63,5.98,7.8,1.9,3.39,3.5,2.08,7.12,4.08,5.03,12.2,5.48,8.9,9.4,10.19,9.22,9.63,10.08,,11.25,9.7,12.1,12.98,10.23,8.45,11.25,11.59,3.45,5.24,6.8,9.76,1.04,2.55,8.3,6.77,5.37,4.27,5.4,8,0.95,2.15,7.48,6.85,1.85,3,4.4,7.65,6.9,7.42,6.24,10,7.67,7.55,9.46,12.22,3.88,5.07,6.2,9.25,3.46,5.69,6.06,9.26,,3.77,5.9,8.96,1.12,2.8,3.36,5.78,4.15,3.75,5.47,5.7,5.71,7.3,,10.3,4.75,6.3,8.08,10.9,5.9,5.3,5.9,9.43,3.63,,6.65,10.88,1.68,2,3.1,,2.21,3.48,2.11,,9.04,3.65,4.5,8.17,3.28,3.16,3.47,8.4,,
231130073543001,Santrampur1,23.19166667,73.90833333,,,,,,,,,8.53,10.8,6.9,5.99,6.79,8.2,2.4,4.38,7.67,10.07,3.94,4.8,6.15,9.3,9.07,8.35,12.9,11.68,11.4,,,15.4,15.19,14.43,,14.68,2.4,14.3,13.41,12.96,5,4.27,10.4,9.1,0.2,4.53,7.85,14.62,9.6,3.49,10.43,,1.7,8.15,7.55,8.35,2.05,5.25,7.3,8.75,4.6,5.98,7.44,9.46,6.95,4.9,14.45,9.95,3.88,3.86,6.26,10.2,4.11,5.1,9.62,9.08,,4.46,11.8,8.8,1.54,3.84,4.83,6.73,7.25,4.3,7.06,13.2,14,11.9,,11.3,2.3,4.6,4.76,8.8,4.2,4.28,6.37,11.8,2.1,,6.24,9.32,7.6,2.28,5.6,,5.57,5.63,8.89,,9.77,9.2,12,10.25,1.52,5.5,5.92,11.32,,
