station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
232530071423001,Adriyana,23.425,71.70833333,,,,,,,,,2.85,3.2,,2.37,2.57,2.64,,1.27,2.96,3.2,1.37,2,3.39,3.05,3.93,4.3,4.49,3.8,2.8,4.95,4.86,4.3,0.94,3.64,3.97,3.42,,3.27,4.76,,0.82,3.15,3.3,2,0.95,1.12,2.57,2.97,1,2.72,5.9,2.86,,2.67,2.48,3.25,1.24,1.2,2.87,,0.56,0.98,1.98,2.8,1.4,3.09,4.07,3.15,,4.08,3.06,2.88,,2.17,2.18,2.79,,2.71,3.1,2.2,1.52,2.44,2.63,2.84,3.38,5.03,6.45,5.1,5.1,5,,3.45,3.08,3.44,4.22,4.35,,,3.92,,,,,,0.67,0.6,,,0.57,,,,,,,,,,,3.17,,
230700071470001,Bajana,23.11666667,71.78333333,,,,,,,,,2,1.95,1.26,2.05,0.81,3.66,,0.16,1.28,2.61,2.33,0.6,1.34,2.76,1.64,2.38,2.38,2.86,0.11,2.84,2.47,4.24,,1.18,2.25,4.01,,3.53,3.68,3.26,1.92,2.41,2.46,3.06,,,1.43,2.43,0.16,0.17,1.18,2.84,0.16,,1.28,2.57,,0.76,1.47,2.25,,0.68,2.24,2.43,2.26,3.19,4.08,2.56,0.01,1.61,1.65,2.35,0.66,2.44,1.26,2.01,,3.01,1.52,1.76,0.09,1.64,1.06,3.68,,1.51,3.71,9.74,5.26,5.38,,1.96,1.76,2.1,4.33,,,1.26,1.22,2.18,1.86,,1.24,3.06,0.22,0.34,0.41,,0.44,2.21,1.83,,1.04,1.07,1.91,2.28,1.06,1.66,,,,
222500071023001,Bamanbor,22.41666667,71.04166667,,,,,,,,,9.77,10.8,6.55,10.56,10.71,11.75,6.17,6.73,7.67,9.75,6.98,5.89,7.36,10.85,10.13,10.33,11.12,11.65,8.46,11.46,11.55,11.29,5.16,6.47,9.98,14.43,,,,,4.94,,7.95,11.81,3.73,7.9,8.55,11.34,3.9,5.77,6.77,9.83,4.4,4.91,9.03,10.57,3.95,5.83,6.68,11.1,5.15,5.49,6.38,9.06,6.3,7.68,9.76,10.03,2.93,5.96,6.69,10.23,2.87,5.51,6.7,10.47,,6.8,7.94,10.45,6.18,5.9,8.01,8.25,5.27,6.25,7.45,6.87,6.87,9.07,,10.95,8.85,9.13,10.17,12.18,3.76,5.8,9.24,9.5,4.13,,11.23,6.45,4.53,5.15,6.05,,3.26,5.43,7,,4.17,5.08,6.41,9.45,3.57,5.4,,13.47,,
231915071494501,Dasada1,23.32083333,71.82916667,,,,,,,,,4.9,7.4,4.5,4.22,5.74,5.9,0.38,1.56,3.43,4.15,2.82,2.34,2.95,3.9,4.38,4.94,5.4,5.81,5.45,6.56,6.36,5.21,0.59,3.26,2.23,5.05,,5.36,,,1.66,2.4,3.3,4.3,0.65,2.2,3.25,3.7,1.08,1.57,1.58,2.75,0.25,1.82,1.94,3.04,0.22,1.01,1.72,0.58,0.6,1.05,0.76,0.62,0.6,0.62,3.05,2.9,0.85,1.4,1.46,2.5,0.33,0.58,0.65,0.67,,1.37,0.73,0.8,0.75,1,0.58,2.57,0.88,8.7,8.7,8.7,,,,1.35,0.65,0.83,5.28,3,,,0.46,,,,,,,7,,,1.68,,2.97,,,,,,,,,,,
224630071440001,Dedadra,22.775,71.73333333,,,,,,,,,3.9,,4.38,4.4,3.45,4.45,1.74,2.64,3.5,4,4.21,3.98,4.37,4.45,4.45,,,,,,,,1.97,3.57,4.28,,,,,,,,,,3.63,3.27,6.4,3.92,1.2,1.47,1.93,3.48,1.2,1.4,2.91,3.73,0.4,1.48,1.99,3.19,1.56,1.56,2.26,3.7,4,4.13,5.22,4.6,,1.59,2.04,3.57,,1.32,2.05,3.25,,4.2,2.69,0.6,0.98,,1.22,7.3,,1.35,4.7,5.52,9,6.6,,9.51,,4.92,5.73,5.86,0.78,1.35,5.55,3.35,3.6,,0.93,2.6,1.66,0.5,0.5,,0.5,1.4,0.97,,,,1.12,,,3.58,,4.66,,
230115071111501,Halvad2,23.02083333,71.1875,,,,,,,,,22.8,29.8,21.15,24.02,25.55,25.65,18.7,19.5,29.8,25.25,25.47,22.23,21.5,25.35,25.5,,,,24.5,23.36,24.29,28.34,20.77,24.63,26.3,,,21.83,24.47,,26.45,23.6,,,22.58,,20.45,23.6,13.7,22,21.97,23.78,16.7,16.9,19.72,22.46,17.71,17.74,20.46,22.08,11.06,12.12,13.51,17.96,16.91,18.82,23.05,22.64,9.96,10.6,10.78,16.42,9.01,9.43,10.01,12.28,,18.26,17.36,16.16,12.12,12.59,12.96,12.55,12.76,12.56,15.86,14.91,8.76,10.91,,12.31,11.86,12.93,12.52,7.02,2.55,4.26,6.41,10.59,13.23,,12.61,,10.77,8.66,4.61,,1.82,3.01,3.64,,2.73,3.81,,,2.16,,,,,
232100071393001,Jhinjhuwada,23.35,71.65833333,,,,,,,,,5.75,7.75,5.65,5.17,6.38,8.45,3.79,7.05,5.8,6.6,6,4.41,4.78,6.85,7.53,8.05,9.6,,8.19,8.33,8.95,11.07,6.71,6.41,6.96,9.25,,9.27,9.87,15.12,,4.85,,6.97,4.75,13.3,4.65,6.18,3.85,3.31,4.06,5.67,2.36,3.72,4.27,5.68,2.75,4.28,4.77,5.58,2.55,3.59,5.68,6.12,5.85,6.45,8.95,9.1,3.15,3.55,4.04,6.3,3.23,4.48,4.53,7.05,,7.47,5.89,6.78,7.77,6,3.93,8.3,5.37,10.3,12.3,6.35,5.8,4.05,,7.75,4.2,4.65,7.37,6.67,2.93,2.82,3.86,6.6,5.21,,7.05,10.55,3.27,3.15,3.2,,2.95,3.5,8.5,,7.85,8.8,9.62,8.85,4.05,3.7,,,,
231115071450001,Kharaghoda,23.1875,71.75,,,,,,,,,1.4,3.1,1.9,1.08,2.55,2.55,0.3,1.22,1.56,1.92,1.8,2.58,1.6,1.95,1.39,1.65,1.79,2.1,1.19,1.61,1.62,,1.04,1.02,1.81,1.58,,,,1.9,,1.5,1.3,1.88,,3.1,1.45,,0.01,0.57,0.72,1.5,0.5,0.6,,1.56,,0.8,3.1,3.1,,1.08,2.81,,,1.65,2.88,2.1,0.15,0.9,1.03,1.9,,2.12,1.85,1.75,,2.13,2.7,,1.88,0.8,2.48,1.99,1.47,0.85,,6.17,2.9,2.32,,3,2,2.44,2.06,,,,1.75,,,,,,3.1,3.05,0.92,,2.15,1,1.85,,1.2,1.5,2.05,1.5,,,,,,
230015071444501,Kherwa,23.00416667,71.74583333,,,,,,,,,1.33,3.8,0.75,1.9,1.14,3.14,0.46,0.04,1.25,5.49,1.16,0.65,1.34,2.71,1.03,1.89,4.64,,0.31,0.54,0.29,7.33,1.09,2.63,5.55,,,4.46,5.81,,2.13,4.64,3.59,4.49,,6.09,2.72,6.98,0.12,0.92,1.47,5.96,1.29,1.14,2.59,6.8,,0.34,2.39,5.16,1.95,0.61,1.26,7.61,1.71,3.11,4.84,6.79,0.01,0.54,1.25,4.06,0.18,1.15,1.99,4.01,,1.29,4.29,3.49,0.29,0.68,3.49,2.94,1.5,0.49,5.49,5.24,3.39,2.8,,4.09,1.34,2.09,3.92,1.45,0.59,1.14,1.21,2.06,1.69,,0.89,4.04,,0.29,0.39,,0.71,0.44,2.14,,0.14,0.54,1.01,2.39,0.81,0.31,,1.72,,
225130071470001,Lakhtar,22.85833333,71.78333333,,,,,,,,,7.7,10.1,2.42,4.57,9.55,10.8,1.7,1.87,2.4,8.5,3,1.96,2.69,7.2,2.6,4.84,6.64,,2.11,3.63,4.7,10.09,2.2,2.19,4.11,10.1,,5.02,6.92,,3.63,4.6,6,8.6,3.08,10.1,5.2,9.46,2.32,1.8,1.95,7.1,2,2.25,4.4,,1.48,2.06,2.95,9.2,7.9,2.1,3.64,8.17,8,8.83,9.33,6.3,1.59,2.07,2.84,8.4,1.62,1.89,3.2,7.85,,2.97,1.82,1.2,2.26,1.95,2.3,2.13,,2.28,2.65,20.7,2,1.91,,5.25,6.4,6.92,2.26,3.58,3.05,2.31,2.85,6.39,4.08,,3.7,4.1,3.62,3,3.6,,,3.77,5.81,,,3.97,4.15,6.2,3.25,2.3,,3.9,,
