station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
302300076454501,Ambala Cantt,30.38333333,76.7625,,,,,,,,,5.17,4.2,3.34,2.21,4.82,5,3.13,2.81,,3.65,,,2.88,3.43,3.18,2.29,2.29,2.78,1.98,3.03,2.04,3.48,1.05,1.8,2.08,2.42,2.14,2.14,2.43,2.7,1.88,2.17,2.27,2.37,0.89,1.5,1.78,2.6,1.93,1.98,2.13,2.33,2.85,2.72,2.76,2.93,2.51,3.11,3.21,3.08,2.28,3.18,2.15,3.2,2.31,2.05,2.1,,1.28,1.65,1.43,2.14,1.4,1.88,,1.38,,1.83,,2.42,,1.62,,,,1.66,,2.25,,1.78,,2.11,,1.82,,2.32,,,,,1.06,1.4,1.44,,,1.49,1.37,,0.98,1.17,1.93,,1.71,1.32,0.97,1.77,1.27,1.05,1.35,1.28,,
301915076434501,Balana,30.32083333,76.72916667,,,,,,,,,1.25,2.64,0.47,1.01,1.14,2.73,0.04,1.09,0.62,1.33,0.1,0.33,0.56,1.27,0.54,1.03,1.14,2.04,0.5,1.09,1.15,1.64,0.64,1.12,1.24,1.49,1.44,1.11,1.42,1.61,0.79,1.14,1.04,1.49,0.04,0.48,0.64,1.22,1.48,1.61,1.97,2.44,1.69,2.21,2.34,2.34,1.56,1.97,2.22,2.39,1.15,1.66,1.59,2.34,1.19,1.58,1.67,2.84,1.04,1.82,1.31,2.16,0.84,1.09,,2.44,,1.91,,2.06,,1.17,,1.58,,,,,,,,2.19,,2.44,,2.14,,1.44,1.46,2.06,0.82,1.11,2.28,2.34,0.68,1.44,0.84,,1.57,1.24,1.54,,1.5,0.81,1.24,1.23,1.65,1.12,0.89,1.14,1.09,
301745077070001,Dhanaura,30.29583333,77.11666667,,,,,,,,,3.24,4.21,,2.33,3.09,4.65,1.88,2.57,2.82,3.83,0.5,0.97,2.03,3.63,3.2,3.82,4.35,4.6,3.42,3.3,3.85,4.85,,5.14,5.38,5.95,6.16,5.19,5.5,5.74,4.12,4,3.5,4.72,4.86,3.49,4.11,5.02,4.26,4.35,4.71,6.1,4.57,5.03,5.49,5.4,6.25,6.7,6.68,7.7,6.31,6.03,5.32,7.28,6.92,3.43,4.35,6.5,2.65,2.34,3.68,5.33,3.94,4,,5.5,,6.5,5.6,6.3,2.9,3.3,4.2,5.19,5.2,4.51,4.7,5.62,4.2,3.24,,5.45,4.2,3.17,3.3,4.7,3.2,4.3,3.27,5.02,,,2.46,,,,,,0.98,2.6,5,,4.27,2.84,3.58,4.1,1.62,1.7,3.08,4.92,1.45,
302430076471501,Kakru,30.40833333,76.7875,,,,,,,,,4.77,4.84,4.91,4.2,4.55,7.02,5.21,5.04,4,4.5,4.44,,2.12,3.27,2.55,2.74,2.99,5.1,3.22,3.19,3.5,4.4,3.25,3.23,3.37,3.98,3.88,3.71,3.85,4.21,4.06,3.96,3.85,4.32,2.88,2.68,2.87,3.55,3.3,3.05,3.26,3.9,3.81,3.89,4.06,4.35,3.92,5.25,4.4,4.67,3.69,3.25,3.12,3.7,3.52,2.57,2.85,3.75,1.5,1.43,1.69,2.11,0.67,1.25,1.26,1.75,,1.61,1.44,1.98,0.38,1.34,1.41,1.56,1.68,2.15,2.01,1.96,1.49,1.32,,2.45,2.01,2.22,2.42,2.59,1.95,3.35,3.53,4.63,2.52,1.83,2.05,3.05,0.57,1.02,0.95,,0.37,2.6,1.35,,2.67,0.93,1.18,1.62,1.13,,1.05,1.05,,
301700077024501,Mulana,30.28333333,77.04583333,,,,,,,,,3.14,4.27,3.88,3.61,3.93,4.73,4.02,3.79,3.71,4.29,3.42,3.09,3.04,3.46,3.64,3.51,3.89,4.54,3.7,3.64,3.91,4,3.99,4.23,4.48,5.72,5.24,4.78,4.9,5.34,4.76,4.29,3.41,4.99,4.62,5.17,4.21,5.01,4.56,4.31,4.66,5.29,4.9,4.89,4.69,4.84,4.49,4.39,4.54,,4.49,3.49,4.16,4.57,5.42,3.83,3.94,4.84,3.8,2.97,3.05,3.34,2.37,2.41,,2.94,,2.94,,3.27,,2.42,,2.81,,2.79,,2.94,,2.12,,,,2.95,,3.02,,2.49,2.6,2.51,,,1.73,,,,,,1.05,1.76,1.97,,2.83,1.16,1.72,2.65,1.53,2.09,0.89,1.59,0.68,
301455076430001,Nagal (D),30.24861111,76.71666667,,,,,,,,,14.25,15.45,,,15.52,,,,,,,7,,,,,,,18.8,,,,,,25.28,24.85,,30.6,25.08,29.79,43.93,24.44,,24.97,,24.25,25.41,29.23,,27.83,25.48,30.23,,,32.79,33.73,,40.98,,,,,30.38,34.29,,,,33.33,,28.71,28.53,30.54,29.83,31.38,32.8,,,,,40.13,,40.3,,33.1,,32.99,,,,,,,,,,,,,,3.56,,1.7,,,,,,,,,2.97,,,,,41.6,57.44,45.68,44.89,,,
302815077073001,Naraingarh,30.47083333,77.125,,,,,,,,,12.83,12.22,12.5,11.55,11.11,12.05,12.36,11.42,11.29,11.68,10.52,9.54,9.7,10.49,9.04,9.12,10.32,9.49,9.06,9.09,9.49,10.99,9.99,10.57,,11.61,12.33,,11.39,12.54,11.8,11.4,11,12.23,13.14,12.1,12.3,13.14,12.8,12.16,12.35,13.39,13.9,13.61,13.72,14.19,13.64,13.86,13.81,14.26,12.29,12.05,13.21,13.49,14.77,13.29,13.34,14.29,13.44,10.73,10.32,12.84,9.79,10.91,,14.91,,10.93,,14.09,,11.84,,12.06,,,,11.31,,12.02,,,,,,,,,15.95,7.93,,,,,,13.79,13.99,,,14.09,14.62,,,14.99,,,15.79,15.16,,,13.09,
302430076504501,Panjokhra,30.40833333,76.84583333,,,,,,,,,5.08,4.52,3.93,2.97,2.93,4.89,,4.04,3.76,4.22,2.62,1.78,1.92,2.4,2.05,2.88,3.4,4.4,2.33,2.53,3.09,4.45,2.98,3.51,4.4,5.33,5.53,4.36,4.99,5.63,5.74,5.74,6.08,6.52,5.64,4.79,5.06,5.81,5.58,5.73,5.95,6.53,6.73,7.08,7.2,7.08,7.23,7.63,8.23,,,8.03,7.93,8.04,7.02,7.08,6.81,7.03,4.87,3.69,3.38,3.7,3.58,3.78,,4.68,,4.84,3.7,5.2,3.25,2.83,,3.51,,5.11,4.03,5.24,4.13,4.51,,5.41,5.93,5.09,,6.8,7.43,7.68,,7.93,8.06,7.77,7.68,7.63,6.83,6.23,5.89,,6.22,7.53,5.83,,5.65,7.4,7.73,6.45,7.21,7.01,6.83,7.06,3.53,
301545076365001,Pinjola,30.2625,76.61388889,,,,,,,,,4.42,4.63,2.55,3.18,3.58,5.25,1.81,3.02,2.86,4.24,2.1,1.49,2,3.74,3.24,2.79,3.29,4.49,2.62,2.59,3.14,4.29,2.63,2.69,3.24,3.97,3.84,2.65,2.47,4.29,3.99,3.12,3.49,4.45,3.44,2.77,3.54,4.43,4.49,3.07,3.63,4.59,4.42,3.47,3.94,4.29,4.07,,3.94,5.14,4.39,4.16,3.17,5.78,4.29,2.69,2.75,4.69,4.69,2.28,3.24,4.39,3.59,3.74,,4.39,,3.69,3.49,4.14,3.54,2.59,,,,3.1,,5.45,4.19,4.19,,5.72,5.34,5.32,,5.23,6.62,,5.23,6.24,7.63,4.07,5,,4.31,4.77,5.89,,4.45,5.89,5.5,,5.6,4,4.89,5.7,4.3,4,4.35,6.15,5.95,
301830076581501,Saha M,30.30833333,76.97083333,,,,,,,,,27.3,29.78,36.9,32.42,33.61,,34.71,30.54,32.38,,34.32,,23.96,,32.8,,36.49,,39.89,,35.43,37.79,43.89,46.04,41.31,43.16,,43.81,39.06,44.23,48.49,48.81,39.19,39.79,,38.43,39.19,45.76,,,44.77,47.59,,,52.87,53.39,,59.4,61.15,,57.29,56.74,,,,63.36,,59.69,,60.98,50.75,55.01,58.49,61.79,61.9,65.29,,,,68.79,,66.39,,61.09,,,,,,,,,,,,93.89,,92.99,,,,,,,,,,,,,,,,,,72.7,,,,,84.55,
