station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
284525076151501,Badala,28.75694444,76.25416667,,,,,,,,,3.8,,2.1,2.82,3.1,6.03,5.02,13.96,,,,,2.8,3.8,3.94,5.6,4.21,10.68,3.9,11.2,,,4.15,4.25,4.58,,4.78,4.91,5.06,5.2,3.27,3.36,3.4,3.94,4.05,3.62,4.12,4.04,3.56,3.1,3.13,3.84,4.02,3.86,4.1,4.45,3.99,3.8,3.78,4.46,2.56,2.45,2.46,3.68,4.3,3.5,3.5,4.38,3.12,2.05,1.5,2,,1.69,,2.71,,2.37,,1.85,1.95,1.75,,2.46,,2.76,,3.42,,3.43,,4.18,4.08,2.4,,4,,3,3.23,7.36,4.98,1.86,1.8,3.1,3.03,2.86,2.66,,7.2,6.6,3.7,,5.51,2.18,2.04,5.7,0.28,2.1,2.3,3.1,,
284555075585901,Bajina,28.76527778,75.98305556,,,,,,,,,8.74,9.62,9.55,9.48,8.07,7.97,6.87,15.22,6.38,8.68,7.43,8.55,6.97,7.35,7.42,,7.67,6.82,8.17,8.12,8.62,9.15,8.92,9.25,9.48,10.02,10.14,10.37,10.55,11.07,10.34,10.23,10.32,10.72,10.53,10.22,10.53,10.92,10.52,10.05,10.02,10.47,10.07,10.39,10.52,10.67,10.84,10.99,11.12,11.81,10.32,10.82,9.81,10.39,10.93,10.48,10.67,11.29,,11.27,10.32,10.54,10.55,8.45,8.48,10.8,,10.52,12.2,11.22,11.3,11.36,11.37,11.87,11.77,12,12.17,12.62,12.02,12.55,,13.37,12.52,12.76,12.47,14.63,12.67,12.97,13.87,13.94,14.3,13.36,13.42,13.67,13.15,12.8,4.1,,13.64,13.88,13.57,,15.58,13.82,13.88,13.5,13.62,13.63,13.57,13.68,,
284830076144001,Bamla,28.80833333,76.24444444,,,,,,,,,7.52,7.37,7.03,7.12,7.23,7.21,7.34,13.13,,7.18,6.64,6.53,6.58,6.69,7.15,6.04,6.43,7.53,7.03,7.83,7.93,7.55,8.05,8.25,8.51,8.7,8.9,8.92,8.96,,9.03,8.45,8.18,8.65,8.6,7.86,7.58,8.51,8.58,8.36,8.13,8.49,8.47,8.38,8.58,8.83,8.65,8.66,8.73,8.97,8.42,8.33,8.05,8.47,8.73,8.23,8.28,8.79,8.43,7.96,7.73,7.33,7.2,7.12,7.23,7.38,,7,,6.93,7.18,6.97,9.68,6.86,,6.76,6.83,6.66,,6.78,,6.91,6.83,6.72,,7.14,,7.17,7.28,7.48,4.33,6.91,6.53,6.87,,7.06,6.86,,7.93,8.23,,,,,,,,7.21,7.53,,,
285610076023001,Bawanikhera,28.93611111,76.04166667,,,,,,,,,13.24,13.06,12.92,13.01,12.7,11.9,12.2,12.02,11.83,11.56,11.2,11.1,10.98,10.78,10.66,10.43,11.04,10.65,10.7,9.8,9.8,9.87,9.49,9.55,9.62,9.53,9.59,9.5,9.65,9.79,9.07,9.02,8.99,8.96,8.77,8.3,8.32,8.5,8.05,7.96,7.93,7.88,7.76,7.99,8.15,7.7,7.7,7.62,7.73,8.12,5.98,7.13,7.06,7.16,7.6,7.3,7.67,8.46,7.6,7.86,5.9,7.56,7.39,7.22,7.85,7.4,,7.15,7.8,5.93,6.45,6.35,,6.39,,6.56,6.55,8.9,,5.86,,,,5.37,,,,5.18,4.55,,,4.15,4.12,,,,,,3.25,3.28,4,,,,,5.4,3.29,,,3.12,,
285740075551701,Bohal,28.96111111,75.92138889,,,,,,,,,12.62,14.78,14.43,14.32,13.6,10.34,9.27,,,12.53,,12.5,12.29,12.05,11.93,11.72,11.62,12.1,11.5,12.45,11.8,11.7,11.12,12.21,13.21,10.07,11.04,10.97,11.12,11.06,10.55,10.6,10.53,10.35,10.38,10,10.14,9.8,9.3,9.14,9.22,9.2,9.1,9.09,9.22,9.15,8.95,9.15,8.93,9.08,8.54,8.31,8.17,8.15,8.95,8.83,9,9.09,8.4,7.62,7.5,7.23,7.59,4.7,4.5,6.79,,6.95,6.8,6.78,5.95,6.15,,5.81,5.95,5.74,5.75,6.5,4.15,5.58,,5.82,4.95,4.9,4.6,5.5,3.45,3.95,3.6,4.44,7.23,2.36,,3.64,4.04,3.16,,,3.2,3.6,3.99,,5.46,4.94,3.3,4.6,2.05,3.1,,3,,
285510075305701,Gurera,28.91944444,75.51583333,,,,,,,,,17.46,17.62,17.34,17.39,17.3,17.2,17.19,14.65,12.6,17.48,14.79,17.05,16.8,17.28,16.94,17.53,16.5,19.23,16.3,16.5,16.75,16.43,16.05,16.6,16.37,16.4,16.64,16.7,16.48,16.56,17.98,16.16,16.22,16.2,16.44,16.62,16.36,16.4,15.3,15.42,15.7,15.38,15.32,16.56,15.45,16.1,15.23,15.34,15.81,15.37,14.96,14.99,15.13,15.35,16,15.32,15.44,17,12.74,15.9,15.45,15.93,15.17,12.89,12.93,15.32,,15.2,17.95,15.4,15.95,15.84,,15.87,15.92,15.39,,15.44,15.98,16.16,,,,15.27,,,,15.37,16.1,,16.77,16.08,16.13,,,16.6,16.2,,14.1,16,16.5,,18.1,16.1,15.62,19.6,15.49,15.4,15.5,15.34,,
284400076100001,Haluwas,28.73333333,76.16666667,,,,,,,,,0.82,2.79,1.38,2.5,2.72,,,,1.28,3.78,1.87,2.88,,3.68,,,2.4,,,,,3.6,2.35,3.75,,4.66,4.85,5.05,5.15,5.47,4.33,4.1,4.57,4.4,4.36,3.4,4,3.83,3.48,3.84,3.43,3.83,4.04,4.58,4.32,4.1,3.55,3.71,3.63,4.19,,2.33,2.61,3.48,3.83,3.47,3.17,3.31,2.6,1.85,1.9,2.7,2.83,2.19,2.06,3.2,,2.2,2.15,2.1,1.72,2.43,2.65,3.03,2.95,3.93,4,4.15,,3.73,,4.38,1.7,2.2,2.5,2.8,2.3,2.39,,4.07,2.96,2.08,0.7,3.57,2.51,4.8,4.57,,3.53,3.8,4.1,,3.69,1.14,0.98,2.97,0.84,2.1,3.35,3.59,,
284600075423001,Isharwal,28.76666667,75.70833333,,,,,,,,,20.1,19.52,17.97,18.02,18.3,18.5,17.25,17.41,13.22,19.03,19.58,16.58,16.67,16.68,16.48,17.1,16.61,16.9,16.4,16.4,16.7,17.11,16.99,18.94,19.16,18.43,16.1,17.55,16.94,19.29,16.2,16.2,18.2,18.38,13.35,18.25,18.55,18.8,18.05,18.97,18.72,19.17,17.21,17.75,18.78,18.65,18.56,18.85,19,17.89,18.17,18.06,16.97,17.98,13.88,16.8,17.32,18.75,18,24,18.2,18.6,17.57,17.28,,18.26,,17.64,18.2,18.4,17.1,15.98,,18.12,,18.21,,18.62,,18.44,,19.17,,18.83,,19.48,,18.52,18.8,19.1,,18.97,19.22,19.66,19.19,18.8,18.77,,18.7,19.7,19.25,,20.27,23.65,19.74,18.45,18.6,21.22,19.9,19.6,,
284936075523701,Lachhmanpur,28.82666667,75.87694444,,,,,,,,,10.8,,,10.06,10.15,10.39,9.72,,9.43,9.46,6.09,9.6,8.9,8.77,8.7,9.1,8.77,7.4,8.4,8.4,9.3,,8.9,9.03,9.06,9.37,9.33,9.47,9.45,9.65,8.6,8.8,8.8,8.89,8.69,8.43,8.51,8.55,7.77,7.43,7.46,7.47,7.36,7.52,7.9,7.87,7.8,7.97,8.05,8.4,7.76,7.75,7.59,7.73,7.92,7.78,7.68,8.8,8.22,8.5,8.02,8.23,7.68,7.44,,7.52,,7.89,,8.19,,8.91,,,,,,9.51,,9.7,,10.15,,9.86,,10.34,,9.79,,10.41,9.73,9.63,,9.78,9.78,10.71,10.64,,10.26,10.36,10.35,,12.24,10.93,10.57,12.5,10.04,9.78,10.26,10.01,,
284200076024501,Lohani,28.7,76.04583333,,,,,,,,,9.75,9.6,9.35,9.43,6.9,12.62,6.91,7.56,11.48,9.61,10.48,6.7,7.13,11.45,7.46,10.62,6.63,6.95,11.65,8.6,8.45,9.11,8.35,11.6,13.4,8.8,8.98,9.02,9.11,9.26,8.69,8.55,8.73,8.81,7.51,8.6,8.75,8.9,7.43,7.12,8.39,7.55,7.16,8.22,8.71,8.77,8.6,8.7,8.68,9.1,6.62,7.23,7.34,7.76,8.1,7.82,8.1,8.35,7.3,12.2,7.85,8,11.3,10.12,,12.14,,10.84,,13.9,,7.45,,8.1,8.25,8.22,,8.61,8.65,11.92,,9.42,8.87,8.48,8.5,9.2,8.9,3.81,9.1,9.87,1.4,10.02,14.1,11.57,10,10.27,,,10.2,14.36,18.35,,12.57,10.04,10.01,14.8,8.68,10.18,14.5,14.73,,
