station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
284650076220001,Baundkalan,28.78055556,76.36666667,,,,,,,,,1.75,3.54,3.41,2.07,2.38,2.64,2.78,14.31,,4.04,4.91,3.51,2.14,5.11,3.82,3.68,4.08,9.21,4.56,4.81,7.91,7.75,,,6.73,,6.64,5.19,4.86,10.7,7.16,3.47,7.81,6.1,,2.74,2.96,4.03,2.41,1.61,1.96,2.31,2.46,2.51,3.36,4.03,4.81,4.61,4.77,3.51,0.94,2.46,1.93,,3.21,3.33,3.63,4.08,3.61,1.46,4.66,1.89,1.42,1.61,1.71,3.8,,2.59,4.9,2.86,1.81,1.98,,1.83,3.01,2.63,2.31,2.92,1.51,2.24,,,,2.96,2.01,4.15,2.46,5.47,,7.36,,1.05,,,,,,,1.31,2.01,1.53,,,,,3.99,1.05,2.11,1.71,1.91,,
282730076153001,Chirya,28.45833333,76.25833333,,,,,,,,,14.3,14.19,12.62,12.78,11.71,11.39,10.89,,8.02,11.44,11.24,10.36,11.06,10.1,10.91,13.36,12.41,16.04,11.21,12.66,12.76,11.89,11.61,10.9,10.96,13.01,13.51,15.98,14.18,13.37,12.12,10.91,13.57,13.71,13.4,12.84,14.16,13.21,12.91,11.91,13.17,13.06,12.34,13.07,14.16,13.21,12.36,12.53,13.58,13.63,11.57,11.71,13.27,12.62,13.63,13.43,14.56,14.75,13.78,13.42,12.71,12.68,13.42,12.02,12.91,13.81,,11.64,,15.06,14.36,12.79,,14,14.41,16.29,16.68,15.46,14.71,15.45,,17.51,15.11,14.48,16.71,18.27,15.01,16.36,,19.1,,19.45,,,,,,,19.45,19.44,,,,,,18.65,,,,,,
283545076160001,Dadri1,28.59583333,76.26666667,,,,,,,,,2.04,2.72,1.71,2.15,2.2,2.9,2.17,1.51,1.32,2.43,2.43,,2.08,,2.96,3.33,,,3.25,,3.41,3.05,,3.5,,4.15,4.54,5.72,4.52,4.73,3.48,3.41,3.41,3.71,3.1,2.74,2.94,3.21,2.21,2.41,2.58,2.86,2.76,3.11,,3.01,2.76,2.86,2.16,3.08,1.14,2.81,1.74,2.24,2.48,1.98,2.03,2.53,2.43,2.22,1.21,2,2.6,1.76,1.93,2.32,,2,,2.39,,2.28,,2.46,,2.11,,2.42,,1.95,,,,1.85,,2.24,,2.24,,2.6,,1.32,,,,,,,1.26,,1.81,,,,,2.81,,,,,,
283318076193401,Mehrana,28.555,76.32611111,,,,,,,,,13.2,13.26,12.87,12.78,13.5,12.7,11.2,,,,8.87,11.3,18.88,13.29,13.44,,14.18,,14.6,3.25,3.85,,15.3,,9.35,16.43,16.64,16.83,,17.1,16.94,17,17.27,17.5,,17.36,19.5,17.55,,17.4,17.89,17.94,17.86,18.16,18.44,17.5,18.05,19.77,18.73,18.93,18.35,17.64,17.58,17.45,17.42,17.5,18.04,,3.76,,,15.8,15.58,14.13,14.26,15.82,,15.65,17.98,14.8,15.8,11.35,,11.94,,11.84,,12.26,,12.45,,13.74,,17.44,,13.16,,14.02,,,,12.84,,,,,18.67,,14.1,17.8,,,,,,,18.53,18.25,12.15,12.28,,
283500076063001,Nayaatela,28.58333333,76.10833333,,,,,,,,,16.97,16.79,16.45,16.29,16.31,15.91,13.5,15.06,14.87,16.61,15.12,14.61,16.91,18.98,17.14,,16.04,18.48,17.71,17.11,,21.73,17.15,21.21,17.71,21.76,21.19,21.72,17.94,21.43,19.53,18.17,18.25,21.07,18.67,19.94,18.66,19.91,20.91,21.39,18.96,23.33,20.88,19.21,19.63,,,19.21,20.45,20.17,,17.45,18.93,17.27,17.31,17.4,20.84,21.36,18.01,17.96,18.01,18.22,17.61,17.85,,19.33,,18.89,,20.26,20.21,20.36,20.01,22.21,,22.61,22.36,23.76,24.11,25.05,,26.64,,24.73,,27.11,,,,,,26.71,,,,,28.44,,,36,,,,,,,,,,,,
284230076184001,Sanwar,28.70833333,76.31111111,,,,,,,,,3.33,4.13,3.98,3.9,2.78,4.1,3.43,,14.04,4.55,,2.95,3.5,8.4,3.5,3.84,3.45,5.3,3.7,4.9,5.2,5.55,4.7,4.32,,5.17,5.09,5.63,4.67,5.38,3.43,5.17,3.57,6.52,4.64,4.7,4.86,6,5.9,5.95,4.1,5.17,5.06,4.83,6.55,6.2,5.28,5.64,5.83,5.52,5.24,5,4.31,5.47,6.12,4.96,5.4,6.2,4.68,6.2,3.85,4.39,4.33,3.8,,3.78,,4.82,,5.05,,4.28,3.75,4.95,,4,,4.84,,5.02,,4.32,,4.56,,4.06,,7.96,,5.77,,4.61,,,,,,,5.2,5.3,4.95,,,,,4.57,4.08,4.6,5.35,4.75,,
283630076271001,Imlota,28.60833333,76.45277778,,,,,,,,,,1.34,1.15,,1.38,2.21,1.98,,,2.21,0.69,0.78,2.68,3,1.81,1.79,2.48,3.28,5.18,6.88,3.68,,2.08,4.33,4.26,3.17,3.43,3.26,3.43,2.74,2.39,3.2,2.39,3.22,2.7,2.64,2.96,3,2.53,2.42,2.68,2.76,1.61,1.65,2.4,2.38,1.28,1.5,1.56,3.39,1.59,1.96,3.06,3.22,2.34,1.66,1.6,2.54,2.5,,2.85,3.48,2.96,2.6,,3.84,,3.27,,,,3.01,,,,1.89,,2.59,,1.71,,2.75,,1.63,,2.41,,1.63,,2.7,,2.76,,,,,0.96,,1.08,2.1,3.28,,,,,0.85,2.52,1.98,3.03,3.36,,
283310075572001,Gopi,28.55277778,75.95555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.64,45.53,45.9,46.07,46.03,,48.02,46.2,46.7,47.8,48.51,47.88,48.08,49.65,47.3,49.25,49.98,50.85,50.33,50.77,51.24,52.1,52.75,53.15,53.2,54.36,,53.9,,,,55.4,,56.8,,57.15,,58.2,,58.17,,59.69,,59.91,,61.77,,,,63.52,,63.36,,,,,,,,,,,,,,72.65,,,,,,
283800075562001,Juikalan,28.63333333,75.93888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35,25.37,25.02,25.18,25.21,25.75,25.7,,,26.63,25.68,25.59,26.01,26.18,,26.57,26.78,27.42,27.58,27.02,27.39,27.75,27.81,26.8,27.21,,,,,,,,,,,,,29.27,,29.86,,,,,,,,,,,,32.62,,,,,,,,,,,,,,,,,,,,
283840076232001,Unn-DW,28.64444444,76.38888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,2.6,,,,,,,,,,1.97,,,,,,,,,,,,,,,,3.84,,,,,,
