station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
292645075330001,Badopal,29.44583333,75.55,,,,,,,,,1.03,1.38,1.11,1.06,0.08,1.28,5.88,0.72,0.7,1.11,1.43,0.66,0.52,,0.67,1.26,1.12,0.32,1.38,1.7,1.44,1.78,1.07,1.34,4.32,1.82,2.06,2.23,2.03,2.28,1.2,1.19,0.97,1.42,1.25,1.53,1.66,,,,1.62,1.89,,,1.29,1.63,1.22,,1.36,,,,,1.32,1.43,6.38,1.48,2.33,1.68,1.51,1.45,1.7,1.73,0.45,,4.8,,0.91,1.66,2.33,1.93,2.05,2.1,2.31,2.35,2.1,2.23,2,2.17,1.05,,1.43,0.93,1.18,,1.97,0.93,2.62,,4.64,4.68,4.7,4.81,4.69,4.31,4.86,3.38,,1.52,4.4,2.51,,,2.82,1.01,2,0.35,0.11,0.31,5.01,,
292230075204501,Bhattukalan,29.375,75.34583333,,,,,,,,,1.86,2,1.85,1.7,1.6,1.6,,1.07,0.8,1.26,0.66,0.2,0.36,0.55,1.05,1.39,1.43,1.7,1.36,1.8,1.75,2.12,1.6,2.07,2.14,2.15,2.47,2.4,2.41,2.9,2.23,2.17,2.76,2.14,2.78,3.21,3.23,3.51,4.69,2.1,3.06,2.9,4.25,3.15,2.75,2.45,2.72,4.35,2.93,,,,,2.1,3.61,2.75,2.95,3.26,0.97,0.74,1.01,1.42,0.73,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293200075421501,Bhuna,29.53333333,75.70416667,,,,,,,,,4.09,3.84,3.73,4.81,3.19,5.79,2.54,2.67,2.44,2.64,2.44,1.34,1.23,1.39,1.94,2.27,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,,,,,,,,,18.45,,,,,,,,,,,,,,17.9,,,,,,
292615075443001,Nahla,29.4375,75.74166667,,,,,,,,,7.2,7.11,6.93,6.79,6.71,6.66,6.51,6.41,,6.21,5.77,5.05,5.15,5.13,5.16,5.48,5.25,,5.49,5.71,5.39,6.12,5.52,5.6,6.66,5.81,6.03,6.29,5.83,6.56,5.72,5.95,5.82,5.91,6.12,5.87,6.29,6.33,5.84,6.04,6.25,6.36,6.44,6.11,6.09,6.72,6.4,6.56,6.14,7.86,6.66,6.11,5.89,6.94,5.41,6.41,6.61,7.33,6.82,7.01,6.93,7.54,7.04,6.56,,20,,8.33,7.76,8.52,6.61,8.16,,6.91,7.19,8.3,7.72,7.61,6.26,8.27,,7.78,5.71,7.13,,7.45,5.73,7.47,7.17,7.59,9.14,6.64,,5.31,6.4,1.16,,,,,,,5.51,,4.61,3.91,3.43,3.21,3.41,,,
294115075344001,Ratia,29.6875,75.57777778,,,,,,,,,8.85,9.29,8.99,8.67,9.56,9.89,10.04,10.35,10.26,10.82,11.19,10.83,11.03,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,
291815075250001,Sadalpur,29.30416667,75.41666667,,,,,,,,,5.88,6.03,5.83,5.72,2.6,5.63,1.66,5.38,5.25,5.21,5.33,4.85,4.76,4.88,5.03,4.43,,5.23,5.33,5.63,5.23,4.72,4.79,4.41,5.68,5.86,5.92,6.15,6.05,6.24,4.51,5.15,5.38,5.51,5.77,6.15,6.38,6.39,5.87,6.32,6.22,5.78,5.93,6.33,6.49,6.61,6.43,6.28,6.6,6.93,5.31,5.78,5.98,6.25,9.26,6.78,7.93,8.45,7.9,8.77,8.23,6.81,7.52,7.23,,,,6.88,7.23,7.06,,6.95,,6.38,8.23,6.93,6.93,7.23,,6.33,,6.08,6.23,6.01,,6.01,,5.41,5.72,5.75,6.09,5.52,5.65,5.97,5.68,4.73,5.91,,4.73,4.83,5.23,,4.2,1.79,3.94,,,,,,,
293710075561501,Samain,29.61944444,75.9375,,,,,,,,,1.58,2.52,2.69,2.27,2.24,2.94,1.04,1.37,1.29,2.84,1.64,0.6,0.39,,2.19,,2.46,2.59,2.78,3.16,3.33,4.64,3.6,3.63,3.88,4.02,4.49,3.77,3.44,4.95,3.43,3.38,3.14,4,3.44,3.71,7.66,4.54,3.16,2.91,7.34,3.21,6.84,2.79,2.74,3.41,1.76,1.64,2.3,3.84,,3.34,,2.85,3.04,2.94,2.94,2.46,2.94,2.73,2.69,2.8,2.62,3.64,,3.14,,2.68,2.96,5.04,1.95,2.17,,4.18,2.64,2.54,,2.64,,2.79,,4.13,,3.16,,3.99,,4,3.81,4.95,7.4,4.54,4.46,4.58,3.9,3.27,3.15,,2.44,2.94,2.79,,7.22,,1.5,3.74,1.69,3.64,2.69,3.83,,
294215075534501,Tohana,29.70416667,75.89583333,,,,,,,,,5.56,5.98,5.88,5.88,5.98,5.93,5.18,5.17,5.07,,5.9,4.78,4.73,4.08,5.58,5.98,5.83,6.22,6.9,7.03,6.03,6.93,6.34,6.94,6.88,7.38,8.54,8.23,7.88,9.01,6.81,8.88,8.42,9.28,10.21,10.15,9.95,10.57,10.98,10.45,10.27,10.54,11.58,,10.94,11.16,12.13,,11.98,12.43,,,12.53,13.66,13.49,13.88,13.58,14.29,14.29,15.04,14.78,15.3,15.03,15.18,,11.4,,16.3,16.67,16.67,15.68,17.45,17.38,17.23,,18.29,17.38,18.4,18.58,18.86,,19.06,20.6,19.58,,19.88,20.28,21.45,20.38,,,22.35,,,,,,,22.35,,,,,,,18.5,,,18.4,18.9,,
293015075384501,Jandli Kalan,29.50416667,75.64583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,3.92,3.69,3.75,3.94,4.06,3.75,3.7,3.99,3.99,4.12,4.2,4.32,4.55,3.9,3.9,4.75,4.41,4.57,4.45,3.85,5.09,4.8,5.02,5.11,,5.51,3.5,,3.95,,3.96,,4.12,,3.01,,3.98,,4.6,,4.71,,4.84,,5.07,,5.16,,5.33,,5.4,5.5,5.7,5.84,5.87,5.9,6.09,6.1,6.13,6.13,,5.28,5.3,5.32,,6.41,4.94,4.84,7.84,4.55,4.02,5.1,3.81,,
293628075323001,Aharwan M,29.60777778,75.54166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,53.59,,55.05,,53,,,,49.1,,59.46,,,,61.7,,61.94,,66.06,,64.24,,69.85,,65.35,76.28,,79.1,,73.1,104,71.2,,70.73,69.35,72.45,70,78.02,,,,,
