station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
290800075530001,Alipur,29.13333333,75.88333333,,,,,,,,,2.98,3.87,3.57,3.47,3.42,3.92,1.72,2.69,2.5,2.7,3.27,1.98,1.94,,2.24,2.38,2.73,3.34,3.8,4.16,4.25,4.87,4.36,4.81,,,,,,,,,,,5.97,5.12,,,,,,,,,,,,,,,,,,,,,,6.13,,5.58,5.17,8.33,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.4,6.45,6.8,7.35,,,,,,,,,,,,,9,,,,,
290430075293001,Balsamand,29.075,75.49166667,,,,,,,,,15.17,16.35,14.87,15.72,19.09,16.41,,14.93,14.37,14.94,14.6,14.24,,14.73,15.45,10.46,13.85,13.55,13.49,14.22,13.73,14.97,13.62,14.42,13.31,13.57,13.5,14.88,16.75,13.9,13.3,13.42,13.5,14.03,13.8,13.71,13.89,14.17,14.62,15.23,14.5,13.79,13.4,13.65,13.77,13.76,13.53,13.4,14.31,14.71,13.35,14.1,13.77,14.25,14.49,14.65,15.35,14.88,14.53,13.63,13.83,14.69,14.11,13.85,,,,14.46,,14.7,,14.05,,13.25,12.85,14.6,,14.4,,14.26,,13.52,,14.32,,14.55,,14.59,14.73,14.37,14.14,13.79,14.38,,,16.9,14.19,,,14.85,14.4,,17.49,13.02,13.31,13.95,13.64,12.86,12.9,12.55,,
292215075551501,Barwala1,29.37083333,75.92083333,,,,,,,,,11.54,11.26,11.16,11.51,11.16,11.79,11.56,11.5,12.36,11.99,11.71,11.07,10.86,11.03,11.46,,11.19,11.28,11.42,11.47,11.29,,,11.7,,11.56,,,,,,,,,11.01,10.92,,,,,,,,,,,,,,,,,,,,,,10.38,10.26,10.04,9.8,10.25,,,,,,8.48,8.74,11.81,10.49,11.97,,,12.86,12.91,,,,,,,,,,13.8,,13.36,14.21,14.15,14.97,,,,,,,,8.89,,,,,6.5,6.19,,10.31,,,,,
290630076120001,Bas,29.10833333,76.2,,,,,,,,,1.23,0.67,0.57,0.02,4.8,0.22,11.22,0.97,0.78,0.34,0.03,2.33,1.09,0.37,0.27,0.07,0.1,0.72,,,0.38,0.42,,,1.25,,0.45,0.01,,0.48,,0.35,0.54,1.35,,1.33,0.55,0.38,,,0.03,2.38,,0.05,0.49,0.26,0.72,,,1.25,,,,,1.62,0.01,0.65,1.8,0.1,0.41,0.34,1.53,1.02,0.43,,,,0.3,,1.15,,0.57,,1.4,,1.35,,1.35,1.34,1.25,,,1.29,,,,1.29,1.93,,4.04,,1.98,2.1,1.89,2.18,1.34,1.25,,,19.3,,,,,,3.72,,,,,,
291300075313001,Basra,29.21666667,75.525,,,,,,,,,19.85,19.9,19.4,20.07,16.63,21.05,17,20.1,21.35,21.2,20.9,20.76,20.69,,19.15,20.53,20.58,18.85,20.19,19.2,19.17,20.72,20.08,19.57,18.98,20.96,15.84,18.9,18.9,18.23,18.81,18.7,19,18.72,18.79,18.75,18.27,19.02,18.7,18.77,18.77,18.75,19.1,18.5,18.65,18.5,18.49,18.7,18.56,18.48,18.35,18.33,19.45,18.4,18.3,18.6,18.4,18.54,18.26,14.94,18.32,19.25,18.3,18.3,,,,18.33,,18.48,19.1,19.34,19.29,18.26,,19.25,17.26,18.1,17.56,17.9,,17.88,17,17.66,,,16.44,17.96,17.98,18.07,,18.1,17.87,18.15,18.04,18.5,18.65,,17,17.65,17.55,,17.59,16.8,17.05,17.65,17.03,6.05,16.9,16.93,,
291230075551501,Chanaut,29.20833333,75.92083333,,,,,,,,,7.06,7.56,7.22,7.11,3.66,7.01,,6.31,6.16,6.34,6.31,5.67,5.18,5.3,5.36,,5.65,5.61,6.18,6.35,5.52,,,6.71,,7.11,,,,,,,,,6.49,6.08,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.53,5.29,5.09,5.18,,,,5.03,4.97,5.27,4.61,5.71,5.02,4.59,,5.8,5.44,4.61,,4.31,,5.13,,3.84,,3.83,,3.58,3.54,2.7,3.26,,3.11,4.03,4.01,3.51,4.35,,,,,,14.35,3.62,2.38,2.6,1.25,,2.21,2.01,,
290030075360001,Chawdhariwas,29.00833333,75.6,,,,,,,,,14.63,14.26,14.04,13.37,13.33,13.26,14.18,12.58,12.48,12.37,12.31,11.65,11.65,14.21,10.68,10.65,10.63,10.93,11.76,11.91,11.83,11.64,10.43,10.84,10.94,11.56,,11.98,11.81,12.33,11.31,11.43,11.77,12.23,12.09,11.96,12.21,11.85,11.4,11.29,11.19,10.91,10.53,10.98,10.87,10.94,10.25,10.53,10.65,11.08,10.03,9.95,10.13,10.13,10.58,10.73,10.83,11.3,10.41,9.93,10.42,11.2,10.07,12.02,,,,9.31,9.23,9.19,8.83,8.8,8.79,8.88,8.93,8.98,9.43,9.73,8.83,9.37,,9.3,8.83,9.19,9.13,,9.03,9.5,8.14,9.87,9.51,9.3,8.95,9.37,9.38,9.03,9.53,,7.42,8.88,9.78,,12.95,8.9,9.99,10.57,8.48,8.88,8.68,8.7,,
290430076023001,Dhamundicross,29.075,76.04166667,,,,,,,,,2.18,4.1,3.8,2.2,2.98,3.92,1.5,1.33,1.65,2.15,1.45,1.18,1.4,2.54,1.68,2.16,2.82,3.8,2.47,3.09,5.56,,2.82,4.08,6.6,5.8,5.38,7.9,7.77,8.47,2.35,2.8,4.06,5.42,1.8,1.7,4.52,5.25,2.82,2.92,4.36,4.8,,5,,6.83,3.27,4.6,6.4,6.1,,1.2,2.1,4.21,7.19,6.2,6.8,,4.2,,3.08,2.59,2.38,1.64,1.57,,,5.03,5.03,6.87,3.55,4.83,4.6,3.9,3.65,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,
291300075474501,Dhansu,29.21666667,75.79583333,,,,,,,,,11.22,10.92,10.71,10.6,10.61,10.08,10.76,9.54,9.45,9.41,9.21,8.9,8.71,8.53,8.41,,8.41,7.96,8.04,8.31,8.29,8.51,8.18,8.07,8.14,8.36,8.35,8.26,8.29,8.51,6.65,7.59,7.41,7.49,7.47,7.39,7.46,7.51,7.14,6.93,6.91,6.84,6.81,6.76,6.79,7.62,6.49,6.41,6.35,6.61,6.11,5.91,5.96,5.94,5.98,6.11,5.21,6.14,5.94,5.69,5.61,5.62,7.07,5.31,,,,5.23,7.34,5.25,4.71,4.6,4.67,4.58,4.69,4.79,,4.65,,4.47,,4.72,4.31,4.31,,4.76,3.81,3.9,3.92,4.15,3.36,3.19,3.51,3.49,3.57,3.29,4.16,,3.11,2.76,3.16,,5.36,2.68,2.89,4.1,,2.41,2.46,,,
291420075384501,Durjanpur,29.23888889,75.64583333,,,,,,,,,8.57,8.41,8.11,8.29,9.53,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
