station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
284020076255001,Bagoa,28.67222222,76.43055556,,,,,,,,,4.35,5,1.22,1.31,3.5,1.45,1.1,,,5.6,4.7,4.4,4.45,5.7,4.73,2.26,5.28,2.7,4.6,2.65,2.45,,5,4.06,4.3,5.9,5.81,5.89,6,6.22,4.77,5.42,5.53,5.78,5.65,4.46,6.6,5.79,5.33,5.15,5.1,6.18,4.79,5.03,5.18,5.33,4.92,5.33,3.47,5.32,3.79,4.1,4.5,5.43,4.47,3.07,3.53,1.38,0.85,0.14,0.26,2.85,1.92,0.61,,1.21,,2.5,,4.83,,0.2,1.5,3.38,2.15,3.35,2.9,3.39,,2.37,,2.88,,1.7,,2.33,,2.74,1.7,,1.88,1.42,1.45,1.96,1.8,1.46,,,,0.63,1.57,,2.4,,1.35,1.92,1.47,1.7,1.75,,2.83,
284240076345501,Beri,28.71111111,76.58194444,,,,,,,,,2.03,2.88,2.63,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,1.26,,,,,,,,,,,,,,1,,,,,,
284145076380001,Chamanpura,28.69583333,76.63333333,,,,,,,,,2.15,3.15,3.06,2.05,2.05,2.78,1.78,2.29,2.1,3.11,2.78,1.95,1.62,3.09,3.1,3.43,3.75,4.15,2.6,4,4.05,5.62,4.25,4.75,5.78,5.78,5.37,4.42,4.43,5.21,2.6,2.79,2.52,3.33,2.27,2.7,3.35,2.75,0.57,0.79,1.1,2.12,0.91,1.23,2.08,2.48,1.46,1.51,1.72,2.39,0.45,0.65,1.17,,2.27,1.34,1.84,3.26,0.41,1.08,1.26,2.43,0.51,1.15,2.35,3.25,,,,2.1,1.65,0.25,,2.35,4.27,2.69,3.6,2.82,3.2,2.04,,2.85,0.9,1.29,2.25,2.77,0.85,,,2.6,,,,,,,,,,9,,,,,2,2,,1,,,,
283600076303001,Chuchakwas,28.6,76.50833333,,,,,,,,,3.71,4.01,3.18,2.3,3.16,,,,,4.27,5.87,5.51,6.01,5.51,6,,6.52,6.76,6.83,6.92,7.07,,5.28,,,,,,,,,,4.94,5.31,5.16,5.22,5.51,5.49,4.97,4.78,4.85,5.15,4.94,5.01,5.28,5.17,4.96,5.12,5.11,5.31,4.68,5.01,4.49,4.91,4.88,3.52,3.64,4.15,2.95,2.2,2.47,5.05,2.56,2.1,,3.88,,3.48,2.81,4.98,5.56,5.44,5.71,4.24,6.06,4.16,4.26,4.37,4.06,4.26,,4.64,3.46,3.46,3.71,4.14,3.26,3.66,,4.16,3.74,3.36,3.62,4.01,3.56,3.73,,,2.86,3.21,3.46,,,,2.31,3.2,1.71,2.56,1.91,,,
284545076375001,Dighal,28.7625,76.63055556,,,,,,,,,1.68,3.12,2.47,2.29,1.97,2.99,2.75,2.53,29.28,3.1,2.94,1.57,1.82,3,3.09,3.49,3.42,3.62,2.97,3.17,2.59,3.6,2.77,3.36,3.39,4.5,4.17,3.28,3.07,3.61,1.08,1.67,1.78,3.05,1.77,2.26,2.67,2.73,1.7,1.03,1.42,2.52,1.72,1.87,2.02,2.27,1.58,1.93,1.44,1.81,0.72,1.22,1.33,2.37,1.73,1.59,1.8,2.76,0.48,0.92,1.14,2.1,1.58,0.81,2.36,2.97,,1.53,,2.09,1.72,1.03,,1.88,1.77,3.25,1.77,,,1.6,,,,,,,,,,2.25,,,,,,,,,,,,,,,,1.99,,,,,,
284200076294001,Dubhaldhan,28.7,76.49444444,,,,,,,,,5.17,5.75,3.55,3.07,4.67,,4.52,,,4.98,3.29,3.85,4.6,5.08,5.12,,5.07,4.3,4.4,3.9,6.05,6.29,6.15,6.42,5.02,6.53,6.68,6.73,6.72,6.79,6.07,5.93,5.89,6.17,6.35,6.26,6.55,6.15,5.7,5.2,5.67,5.96,5.9,6,6.08,6.07,4.75,5.99,3.02,6.14,5.53,5.89,5.4,5.85,5.7,4.79,4.89,5.57,4.1,4.2,4.42,4.25,,4.18,,4.45,,4.2,,5.88,,2.75,,5.54,,4.63,,5.4,,4.52,,4.9,,4.37,,4.77,,4.55,4.72,4.85,4.36,3.79,3.85,4.11,4.75,2.15,,,3.07,2.61,3.85,,4.65,,3.05,2.23,2.7,,2.6,,1.61,
283230076364501,Hasanpur,28.54166667,76.6125,,,,,,,,,11.47,,5.3,4.12,6.35,,5.52,,,,4.78,4.45,5.05,5.85,5.7,5.85,6.1,6.85,6.2,6.75,7.05,7.45,7.17,6.91,7.46,7.96,8.34,8.39,8.51,8.87,7.92,7.7,7.78,8.26,8.38,8.23,8.68,,,,,,8.61,,8.88,9.03,8.68,,9.08,,,,,9.14,,7.56,7.44,7.12,7.09,7.05,6.85,6.98,6.43,,,,7.75,,,,,,,,,5.84,,5.63,,9.16,,,,,,,,,,5.28,,4.83,,,,,,,,,,,,,,,,,,,,
283700076392001,Jhajjar,28.61666667,76.65555556,,,,,,,,,5.36,5.95,5.15,4.4,4.1,5.62,4.78,,,5.61,4.59,4.4,4.45,5,4.58,,5,5.55,3.9,4.9,4.95,5,4.88,5.13,4.98,5.05,3.39,3.7,3.91,4.8,2.79,3,3.57,4.12,4.1,4.25,4.3,4.49,3.29,2.35,1.4,2.29,4.46,4.95,4.56,3.97,3.82,,1.58,4.17,2.75,2.5,2.97,4.16,5.08,2.44,3.78,4.23,0.43,2.63,3.12,1.63,2.14,2.07,,,1.98,1.33,2.16,3.42,,2,,3.86,3.18,3.95,4.11,2.94,1.12,2.15,,2.88,,2.58,,,,,,,1.73,1.5,1.75,1.62,,2.55,,,1.25,1.83,1.64,,1.38,,0.63,5,1.24,,1.01,,1.4,
283645076391501,Jhajjar1,28.6125,76.65416667,,,,,,,,,3.39,4.42,3.94,2.65,3.1,4.05,3.35,,1.42,3.7,3.25,2.6,,,3.46,3.67,,,3.5,,4,4.34,3.25,3.92,,3.64,4.33,3.41,4.34,,1.67,2.1,2.96,3.64,,3.63,,4.05,1.55,2.23,2.4,3.26,2.59,3.02,2.99,3.04,2.29,,1.83,1.54,0.55,1.35,1.13,3.09,2.13,3.77,1.47,2.12,3.64,0.72,1.49,1.63,1.38,0.33,1.61,3.5,,1.75,3.06,3.15,,2.9,,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,2.3,,,,
283245076284501,Mudsa,28.54583333,76.47916667,,,,,,,,,1.84,2.3,1.7,,1.8,3.47,3.19,,,,1.48,1.72,1.82,2.57,1.6,2.02,1.95,2.65,0.9,3.2,1.7,2.54,1.35,0.96,1.17,1.65,1.67,,0.92,1.56,0.15,0.83,0.79,1.45,0.09,0.46,1.19,,0.29,0.44,,5.43,0.6,5.49,5.54,1.52,1.44,0.88,0.97,1.51,1.04,0.9,,1.14,0.9,0.54,0.48,1.15,0.01,0.1,0.31,1.89,0.6,0.21,,1.1,,0.54,,1.18,,1.6,,1.37,,0.55,,1.02,,0.55,,1.41,,0.5,,1.14,,0.39,,2.15,0.87,4.14,1.3,2,1.85,1.32,,,1,2.07,1.24,,1.23,,1.1,1.64,0.35,1.75,3.75,,1.14,
282715076283002,Salawas,28.45416667,76.475,,,,,,,,,5.14,6.05,5.01,4.79,4.9,5.7,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,3.52,,0.24,2.09,,2.98,,,,,,,,,,,,,,,,4.25,,,,,,3.69,,,,3.86,,,,,3.76,,3.96,3.88,,,3.46,3.45,,,4.44,,1.06,3.01,,,2.59,,,
282810076342001,Subnah,28.46944444,76.57222222,,,,,,,,,2.04,,0.42,,0.55,1.52,0.57,2.73,,2.02,,2.7,1.35,1.71,1.43,1.93,2.21,2.4,1.85,2.4,2.85,2.96,2.2,2.28,2.58,2.4,2.44,2.47,2.75,2.49,0.43,0.94,1.33,1.99,1.04,1.09,1.74,,0.16,,,,0.2,,0.91,1.31,1.14,0.14,0.69,1.08,0.97,,,0.84,0.56,,,1.15,0.17,0.1,0.1,1.17,0.89,0.31,,,1.41,,1.04,,,1,,,6.42,0.56,7.01,2.44,,1.11,,2.27,,0.18,,2.14,6.91,1.54,,2.14,1.08,0.04,1.09,1.74,1.19,1.44,,,1.09,1.09,1.79,,2.63,,1.29,1.84,0.95,0.69,0.91,,0.94,
284100076342001,Wazirpur,28.68333333,76.57222222,,,,,,,,,1.3,3.4,0.96,1.18,2.38,3.42,2.75,2.72,2.53,3.46,3.59,,1.59,3.73,2.38,3.56,3.72,3.6,1.1,3.5,2.95,4.26,3.7,2.53,2.9,3.08,3.08,2.7,2.59,2.7,0.17,0.39,1.06,1.82,0.43,0.97,1.37,1.4,0.32,0.25,2.52,1.51,2.26,2.34,2.32,2.61,1.18,0.93,1.35,1.54,0.65,0.9,1.52,2.2,2.4,1.22,,2.33,0.24,1.12,1.34,2.23,1.5,1.21,,4.82,,1.24,,2.1,,0.99,,1.84,,1.7,,1.73,,1.26,,1.98,,1.35,,2.01,,1.5,1.56,2,,1,,,,,,,,,,,,,,,,,,,,
284010076281501,Majra Deswal,28.66944444,76.47083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,2.55,2.85,3.43,3.49,3.5,3.43,5.78,3.36,,4.4,,5.4,2.47,,1,,,,,,,,,,,,,6.09,,2.12,,,,,,,,,,,,0.73,,1.55,,0.44,,2.11,,0.37,,,,,,,,3,0.96,,,,,2.7,,,,,,
282715076283001,Salhawas,28.45416667,76.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,3.67,3.7,,4.34,,4.68,,,,4.06,,,3.86,4.16,4.11,3.62,,,,,,,,,,,,,,,,,,,2.16,
282710076231301,Goria-DW,28.45277778,76.38694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.39,,2.58,,,,,,,,,,3.1,,2.19,,,,,,,,,,,,,,2.15,,,,,,
283614076222001,Kaliawas- DW,28.60388889,76.37222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,3.13,,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,1.9,,,,,,
283712076413501,Kamalgarh-DW,28.62,76.69305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,5.46,,5.52,,,,,,,,,,5.88,,4.37,,,,,,,,,,,,,,4.8,,,,,,
283939076433901,Kheri Asra DW,28.66083333,76.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.28,,5.16,,,,,,,,,,5.03,,4.44,,,,,,,,,,,,,,4,,,,,,
284405076562801,Lakeria- DW,28.73472222,76.94111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.38,,0.9,,,,,,,,,,2.84,,0.43,,,,,,,,,,,,,,3.3,,,,,,
283412076503201,Matanhail-Pz,28.57,76.84222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,2.37,,2.28,,,,,,,,,,1.89,,1.46,,,,,,,,,,,,,,1.6,,,,,,
