station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
292815076271501,Alewa,29.47083333,76.45416667,,,,,,,,,11.68,12.2,,,11.78,4.33,,12.24,11.8,12.3,12.75,12.15,12.19,12.92,12.82,13.65,13.15,13.5,13.95,14.58,14.56,14.68,,15.79,10.5,,18.6,19.25,17.74,18.65,20.6,20.95,19.53,20.3,21.45,21.52,20.75,20.3,21.33,22.03,21.29,21.35,22.1,23.25,23.25,23,24.1,24.85,24.21,24.5,25.1,24.75,23.95,24.44,25.26,27.55,26.35,26.27,28.06,28.75,28,27.06,27.9,26.55,,26.3,,31.43,30.85,31.95,31.6,,,,,,,36,,,,,,,41.6,,,,,42.6,,44.05,,,,,39.05,,,,,,42.42,,,43,41.3,41.57,,,,
291715076202002,Atikrishna1(s),29.2875,76.33888889,,,,,,,,,14.7,9.21,,,10.01,10.8,16.75,10.5,10.65,,11.14,8.8,,,,9.5,,,,,9.98,11.55,,12.18,,12.58,14.02,13.68,12.84,13.5,14.78,13.98,13.7,14.13,16.12,14.18,14.45,15.52,16.88,,13.56,15.18,,16.18,16.2,17.26,19.62,18.18,16.68,17.23,19.58,17.33,16.38,19.84,22.05,19.58,17.78,19.4,,,,19.23,,,19.06,,,22.68,,21.4,,,,21.15,,24.78,,,,,,24.48,,,,24.33,,,,25.03,26.98,27.26,,24.68,,,,,26.43,27.73,26.38,,,,,,,20.18,,,,
290800076243001,Brahmanwas,29.13333333,76.40833333,,,,,,,,,10.62,7.15,6.89,7.15,7.56,7.75,7.2,7.39,7.35,7.57,7.82,,7.55,8.15,8.51,8.45,8.55,8.41,8.35,8.85,8.25,8.65,8.27,,8.65,9.46,9.27,,9.35,9.52,8.85,9.3,9.37,9.17,9.06,8.41,9.23,9.5,8.54,8.66,8.61,9.08,8.55,9.77,9.25,8.45,8.71,8.25,8.9,9.5,8.5,8.38,8.45,8.57,8.36,2.05,,9.16,8.38,8.48,8.68,9.6,8.67,8.5,,11.37,,9.4,10.09,9.99,9.7,9.3,,9.69,,8,,9.17,8.59,8.61,,9.4,8.15,8.35,,8.92,,8.43,6.75,,8.04,7.71,7.78,7.91,7.4,7.23,7.15,,6.25,6.17,6.35,,7.02,,1,2.65,0.67,1.45,,,0.71,
291600076273001,Chhabri,29.26666667,76.45833333,,,,,,,,,2.36,2.16,2.71,1.46,1.41,4.07,2.09,1.26,1.6,3.14,0.7,0.78,0.81,1.53,,3.38,3.88,4.9,2.18,2.18,2.56,4.46,1.35,4.07,4.28,4.79,3.87,3.73,4.3,5.68,4.36,3.93,3.8,4.86,3.61,4.28,4.69,5,4.84,0.82,1.99,4.6,2.83,4.55,4.3,4.31,1.58,2.28,3.12,3.48,0.83,1.23,2.35,4.26,,4.03,,5.29,3.64,2.05,2.64,3.62,2.24,1.19,3.47,,,5.11,,7.12,4.53,5.02,,4.07,4.58,4.03,4.5,4.86,,4.23,,5.43,2.93,3.53,2.94,4.58,1.07,2.13,2.93,4.91,3.01,2.01,2.5,5.11,2.63,3.33,3.26,,1.46,1.88,3.73,,2.46,,1.73,4.08,3.91,1.42,,,0.53,
293120076091001,Ghaso,29.52222222,76.15277778,,,,,,,,,9.78,6.97,6.94,6.28,6.79,7.52,6.04,5.68,6.07,6.17,6.56,4.02,4.48,6.77,6.26,4.97,5.37,5.57,5.47,5.57,6.04,6.72,5.69,6.35,6.22,8.97,8.92,8.07,7.94,8.93,7.67,6.37,6.77,8.27,9.19,8.86,9.27,9.03,8.57,7.91,8.34,8.79,9.27,9.37,9.64,9.4,10.85,10.92,11.53,11.32,12.97,12.72,11.92,12.62,15.01,14.97,14.07,14.31,15.21,14.63,13.67,13.23,15.94,14.39,,14.01,,15.66,,14.37,,9.72,,14.07,,7.47,,17,,,,,,,,,,,,14.95,,15.65,,6.23,,,,,14.8,16.2,15.17,,16.16,,14.5,14.2,13.9,11.98,,,,
292230076163001,Jhanj Kalan,29.375,76.275,,,,,,,,,8.95,8.52,9.72,,7.57,9.87,3.7,8.54,7.95,8.14,,2,,,,7.4,7.8,8.17,7.8,8.01,8.71,8.82,8.88,9,8.3,9.48,10.1,9.6,9.85,10.4,10.56,10.1,10.18,10.85,10.6,10.34,10.64,10.82,9.94,9.78,9.82,10.08,,,10.4,10.6,10.62,,11.89,,,,,11.59,12.2,12.3,12.4,13.04,12.52,11.78,12.34,12.89,12.1,12.1,14.1,12.27,,13.35,,,,,,,,,,16.29,,16.45,,,,,18.15,,,,,,,,,,,,,,,,,,,,,19.67,,,,,,
292855076170001,Kachhana,29.48194444,76.28333333,,,,,,,,,15.28,9.06,9.18,9.39,9.48,15.26,10.85,0.65,10.71,11.11,11.24,,10.39,,,3.44,3.24,,11.71,,,12.01,12.17,12.31,12.66,14.26,13.53,13.71,14.16,14.31,15.16,13.84,14.21,15.26,14.75,14.69,15.29,14.65,14.01,14.09,14.59,14.75,14.21,,15.3,15.3,14.94,,16.53,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294220075582001,Kalwan,29.70555556,75.97222222,,,,,,,,,11.67,12.58,,10.6,11.95,,5.43,12.45,12.1,12.14,12.78,6.6,13.12,12.7,12.9,13.5,12.55,13.1,14.1,14.02,14.06,13.95,14.83,14.98,14.72,15.48,16.53,,16.27,16.6,17.3,17.5,17.05,17.5,18.15,18.42,17.98,17.7,18.5,18.57,18.21,17.85,18.9,,18.93,18.68,19.56,19.65,20,19.65,22.85,22.65,22.7,19.82,20.9,,,,,,,,,,,25.9,,,,,,,,,,,,22.58,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,3.8,,,,,,
292420076144501,Khatkaran,29.40555556,76.24583333,,,,,,,,,14.22,10.13,9.88,10.11,10.1,11.51,8.87,,9.65,10.2,9.64,10.25,8.85,9.55,9.6,9.55,9.95,10.55,10.2,10.31,10.56,10.89,10.54,10.84,11.07,11.93,11.95,11.95,11.73,11.67,11.32,11.3,11.32,11.75,12.07,12.14,12.32,11.88,10.45,10.23,10.55,10.82,10.55,10.75,11.1,11.17,10.86,10.7,10.97,11.28,11.45,11,10.7,11.1,11.75,7.05,11.85,12.23,12.13,11.56,11.56,12.97,12.59,11.3,,,,14.22,,13.84,13.65,13.64,,13.38,,12.3,,13.84,,14.52,,15.15,,,16.7,,,,,17,,,,,,,,,16.6,,,,,,16.2,16.55,15.2,13.89,,,16.8,
294345076023001,Korar,29.72916667,76.04166667,,,,,,,,,3.66,,2.92,10.41,2.18,4.78,2.71,,2.91,3.34,,2.46,,2.91,3.07,3.16,2.51,3.97,2.81,2.39,2.12,4.43,4.04,3.19,4.24,5.46,6.69,4.16,5.16,6.68,5.06,3.76,4.16,5.38,5.38,4.58,5.14,5.64,5.31,5.03,4.69,,7.01,6.61,6.86,7.62,6.72,8.06,7.76,8.71,8.71,6.46,6.37,8.27,11.49,11.06,10.16,11.07,,10.63,9.2,9.66,11.87,10.71,,10.34,,12.38,,11.94,16.16,12.46,,11.76,,10.41,10.76,12.97,,15.48,,15.26,,17.26,,13.26,,17.23,14.56,16.56,18.42,16.71,,12.86,13.51,13.04,,,18.16,18.68,16.42,,,,,13.61,,,,,,
294030076024501,Lawan,29.675,76.04583333,,,,,,,,,2.34,3.2,1.78,10.2,1.73,2.05,7.05,0.6,1.4,1.6,,0.3,,1.37,2.55,3.1,2.8,2.43,3.6,3.28,3.02,3.88,4.88,4.96,5.2,4.65,6.42,6.2,5.76,7.68,7.45,6.37,6.37,6.61,6.63,6.48,6.9,6.92,6.68,6.04,,7.45,,,7.58,7.37,9.08,,8.4,,,,,7.71,9.77,,,,10.14,8.39,7.4,9.23,10,8.7,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292010076291501,Pillukhera,29.33611111,76.4875,,,,,,,,,6.51,,3.4,2.6,2.32,5.78,1.85,1.78,2,3.15,,1.73,1.31,3.7,,,,,,,,5.16,,,,5.7,6.35,,5.7,6.28,6.33,5.07,5.02,5.6,5.61,5.23,5.25,5.57,4.23,3.42,3.78,5.18,5.45,5.8,5.92,5.73,5.05,5.1,5.18,5.75,3.05,2.65,3.3,4.86,5.67,5.3,5.7,6.11,5.83,4,4.11,4.81,5.18,3.76,4.6,,,5.99,,6.18,6.25,5.91,,6.1,,5.6,,6.3,6.3,6.52,,,6.9,,6.4,,,6.5,5.73,6.88,,5.8,5.91,,,,,,,15,,,,,,4.98,6.75,6.31,,,5.55,
292400076390001,Safidon,29.4,76.65,,,,,,,,,4.51,6.02,,5.37,5.02,,,4.05,,4.97,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
292800076110001,Uchana,29.46666667,76.18333333,,,,,,,,,24.29,12.27,12.12,12.68,13.89,,17.22,,15.22,18.42,,15.12,13.73,13.02,,11.82,11.62,14.67,12.92,15.44,17.52,12.72,20.13,19.65,20.72,19.82,18.14,,,18.29,22.72,17.6,16.17,22.07,16.54,18.76,22.92,18.36,15.8,17.12,,18.86,21.72,,15.58,15.63,,17.27,15.17,15.17,18.02,16.97,15.72,19.11,15.18,17.52,15.5,18.07,16.77,16.52,14.2,15.4,17.68,17.1,18.8,17.67,,18.59,,18.2,18.7,18.18,19.52,18.67,,,19.62,18.92,19.02,18.78,,19.82,19.42,19.42,19.2,19.44,,19.62,19.44,20.07,,19.7,20.08,23.05,20.92,23.44,20.54,,20.84,21.57,20.81,,23.32,,19.52,20.3,19,19.4,,,,
290820076202001,Jhamula,29.13888889,76.33888889,,,,,,,,,,2.34,2.61,,3.25,10.92,6.15,3.89,4.12,4.18,4.33,0.77,3.12,,,4.22,4.52,4.93,4.32,4.07,4.14,4.69,,4.15,5.32,4.81,5.07,5.82,5.07,5.43,5.12,4.92,5.12,5.4,5.29,5.22,5.43,,,,5.45,5.79,5.72,5.98,6.06,5.71,5.66,5.77,5.99,6.32,6.32,5.03,5.87,5.88,6.72,5.27,5.42,6.72,7.26,7.09,6.88,6.88,6.47,1.27,,5.88,,6.49,6.52,6.36,5.72,5.32,,4.6,,4.27,4.77,4.38,5.2,4.12,,4.92,,4.22,,4.17,4.79,2.55,4.31,3.92,3.6,2.1,2.57,3.88,3.72,3.55,3.18,,2.32,1.52,2.96,,4.01,,1.83,3.32,3.17,2.2,,,,
292415076392002,Safidon 1(s),29.40416667,76.65555556,,,,,,,,,,6.05,6.95,,,7.93,,5.7,4.5,,5.1,4.5,,,6.15,7.34,,,7.35,,6.68,7.19,,,,,,,,9.02,9.39,9.64,8.66,9.35,9.86,9.39,8.91,9.25,10.2,9.39,9.26,9.86,,11.66,10.97,10.83,11.76,,12.73,,,,,,,12.4,,,,11.16,10.48,10.86,11.97,,12.4,12.85,,13.47,,13.05,,21.39,,15,,15.58,,14.26,,16.45,,,17.8,,18.07,17.4,,,,,,,,17.02,21.3,,,,,74,,,,,,,,21.1,,,21.51,
292620076112001,Baroda,29.43888889,76.18888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02,,16.6,,16.34,,16.56,,16.35,14.1,14.9,,17.6,,17.87,,19.97,15.1,18.25,,18.37,17.99,19,18.76,18.68,18.39,18.51,20.05,20.25,18.96,,18.4,19.6,19,,20.79,,17.05,17.4,18.38,17.59,,,,
292517076440301,Bhuslana-Pz,29.42138889,76.73416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23,,15.19,,16.7,,14.93,,16.65,14.4,15.69,,17.11,,16.11,,17.79,18.65,17.42,,18.52,,18.26,21.12,19.32,18.38,18.7,22.3,22.4,20.64,,22.7,23.85,21.3,,23.52,,21.1,19.6,23.2,23.73,,,,
294845076090001,Dhandauli Pz,29.8125,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.32,,38.38,,46.15,,13.43,,46.85,,,,,,43.35,,,46.4,,,,,,,,,40.61,49.59,,,,50.45,51.4,50.31,,,,51.2,50.27,51.3,52.59,,,50,
293107076285501,Dorana Pz,29.51861111,76.48194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97,,21.3,,25.75,,21.94,,22.75,,24.96,,,,25.76,,,30.05,26.6,,30.13,34.03,27.35,29.35,30.75,,26.55,,,29.85,,33.1,34.9,30.73,,,,29.4,27.25,29.7,28.98,,,31.26,
290730076243001,Julana Pz,29.125,76.40833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,6.64,,5.45,6,5.7,,5.15,,6.7,,6.03,,9.8,5.37,7.1,5.67,6.94,,6.42,5.4,6.78,6.93,6.54,6.38,6.7,6.48,6.27,6.1,,5.85,5.7,5.96,,6.57,,4.45,2.8,3.6,,,,,
292130076252001,Lochap Pz,29.35833333,76.42222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15,,,,,,,,14.53,12.2,14.26,,16.35,,,,17.13,20.5,15.95,,17,11.83,16.23,,18.4,16.62,16.45,22.1,19.65,17.55,,21.1,20.37,18.5,,23.83,,17.5,19.75,22.36,19.54,,,25.42,
293810076075001,Mohal Khera Pz,29.63611111,76.13055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,6.28,,4.6,,5.32,,4.95,,4.87,,6.9,,7.3,,7.4,,7.65,,5.5,6,7.5,6.85,5.9,6.28,6.9,6.25,6.1,6.9,,5.6,4.6,6.58,,6.7,,5.18,7.58,4.54,4.96,,,,
293540076070001,Narwana S-Pz,29.59444444,76.11666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,3.55,,2.19,,2.15,,,2.45,2.7,,2.6,,,,,2.1,,,,,,2.82,2.91,3.12,,,,,,,30,,,,,,,,,,,,
