station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
281800076130001,Buchawas,28.3,76.21666667,,,,,,,,,22.62,22.95,21.57,19.32,21.29,20.98,20.7,20.51,21.32,,20.34,20.14,20.3,20.63,20.65,20.91,20.94,21.34,21.14,,21.91,22.24,22.05,22.34,22.24,22.26,23.13,24.19,23.76,23.37,23.61,23.66,24.49,24.29,23.14,24.61,25.34,26.04,25.27,25.14,27.64,26.06,25.72,26.1,27.07,26.89,27.21,27.17,27.69,,24.92,25.09,25.37,26.5,27.19,27.4,27.88,28.32,28.15,28.12,27.79,27.51,,26.1,,,27,29.3,,26.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,
282015076183001,Kaninakhas,28.3375,76.30833333,,,,,,,,,15.76,25.65,14.55,14.48,14.95,13.9,13.95,14.87,15.74,14.34,13.35,13.42,13.3,13.56,13.4,10.57,13.8,14.2,14.11,14.42,14.55,,,18.2,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282315076135001,Kheri,28.3875,76.23055556,,,,,,,,,14.49,14.99,14.47,14.54,14,14,12.38,13.98,13.79,14.41,14.62,13.76,14.08,14.41,12.66,14.57,14.9,15.1,15.54,,16.28,16.3,16.2,15.64,16.6,16.9,17.62,17.64,18.25,17.87,23.61,23.66,18,17.85,18.2,18.2,18.7,19.08,19.3,19.4,19.6,19.05,21.49,19.7,20.7,20,21,21.45,21.55,21.01,21.12,20,21.07,22.7,22.28,22.47,22.61,23.76,22.81,21.91,22.37,22.79,22.78,23.16,,,26.6,,,,,,,,,,,17.2,,,,18.97,,19.84,,19.8,,19.65,,,,19.34,20.31,,,,,,,26.6,,,,,25.6,,,,,,,
282430076071501,Khodana,28.40833333,76.12083333,,,,,,,,,20.75,18.81,20.39,20.44,20.31,20.51,20.16,20.06,19.81,,20.77,20.81,,21.48,21.72,21.75,22.09,22.46,22.81,22.99,23.19,23.56,23.78,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282300076221501,Lukhi,28.38333333,76.37083333,,,,,,,,,8.03,,6.23,7.4,7.69,6.61,6.29,5.1,4.91,6.69,6.77,,17.46,7.85,7.64,8.12,8.29,8.69,,,9.52,10.03,9.04,8.96,10.49,10.56,11.12,11.18,11.6,13.51,10.89,11.49,11.89,14.29,11.99,11.72,11.99,12.3,11.49,13.39,13.09,13.34,13.61,15.39,14.41,14.42,14.64,14.73,15.09,14.91,14.99,14.84,14.05,14.49,16.81,14.25,14.79,14.98,14.39,14.95,14.51,12.81,13.04,14.31,,,,13.02,,14.91,,14.31,,15.9,,15.13,14.85,15.64,,,,18.39,15.19,,,,,,,,,,,,,,,,21.4,21.4,,,,,,,,,,,,
280300076064501,Narnaul,28.05,76.1125,,,,,,,,,18.55,18.3,14.86,11.43,11.18,12.1,11.81,12,11.81,11.2,11.01,10.1,10.46,11.25,11.64,12.72,13.1,14.57,14.56,16.65,16.14,19,,17.22,18.4,18.35,18.99,20.15,21.19,22.1,20.5,20.8,21.08,21.7,21.2,22.68,24,,21.01,22.08,,,12.22,12.45,12.72,13.2,11.4,,11.95,14.11,13.55,13.6,12.42,12.65,12.35,12.63,,13.07,13.21,13.27,12.32,11.32,,11.3,12.4,,9.2,8.84,11.05,13.31,9.8,9.63,8.9,11.36,8.4,12.78,8.2,10.42,7.95,12.55,,8.63,8.6,8.43,,8.27,7.9,,13.9,12.6,7.63,11.7,11.28,7.6,11.85,6.53,,,7,5.18,6.9,,5.35,3.37,3.5,3.74,3.49,3.27,5.17,,,
281355076101001,Jassawas,28.23194444,76.16944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07,55.57,55.38,55.94,,58.07,,,56.93,,,,59.25,64.87,,58.85,59.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,79,76.25,,,,,,,,,,,
281037076170601,Rattan Kalan,28.17694444,76.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,37.43,38.15,39.03,,41.1,41.2,43.8,45.3,47.3,47.11,44.8,49.2,48.35,,47.3,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,100,55.55,,,,,,,,,,,
281024076092301,Deroli Ahir,28.17333333,76.15638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,16.74,15.05,10.2,11.98,15.28,16.78,15.4,18.07,14.77,12.44,,13.9,12.24,11.6,10.4,11.06,15.8,16.45,10.75,14.62,17.63,10.34,13.23,12.88,8.91,,16.98,6.61,,17.99,5.62,,,,13.1,,,,,,4.8,,12.65,,12.12,,12.85,,14.78,,14.44,2.34,17.07,,13.9,14.5,14.65,,,,,14.65,,,,,,,,,,,,,
282310076104001,Buwana-Pz,28.38611111,76.17777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40.02,,,,,,,,,,48.65,,50,,51.8,,51.25,,52.69,,53.84,53.36,55.3,,56.1,,,,40,,,,108,,,,,,,,,,,,
