station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
280245077280001,Achheja,28.04583333,77.46666667,,,,,,,,,6.41,,,6.34,4.95,6.59,6.21,5.29,5.18,6.12,4.16,3.71,4.37,4.97,4.47,4.93,4.79,5.74,4.64,4.78,5.24,6.48,5.76,5.44,6.39,6.64,6.26,5.97,6.45,6.71,4.74,4.74,5.74,5.94,6.04,5.37,6.34,6.46,6.27,5.69,6.22,7.02,6.39,6.64,7.85,7.65,6.64,6.62,7.46,7.85,5.88,6.14,6.61,7.25,8.98,7.88,,8.71,7.95,5.87,6.53,7.31,6.77,5.8,,,7.84,7.44,,7.85,,5.65,,6.85,,8.5,,7.86,,,,7.84,,9.8,,,,,,,,9.74,,,,10,,,10.1,,,,,,10.1,3.44,,,,,,
281315077183001,Baghaula,28.22083333,77.30833333,,,,,,,,,3.61,4.39,3.11,1.89,4.68,5.02,4.48,4.98,,3.83,3.54,2.71,2.85,3.57,3.29,3.47,4.01,4.14,3.26,3.38,4.05,4.6,,4,4.5,5.17,5.03,4.85,5.11,5.44,2.8,2.5,3.4,4.05,4.17,3.88,4.6,4.83,3.68,4.7,5.11,5.23,5.3,5.35,5.69,5.45,5.08,5.08,5.4,5.86,4.8,4.5,4.55,4.5,4.55,4.36,4.75,4.64,4.37,2.77,2.34,3.1,,2.81,,,3.4,2.8,,4.8,2.39,1.64,,1.9,3.1,1.53,1.65,2.02,,1.66,,1.95,,,,2.45,,1.63,1.6,1.8,1.44,1.27,1.5,2.1,1.55,2.05,,,3,2.8,2.02,,4.4,0.91,0.85,14.65,0.7,0.62,0.5,2.33,,
280345077203001,Bamnikhera,28.0625,77.34166667,,,,,,,,,3.62,4.4,3.27,2.42,3.37,4.8,4.37,3.07,3.25,3.92,1.59,1.37,1.79,4.67,4.27,3.96,5.57,4.52,3.36,4.58,4.02,6.75,,4.32,5.81,,,6.78,,7.3,3.8,4.3,4.82,4.42,5.62,,5.72,4.77,0.95,5.32,5.92,6.41,6.57,6.62,7.62,6.82,6.92,6.91,8.67,,6.42,6.12,,6.72,7.57,7.02,7.12,13.2,9.23,,,,,6.86,,,7.72,,,6.8,,,,,,1.9,,9.57,,9.55,,,,,,,,,,10.15,,,,,,,,,,,,,,,,,,,,,,
275800077292501,Hassanpur,27.96666667,77.49027778,,,,,,,,,11.6,,14.39,14.25,14.26,14.57,13.98,13.74,13.78,13.9,13.67,12.85,12.68,13.01,13.22,,12.3,12.85,13.03,12.76,13.12,13.2,13.65,13.56,14.1,14.4,,,,,14.14,13.2,9.8,13.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7,,,,,,,1,,,,,,,,,,,,,,,,,,,,6.5,,,,11.06,,,,,,,,,,,,,,,17.03,17.86,,
275300077210001,Hodel,27.88333333,77.35,,,,,,,,,12.69,12.64,11.14,,8.6,9.83,9.38,9.69,10.17,10.8,,9.58,9.62,10,10.03,9.12,,10.65,7.05,8.56,8.91,8.69,9.1,9.75,,10.22,10.26,7.95,9.05,9.85,6.58,7.55,8.95,,8.35,9.1,9.55,,10.54,,,,,,,,,,9.37,,,,9.39,,10.14,9.98,9.57,,,,8.61,9.34,,,,9,9.03,8.97,,10.12,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275730077134501,Kot,27.95833333,77.22916667,,,,,,,,,2.44,1.33,0.38,2.05,2.51,1.08,0.7,,2.89,,0.9,0.5,1.75,2.74,1.4,1.97,2.55,5.05,2.33,3.72,4.09,5.45,3.28,3.86,4.54,5.69,5.34,5.18,5.06,5.24,2.17,4.44,4.34,6.72,4.64,3.37,6.04,6.84,4.83,7.54,7.39,7.54,,7.79,7.84,8.35,8.19,8.7,10.64,8.85,7.57,8.07,8.68,8.94,9.59,9.37,,9.22,8.46,6.01,7.53,6.33,5.89,5.97,8.5,,7.44,7.79,,9.81,,6.11,,6.65,10.05,9.28,6.04,,,9.18,,9.37,8.74,9.01,,9.26,,,,,,8.34,9.25,,,5,,,12,,,,,,12,,,,,,,
280815077241501,Lalwa,28.1375,77.40416667,,,,,,,,,4.85,5.3,4.14,4.1,3.8,4.39,3.06,,2.72,2.12,0.34,0.91,0.95,2.9,1.85,1.49,0.05,1.7,0.81,3.19,3.4,4.82,3.92,4.57,5.2,5.95,5.42,5.92,5.39,6.75,3.57,4.1,4.5,5,4.9,4.06,5.1,,3.04,5.4,5.15,5.92,5.67,6.26,5.88,5.12,2.98,4.56,4.46,4.4,0.99,2.55,2.98,,5.6,5.41,6.06,5.92,5.69,3.58,4.15,4.62,4.1,3.41,,,2.98,2.65,,6,,3.3,,6.5,,,,6.84,,6.97,,,,,,,,,,6.5,,5.78,7.08,,5.8,6.9,,,10,,,,,6.7,6.7,,,,,,,
280900077193001,Palwal,28.15,77.325,,,,,,,,,2.39,3.53,2.61,2.22,2.42,3.26,1.52,1.12,1.4,1.72,0.35,0.66,1.06,2.93,1.53,1.22,,2.88,1.11,,2.58,3.92,2.24,3.16,3.87,4,4.73,4.19,4.67,5.44,1.72,2.73,3.22,4.42,3.95,3.4,4.12,4.83,2.85,2.8,3.62,6.04,4.88,4.86,4.82,5.37,4.23,5.83,4.57,5.12,2.67,3.57,3.57,5.12,5.36,5.18,4.44,6,5.48,4.05,4.52,5.36,5.2,4.01,,,5.62,6.02,,5.2,,4,,6.22,,7.1,,7.63,,6.42,,6.75,,7.13,7.14,7.64,,6.82,7.92,7.62,6.97,7.58,6.56,7.88,,5,,,7.62,7.59,7.37,,,7.65,8.27,6.54,,,,,,
280030077203001,Tumsara,28.00833333,77.34166667,,,,,,,,,4.29,5.04,4.1,3.03,4.49,5.3,4.7,2.91,1.98,5.51,1.91,1.53,2.02,3.17,3.11,3,3.93,4.28,3.23,4.08,4.81,6.38,,6.66,6.58,7.78,7.49,7.33,7.43,8.06,,5.88,5.78,7.4,7.88,5.43,7.18,,6.99,7.98,8.48,5.23,8.57,8.09,8.36,8.22,8.18,7.91,,8.69,8.42,8.68,8.37,7.29,9,8.47,8.98,9,8.87,8.39,8.43,8.24,8.28,8.19,,,8.58,7.63,,7.33,5.98,7.68,,6.08,,6.04,7.38,9.58,,9.33,,7.8,8.68,6.72,5.48,5.42,5.38,5.43,7.27,6.21,5.22,5.56,6.44,6.99,6.14,5.22,,,7.68,8.88,9.16,,11.01,10.61,11.12,,,,,,,
281215077142001,Jaindapur,28.20416667,77.23888889,,,,,,,,,,3.68,2.64,3.36,3.73,,3.78,3.48,3.83,4.92,2.92,2.6,3.21,3.95,3.67,4.06,4.29,4.86,3.94,4.47,5.19,6.28,5.38,5.97,6.67,7.37,7.27,6.85,7.17,7.58,6.21,5.67,5.87,6.37,6.67,6.06,6.47,6.67,6.99,6.44,6.72,7.02,7.96,7.17,7.22,,,8.29,8.62,,,,,,,,,,8.54,8.46,8.56,8.59,8.48,8.49,,,,,,,,9.3,,9.9,,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03,,
