station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
304148076522401,Devnagar(Panchkula),30.69666667,76.87333333,,,,,,,,,8.88,8.96,8.16,8.65,8.75,,8.3,8.82,9.88,9.18,6.87,7.76,8.77,,8.8,8.47,9.65,9,7.68,8.55,8.94,9.1,,8.57,9.6,9.37,9.52,9.53,9.65,,,10.7,10.7,10.7,8.96,9.52,9.55,9.61,9.25,9.6,9.47,9.67,9.59,10.74,9.67,9.67,,9.79,,,7.77,10.07,,,,9.85,9.72,,8.32,9.18,8.95,8.83,9.77,10.32,,9.97,,9.07,8.9,9,8.36,9.17,,9.86,,9.12,8.75,9.77,8.76,9.52,,,,,,,,9.34,,9.69,8.66,8.95,9.24,,8.42,8.35,8.9,,,9.65,9.35,,10.6,8.96,9.15,9.28,,8.65,8.83,9.29,,
304840076551001,Dharampur,30.81111111,76.91944444,,,,,,,,,8.68,14.98,8.86,2.9,7.67,11.96,9.27,5.24,9.17,12.55,9.99,5.22,7.75,11.68,4,3.56,8.05,11.55,8.85,5.36,8.79,12.65,4.63,5.1,8.8,10.14,11.08,8.38,9.52,12.65,5.74,2.61,6.99,11.9,10.7,9,9.97,13.19,9.04,7.96,9.82,13.25,12.57,10.07,11.18,13.5,9.42,10.3,9.76,,7.75,,7.58,12.35,13.04,8.4,10.25,,9.4,3.34,7.58,12.39,9.15,7.9,,14.3,,10.55,,13.7,,8.6,,13.95,,9.47,,13.6,,8.94,,15.84,,,,16.6,,9.53,10.77,14.06,10.53,5.65,8.87,13,9,7.6,9.5,,9.03,9.1,10.4,,13.25,9.92,10.86,13.36,10.42,7.8,9.41,12.88,,
304100076530001,Fatehpur-2 (s),30.68333333,76.88333333,,,,,,,,,29.49,32.19,31.68,31.38,30.59,32.58,30.74,31.55,32.63,,33.39,32.36,31.6,,29.5,35.21,,,37.27,,37.17,37.7,39.07,39.58,39.3,40.26,,42.68,41.82,44,46.05,55.9,42.4,46.57,46.33,47.86,47.49,48.32,48.3,48.8,49.7,,,,,,,,,,,,,,,,,,,62.02,59.95,61.03,63.62,63.2,,63.6,,65.25,,66.6,,64.62,,66.83,,,,,,,,,,,,,,,,,,92,92,,,,,,,,,,,,,,,,,,,
302930077013001,Kakar Majra,30.49166667,77.025,,,,,,,,,12.74,12.51,,12.55,,12.2,,9.19,12.18,12.28,11.29,12.13,11.69,12.55,11.35,11.25,11.25,11.5,11.15,11.1,8.92,9,9.04,9.38,9.44,9.49,10.17,9.41,9.49,9.73,9.87,9.58,9.38,9.62,9.78,9.45,9.55,9.43,9.51,9.81,9.56,9.76,9.77,9.93,,10.16,10.12,10.36,10.88,10.89,10.68,10.72,9.3,11.19,11.2,10.87,,11.96,11.26,11,10.53,10.59,10.71,10.71,,,,10.95,,11.26,,10.17,,11.04,,10.3,,10.56,,9.64,,10.83,,10.7,,9.83,,11.58,11.73,11.98,11.8,11.25,12.06,11.86,12.02,12.3,12.76,,12,11.96,11.94,,12.64,12.09,12.33,12.1,12.26,11.78,10.12,11.99,,
304930076524001,Khera,30.825,76.87777778,,,,,,,,,28.29,28.93,28.62,27.2,27.69,29.2,28.9,27.58,28.2,29.71,28.89,27.83,27.99,28.98,27.55,27.01,27.8,28.55,28.27,27.06,27.66,,27.95,27.09,27.7,29.04,28.86,27.61,28.29,29.26,28.4,27.27,27.66,28.39,27.76,27.25,27.76,28.81,28.97,28.07,28.41,29.26,29.49,28.89,29.18,29.56,29.86,29.26,29.96,29.99,30.21,28.17,28.49,,26.86,28.59,28.91,29.16,29.71,28.65,28.71,29.43,30.46,29,,,,28.61,,30.06,,27.67,,30.25,,28.69,,29.52,,28.3,,29.56,,,,,,28.78,29.01,29.48,29.35,28.2,28.43,29.36,26.9,27.9,28.27,,28.46,28.21,28.69,,30.56,28.48,28.66,29.17,28.26,27.82,27.56,29.35,,
305400076474501,Mehranwali,30.9,76.79583333,,,,,,,,,11.98,13.5,9.07,9.83,11.08,11.96,11.22,11.95,12.38,13.77,12.08,10.53,11.49,13.21,10.46,10.83,12.18,,,,11.8,13.46,10.88,12.06,12.77,14.01,13.97,13.68,14.51,15.21,11.94,11.5,11.27,13.44,12.76,13.36,14.21,15.05,13.33,13.89,14.82,15.76,15.3,15.03,16.54,,14.91,15.81,15.57,,12.58,12.15,13.31,14.86,15.11,14.71,15.71,18.53,15.41,13.33,14.21,15.81,13.21,14.18,,15.21,,14,,28.41,,16.45,,,,,,,,,,18.11,,,,,,,,,,14.66,,,,,,,,,,,,,,,16.73,,,,,
303830077003001,Parwala,30.64166667,77.00833333,,,,,,,,,20.47,19.38,17.99,18.43,18.73,19.19,19.2,18.84,19.07,19.7,19.1,18.59,18.64,19.05,18.2,17.88,18.11,18.1,18.05,17.5,17.68,18.1,17.9,17.68,17.89,18.39,19.28,18.44,18.78,19.18,18.99,18.41,18.79,19.32,19.42,19.11,19.44,19.78,19.04,18.79,19.19,18.9,19.58,19.32,19.72,19.8,19.33,20.15,21.9,20.43,20.32,19.6,19.5,20.04,20.14,19.51,19.65,20.5,18.73,16.58,16.52,17.59,16.75,16.5,,,,16.2,17.7,17.2,,16.35,16.84,18.35,,17.36,,18.22,,18.3,,18.3,,18,,18.92,,18,,19.08,18.79,18.05,17.6,18.5,17.59,17.8,19.9,,18.32,18.05,17.92,,23.1,17.7,17.45,17.52,16.8,16.77,16.85,18.13,,
302810076562001,Patwi,30.46944444,76.93888889,,,,,,,,,4.94,6.58,5.05,4.29,4.5,6.84,5.55,5.77,4.5,5.65,3.29,2.01,,4.29,4.91,3.31,4.14,5.7,2.14,3,3.9,5.64,3.28,4.76,5.35,6.5,8.34,5.16,6.05,7.11,4.54,4.58,5.53,7.39,6.01,4.51,5.26,7.22,7.17,7.41,8.47,9.43,10.12,10.69,11.19,11.73,13.29,13.69,13.88,14.8,13.36,13.35,13.87,14.58,14.66,14.38,14.93,17.2,14.73,11.52,12.6,13.5,12.83,13.38,,14.13,,14.01,14.09,13.63,13.54,12.82,12.84,13.08,13.07,13.29,13.43,9.83,13.23,12.95,,,,14.48,14.55,,9.78,,9.99,,,14.54,13.66,14.13,10.93,12.97,13.03,,12.23,10.08,10.93,,13,11.05,11.96,11.12,10.93,9.07,9.7,10.39,,
303515077012001,Raipurrani,30.5875,77.02222222,,,,,,,,,17.32,7.35,16.93,14.96,15.29,16.56,16.61,15.1,13.56,16.08,14.93,13.68,14.03,15.63,13.33,13.01,13.38,15.53,15.08,14.13,14.93,16.38,15.23,15.38,15.8,13.2,18.1,16.48,16.33,,,18.57,12.32,13.03,14.86,14,13.07,13.13,13.43,12.49,12.98,14.33,14.33,14.73,14.88,14.28,14.83,15.23,15.08,16.03,15.88,14.73,14.07,14.63,15.42,15.13,,10.13,7.26,6.12,6.4,8.11,6.33,6.78,,,,12.53,6.38,6.73,7.88,4.5,5.2,11.67,4.56,13.63,,5.13,,17.3,,,5.48,5.56,,5.78,,11.23,,5.59,,9.98,5.13,,,,,,,,,,11.83,11.03,10.43,9.5,16.5,,10.98,11.28,8.78,
303315076550001,Barwala,30.55416667,76.91666667,,,,,,,,,,6.85,6.59,4.23,4.77,6.27,5.87,5.36,5.31,6.14,4.11,2.75,2.9,3.92,3.28,3.43,3.99,4.68,5.08,5.01,5.78,6.96,6.48,6.58,7.23,7.91,,7.79,,,,7.79,7,7.57,9.5,7.07,7.03,7.55,7.68,7.31,7.51,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,,,,,,28.1,20.81,,
