station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
291325077040001,Dakadla M,29.22361111,77.06666667,,,,,,,,,11.27,11.57,,,,11.4,,,,,,,,,,,,,,,10.15,,,13.95,,13.51,16.7,,,13.86,,15.86,14.46,14.7,,16.01,14.29,12.85,13.21,16.78,15.77,16.09,19.41,19.11,18.16,17.61,22.71,22.84,22.47,21.44,,19.92,18.64,18.76,23.21,21.02,19.89,20.11,,,,18.28,22.52,33.07,,,,32.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292810076492001,Dharamgarh S,29.46944444,76.82222222,,,,,,,,,7.42,9.02,7.42,6.58,7.29,7.97,9.1,6.67,,,,7.11,,,,7,,,,,7.53,8.8,,9.47,,,,,,9.83,10.86,11.08,9.73,10.08,12.35,10.05,9.85,10.38,,10.38,10.32,11.22,,12.6,12.18,,,,,,,,,,,,,13.73,15.66,9.45,12.38,12.93,16.42,13.38,13.47,,,15.28,,13.21,,,,,,14.3,,,,,,15.93,,,,16.56,,18.09,17.73,17.56,,18.41,,17.08,21.38,21.58,,,,64,26.15,,,,,17.94,,19.18,,,19.21,
291640076510001,Israna D,29.27777778,76.85,,,,,,,,,4.38,4.6,4.7,,4.31,4.61,4.5,2.5,4.4,,4.21,4,4.06,,5.25,4.4,,,4.03,,,4.07,,4.29,,4.43,4.73,7.93,,3.43,2.5,1.77,2.18,2.93,2.77,1.18,1.51,2.72,2.68,1.84,2.1,3.09,2.46,2.12,2.98,3.13,3.28,3.06,3.77,4.78,3.05,2.52,3.02,4.33,4.11,3.11,3.73,,3.6,2.22,2.47,3.8,3.38,2.56,2.84,,,2.53,,3.65,,3.15,,4.03,,4.03,,4.81,,1.35,,,,,,,,4.14,3.7,5.87,4.91,4.08,4.62,2.61,6.8,,,,,,,,,,4.83,6.8,,4.86,,,4.53,
291740076462801,Khalila Manjran,29.29444444,76.77444444,,,,,,,,,1.5,2.78,6.32,,2.78,3.22,6.85,1.11,0.85,2.6,,,1.35,3.1,4.76,,3.75,,,3.45,3.68,4.98,,,,5.15,6.35,,4.27,5.15,3.2,2.12,3.23,4.78,2.96,2.48,3.27,4,4.53,1.39,2.7,3.51,2.89,3.55,4.4,5.05,5.03,3.17,4.07,5.12,2.24,1.37,2.8,4.45,6,3.06,,5.21,6.52,2.05,2.85,3.98,4.23,1.9,,,,2.88,,4.38,1.45,2.01,,4.43,,3.1,4.25,5.15,1.8,3.37,,5.5,4.25,4.58,,6.08,,5.19,6.65,6.78,7.32,3.52,4.99,6.51,,,6.95,,7.29,4.15,6.33,,8.54,,4.65,,,4.05,,,,
291235077014001,Patti Kalyana M,29.20972222,77.02777778,,,,,,,,,11.3,11.85,12.9,,,11.1,13.1,12.1,,,12.81,,10.77,,14.6,8.85,,,,,13.25,14.02,,,,14.35,18.1,16.75,16.75,16.45,22.45,18.17,16.73,17.43,20.77,18.27,16.77,16.95,20.65,19.81,18.37,19.02,21.57,21.65,20.15,20.45,23.58,26.31,26.88,25.9,24.31,26.28,22.45,22.4,28,27.73,23.68,23.9,25.55,,24.23,22.55,25.98,25.89,25.62,,,26.25,,,,29.65,,29.73,,34.82,,29.08,,31.35,,30.65,,,,32.1,,34.24,,34.49,34.37,35.56,33.38,37.48,36.32,38.65,35.65,,36.05,35.01,35.72,,38.33,,,33.95,33.47,37.25,,,37.27,
291515076483001,Shahpur,29.25416667,76.80833333,,,,,,,,,0.96,2.87,0.76,1.95,1.61,2.98,,0.96,,2.51,,0.56,1.07,2.16,3.58,1.21,1.56,3.28,3.31,3.14,3.46,2.94,3.06,2.56,4.26,2.14,2.07,2.56,3.78,2.54,0.36,0.66,0.9,2.33,0.2,0.95,1.34,3.26,3.11,0.93,0.98,1.9,0.66,1.06,1.59,3.76,2.46,,4.6,2.8,0.13,0.94,1.04,2.4,5.56,1.11,1.39,5.53,1.66,0.76,0.61,,3.46,1.58,,,,1.55,,2.26,,2.86,,4.36,,3.68,,5.23,,,,,,,,,,4.14,4.91,,,2.46,,5.52,,4.26,,,1.85,2.5,3.55,,1.89,,2.7,5,1.77,2.85,,,2.13,
292722076590001,Shimla Maulan M,29.45611111,76.98333333,,,,,,,,,9.95,10.22,10.6,,9.47,12.14,9.37,9.36,9.75,,10.67,8.4,11.55,,11.35,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291808077043001,Tajpur M,29.30222222,77.075,,,,,,,,,9.82,10.38,10.64,,,10.06,,9.7,9.4,,10.74,,,,11.44,11,,,11.8,,8.77,10.85,,13.68,,11.46,13.5,11.76,11.33,12.61,14.26,13.26,12.44,13.04,,13.39,12.74,13.26,14.76,,13.31,14.23,17.79,16.45,14.56,15.66,19.68,20,18.06,17.75,19.42,16.83,15.29,17.24,22.36,20.98,18.54,19.23,,18.12,16.81,17.35,19.26,20.49,,,,21.7,,,,,,19.45,,,,,,,,,,,,,,,,,,,196,16.96,,22.1,,,,196,,,21.9,,,,,,,,,
292330076510001,Untilya,29.39166667,76.85,,,,,,,,,2.38,4.07,1.49,1.99,2.31,3.55,,1.78,,3.58,1.8,1.05,2.23,4.2,3.51,3.2,3.3,5,2.3,2.83,3.15,4.53,2.37,2.94,3.1,3.8,3.55,2.15,2.53,3.6,2.09,1.69,2.12,4.05,2.87,1.73,2.27,3.5,2.2,1.5,1.87,3.27,1.77,2.48,2.91,3.5,2.91,2.97,2.96,4.55,4.84,,2.4,3.93,3.65,2.32,2.88,4.07,2,1.95,2.41,4.2,2.65,2.18,,,,2.5,,4.05,3,2.95,3.3,3.85,4.6,3.75,3.7,5.18,,4.77,,4.17,4.85,4.81,3.95,7.35,4.15,3.81,,5.18,3.72,3.05,3.04,5.75,6.5,6.55,4.9,,3.29,2.08,5.45,,7.62,,4.33,5.2,3.15,2.91,,,3.8,
292030076404501,Urlana Kalan,29.34166667,76.67916667,,,,,,,,,2.52,7.38,7.32,6.46,2.51,6.68,2.53,1.82,,,6.73,0.92,5.61,6.35,7.16,7.15,6.95,,10.9,3.86,8.15,3.14,2.03,,8.25,8.48,9.61,9.66,9.06,9.31,10.96,10.01,9.59,10.2,10.6,10.06,10,9.91,11.26,10.39,10.26,10.2,12.29,11.42,10.78,10.56,11.71,11.86,11.28,11.61,11.89,11.48,10.72,11.23,12.78,12.12,12.2,12.76,,13.46,12.34,11.8,12.73,11.99,,,,14.99,11.56,11.88,,12.99,,11.66,,11.9,12.56,12.52,,13.76,,13.91,14.56,,,13.99,15.41,15.38,15,15.36,16.69,16.59,16.18,16.16,17.91,18.26,16.86,,17.66,18.81,17.61,,20.5,,17.66,17.55,18.21,19.32,,,17.66,
